,0.1-1.0,4.0-10.0,4.0-14.0,5.0-20.0
2019-10-31 23:29:58.489999,1.06826928591e-07,2.08960714445e-09,3.90049299269e-09,4.55154852137e-09
2019-10-31 23:44:58.489999,1.04965130603e-07,1.82556537952e-09,3.8328531316e-09,4.67930267857e-09
2019-10-31 23:59:58.489999,1.03258367679e-07,1.38721725469e-09,1.8298892035e-09,1.90255155855e-09
2019-11-01 00:14:58.489999,1.07850928581e-07,1.42644182121e-09,2.26326448761e-09,3.14862346642e-09
2019-11-01 00:29:58.489999,1.04937248546e-07,1.14915996685e-09,1.56781179322e-09,1.5523837847e-09
2019-11-01 00:44:58.489999,1.0860859162e-07,1.41553309113e-09,2.16480506333e-09,2.78554407459e-09
2019-11-01 00:59:58.489999,1.09032053362e-07,1.1713970596e-09,1.68654149325e-09,2.11897003683e-09
2019-11-01 01:14:58.489999,1.11113765623e-07,1.5802360923e-09,1.88962486971e-09,1.89280230554e-09
2019-11-01 01:29:58.489999,1.1062017791e-07,1.88114642038e-09,2.38111749497e-09,2.54940507013e-09
2019-11-01 01:44:58.489999,1.10696629159e-07,1.04819291707e-09,1.73170414336e-09,2.05091568803e-09
2019-11-01 01:59:58.489999,1.11851916714e-07,1.26539009238e-09,2.04617179071e-09,2.80429809413e-09
2019-11-01 02:14:58.489999,1.10183960759e-07,1.1831627424e-09,1.95627689782e-09,2.71164882091e-09
2019-11-01 02:29:58.489999,1.10909597165e-07,1.16823217527e-09,1.53279306662e-09,1.51345555468e-09
2019-11-01 02:44:58.489999,1.15856816679e-07,1.44798308159e-09,1.880170112e-09,1.82699829176e-09
2019-11-01 02:59:58.489999,1.08229430108e-07,1.16297485698e-09,1.4413366651e-09,1.39769488526e-09
2019-11-01 03:14:58.489999,1.10633359422e-07,1.35146081384e-09,1.57504961327e-09,1.49264608733e-09
2019-11-01 03:29:58.489999,1.14887443605e-07,2.067735612e-09,2.34742575165e-09,2.19875994767e-09
2019-11-01 03:44:58.489999,1.12879968375e-07,2.00699889798e-09,2.34002873003e-09,2.15807398184e-09
2019-11-01 03:59:58.489999,1.11705031355e-07,2.08176866164e-09,3.48043203086e-09,4.07594623247e-09
2019-11-01 04:14:58.489999,1.09095139676e-07,2.20858766874e-09,3.33315841283e-09,3.70375337279e-09
2019-11-01 04:29:58.489999,1.1216614599e-07,2.74472479981e-09,3.49334190106e-09,3.44620112848e-09
2019-11-01 04:44:58.489999,1.14657138141e-07,4.20515895087e-09,4.83989856879e-09,3.99918977387e-09
2019-11-01 04:59:58.489999,3.70260825645e-06,3.59559224938e-08,3.61370894808e-08,1.91372362399e-08
2019-11-01 05:14:58.489999,5.31441754747e-06,4.94335208876e-08,4.98230070404e-08,2.67241144662e-08
2019-11-01 05:29:58.489999,3.54827315759e-07,5.61275417205e-09,9.27473879623e-09,1.07924024175e-08
2019-11-01 05:44:58.489999,1.12229841772e-07,5.11262611148e-09,7.80039823801e-09,8.92453768887e-09
2019-11-01 05:59:58.489999,1.09723311399e-07,6.0839065112e-09,1.00576578673e-08,1.21887027988e-08
2019-11-01 06:14:58.489999,1.13708900985e-07,7.87873955507e-09,1.13994038984e-08,1.29055472088e-08
2019-11-01 06:29:58.489999,1.21727699171e-07,8.25356118479e-09,1.14993523964e-08,1.28488129738e-08
2019-11-01 06:44:58.489999,1.2377371828e-07,8.48261599147e-09,1.32138483396e-08,1.58501050756e-08
2019-11-01 06:59:58.489999,1.1530789696e-07,9.25527503609e-09,1.22809039464e-08,1.37676805062e-08
2019-11-01 07:14:58.489999,1.15152622605e-07,1.03921323002e-08,1.2510388211e-08,1.21400464605e-08
2019-11-01 07:29:58.489999,1.4642726785e-07,8.56718662187e-09,1.12746086811e-08,1.16385449862e-08
2019-11-01 07:44:58.489999,1.55558989355e-07,6.5805633957e-09,8.86394786811e-09,9.73910506594e-09
2019-11-01 07:59:58.489999,1.11646467732e-07,6.30321246034e-09,8.91643494261e-09,1.03625127571e-08
2019-11-01 08:14:58.489999,1.13441340993e-07,8.20805644144e-09,1.29580262907e-08,1.55171879648e-08
2019-11-01 08:29:58.489999,1.15123446166e-07,9.54657428335e-09,1.41682976132e-08,1.61770494262e-08
2019-11-01 08:44:58.489999,1.11759582868e-07,9.77858602205e-09,1.29999318682e-08,1.34661678834e-08
2019-11-01 08:59:58.489999,1.12407835334e-07,9.96327543071e-09,1.35731982454e-08,1.43164902559e-08
2019-11-01 09:14:58.489999,1.17160003723e-07,1.02455991092e-08,1.34340831371e-08,1.35669657247e-08
2019-11-01 09:29:58.489999,1.15692728633e-07,8.53974170066e-09,1.15486709063e-08,1.30002506979e-08
2019-11-01 09:44:58.489999,1.1538246578e-07,6.52267741918e-09,9.57118366248e-09,1.18874519598e-08
2019-11-01 09:59:58.489999,1.11925493047e-07,6.57332397871e-09,9.90894495513e-09,1.25405575627e-08
2019-11-01 10:14:58.489999,1.01548161452e-07,6.77600826759e-09,1.01349567375e-08,1.22060397484e-08
2019-11-01 10:29:58.489999,1.0369875105e-07,6.82926596879e-09,9.12953154379e-09,1.03263033671e-08
2019-11-01 10:44:58.489999,1.12829599648e-07,7.54653397058e-09,9.65664057941e-09,1.04269224101e-08
2019-11-01 10:59:58.489999,1.14855786705e-07,7.93712179341e-09,1.06598493909e-08,1.13959166526e-08
2019-11-01 11:14:58.489999,1.10052482898e-07,8.47160218918e-09,1.22549126072e-08,1.33236245011e-08
2019-11-01 11:29:58.489999,1.07584183204e-07,8.47326675475e-09,1.35128887356e-08,1.52738349444e-08
2019-11-01 11:44:58.489999,1.05765547175e-07,7.1693381522e-09,1.26591129761e-08,1.50209723232e-08
2019-11-01 11:59:58.489999,1.04105553855e-07,7.29404962333e-09,1.2413329894e-08,1.49722876644e-08
2019-11-01 12:14:58.489999,1.03721555074e-07,6.7915604502e-09,1.01233258234e-08,1.20207037126e-08
2019-11-01 12:29:58.489999,1.06917262578e-07,8.07604959713e-09,1.22720048593e-08,1.42745847963e-08
2019-11-01 12:44:58.489999,1.01471899226e-07,8.84260209064e-09,1.25941632258e-08,1.44233582589e-08
2019-11-01 12:59:58.489999,9.79441538348e-08,8.81339921542e-09,1.12299986524e-08,1.16888080788e-08
2019-11-01 13:14:58.489999,9.95755418886e-08,9.06952895884e-09,1.0719532262e-08,9.61518585389e-09
2019-11-01 13:29:58.489999,9.64873270359e-08,6.30865969972e-09,8.55789110482e-09,9.1386384206e-09
2019-11-01 13:44:58.489999,9.95616324474e-08,5.91901630612e-09,8.36222698622e-09,9.41316124931e-09
2019-11-01 13:59:58.489999,9.91217155371e-08,7.26620670617e-09,9.39434031727e-09,9.97772081305e-09
2019-11-01 14:14:58.489999,9.60984394277e-08,5.96950501141e-09,9.50512141629e-09,1.11733343807e-08
2019-11-01 14:29:58.489999,9.94292701495e-08,7.69667365558e-09,1.27409065811e-08,1.40407306806e-08
2019-11-01 14:44:58.489999,9.89889475634e-08,7.7850832178e-09,1.39360659767e-08,1.5339783706e-08
2019-11-01 14:59:58.489999,9.76587406583e-08,6.89882785615e-09,1.03913851895e-08,1.09690439821e-08
2019-11-01 15:14:58.489999,9.75004155251e-08,5.86158065975e-09,9.25012860151e-09,1.0717662451e-08
2019-11-01 15:29:58.489999,9.73709745581e-08,6.20460993715e-09,9.02719841867e-09,1.05049697581e-08
2019-11-01 15:44:58.489999,9.59846109696e-08,5.71686631249e-09,8.67797397185e-09,9.99471519785e-09
2019-11-01 15:59:58.489999,9.3749170882e-08,5.41374700232e-09,8.64628071911e-09,1.03299117917e-08
2019-11-01 16:14:58.489999,9.35921463188e-08,5.65375508707e-09,9.40667182548e-09,1.16956267193e-08
2019-11-01 16:29:58.489999,9.57663659913e-08,6.37357010218e-09,1.25994348268e-08,1.50546555907e-08
2019-11-01 16:44:58.489999,9.46268200688e-08,5.64902765757e-09,8.93441379629e-09,1.11560208599e-08
2019-11-01 16:59:58.489999,9.19398565552e-08,4.70023382792e-09,7.7684331127e-09,9.14200453908e-09
2019-11-01 17:14:58.489999,9.41684041747e-08,5.16591875589e-09,9.19711479526e-09,1.13859470427e-08
2019-11-01 17:29:58.489999,9.42137074043e-08,4.7173523511e-09,8.39334025081e-09,1.09030809072e-08
2019-11-01 17:44:58.489999,9.73848547297e-08,3.80552873672e-09,5.86827978431e-09,7.28454316136e-09
2019-11-01 17:59:58.489999,9.38198943607e-08,3.84407631068e-09,6.07103282238e-09,6.85493233856e-09
2019-11-01 18:14:58.489999,8.85628349406e-08,4.13376416045e-09,7.00663587734e-09,8.3137493129e-09
2019-11-01 18:29:58.489999,8.98454847723e-08,4.85985763102e-09,8.12267232325e-09,1.01255149199e-08
2019-11-01 18:44:58.489999,9.09191666803e-08,4.14174844042e-09,6.29741104742e-09,7.41728662701e-09
2019-11-01 18:59:58.489999,9.24332166576e-08,3.59027367818e-09,5.12699541276e-09,5.9604118388e-09
2019-11-01 19:14:58.489999,9.15464298059e-08,3.72654666308e-09,6.49731602299e-09,8.77349807819e-09
2019-11-01 19:29:58.489999,8.97543048182e-08,3.75190550462e-09,6.73319311929e-09,8.42656651221e-09
2019-11-01 19:44:58.489999,9.38672500026e-08,4.03683751246e-09,7.34864996188e-09,9.1948200485e-09
2019-11-01 19:59:58.489999,9.04191004183e-08,3.42214041846e-09,6.23086640116e-09,8.06155827299e-09
2019-11-01 20:14:58.489999,9.10455209381e-08,2.92209778598e-09,5.43369839589e-09,7.19053738408e-09
2019-11-01 20:29:58.489999,9.33290989933e-08,2.9935293083e-09,5.56655928895e-09,8.05925543345e-09
2019-11-01 20:44:58.489999,9.44558961519e-08,2.91541778832e-09,4.8530252368e-09,6.03773736485e-09
2019-11-01 20:59:58.489999,9.19719360303e-08,2.75629069848e-09,3.97137845793e-09,4.40808201305e-09
2019-11-01 21:14:58.489999,8.97483767577e-08,2.68316983207e-09,4.31529075135e-09,5.24771437426e-09
2019-11-01 21:29:58.489999,9.28127884114e-08,2.34135456376e-09,3.59992075514e-09,4.6984923816e-09
2019-11-01 21:44:58.489999,8.95689658812e-08,2.60860225238e-09,4.11488266597e-09,5.50787433723e-09
2019-11-01 21:59:58.489999,9.01274072987e-08,2.70957035511e-09,4.15560803052e-09,4.90213074082e-09
2019-11-01 22:14:58.489999,9.19395389483e-08,2.70517751733e-09,4.42240245204e-09,5.48743761832e-09
2019-11-01 22:29:58.489999,8.9771534965e-08,2.66421196104e-09,4.06779277342e-09,5.08453239643e-09
2019-11-01 22:44:58.489999,9.10966032818e-08,2.36183159483e-09,2.78284116916e-09,2.74336623694e-09
2019-11-01 22:59:58.489999,9.22348465508e-08,2.31414826463e-09,2.62884455544e-09,2.35182715184e-09
2019-11-01 23:14:58.489999,9.39295359133e-08,2.29148744109e-09,2.95182343147e-09,3.59193097834e-09
2019-11-01 23:29:58.489999,9.61434433881e-08,2.20500172136e-09,3.04131625883e-09,3.8957439579e-09
2019-11-01 23:44:58.489999,1.0188873106e-07,2.02141870669e-09,4.97443549431e-09,5.86687517343e-09
2019-11-01 23:59:58.489999,1.09019738255e-07,1.78813374816e-09,3.24963073756e-09,4.36463974371e-09
2019-11-01 23:59:59.000000,1.09003547305e-07,1.78554904889e-09,3.2407041827e-09,4.35221425824e-09
2019-11-02 00:14:59.000000,1.14073847035e-07,1.74005873497e-09,3.1459007018e-09,4.22942156615e-09
2019-11-02 00:29:59.000000,1.12851799812e-07,1.06418269066e-09,1.36311924304e-09,1.40449347424e-09
2019-11-02 00:44:59.000000,1.14162728999e-07,1.66830932797e-09,3.30087257155e-09,4.95339885801e-09
2019-11-02 00:59:59.000000,1.17851665471e-07,1.43102252057e-09,2.67521164031e-09,4.04529003694e-09
2019-11-02 01:14:59.000000,1.27004617731e-07,9.73477886391e-10,1.12700942509e-09,1.01754825999e-09
2019-11-02 01:29:59.000000,1.25682139705e-07,8.48946081499e-10,1.09517146814e-09,1.08222185222e-09
2019-11-02 01:44:59.000000,1.29806531968e-07,8.83819813619e-10,1.1156201371e-09,1.07710975679e-09
2019-11-02 01:59:59.000000,1.37467737738e-07,1.1337965524e-09,1.94021398287e-09,2.25958528101e-09
2019-11-02 02:14:59.000000,1.56424401951e-07,3.89038757776e-09,4.21227146586e-09,3.04974940022e-09
2019-11-02 02:29:59.000000,1.52562546892e-07,4.29886301601e-09,4.41614264966e-09,2.66868426062e-09
2019-11-02 02:44:59.000000,1.46316573065e-07,3.30028332902e-09,3.72926662094e-09,2.91693989352e-09
2019-11-02 02:59:59.000000,1.43882535481e-07,2.4262379155e-09,3.45417697509e-09,4.32048643625e-09
2019-11-02 03:14:59.000000,1.48265558578e-07,1.52221693452e-09,2.48206876847e-09,3.68151781305e-09
2019-11-02 03:29:59.000000,1.58459772491e-07,1.31656078041e-09,1.63894492331e-09,1.54890012847e-09
2019-11-02 03:44:59.000000,1.58369068955e-07,2.12270010419e-09,2.58230603506e-09,2.49062419832e-09
2019-11-02 03:59:59.000000,1.53970563196e-07,2.09683101157e-09,2.62852140185e-09,2.66391838931e-09
2019-11-02 04:14:59.000000,1.49103931428e-07,1.86331263778e-09,2.4251212689e-09,2.49005662244e-09
2019-11-02 04:29:59.000000,1.47383976782e-07,2.54654980498e-09,3.83413364769e-09,4.54739902216e-09
2019-11-02 04:44:59.000000,1.46494396863e-07,4.55871863429e-09,5.67441696401e-09,5.284486263e-09
2019-11-02 04:59:59.000000,1.49145503363e-07,4.8219832485e-09,6.05066895767e-09,5.67738946507e-09
2019-11-02 05:14:59.000000,1.4240638279e-07,4.11486624077e-09,5.87192900436e-09,6.51395153924e-09
2019-11-02 05:29:59.000000,1.40623427261e-07,5.35996930305e-09,7.30712240243e-09,7.68673234058e-09
2019-11-02 05:44:59.000000,1.40623409971e-07,6.40283434338e-09,8.19993858501e-09,8.10871877446e-09
2019-11-02 05:59:59.000000,1.43626112664e-07,6.29788211087e-09,1.01366064029e-08,1.15256134103e-08
2019-11-02 06:14:59.000000,1.43580846729e-07,7.52615309213e-09,1.12085693434e-08,1.25493138471e-08
2019-11-02 06:29:59.000000,1.45202462887e-07,8.29853908969e-09,1.04837064834e-08,1.06005123558e-08
2019-11-02 06:44:59.000000,1.45464858042e-07,8.14809701759e-09,1.07516591219e-08,1.14079918916e-08
2019-11-02 06:59:59.000000,1.49238794595e-07,8.39433982393e-09,1.05420668824e-08,1.13675519868e-08
2019-11-02 07:14:59.000000,1.49744090373e-07,8.04490920513e-09,1.10012641265e-08,1.14343105258e-08
2019-11-02 07:29:59.000000,1.50738084416e-07,8.34543945585e-09,1.29759593985e-08,1.44219289949e-08
