,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,1.66480894827e-07,1.23085129345e-09,9.74775293772e-10,1.02450777802e-09
2019-10-31 23:44:59.000,1.66517104362e-07,1.38817717893e-09,1.10478095296e-09,1.14418830477e-09
2019-10-31 23:59:59.000,1.59464515176e-07,1.51722200907e-09,1.25291971963e-09,1.3241249302e-09
2019-11-01 00:14:59.000,1.51540106634e-07,1.34010384308e-09,1.12869223707e-09,1.20481404805e-09
2019-11-01 00:29:59.000,1.43612449089e-07,1.14032269444e-09,9.13103984725e-10,9.9515226535e-10
2019-11-01 00:44:59.000,1.38284352039e-07,1.27132894185e-09,1.0247194342e-09,1.10920571359e-09
2019-11-01 00:59:59.000,1.40767879326e-07,1.05022079579e-09,7.93409056559e-10,8.87648031824e-10
2019-11-01 01:14:59.000,1.44316385247e-07,8.91673032361e-10,6.54632920824e-10,7.28041490039e-10
2019-11-01 01:29:59.000,1.54020438853e-07,1.0099041755e-09,7.6589563318e-10,8.52727563557e-10
2019-11-01 01:44:59.000,1.46213690422e-07,1.16765075108e-09,8.80236618701e-10,1.01490026183e-09
2019-11-01 01:59:59.000,1.50428104988e-07,1.35085574896e-09,1.0810879842e-09,1.20239624156e-09
2019-11-01 02:14:59.000,1.48506204099e-07,1.24071872126e-09,9.48315574669e-10,1.02986785254e-09
2019-11-01 02:29:59.000,1.51056440772e-07,1.73097295465e-09,1.39066199652e-09,1.45201483896e-09
2019-11-01 02:44:59.000,1.58872648598e-07,2.07034558029e-09,1.83122853714e-09,1.87511079211e-09
2019-11-01 02:59:59.000,1.54318433421e-07,1.66199717307e-09,1.39358809148e-09,1.44670975121e-09
2019-11-01 03:14:59.000,1.50964118214e-07,1.62684781546e-09,1.32011379411e-09,1.38523492376e-09
2019-11-01 03:29:59.000,1.53200523489e-07,2.13854511671e-09,1.6883092739e-09,1.77603730404e-09
2019-11-01 03:44:59.000,1.48984890893e-07,2.76735660233e-09,2.09818475567e-09,2.2295530998e-09
2019-11-01 03:59:59.000,1.46418125523e-07,3.92043581711e-09,3.29967417644e-09,3.42668254329e-09
2019-11-01 04:14:59.000,1.41690726072e-07,5.06664207181e-09,4.4589559363e-09,4.64495065222e-09
2019-11-01 04:29:59.000,1.42765552266e-07,4.9196838101e-09,4.14661851845e-09,4.40787219977e-09
2019-11-01 04:44:59.000,1.43866382779e-07,4.99581674355e-09,4.38415533812e-09,4.6344540994e-09
2019-11-01 04:59:59.000,1.43151237268e-07,4.71667821444e-09,4.13157838628e-09,4.33322960724e-09
2019-11-01 05:14:59.000,1.34585606423e-07,4.54963848926e-09,3.91180169461e-09,4.13010318436e-09
2019-11-01 05:29:59.000,1.42368538078e-07,4.88989487762e-09,4.23557991458e-09,4.44318254507e-09
2019-11-01 05:44:59.000,1.43076231627e-07,5.59237805951e-09,4.87181972192e-09,5.06170335395e-09
2019-11-01 05:59:59.000,1.43412951451e-07,6.94681462033e-09,5.96024214336e-09,6.12868818514e-09
2019-11-01 06:14:59.000,1.44408807391e-07,6.86963276568e-09,5.9211933559e-09,6.07830883203e-09
2019-11-01 06:29:59.000,1.4627229016e-07,6.04244790564e-09,5.32525405779e-09,5.47243529412e-09
2019-11-01 06:44:59.000,1.43163330318e-07,6.79423043019e-09,6.11652429224e-09,6.25764558975e-09
2019-11-01 06:59:59.000,1.39276547401e-07,6.81790429796e-09,6.13814195296e-09,6.27948628776e-09
2019-11-01 07:14:59.000,1.36875433841e-07,6.03097542814e-09,5.19323609134e-09,5.39157532478e-09
2019-11-01 07:29:59.000,1.37885965614e-07,6.25339307193e-09,5.33710584439e-09,5.5290221315e-09
2019-11-01 07:44:59.000,1.48202211511e-07,7.12788227086e-09,5.91733611359e-09,6.11077737071e-09
2019-11-01 07:59:59.000,1.42748081077e-07,6.72616210938e-09,5.66620001788e-09,5.8560956788e-09
2019-11-01 08:14:59.000,1.38655017953e-07,6.99583188887e-09,6.16155557367e-09,6.35529165729e-09
2019-11-01 08:29:59.000,1.43439455727e-07,6.25848311504e-09,5.40781380429e-09,5.5816684857e-09
2019-11-01 08:44:59.000,1.38626447867e-07,6.34930589302e-09,5.44656490529e-09,5.60701658641e-09
2019-11-01 08:59:59.000,1.40956801001e-07,6.48281364136e-09,5.53790564616e-09,5.69544147953e-09
2019-11-01 09:14:59.000,1.53099052124e-07,6.2399188077e-09,5.44244353316e-09,5.61242467763e-09
2019-11-01 09:29:59.000,1.56844432373e-07,6.31536756637e-09,5.46813111822e-09,5.64086031837e-09
2019-11-01 09:44:59.000,1.51316657259e-07,6.36112640052e-09,5.50498193528e-09,5.67134924535e-09
2019-11-01 09:59:59.000,1.48277420804e-07,6.56473997035e-09,5.67945645408e-09,5.88602347206e-09
2019-11-01 10:14:59.000,1.40481832322e-07,6.99145566561e-09,5.98623001284e-09,6.1556705816e-09
2019-11-01 10:29:59.000,1.35832095622e-07,7.07257862809e-09,6.26037367038e-09,6.42783660316e-09
2019-11-01 10:44:59.000,1.42072898916e-07,6.91543151082e-09,6.14701452791e-09,6.31635542571e-09
2019-11-01 10:59:59.000,1.49396032079e-07,6.96758377361e-09,6.04930841471e-09,6.22975036961e-09
2019-11-01 11:14:59.000,1.46985149213e-07,6.68321136614e-09,5.74607470914e-09,5.9275582681e-09
2019-11-01 11:29:59.000,1.48073159379e-07,6.24931843317e-09,5.46167247109e-09,5.6402321326e-09
2019-11-01 11:44:59.000,1.40764978401e-07,6.86952985807e-09,5.94330238216e-09,6.1151505527e-09
2019-11-01 11:59:59.000,1.43616383222e-07,7.14580434412e-09,6.08081683624e-09,6.28360317549e-09
2019-11-01 12:14:59.000,1.50157713777e-07,7.18430312569e-09,6.22774940246e-09,6.43010329933e-09
2019-11-01 12:29:59.000,1.46994876932e-07,8.22468587945e-09,7.31659520943e-09,7.49510086028e-09
2019-11-01 12:44:59.000,1.39672699961e-07,6.96718952288e-09,6.08517652667e-09,6.26140358631e-09
2019-11-01 12:59:59.000,1.46035590893e-07,6.99596926991e-09,6.0632425523e-09,6.24899137624e-09
2019-11-01 13:14:59.000,1.50487194678e-07,7.20435821333e-09,6.31445994975e-09,6.49822926745e-09
2019-11-01 13:29:59.000,1.49176004085e-07,6.54100663462e-09,5.67551239095e-09,5.86555565804e-09
2019-11-01 13:44:59.000,1.46960871382e-07,6.94062684125e-09,6.14238992085e-09,6.33336795109e-09
2019-11-01 13:59:59.000,1.47046123963e-07,6.85286893053e-09,6.05569500365e-09,6.22190214115e-09
2019-11-01 14:14:59.000,1.44713466785e-07,6.07660768074e-09,5.33392433275e-09,5.51636782479e-09
2019-11-01 14:29:59.000,1.36558734478e-07,5.89910211092e-09,5.14905254952e-09,5.37716111102e-09
2019-11-01 14:44:59.000,1.40294459089e-07,5.81443511765e-09,5.08767905371e-09,5.28799212981e-09
2019-11-01 14:59:59.000,1.43056150341e-07,5.53838504669e-09,4.88365992822e-09,5.06549225573e-09
2019-11-01 15:14:59.000,1.37385750427e-07,5.5761690769e-09,4.9374094714e-09,5.10416138212e-09
2019-11-01 15:29:59.000,1.42365312891e-07,5.62150968797e-09,4.87952858981e-09,5.06908104765e-09
