,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,8.61834789488e-07,3.68301740304e-08,2.00850519369e-08,2.16590719333e-08
2019-10-31 23:44:59,8.83311482002e-07,3.61111641881e-08,2.04358493901e-08,2.17825821705e-08
2019-10-31 23:59:59,8.29449942637e-07,4.81203030171e-08,3.37653581698e-08,3.4707150473e-08
2019-11-01 00:14:59,8.47679054761e-07,4.61965580769e-08,3.30122837626e-08,3.39164744607e-08
2019-11-01 00:29:59,9.4355072308e-07,3.51767517959e-08,1.80250082971e-08,1.9291186696e-08
2019-11-01 00:44:59,9.2332146174e-07,4.92593228123e-08,2.80145992367e-08,2.93666885774e-08
2019-11-01 00:59:59,8.71422165224e-07,3.97916627411e-08,2.55480167747e-08,2.70399039872e-08
2019-11-01 01:14:59,9.06556348403e-07,3.41262749433e-08,2.20912753241e-08,2.31589096556e-08
2019-11-01 01:29:59,9.00176022108e-07,3.06474879326e-08,1.87318189034e-08,1.9945057797e-08
2019-11-01 01:44:59,8.79804111069e-07,2.86433545417e-08,1.77237701002e-08,1.90231040531e-08
2019-11-01 01:59:59,9.50409507231e-07,2.64015358387e-08,1.55013435233e-08,1.71150684412e-08
2019-11-01 02:14:59,9.91329098782e-07,2.51002679431e-08,1.43515534448e-08,1.55315841429e-08
2019-11-01 02:29:59,9.04433248857e-07,2.35136832442e-08,1.2180295796e-08,1.27820454272e-08
2019-11-01 02:44:59,9.67329208106e-07,2.24684069066e-08,1.31048090328e-08,1.37943982276e-08
2019-11-01 02:59:59,9.23066784661e-07,2.06897315928e-08,1.25437307643e-08,1.31823750283e-08
2019-11-01 03:14:59,9.20554744516e-07,2.09310162918e-08,1.04767599092e-08,1.10056093954e-08
2019-11-01 03:29:59,8.93359047952e-07,2.23327859185e-08,1.17425379443e-08,1.22343864624e-08
2019-11-01 03:44:59,8.90875372255e-07,2.01587928276e-08,1.08775970766e-08,1.13964857499e-08
2019-11-01 03:59:59,8.85048547709e-07,2.20018708565e-08,1.21831983778e-08,1.26099145213e-08
2019-11-01 04:14:59,9.00573679443e-07,2.47411896043e-08,1.52171644258e-08,1.60129133034e-08
2019-11-01 04:29:59,8.89780730893e-07,2.15810192509e-08,1.24376106475e-08,1.31684868972e-08
2019-11-01 04:44:59,8.36947847097e-07,2.2484724857e-08,1.04890839967e-08,1.10703683074e-08
2019-11-01 04:59:59,8.14572347595e-07,2.20386724935e-08,9.34020718973e-09,9.62149541147e-09
2019-11-01 05:14:59,8.26898605679e-07,1.92407872415e-08,1.14023777549e-08,1.20816893531e-08
2019-11-01 05:29:59,9.29033156919e-07,2.4079779799e-08,1.21783913078e-08,1.3061740304e-08
2019-11-01 05:44:59,9.15435763977e-07,2.27581740225e-08,9.97543783137e-09,1.07340160327e-08
2019-11-01 05:59:59,8.47942576436e-07,1.78683357725e-08,1.0168032613e-08,1.07310435242e-08
2019-11-01 06:14:59,8.5982138959e-07,1.92313244812e-08,9.79797550579e-09,1.0186658928e-08
2019-11-01 06:29:59,8.71853370839e-07,1.93319249175e-08,7.70169570746e-09,7.8784590986e-09
2019-11-01 06:44:59,8.53490700857e-07,1.87354334501e-08,8.5690418588e-09,8.9642845361e-09
2019-11-01 06:59:59,8.79296223127e-07,2.14134744424e-08,7.39628593102e-09,7.69373878943e-09
2019-11-01 07:14:59,8.43701433393e-07,2.18694799221e-08,7.44901887788e-09,7.57796636189e-09
2019-11-01 07:29:59,7.80998503378e-07,2.08065880864e-08,6.88170956378e-09,7.04395222879e-09
2019-11-01 07:44:59,8.11379334304e-07,1.77567856419e-08,5.82224568749e-09,6.22740444656e-09
2019-11-01 07:59:59,8.66042881605e-07,2.0811453276e-08,7.52929863908e-09,8.08116655155e-09
2019-11-01 08:14:59,9.04880970945e-07,2.13910218055e-08,5.66718737745e-09,5.90251611113e-09
2019-11-01 08:29:59,9.32917252672e-07,1.72638190263e-08,4.69357132838e-09,5.0110454756e-09
2019-11-01 08:44:59,9.61367933963e-07,1.48830311756e-08,4.49731833253e-09,4.79426593721e-09
2019-11-01 08:59:59,8.91687271511e-07,1.56908108903e-08,3.97830712517e-09,4.08308697353e-09
2019-11-01 09:14:59,8.57569784285e-07,1.53046822486e-08,4.38899431875e-09,4.51670163501e-09
2019-11-01 09:29:59,8.43919844967e-07,1.6021248929e-08,4.45599048368e-09,4.61619018548e-09
2019-11-01 09:44:59,8.9081532314e-07,1.93695769235e-08,5.59013777193e-09,5.67529878628e-09
2019-11-01 09:59:59,8.87344927146e-07,1.84643856283e-08,5.98113320735e-09,6.06239148478e-09
2019-11-01 10:14:59,9.23766160016e-07,1.37085498872e-08,3.98133269748e-09,4.1238362206e-09
2019-11-01 10:29:59,9.02645413709e-07,1.33439953847e-08,4.41348624498e-09,4.54888749959e-09
2019-11-01 10:44:59,7.84373004008e-07,1.30875222943e-08,3.32509563896e-09,3.44665472543e-09
2019-11-01 10:59:59,8.00291783168e-07,1.32824252723e-08,3.20778866955e-09,3.51883615476e-09
2019-11-01 11:14:59,8.8890578953e-07,1.45831446545e-08,3.74901515415e-09,3.99683860766e-09
2019-11-01 11:29:59,8.51792065362e-07,1.35796386279e-08,2.64280711519e-09,2.8201868774e-09
2019-11-01 11:44:59,9.13113574829e-07,1.39040592582e-08,3.64555506102e-09,3.96342340078e-09
2019-11-01 11:59:59,8.76177626483e-07,1.5274498398e-08,5.20428348534e-09,5.70112254014e-09
2019-11-01 12:14:59,8.25694137962e-07,1.48533426766e-08,4.76344997898e-09,5.04672562724e-09
2019-11-01 12:29:59,8.56241407386e-07,1.89180082192e-08,6.49682968896e-09,6.76944514332e-09
2019-11-01 12:44:59,0.00413027781346,1.31690951651e-05,3.48914677026e-07,3.49216574323e-07
2019-11-01 12:59:59,2.65850900514e-05,1.17584215003e-07,6.56561056654e-09,6.76295309061e-09
2019-11-01 13:14:59,9.03361856765e-07,1.96722793729e-08,6.33007479487e-09,6.76596190295e-09
2019-11-01 13:29:59,9.38431570584e-07,1.77638563497e-08,6.78530299119e-09,7.32256722899e-09
2019-11-01 13:44:59,9.10994946661e-07,1.7471759147e-08,5.65649590966e-09,5.96352009188e-09
2019-11-01 13:59:59,9.46695641938e-07,2.54425262254e-08,1.43405758023e-08,1.5178136784e-08
2019-11-01 14:14:59,8.62665930131e-07,2.47401552437e-08,1.29167570728e-08,1.35885146695e-08
2019-11-01 14:29:59,8.8889271346e-07,3.08707239877e-08,1.21736904995e-08,1.253923394e-08
2019-11-01 14:44:59,8.56653272803e-07,3.32370388155e-08,1.27376491399e-08,1.35480818658e-08
2019-11-01 14:59:59,8.43242634689e-07,3.2196755075e-08,1.24333166439e-08,1.37547817527e-08
2019-11-01 15:14:59,9.34967462722e-07,3.01796849631e-08,1.18488054175e-08,1.32465776402e-08
2019-11-01 15:29:59,9.11283271521e-07,3.3763953945e-08,1.82928378774e-08,1.98571594023e-08
2019-11-01 15:44:59,9.03705754369e-07,3.84622568922e-08,2.16482146184e-08,2.32861077337e-08
2019-11-01 15:59:59,8.77133412947e-07,3.98190036718e-08,2.11634126134e-08,2.24994541535e-08
2019-11-01 16:14:59,8.53852435312e-07,4.66564028595e-08,2.33553848605e-08,2.46566627544e-08
2019-11-01 16:29:59,8.42654810356e-07,5.30620416265e-08,2.60307770474e-08,2.73989720104e-08
2019-11-01 16:44:59,9.22563486841e-07,4.91347446328e-08,2.56369522009e-08,2.69769000175e-08
2019-11-01 16:59:59,8.87848240206e-07,3.51894421827e-08,1.71094362839e-08,1.84623059004e-08
2019-11-01 17:14:59,8.92216746536e-07,4.22837974449e-08,1.63801709641e-08,1.76336583657e-08
2019-11-01 17:29:59,8.54189416993e-07,4.18113947128e-08,1.91780977297e-08,2.04694602663e-08
2019-11-01 17:44:59,8.10938683047e-07,4.12851291194e-08,2.19999616287e-08,2.34992786062e-08
2019-11-01 17:59:59,9.01430143641e-07,4.70227164058e-08,2.26105883533e-08,2.41275827678e-08
2019-11-01 18:14:59,8.979124786e-07,4.47174762175e-08,1.7040011401e-08,1.83655197079e-08
2019-11-01 18:29:59,8.88896066289e-07,3.99950937688e-08,1.69970478914e-08,1.8580080932e-08
2019-11-01 18:44:59,8.80457534103e-07,3.49589582181e-08,1.81817213434e-08,1.96287060115e-08
2019-11-01 18:59:59,9.1105780588e-07,3.52335546045e-08,1.89897038501e-08,2.03749220044e-08
2019-11-01 19:14:59,8.7783213406e-07,4.36046735145e-08,2.55290805611e-08,2.71813305031e-08
2019-11-01 19:29:59,9.57423645299e-07,3.89780204429e-08,2.05400620271e-08,2.20040260015e-08
2019-11-01 19:44:59,9.48182050973e-07,5.00478735789e-08,2.336326897e-08,2.46281151555e-08
2019-11-01 19:59:59,8.89980205778e-07,4.45085645006e-08,2.11189842505e-08,2.25661208557e-08
2019-11-01 20:14:59,8.34871270446e-07,3.92768668087e-08,2.3851265228e-08,2.5653718664e-08
2019-11-01 20:29:59,8.13790842355e-07,4.22516262614e-08,2.43601263216e-08,2.61762377399e-08
2019-11-01 20:44:59,8.38401385855e-07,4.26857937592e-08,2.44582117005e-08,2.61961571217e-08
2019-11-01 20:59:59,9.08713107692e-07,3.98282190349e-08,2.34384904719e-08,2.50425900744e-08
2019-11-01 21:14:59,9.58756973833e-07,4.26824684035e-08,2.30713794577e-08,2.48604048779e-08
2019-11-01 21:29:59,9.83366755773e-07,4.03691402889e-08,2.10153248649e-08,2.28256589902e-08
