,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.005000,2.1216823822e-07,8.05587093747e-08,5.06997730062e-08,5.10678309347e-08
2019-10-31 23:44:59.005000,2.06187139064e-07,7.15852444428e-08,4.61899548736e-08,4.65614189039e-08
2019-10-31 23:59:59.005000,2.00389200005e-07,9.98872347414e-08,5.63971102847e-08,5.68591338612e-08
2019-11-01 00:14:59.005000,2.01837676916e-07,8.64404475822e-08,3.91314794726e-08,3.93301710258e-08
2019-11-01 00:29:59.005000,2.04741807475e-07,4.74572616214e-08,1.85545206103e-08,1.85885877737e-08
2019-11-01 00:44:59.005000,2.04978934965e-07,4.18189364107e-08,1.61530637297e-08,1.61919620643e-08
2019-11-01 00:59:59.005000,2.0730673025e-07,4.13233426938e-08,1.75223610275e-08,1.7571868885e-08
2019-11-01 01:14:59.005000,2.13703929089e-07,4.06120226612e-08,1.6248388759e-08,1.62924236047e-08
2019-11-01 01:29:59.005000,2.06201318335e-07,3.88431372418e-08,1.55691464811e-08,1.558283122e-08
2019-11-01 01:44:59.005000,1.94130978364e-07,6.57427268535e-08,4.62694526804e-08,4.62744351602e-08
2019-11-01 01:59:59.005000,2.04739494887e-07,1.75411074645e-07,1.24236536858e-07,1.24239843989e-07
2019-11-01 02:14:59.005000,2.08136043546e-07,1.19957654998e-07,8.44321067962e-08,8.44355473577e-08
2019-11-01 02:29:59.005000,2.04783618116e-07,1.25933040714e-07,8.14284458628e-08,8.14310712625e-08
2019-11-01 02:44:59.005000,2.0647582102e-07,1.13712762225e-07,6.61862749845e-08,6.61889378169e-08
2019-11-01 02:59:59.005000,2.00014480552e-07,6.15294435242e-08,3.33726838224e-08,3.33805473684e-08
2019-11-01 03:14:59.005000,2.03589353797e-07,6.42997697234e-08,3.77340139973e-08,3.77429519052e-08
2019-11-01 03:29:59.005000,2.05642055036e-07,3.71473569563e-08,1.81408751523e-08,1.81554550066e-08
2019-11-01 03:44:59.005000,2.02122023167e-07,3.56549158852e-08,1.42300684757e-08,1.42461981546e-08
2019-11-01 03:59:59.005000,1.98919652581e-07,3.7937711024e-08,1.42067969191e-08,1.42304352618e-08
2019-11-01 04:14:59.005000,1.94988751001e-07,3.74413182478e-08,1.28622607666e-08,1.28855341694e-08
2019-11-01 04:29:59.005000,2.00592378285e-07,5.02516768794e-08,2.57730770643e-08,2.61045648737e-08
2019-11-01 04:44:59.005000,2.06113696244e-07,5.96017026897e-08,3.5200781257e-08,3.55695117472e-08
2019-11-01 04:59:59.005000,3.89838975244e-05,6.99150545993e-08,2.22091797758e-08,2.22690004611e-08
2019-11-01 05:14:59.005000,4.28424369546e-05,7.92221595173e-08,3.12480506455e-08,3.14620360791e-08
2019-11-01 05:29:59.005000,2.41579695983e-07,1.27560962145e-07,8.39695535519e-08,8.41335608117e-08
2019-11-01 05:44:59.005000,2.00281405918e-07,1.28048313806e-07,7.48859400766e-08,7.50168947286e-08
2019-11-01 05:59:59.005000,1.97238029488e-07,1.03404523585e-07,5.30573998303e-08,5.32862335019e-08
2019-11-01 06:14:59.005000,1.97665856825e-07,9.37027923674e-08,4.36295996532e-08,4.37931989785e-08
2019-11-01 06:29:59.005000,2.06171599285e-07,1.13835735984e-07,5.61563815436e-08,5.64043961729e-08
2019-11-01 06:44:59.005000,2.0906356983e-07,1.40030117423e-07,6.15223463008e-08,6.17908873529e-08
2019-11-01 06:59:59.005000,2.46443836164e-07,1.62854038875e-07,7.05922431688e-08,7.09288558044e-08
2019-11-01 07:14:59.005000,3.17635459116e-07,1.63846204406e-07,6.43511648708e-08,6.46284618824e-08
2019-11-01 07:29:59.005000,2.8031204316e-07,1.51064842901e-07,6.88506371916e-08,6.91952229706e-08
2019-11-01 07:44:59.005000,2.11083354329e-07,1.36587379157e-07,6.68893652626e-08,6.71566048492e-08
2019-11-01 07:59:59.005000,2.23933329344e-07,1.42596817937e-07,7.01570239806e-08,7.05389426696e-08
2019-11-01 08:14:59.005000,2.26318202016e-07,1.46896786651e-07,6.29870050895e-08,6.33765337548e-08
2019-11-01 08:29:59.005000,2.18517609143e-07,1.40532533759e-07,6.45644382746e-08,6.49129627493e-08
2019-11-01 08:44:59.005000,4.0212750559e-07,1.44168334334e-07,6.82944025454e-08,6.85519121018e-08
2019-11-01 08:59:59.005000,4.10879543184e-07,1.54682398608e-07,6.9030610069e-08,6.93044594714e-08
2019-11-01 09:14:59.005000,2.39470894469e-07,1.34305943897e-07,6.09984134519e-08,6.1306124704e-08
2019-11-01 09:29:59.005000,2.47388402565e-05,1.43865189826e-07,6.61156634384e-08,6.64359614813e-08
2019-11-01 09:44:59.005000,3.40710453429e-05,1.34592026691e-07,5.60126089528e-08,5.62686602838e-08
2019-11-01 09:59:59.005000,2.10932628389e-07,1.52789279319e-07,6.33729239129e-08,6.36169514389e-08
2019-11-01 10:14:59.005000,2.1479529349e-07,1.82694213113e-07,6.01802059727e-08,6.03237667122e-08
2019-11-01 10:29:59.005000,2.28433092e-07,1.66442705181e-07,6.11860395362e-08,6.13812535037e-08
2019-11-01 10:44:59.005000,2.2207051871e-07,1.52289189964e-07,6.49088553522e-08,6.51368526386e-08
2019-11-01 10:59:59.005000,2.40155051346e-07,1.4324326761e-07,6.44193005356e-08,6.48654249242e-08
2019-11-01 11:14:59.005000,2.49062514493e-07,1.73014120871e-07,6.60287735173e-08,6.64620585891e-08
2019-11-01 11:29:59.005000,2.4738224179e-07,1.49785248665e-07,6.56325899225e-08,6.59775131779e-08
2019-11-01 11:44:59.005000,2.48930348102e-07,1.21718511055e-07,5.28274608053e-08,5.3006161557e-08
2019-11-01 11:59:59.005000,2.49774439171e-07,1.25924074867e-07,5.50219415453e-08,5.5228281897e-08
2019-11-01 12:14:59.005000,2.35567025035e-07,1.35326397055e-07,6.49510933533e-08,6.51648518698e-08
2019-11-01 12:29:59.005000,2.5000051545e-07,1.28727735379e-07,6.1706796038e-08,6.18861644265e-08
2019-11-01 12:44:59.005000,2.41822895494e-07,1.38163634807e-07,5.96127002504e-08,5.98674368894e-08
2019-11-01 12:59:59.005000,2.18287992298e-07,1.47442587092e-07,6.17718167202e-08,6.20329608172e-08
2019-11-01 13:14:59.005000,2.10957987779e-07,1.83466154703e-07,5.97507807938e-08,5.99237250244e-08
2019-11-01 13:29:59.005000,2.20014301021e-07,1.70090590442e-07,6.57408491904e-08,6.59989346638e-08
2019-11-01 13:44:59.005000,2.03755463196e-07,1.18270969422e-07,6.17225420406e-08,6.19380017821e-08
2019-11-01 13:59:59.005000,2.13285426307e-07,1.17380719264e-07,5.98757816816e-08,6.01379855124e-08
2019-11-01 14:14:59.005000,2.22896411813e-07,1.07378588145e-07,5.5087677537e-08,5.53584525904e-08
2019-11-01 14:29:59.005000,2.07391558528e-07,1.08742612032e-07,5.97108536817e-08,6.0076916792e-08
2019-11-01 14:44:59.005000,2.07716241507e-07,1.10136574985e-07,5.64197014715e-08,5.67813129541e-08
2019-11-01 14:59:59.005000,2.22657007115e-07,1.17309449814e-07,5.90977640199e-08,5.94026729681e-08
2019-11-01 15:14:59.005000,2.48254659155e-07,1.188350963e-07,6.35043603805e-08,6.38401801751e-08
2019-11-01 15:29:59.005000,2.49146248507e-07,1.07158744595e-07,5.80270317445e-08,5.83857831253e-08
2019-11-01 15:44:59.005000,2.35537589511e-07,1.04287715778e-07,5.28620020778e-08,5.30882509911e-08
2019-11-01 15:59:59.005000,2.60938031204e-07,1.08748454105e-07,6.26006444772e-08,6.29789240825e-08
2019-11-01 16:14:59.005000,2.44664743875e-07,1.06219269466e-07,6.29152244522e-08,6.3271147941e-08
2019-11-01 16:29:59.005000,2.40243004075e-07,1.03305856017e-07,5.54420376251e-08,5.57922923316e-08
2019-11-01 16:44:59.005000,2.42600052064e-07,1.04564161946e-07,5.66304219286e-08,5.6936542658e-08
2019-11-01 16:59:59.005000,2.18196289701e-07,1.00178289926e-07,5.83848717069e-08,5.86633753541e-08
2019-11-01 17:14:59.005000,2.0885433026e-07,8.97585494574e-08,5.31426340035e-08,5.33371853091e-08
2019-11-01 17:29:59.005000,3.02856443719e-07,1.04237171001e-07,6.38552196695e-08,6.42305165839e-08
2019-11-01 17:44:59.005000,2.62995473604e-07,1.09981974885e-07,6.68158150703e-08,6.72643965461e-08
2019-11-01 17:59:59.005000,2.43369113246e-07,1.08480265565e-07,6.43603534817e-08,6.48129539135e-08
2019-11-01 18:14:59.005000,3.11599426706e-06,1.07461652541e-07,5.57601447657e-08,5.60386606895e-08
2019-11-01 18:29:59.005000,2.54879461735e-06,1.03538080746e-07,6.32059859476e-08,6.35390213649e-08
2019-11-01 18:44:59.005000,2.42882395857e-07,9.87378713449e-08,6.18943460605e-08,6.23067973117e-08
2019-11-01 18:59:59.005000,2.27337675701e-07,9.8228926408e-08,6.32550870859e-08,6.36746187065e-08
2019-11-01 19:14:59.005000,2.29812440815e-07,9.73002196419e-08,6.25878746369e-08,6.3008319687e-08
2019-11-01 19:29:59.005000,2.35993948173e-07,9.7996420432e-08,6.28092792458e-08,6.31839786071e-08
2019-11-01 19:44:59.005000,2.38727585389e-07,9.15532503136e-08,5.57963032338e-08,5.61107891059e-08
2019-11-01 19:59:59.005000,3.50837017132e-05,9.90239183999e-08,5.33639241988e-08,5.36938924367e-08
2019-11-01 20:14:59.005000,3.01310935716e-05,9.04363024501e-08,4.65741769807e-08,4.68015608818e-08
2019-11-01 20:29:59.005000,2.60528532565e-07,9.26529592908e-08,5.8207353236e-08,5.84965398238e-08
2019-11-01 20:44:59.005000,2.65357083928e-07,8.36052771645e-08,4.8385802663e-08,4.86729107561e-08
2019-11-01 20:59:59.005000,2.36799153191e-07,8.14385012693e-08,5.02912933347e-08,5.05767605125e-08
2019-11-01 21:14:59.005000,3.14550224196e-06,9.43984005732e-08,5.28441369241e-08,5.3092561886e-08
2019-11-01 21:29:59.005000,3.13325415278e-06,9.548339894e-08,5.14014084144e-08,5.16363456279e-08
2019-11-01 21:44:59.005000,2.5507445308e-07,8.63786996062e-08,5.26331735826e-08,5.28846333713e-08
2019-11-01 21:59:59.005000,2.54836281376e-07,8.24810691819e-08,5.4895112543e-08,5.51480769726e-08
2019-11-01 22:14:59.005000,2.62987207147e-07,7.55995464306e-08,4.90918223959e-08,4.92914732943e-08
