,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-10 10:42:09.197000,2.21228969712e-06,7.0103908138e-09,3.19427281676e-09,4.82268950798e-09
2019-11-10 10:57:09.197000,2.29818878491e-06,6.52919991988e-09,3.06250377514e-09,4.25526680906e-09
2019-11-10 11:12:09.197000,2.61605391565e-06,6.15605624243e-09,2.71940798029e-09,3.31087316414e-09
2019-11-10 11:27:09.197000,2.55066923605e-06,6.10874986097e-09,2.36771433987e-09,2.86068666717e-09
2019-11-10 11:42:09.197000,2.29212396004e-06,5.91164752225e-09,2.36057923922e-09,3.04545222936e-09
2019-11-10 11:57:09.197000,2.36247580284e-06,8.21147284981e-09,4.04692069855e-09,4.88282031088e-09
2019-11-10 12:12:09.197000,2.64663694026e-06,7.55537575783e-09,3.93918520146e-09,4.6982369152e-09
2019-11-10 12:27:09.197000,2.56855850953e-06,6.61685571669e-09,3.17985265791e-09,3.89977716048e-09
2019-11-10 12:42:09.197000,2.09250769879e-06,5.62183984227e-09,2.40947182363e-09,3.37955964619e-09
2019-11-10 12:57:09.197000,1.9851631282e-06,5.39044099972e-09,2.46629237131e-09,3.38333408923e-09
2019-11-10 13:12:09.197000,2.05657586779e-06,5.66658638751e-09,2.32685069523e-09,3.3450483744e-09
2019-11-10 13:27:09.197000,1.95186962156e-06,6.25213641042e-09,2.8220125729e-09,4.42006151255e-09
2019-11-10 13:42:09.197000,2.17647060496e-06,8.36330442453e-09,3.51291515605e-09,4.40252260274e-09
2019-11-10 13:57:09.197000,2.13295968171e-06,7.81484458509e-09,3.01587471253e-09,3.36711903691e-09
2019-11-10 14:12:09.197000,1.79347010983e-06,4.90561711705e-09,2.2218003761e-09,2.82168925513e-09
2019-11-10 14:27:09.197000,1.7154179362e-06,5.99636170894e-09,3.55899346003e-09,4.2942151838e-09
2019-11-10 14:42:09.197000,1.55407045205e-06,5.93815658948e-09,3.7475449567e-09,4.55394155249e-09
2019-11-10 14:57:09.197000,1.76596099285e-06,5.91361389318e-09,2.79245907303e-09,3.9842667301e-09
2019-11-10 15:12:09.197000,2.21472634665e-06,6.51104879026e-09,3.10784470116e-09,4.10883350364e-09
2019-11-10 15:27:09.197000,2.24691213182e-06,7.20025141124e-09,3.47468428281e-09,4.4479139374e-09
2019-11-10 15:42:09.197000,2.24778360893e-06,6.85626826101e-09,3.12920303141e-09,4.00159002877e-09
2019-11-10 15:57:09.197000,2.33303305061e-06,5.76434349248e-09,2.25788793971e-09,3.00132336608e-09
2019-11-10 16:12:09.197000,2.28616625539e-06,6.09643013591e-09,2.60519498272e-09,3.84637078541e-09
2019-11-10 16:27:09.197000,2.33627852261e-06,6.52264433611e-09,2.94243386682e-09,4.68256050183e-09
2019-11-10 16:42:09.197000,2.44714786193e-06,5.57940513017e-09,2.56278129288e-09,3.17858530285e-09
2019-11-10 16:57:09.197000,2.59674534948e-06,5.6416241668e-09,2.17102151641e-09,2.90333988878e-09
2019-11-10 17:12:09.197000,2.26724599896e-06,5.5352386386e-09,2.11399057012e-09,2.95731873108e-09
2019-11-10 17:27:09.197000,2.22706864156e-06,5.74100965587e-09,2.36181150107e-09,3.64549492528e-09
2019-11-10 17:42:09.197000,2.36173781028e-06,5.29170645669e-09,1.98490882701e-09,2.81713076407e-09
2019-11-10 17:57:09.197000,2.0916746095e-06,4.64690627613e-09,2.00256399572e-09,2.759590727e-09
2019-11-10 18:12:09.197000,1.92447923886e-06,4.06036763558e-09,1.45558736522e-09,1.92928970267e-09
2019-11-10 18:27:09.197000,1.87432361444e-06,3.83009669585e-09,1.20294763692e-09,1.48143763446e-09
2019-11-10 18:42:09.197000,1.82417847409e-06,3.60051133026e-09,1.35858596488e-09,1.70175642205e-09
2019-11-10 18:57:09.197000,1.59423675123e-06,3.43892979777e-09,1.38807682912e-09,1.69048972297e-09
2019-11-10 19:12:09.197000,1.521246967e-06,4.0726883852e-09,2.10735096851e-09,2.67438511458e-09
2019-11-10 19:27:09.197000,1.66138108339e-06,3.93720066471e-09,2.02941506312e-09,2.60819665406e-09
2019-11-10 19:42:09.197000,1.32152700394e-06,3.15379136713e-09,1.3861750988e-09,1.72016954135e-09
2019-11-10 19:57:09.197000,1.18959319044e-06,3.19444668749e-09,1.46136084489e-09,1.8784398749e-09
2019-11-10 20:12:09.197000,1.37476799307e-06,3.15591108745e-09,1.16656155664e-09,1.48110211404e-09
2019-11-10 20:27:09.197000,1.4651316108e-06,3.13781167307e-09,9.68197165334e-10,1.33016332905e-09
2019-11-10 20:42:09.197000,1.70090543087e-06,3.31080295486e-09,7.25071022204e-10,9.76226713119e-10
2019-11-10 20:57:09.197000,1.30856331703e-06,2.59717592173e-09,6.7456601326e-10,8.74892634516e-10
2019-11-10 21:12:09.197000,1.40002824692e-05,1.60518154804e-08,1.91665359316e-09,2.0104217947e-09
2019-11-10 21:27:09.197000,2.7965370672e-06,5.06108356418e-09,8.59570284585e-10,1.01863991246e-09
2019-11-10 21:42:09.197000,1.23601388663e-06,3.69645078853e-09,7.14754474021e-10,8.59873108513e-10
2019-11-10 21:57:09.197000,1.50053055241e-06,5.01987940178e-09,6.45320639548e-10,8.07041144269e-10
2019-11-10 22:12:09.197000,1.0867924758e-05,1.49175051737e-08,1.72289358863e-09,1.79517489737e-09
2019-11-10 22:27:09.197000,1.27744392205e-05,1.74958826745e-08,2.00306420345e-09,2.06743298616e-09
2019-11-10 22:42:09.197000,1.03649816969e-06,3.88382278605e-09,5.40564981363e-10,7.20943146075e-10
2019-11-10 22:57:09.197000,7.46115517227e-07,3.80822220962e-09,5.44830803742e-10,6.98872107975e-10
2019-11-10 23:12:09.197000,9.85868436847e-07,4.31667219832e-09,5.00640536066e-10,6.66801241913e-10
2019-11-10 23:27:09.197000,1.11889326274e-06,4.99634860297e-09,5.93432506518e-10,7.39053367635e-10
2019-11-10 23:42:09.197000,1.1631151694e-06,5.07618487991e-09,5.74298885787e-10,7.19059414363e-10
2019-11-10 23:57:09.197000,1.03978317453e-06,4.47077662558e-09,5.00579925899e-10,6.79636504747e-10
2019-11-11 00:14:58.997000,9.32082349142e-07,4.05783784924e-09,6.3576213289e-10,7.71827282445e-10
2019-11-11 00:29:58.997000,7.41061693322e-07,3.91411968675e-09,6.04698455584e-10,7.36362296276e-10
2019-11-11 00:44:58.997000,6.68916417519e-07,3.66678606057e-09,9.30884671761e-10,1.14029624449e-09
2019-11-11 00:59:58.997000,5.70942434161e-07,2.93799921485e-09,7.44027098825e-10,9.41115829587e-10
2019-11-11 01:14:58.997000,6.91922814733e-07,3.4670058723e-09,6.44876516904e-10,8.10292668553e-10
2019-11-11 01:29:58.997000,6.79481256623e-07,4.02487094593e-09,1.02324324248e-09,1.30126193167e-09
2019-11-11 01:44:58.997000,1.19526284803e-05,1.68213216543e-08,2.31646388915e-09,2.61788389609e-09
2019-11-11 01:59:58.997000,1.19816343902e-05,1.65818449139e-08,2.15305653934e-09,2.38117206995e-09
2019-11-11 02:14:58.997000,6.88339334267e-07,2.89640287213e-09,1.18695407807e-09,1.57233894889e-09
2019-11-11 02:29:58.997000,6.46287253245e-07,3.66215897083e-09,2.27243881462e-09,2.9008890823e-09
2019-11-11 02:44:58.997000,6.80830620488e-07,4.32829297885e-09,2.7585129959e-09,3.6144429137e-09
2019-11-11 02:59:58.997000,7.92751806691e-07,3.76311101168e-09,1.9598082754e-09,2.67426291432e-09
2019-11-11 03:14:58.997000,1.38722537778e-06,5.48779777768e-09,2.86266421133e-09,4.39305670074e-09
2019-11-11 03:29:58.997000,1.13590286149e-06,5.91806466186e-09,3.28719885731e-09,4.89376093078e-09
2019-11-11 03:44:58.997000,8.62160078875e-07,5.05427983069e-09,3.02479568743e-09,3.87307025221e-09
2019-11-11 03:59:58.997000,7.29719984766e-07,6.19496745897e-09,3.90050359337e-09,5.13508856368e-09
2019-11-11 04:14:58.997000,7.46035607285e-07,7.53696369517e-09,4.55890394675e-09,6.49709966588e-09
2019-11-11 04:29:58.997000,1.2509269528e-06,9.63380054978e-09,4.76795123314e-09,6.85918298745e-09
2019-11-11 04:44:58.997000,1.45040030577e-06,9.55906394965e-09,4.39086038649e-09,5.97830520018e-09
2019-11-11 04:59:58.997000,2.01101188509e-06,9.65374607578e-09,2.72983787914e-09,3.73434600879e-09
2019-11-11 05:14:58.997000,1.86379241841e-06,1.03210740408e-08,2.67908336823e-09,3.32142050389e-09
2019-11-11 05:29:58.997000,1.66370863223e-06,9.61248277837e-09,2.38936981415e-09,3.1960390033e-09
2019-11-11 05:44:58.997000,1.93584364714e-06,1.01487002339e-08,2.05417212122e-09,2.78848735773e-09
2019-11-11 05:59:58.997000,1.91945418579e-06,8.87639871961e-09,2.07988086246e-09,3.15243038038e-09
2019-11-11 06:14:58.997000,1.66545733888e-06,8.65570638312e-09,3.75017814584e-09,4.88406783986e-09
2019-11-11 06:29:58.997000,1.75972570493e-06,1.00747619489e-08,4.15984653752e-09,5.15772487612e-09
2019-11-11 06:44:58.997000,2.31940267501e-06,8.47145624137e-09,3.3733763056e-09,4.16860197035e-09
2019-11-11 06:59:58.997000,2.2591689595e-06,9.25334726454e-09,2.36858827366e-09,3.52944140768e-09
2019-11-11 07:14:58.997000,2.03419175605e-06,9.55424093567e-09,2.22343725961e-09,3.49277827378e-09
2019-11-11 07:29:58.997000,1.36978647799e-06,7.08682572902e-09,2.7894813692e-09,4.04616858112e-09
2019-11-11 07:44:58.997000,3.9295670911e-07,7.58319473016e-09,4.36215959509e-09,5.96164962395e-09
2019-11-11 07:59:58.997000,2.82768336243e-07,6.17723400326e-09,3.75201198596e-09,5.0814232506e-09
2019-11-11 08:14:58.997000,2.7019170252e-07,8.32675340122e-09,6.07349900476e-09,7.63031014163e-09
2019-11-11 08:29:58.997000,2.69151210082e-07,7.71874546585e-09,5.63956885825e-09,6.7183852077e-09
2019-11-11 08:44:58.997000,2.67067896001e-07,7.943579484e-09,4.87288856265e-09,5.89766961072e-09
2019-11-11 08:59:58.997000,2.51041529461e-07,7.59906152263e-09,4.46751970301e-09,5.97319226131e-09
2019-11-11 09:14:58.997000,2.57665783974e-07,8.84099086058e-09,5.69780756643e-09,8.27960804636e-09
2019-11-11 09:29:58.997000,2.69156719277e-07,8.68855540524e-09,5.81783547807e-09,8.16230160213e-09
2019-11-11 09:44:58.997000,2.71649740802e-07,5.97854062628e-09,3.5793830711e-09,4.67948022822e-09
2019-11-11 09:59:58.997000,2.54480703274e-07,6.2570837707e-09,3.38265796309e-09,4.93979772553e-09
2019-11-11 10:14:58.997000,2.53282294208e-07,5.74755188147e-09,3.77460608713e-09,5.01751756532e-09
2019-11-11 10:29:58.997000,2.52061507875e-07,4.51723637059e-09,2.82116715018e-09,3.43934334414e-09
2019-11-11 10:44:58.997000,2.46984060921e-07,8.17532971034e-09,5.4085357935e-09,7.25675825026e-09
2019-11-11 10:59:58.997000,2.49091306136e-07,9.1816106527e-09,6.08385856352e-09,8.10083421549e-09
2019-11-11 11:14:58.997000,2.31430927026e-07,5.06157443739e-09,2.93005308519e-09,4.0380862762e-09
2019-11-11 11:29:58.997000,2.3875777514e-07,5.68838860116e-09,3.40607351121e-09,4.63993201148e-09
2019-11-11 11:44:58.997000,2.50831785134e-07,7.10970636726e-09,4.4030684092e-09,5.47956467486e-09
2019-11-11 11:59:58.997000,2.57588570821e-07,5.54045461088e-09,3.16249916951e-09,3.82852205814e-09
2019-11-11 12:14:58.997000,2.53728817804e-07,4.99555786411e-09,3.133299752e-09,3.83761261794e-09
2019-11-11 12:29:58.997000,2.4116379759e-07,5.35763667505e-09,3.30042283172e-09,4.24410033495e-09
2019-11-11 12:44:58.997000,2.53019220227e-07,6.99171855206e-09,4.43483656807e-09,6.10258062241e-09
2019-11-11 12:59:58.997000,2.54472896249e-07,6.80962894186e-09,4.58754016606e-09,5.98641435244e-09
2019-11-11 13:14:58.997000,2.50976597548e-07,5.88639165675e-09,3.65837130459e-09,4.91827802623e-09
2019-11-11 13:29:58.997000,2.64741500724e-07,5.81069833026e-09,3.50558558352e-09,4.58008980855e-09
2019-11-11 13:44:58.997000,2.5905379375e-07,6.82378891938e-09,4.80228575184e-09,5.6860671897e-09
2019-11-11 13:59:58.997000,2.52245273725e-07,6.13795670671e-09,4.20728329004e-09,5.12508125812e-09
2019-11-11 14:14:58.997000,2.60743818939e-07,4.90397148423e-09,2.79121218795e-09,3.70853707179e-09
2019-11-11 14:29:58.997000,6.7705838852e-07,6.18705903654e-09,3.5759824194e-09,4.79445202931e-09
2019-11-11 14:44:58.997000,1.62516834237e-06,9.1708229123e-09,3.3197194106e-09,4.20001653478e-09
2019-11-11 14:59:58.997000,1.92165105366e-06,9.07879702923e-09,2.9137874885e-09,3.60886366154e-09
2019-11-11 15:14:58.997000,2.04483579744e-06,7.1442420274e-09,2.85533171138e-09,3.80634243104e-09
2019-11-11 15:29:58.997000,2.18191034272e-06,7.26745659478e-09,3.63676129065e-09,4.83822021163e-09
2019-11-11 15:44:58.997000,2.46413535919e-06,5.71324651604e-09,2.11080071833e-09,2.54724872433e-09
2019-11-11 15:59:58.997000,2.38155276811e-06,5.01079921582e-09,2.01190223978e-09,2.39275100667e-09
2019-11-11 16:14:58.997000,2.31246400209e-06,5.21745173762e-09,1.94595928894e-09,2.56945513917e-09
2019-11-11 16:29:58.997000,2.3467052368e-06,5.79099781957e-09,2.00562825825e-09,2.5910255177e-09
2019-11-11 16:44:58.997000,2.31470694446e-06,6.17237673067e-09,2.99507220593e-09,3.48037521771e-09
2019-11-11 16:59:58.997000,5.30902326825e-06,8.84570236432e-09,3.14805677078e-09,3.59004996497e-09
2019-11-11 17:14:58.997000,1.42810794408e-05,1.67417043339e-08,2.93012464005e-09,3.30356026259e-09
2019-11-11 17:29:58.997000,1.32051507529e-06,4.79655936294e-09,1.87092484682e-09,2.28598708194e-09
2019-11-11 17:44:58.997000,1.38076277373e-06,5.56840966514e-09,1.34912554113e-09,1.57052645511e-09
2019-11-11 17:59:58.997000,1.46933489606e-06,5.80467809908e-09,1.31602674148e-09,1.62093672339e-09
2019-11-11 18:14:58.997000,1.64199332884e-06,6.14535143811e-09,1.47032376386e-09,1.78756983637e-09
2019-11-11 18:29:58.997000,1.58246255851e-06,5.94971433789e-09,1.37397100092e-09,1.60247814131e-09
2019-11-11 18:44:58.997000,1.68188966045e-06,6.14229277617e-09,1.35487955827e-09,1.61098621868e-09
2019-11-11 18:59:58.997000,1.60157651341e-06,6.30503048668e-09,1.80968102699e-09,2.29793323534e-09
2019-11-11 19:14:58.997000,1.42262375678e-06,1.1375814532e-08,3.5458940774e-09,3.86962137069e-09
2019-11-11 19:29:58.997000,1.66953937088e-06,1.07170042333e-08,3.22306256965e-09,3.47013420164e-09
2019-11-11 19:44:58.997000,1.8657699615e-06,6.86172647038e-09,1.1794250067e-09,1.47527006653e-09
2019-11-11 19:59:58.997000,1.88534566427e-06,5.59330048126e-09,1.24997862804e-09,1.93159684497e-09
2019-11-11 20:14:58.997000,1.93753870663e-06,4.60132951753e-09,1.25672821248e-09,1.99849595427e-09
2019-11-11 20:29:58.997000,1.91988140911e-06,4.67185483909e-09,9.69348486461e-10,1.298229891e-09
2019-11-11 20:44:58.997000,1.69469785927e-06,3.65594509969e-09,8.8608764974e-10,1.14601882366e-09
2019-11-11 20:59:58.997000,1.45852779257e-06,4.84005945066e-09,6.43778024444e-10,7.84167438582e-10
2019-11-11 21:14:58.997000,1.26123739378e-06,4.80954885246e-09,5.81032396611e-10,7.20513985636e-10
2019-11-11 21:29:58.997000,1.18852007328e-06,4.30379724322e-09,6.51508504381e-10,7.85536066304e-10
2019-11-11 21:44:58.997000,1.34484685921e-06,5.59200149866e-09,6.06481680906e-10,7.35316430484e-10
2019-11-11 21:59:58.997000,1.23459217232e-06,4.14028034665e-09,4.88449684203e-10,6.34612264065e-10
2019-11-11 22:14:58.997000,1.04215581662e-06,2.93957285657e-09,5.80036089058e-10,7.16542025931e-10
2019-11-11 22:29:58.997000,1.27790879392e-05,1.57475558662e-08,1.84282983249e-09,1.91674450386e-09
2019-11-11 22:44:58.997000,1.27254291106e-05,1.56462562926e-08,1.81562082279e-09,1.8950931677e-09
2019-11-11 22:59:58.997000,8.35703353144e-06,1.15944825507e-08,1.8161964363e-09,2.34293208667e-09
2019-11-11 23:14:58.997000,1.35889972773e-05,1.80244469846e-08,2.39831733039e-09,2.83494227752e-09
2019-11-11 23:29:58.997000,1.74531835294e-06,3.77792750394e-09,5.66777408943e-10,6.98287674616e-10
2019-11-11 23:44:58.997000,1.60972147703e-06,3.37250232031e-09,5.17981322237e-10,6.67254430792e-10
2019-11-11 23:59:58.997000,1.5065889356e-06,3.06034055969e-09,4.8439214722e-10,6.50101403637e-10
2019-11-12 00:29:58.996999,1.62646442355e-06,7.41862785974e-09,6.22800330094e-10,7.37086204827e-10
2019-11-12 00:44:58.996999,1.44022458349e-06,8.22837068344e-09,6.38631684269e-10,7.50067359091e-10
2019-11-12 00:59:58.996999,1.32899032525e-06,7.51290964502e-09,6.60135670718e-10,7.67610598744e-10
2019-11-12 01:14:58.996999,1.34135481445e-06,8.12251926728e-09,6.69814589632e-10,7.79652759118e-10
2019-11-12 01:29:58.996999,1.36478449106e-06,8.62637170732e-09,6.18444484974e-10,7.48278639164e-10
2019-11-12 01:44:58.996999,1.19593128194e-05,1.83925067846e-08,1.9488824551e-09,2.01225112179e-09
2019-11-12 01:59:58.996999,1.1991080848e-05,1.88286863803e-08,1.98471287988e-09,2.05210915639e-09
2019-11-12 02:14:58.996999,1.69374016e-06,9.64914428678e-09,8.504786668e-10,9.94319541577e-10
2019-11-12 02:29:58.996999,1.55001609098e-06,8.55255731039e-09,1.19329234188e-09,1.5224744456e-09
2019-11-12 02:44:58.996999,1.49689172599e-06,9.0845416902e-09,2.42533000958e-09,3.16385249208e-09
2019-11-12 02:59:58.996999,1.90182950791e-06,9.26779503728e-09,1.69213396066e-09,2.31196074394e-09
2019-11-12 03:14:58.996999,1.70580658476e-06,9.74043616746e-09,2.15401687606e-09,3.06162921104e-09
2019-11-12 03:29:58.996999,1.59128143976e-06,1.00982507239e-08,2.93762454372e-09,3.99987583241e-09
2019-11-12 03:44:58.996999,1.78557262846e-06,1.01874282066e-08,3.65047428064e-09,4.83355182651e-09
2019-11-12 03:59:58.996999,1.66790923945e-06,1.05665848105e-08,4.20566705444e-09,5.80803994481e-09
2019-11-12 04:14:58.996999,1.37241203541e-06,9.08353271752e-09,4.71605843604e-09,6.3023903231e-09
2019-11-12 04:29:58.996999,1.59662959302e-06,7.4727774319e-09,4.26498060792e-09,5.90766688692e-09
2019-11-12 04:44:58.996999,1.84262336308e-06,6.84875128232e-09,3.45411461498e-09,4.78695495411e-09
2019-11-12 04:59:58.996999,1.93979713002e-06,6.26104199117e-09,2.93042868733e-09,3.95915486865e-09
2019-11-12 05:14:58.996999,1.73560777478e-06,5.68759471823e-09,2.81583194622e-09,3.63567801608e-09
2019-11-12 05:29:58.996999,1.67675623705e-06,5.60693056536e-09,2.90454278902e-09,3.71978680761e-09
2019-11-12 05:44:58.996999,1.24914676891e-06,5.52738255804e-09,3.03723089977e-09,4.09166754994e-09
2019-11-12 05:59:58.996999,9.29310464692e-07,4.74752302993e-09,2.56889377141e-09,3.24850785118e-09
2019-11-12 06:14:58.996999,5.24224017749e-07,4.1545176405e-09,2.2253825869e-09,2.79640625349e-09
2019-11-12 06:29:58.996999,1.641797236e-06,5.55922448705e-09,3.10375622144e-09,3.80598537683e-09
2019-11-12 06:44:58.996999,1.62922743224e-06,6.46471797387e-09,4.05153666265e-09,4.90679668365e-09
2019-11-12 06:59:58.996999,6.94199053521e-07,5.07352255831e-09,2.80679621651e-09,3.50314716048e-09
2019-11-12 07:14:58.996999,4.66679615484e-07,6.23290005689e-09,3.26656421668e-09,4.75873932318e-09
2019-11-12 07:29:58.996999,4.67707416723e-07,6.25413975534e-09,3.55297943308e-09,4.85564069819e-09
2019-11-12 07:44:58.996999,4.82819376774e-07,6.02999316091e-09,3.75033123135e-09,4.71883322434e-09
2019-11-12 07:59:58.996999,5.14096527295e-07,4.59684164695e-09,2.34596505448e-09,3.05300855148e-09
2019-11-12 08:14:58.996999,5.87377833098e-07,5.34524418906e-09,2.91019967167e-09,4.07587703462e-09
2019-11-12 08:29:58.996999,8.9723822664e-07,6.2641918941e-09,3.47293311954e-09,4.71413265068e-09
2019-11-12 08:44:58.996999,1.99228426887e-06,7.38713684008e-09,3.42515842119e-09,4.65550782063e-09
2019-11-12 08:59:58.996999,1.98005697791e-06,7.59877141416e-09,3.93351651672e-09,5.33505341027e-09
2019-11-12 09:14:58.996999,1.45510398694e-06,7.35748462325e-09,3.85950713029e-09,5.23954984151e-09
2019-11-12 09:29:58.996999,1.52576754794e-06,1.07089180681e-08,3.81550411408e-09,4.47110109769e-09
2019-11-12 09:44:58.996999,1.38058345394e-06,1.12138636037e-08,4.29052878392e-09,5.64104183424e-09
2019-11-12 09:59:58.996999,1.59141952307e-06,8.12453927809e-09,4.28597402203e-09,6.4606573703e-09
2019-11-12 10:14:58.996999,1.76948733436e-06,7.96604727631e-09,4.03175632012e-09,5.92718626139e-09
2019-11-12 10:29:58.996999,1.79296061689e-06,7.10428157616e-09,2.38746117766e-09,2.89326159481e-09
2019-11-12 10:44:58.996999,1.56185997051e-06,6.27450616196e-09,2.64788099903e-09,3.16612791992e-09
2019-11-12 10:59:58.996999,1.15904371164e-06,5.39330574232e-09,2.92758951722e-09,3.74035224534e-09
2019-11-12 11:14:58.996999,8.74547173306e-07,5.35995776052e-09,2.92890346354e-09,3.8274744962e-09
2019-11-12 11:29:58.996999,1.09422551975e-06,6.27139889486e-09,3.89106267237e-09,4.83800370389e-09
2019-11-12 11:44:58.996999,1.43695711219e-06,6.46136701793e-09,3.90051162632e-09,4.97328508979e-09
2019-11-12 11:59:58.996999,1.69405307065e-06,7.84465569764e-09,4.96336554256e-09,6.01626073489e-09
2019-11-12 12:14:58.996999,1.45875461282e-06,8.95795223749e-09,6.1109970843e-09,7.34182086832e-09
2019-11-12 12:29:58.996999,1.20696526753e-06,8.1424851175e-09,4.80189559243e-09,6.74309346815e-09
2019-11-12 12:44:58.996999,1.68276998368e-06,7.70854562056e-09,4.09867401625e-09,5.66547637332e-09
2019-11-12 12:59:58.996999,1.96665742491e-06,6.71860694538e-09,3.3512084716e-09,4.34456061587e-09
2019-11-12 13:14:58.996999,2.15756839742e-06,6.90142941985e-09,3.37122527243e-09,4.32355788341e-09
2019-11-12 13:29:58.996999,2.20080875132e-06,6.71962543264e-09,3.14075022864e-09,4.05035902881e-09
2019-11-12 13:44:58.996999,2.27559876193e-06,6.97353966463e-09,3.08767292499e-09,4.05212909852e-09
2019-11-12 13:59:58.996999,1.96127443833e-06,7.22153183468e-09,3.13459034769e-09,3.93106603956e-09
2019-11-12 14:14:58.996999,1.04381617064e-06,7.22609965438e-09,3.86509085262e-09,5.19029408962e-09
2019-11-12 14:29:58.996999,6.7418151188e-07,6.62840980134e-09,3.6486314922e-09,5.0423028102e-09
2019-11-12 14:44:58.996999,6.34262394949e-07,6.59907321123e-09,3.92472578531e-09,4.70832541741e-09
2019-11-12 14:59:58.996999,6.56561498767e-07,6.59539578717e-09,3.63887235418e-09,4.40813931062e-09
2019-11-12 15:14:58.996999,7.13959156571e-07,5.61293280347e-09,2.75820493566e-09,3.35127682077e-09
2019-11-12 15:29:58.996999,4.59925583042e-07,4.65376528313e-09,2.71384718598e-09,3.29321209989e-09
2019-11-12 15:44:58.996999,2.5061327501e-07,4.37742894705e-09,2.71340872207e-09,3.37812158654e-09
2019-11-12 15:59:58.996999,2.65921960416e-07,4.31222047526e-09,2.25428259233e-09,3.0790668713e-09
