,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-06 05:28:34.638000,1.04632553653e-05,2.89980912023e-08,2.17770121541e-08,2.22887928523e-08
2019-11-06 05:43:34.638000,1.93409616752e-06,2.17434072599e-08,1.75680315468e-08,1.83655164463e-08
2019-11-06 05:58:34.638000,2.12752674067e-06,1.88467260042e-08,1.39340788517e-08,1.49326051741e-08
2019-11-06 06:13:34.638000,1.51670383066e-06,2.08069925047e-08,1.89197234214e-08,1.95268602607e-08
2019-11-06 06:28:34.638000,5.07648581008e-07,2.63043755275e-08,2.42200110107e-08,2.46386020332e-08
2019-11-06 06:43:34.638000,6.60307941741e-07,2.44172633685e-08,2.23348167998e-08,2.27612503424e-08
2019-11-06 06:58:34.638000,2.54618733717e-07,2.06589543243e-08,1.95620722628e-08,1.98496029649e-08
2019-11-06 07:13:34.638000,3.19178440274e-07,1.47675231787e-08,1.240570305e-08,1.30154534648e-08
2019-11-06 07:28:34.638000,3.68991999098e-07,2.78114251984e-08,2.26575127214e-08,2.3742352359e-08
2019-11-06 07:43:34.638000,3.7410585162e-07,3.34301575746e-08,2.67335206439e-08,2.83820960136e-08
2019-11-06 07:58:34.638000,3.4900890671e-07,2.02027556705e-08,1.51057901089e-08,1.63346877927e-08
2019-11-06 08:13:34.638000,2.93946686691e-07,2.33291106249e-08,2.13162331975e-08,2.17234600231e-08
2019-11-06 08:28:34.638000,2.64884736737e-07,2.53064409e-08,2.32918351042e-08,2.3803310619e-08
2019-11-06 08:43:34.638000,3.00032093556e-07,2.68270099958e-08,2.46104882019e-08,2.52588201114e-08
2019-11-06 08:58:34.638000,4.33616791248e-07,3.07684272656e-08,2.89298804827e-08,2.95445545987e-08
2019-11-06 09:13:34.638000,4.04440982769e-07,2.62423908354e-08,2.3220926566e-08,2.4057910823e-08
2019-11-06 09:28:34.638000,2.72087311066e-07,2.59141649009e-08,2.24762551835e-08,2.332414504e-08
2019-11-06 09:43:34.638000,2.83946535062e-07,2.38276102227e-08,2.0487186106e-08,2.13674413463e-08
2019-11-06 09:58:34.638000,3.41960886313e-07,2.70498406231e-08,2.33052702494e-08,2.42712692023e-08
2019-11-06 10:13:34.638000,1.28972073687e-05,4.21437035293e-08,2.70142508138e-08,2.74548403363e-08
2019-11-06 10:28:34.638000,1.3738612624e-05,3.84967134032e-08,2.63727101328e-08,2.68203772695e-08
2019-11-06 10:43:34.638000,4.04430846906e-07,2.11727631933e-08,1.97116166535e-08,2.04089328261e-08
2019-11-06 10:58:34.638000,4.03951972996e-07,3.10507418936e-08,2.94358075618e-08,3.00458225251e-08
2019-11-06 11:13:34.638000,3.34461233571e-07,2.64846588721e-08,2.51257292192e-08,2.5614838262e-08
2019-11-06 11:28:34.638000,5.33571334145e-07,1.83960768761e-08,1.67312365745e-08,1.74146555135e-08
2019-11-06 11:43:34.638000,6.38486568479e-07,1.98115012145e-08,1.77816882312e-08,1.85322574879e-08
2019-11-06 11:58:34.638000,4.42822851813e-07,9.44493294751e-09,7.61664603891e-09,8.3585221855e-09
2019-11-06 12:13:34.638000,4.94863383284e-07,1.38159654695e-08,1.25470712965e-08,1.30905962664e-08
2019-11-06 12:28:34.638000,4.25800315774e-07,1.47225770184e-08,1.37450732456e-08,1.41782286597e-08
2019-11-06 12:43:34.638000,2.69724366104e-07,9.40815919088e-09,8.66260973857e-09,9.08476010765e-09
2019-11-06 12:58:34.638000,2.71984349148e-07,1.05052755882e-08,9.79791675053e-09,1.0243204756e-08
2019-11-06 13:13:34.638000,2.78949313474e-07,7.96835167028e-09,7.31724595261e-09,7.61942080183e-09
2019-11-06 13:28:34.638000,2.79790142524e-07,8.90683566002e-09,8.347137262e-09,8.578267166e-09
2019-11-06 13:43:34.638000,2.69197742303e-07,6.50024983365e-09,5.95529718104e-09,6.17779848927e-09
2019-11-06 13:58:34.638000,2.83998324168e-07,4.07968162616e-09,3.58975792834e-09,3.77838503412e-09
2019-11-06 14:13:34.638000,2.891470646e-07,3.09954443343e-09,2.58524471606e-09,2.71209863855e-09
2019-11-06 14:28:34.638000,2.78437419272e-07,2.91271065739e-09,2.44515322406e-09,2.52789824533e-09
2019-11-06 14:43:34.638000,2.70443757987e-07,3.95043184404e-09,3.46005716359e-09,3.63714155922e-09
2019-11-06 14:58:34.638000,2.72017179809e-07,3.20613180083e-09,2.58978641016e-09,2.78381157099e-09
2019-11-06 15:13:34.638000,2.75335561337e-07,2.77737298248e-09,2.0026782483e-09,2.1468770366e-09
2019-11-06 15:28:34.638000,3.70295256085e-07,3.27872298758e-09,2.09762838338e-09,2.27089038491e-09
2019-11-06 15:43:34.638000,3.31957125151e-07,3.89700181388e-09,2.90240486041e-09,3.17445646555e-09
2019-11-06 15:58:34.638000,2.78965180733e-07,2.46039844211e-09,1.76424182678e-09,1.91571851668e-09
2019-11-06 16:13:34.638000,3.21102924088e-07,2.84574342381e-09,1.76262749606e-09,1.96836337383e-09
2019-11-06 16:28:34.638000,2.64462014503e-07,2.51708160606e-09,1.74091316398e-09,1.99140701818e-09
2019-11-06 16:43:34.638000,2.53745364781e-07,2.08398799678e-09,1.56914025313e-09,1.70317028542e-09
2019-11-06 16:58:34.638000,2.75683287942e-07,2.1695333328e-09,1.63504207704e-09,1.76759354094e-09
2019-11-06 17:13:34.638000,1.25725190553e-05,1.73087727936e-08,2.71598911116e-09,2.86444415121e-09
2019-11-06 17:28:34.638000,5.08769321465e-06,7.38753796373e-09,1.57383998398e-09,1.68230398527e-09
2019-11-06 17:43:34.638000,2.57071707177e-07,1.26070210683e-08,1.23642765215e-08,1.23785897919e-08
2019-11-06 17:58:34.638000,2.58127819559e-07,6.43653353408e-09,6.20876821425e-09,6.23461446186e-09
2019-11-06 18:13:34.638000,2.76564986551e-07,1.91453287836e-09,1.24626599716e-09,1.38799580022e-09
2019-11-06 18:28:34.638000,2.82035033309e-07,2.35498861665e-09,1.76595085783e-09,1.97011053615e-09
2019-11-06 18:43:34.638000,2.85782681011e-07,1.94155916667e-09,1.38026698227e-09,1.50235980764e-09
2019-11-06 18:58:34.638000,2.89067815129e-07,1.52862083983e-09,9.47495938404e-10,9.95780046182e-10
2019-11-06 19:13:34.638000,2.65172277424e-07,4.39713357683e-09,3.94404912515e-09,4.15387380699e-09
2019-11-06 19:28:34.638000,2.81019435283e-07,1.5218048278e-08,1.43432679085e-08,1.46245248415e-08
2019-11-06 19:43:34.638000,2.69017641147e-07,2.01851775972e-08,1.92003532716e-08,1.94281093607e-08
2019-11-06 19:58:34.638000,2.77923629017e-07,8.24260767861e-09,7.71339105233e-09,7.80581910161e-09
2019-11-06 20:13:34.638000,2.70975992548e-07,1.38026639936e-09,6.43218936909e-10,6.55160276774e-10
2019-11-06 20:28:34.638000,2.56380045329e-07,1.57582086542e-09,8.77440458606e-10,9.01964398943e-10
2019-11-06 20:43:34.638000,2.6927709952e-07,4.31506463532e-09,1.46475980218e-09,1.50629989391e-09
2019-11-06 20:58:34.638000,2.55390807035e-07,3.24003513796e-09,1.09846719119e-09,1.12800469482e-09
2019-11-06 21:13:34.638000,2.65633143361e-07,1.60927048007e-09,8.98828022909e-10,9.38002477493e-10
2019-11-06 21:28:34.638000,2.87599814016e-07,1.70139178643e-09,9.01336515957e-10,9.40668973655e-10
2019-11-06 21:43:34.638000,2.73641842309e-07,1.58335580109e-09,8.40834340786e-10,8.99175239647e-10
2019-11-06 21:58:34.638000,2.51232041465e-07,1.56949762019e-09,8.540648072e-10,8.79832531405e-10
2019-11-06 22:13:34.638000,2.62053706331e-07,1.80378412124e-09,1.15648764783e-09,1.18982017974e-09
2019-11-06 22:28:34.638000,2.7542426007e-07,2.65519578424e-09,2.19162626589e-09,2.26189033461e-09
2019-11-06 22:43:34.638000,2.80319478156e-07,3.90185909478e-09,3.49652365693e-09,3.67770203432e-09
2019-11-06 22:58:34.638000,2.78142250457e-07,6.97269665448e-09,6.50445725616e-09,6.76773202931e-09
2019-11-06 23:13:34.638000,2.72416691568e-07,1.44092257608e-08,1.37783438733e-08,1.42069389291e-08
2019-11-06 23:28:34.638000,2.8177175198e-07,9.48968005086e-09,9.04270439688e-09,9.2736660333e-09
2019-11-06 23:59:58.827999,2.56731956113e-07,8.68934689328e-09,8.07617922857e-09,8.51432462456e-09
2019-11-07 00:14:58.827999,2.68099553597e-07,1.49737946376e-08,1.4127818377e-08,1.4387254744e-08
2019-11-07 00:29:58.827999,2.66182301001e-07,1.66471763961e-08,1.55959052095e-08,1.57355047909e-08
2019-11-07 00:44:58.827999,2.61114218262e-07,7.87322412715e-09,6.99925400651e-09,7.14644636853e-09
2019-11-07 00:59:58.827999,2.67963912582e-07,5.91451860753e-09,4.78961528728e-09,4.99742434714e-09
2019-11-07 01:14:58.827999,2.89273856198e-07,1.26048426792e-08,1.16428595411e-08,1.1886044258e-08
