,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.997000,3.76992459055e-07,1.28043276962e-07,1.22255206153e-07,1.23780493306e-07
2019-10-31 23:44:58.997000,3.96843635613e-07,1.19802378346e-07,1.1308644436e-07,1.14726245236e-07
2019-10-31 23:59:58.997000,3.85141762388e-07,1.28475506531e-07,1.22505785825e-07,1.24178663696e-07
2019-11-01 00:14:58.997000,3.51989876234e-07,1.21185861823e-07,1.15925167513e-07,1.17513885742e-07
2019-11-01 00:29:58.997000,3.92229123025e-07,1.19023888937e-07,1.13537218139e-07,1.1517010281e-07
2019-11-01 00:44:58.997000,3.99478806896e-07,1.17874194054e-07,1.12741830766e-07,1.14294226102e-07
2019-11-01 00:59:58.997000,3.97968441996e-07,1.1801442665e-07,1.13391814839e-07,1.14738521232e-07
2019-11-01 01:14:58.997000,3.89406163891e-07,1.2204759631e-07,1.17127270457e-07,1.18490091695e-07
2019-11-01 01:29:58.997000,3.61531932247e-07,1.18097952858e-07,1.1265827555e-07,1.139510296e-07
2019-11-01 01:44:58.997000,3.64025328953e-07,1.18195131438e-07,1.13219383373e-07,1.14575067998e-07
2019-11-01 01:59:58.997000,3.46462265535e-07,1.17310456965e-07,1.12455488914e-07,1.13895193471e-07
2019-11-01 02:14:58.997000,3.60012893858e-07,1.1821159505e-07,1.13119391193e-07,1.14510014503e-07
2019-11-01 02:29:58.997000,3.70699001264e-07,1.17512138021e-07,1.11352215351e-07,1.12825158754e-07
2019-11-01 02:44:58.997000,3.87965719219e-07,1.15431979357e-07,1.09406039958e-07,1.10917906477e-07
2019-11-01 02:59:58.997000,3.92086243497e-07,1.04627674807e-07,9.87648556589e-08,1.00275946405e-07
2019-11-01 03:14:58.997000,3.67964537809e-07,1.02111032738e-07,9.61790836646e-08,9.76168745287e-08
2019-11-01 03:29:58.997000,3.65309398626e-07,1.01553068756e-07,9.60383805274e-08,9.74333601056e-08
2019-11-01 03:44:58.997000,3.47314754873e-07,1.00733112914e-07,9.52770677276e-08,9.67162167766e-08
