,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000999,1.29815474065e-06,2.17831407225e-09,2.59015869589e-10,3.06196161352e-10
2019-10-31 23:44:59.000999,1.30287296621e-06,2.15054331193e-09,2.32122819716e-10,2.79052475253e-10
2019-10-31 23:59:59.000999,1.35920526692e-06,2.11947089621e-09,2.23253415099e-10,2.65672491796e-10
2019-11-01 00:14:59.000999,1.36929685876e-06,2.14174015602e-09,2.17132466141e-10,2.58354685484e-10
2019-11-01 00:29:59.000999,1.33472945314e-06,2.1741469192e-09,2.11028774936e-10,2.53028092034e-10
2019-11-01 00:44:59.000999,1.30297948287e-06,2.22405702705e-09,2.08252129657e-10,2.44453855266e-10
2019-11-01 00:59:59.000999,1.32163234647e-06,2.17190377853e-09,2.05527928282e-10,2.42216457746e-10
2019-11-01 01:14:59.000999,1.32022476087e-06,2.2055839139e-09,1.9803129466e-10,2.30778698673e-10
2019-11-01 01:29:59.000999,1.32953254802e-06,2.33853193518e-09,1.97306179725e-10,2.30889870269e-10
2019-11-01 01:44:59.000999,1.26769067015e-06,2.52100978027e-09,1.95138095334e-10,2.27458595538e-10
2019-11-01 01:59:59.000999,1.27957543824e-06,2.72916165139e-09,1.95590542183e-10,2.26894163317e-10
2019-11-01 02:14:59.000999,1.35908164155e-06,2.8627286052e-09,1.94758195606e-10,2.28123309607e-10
2019-11-01 02:29:59.000999,1.30252325003e-06,2.80221888959e-09,2.00606019836e-10,2.32982751825e-10
2019-11-01 02:44:59.000999,1.33142072121e-06,2.93950759034e-09,2.2423260509e-10,2.52868932157e-10
2019-11-01 02:59:59.000999,1.32670668145e-06,2.98190088145e-09,2.04159933277e-10,2.34944094529e-10
2019-11-01 03:14:59.000999,1.34301308296e-06,2.99987469732e-09,1.95340244482e-10,2.27884704612e-10
2019-11-01 03:29:59.000999,1.3502242989e-06,3.11939978619e-09,1.9796116412e-10,2.29070953537e-10
2019-11-01 03:44:59.000999,1.38901981466e-06,3.41016609536e-09,1.98500676693e-10,2.30340119091e-10
2019-11-01 03:59:59.000999,1.35570793439e-06,3.37288578509e-09,1.97412342696e-10,2.32731620943e-10
2019-11-01 04:14:59.000999,1.32473464208e-06,3.15041978476e-09,1.94663625314e-10,2.29956239569e-10
2019-11-01 04:29:59.000999,1.31602471884e-06,3.12716675957e-09,1.94301579317e-10,2.30555464607e-10
2019-11-01 04:44:59.000999,1.35947512899e-06,3.20160512904e-09,1.93387959617e-10,2.2715515796e-10
2019-11-01 04:59:59.000999,3.50653712158e-05,4.2305412132e-08,4.33631896282e-09,4.36688144583e-09
2019-11-01 05:14:59.000999,3.50201892594e-05,4.22422052361e-08,4.33108007874e-09,4.36166667254e-09
2019-11-01 05:29:59.000999,1.33772695125e-06,2.88607956832e-09,2.06141565384e-10,2.43033001944e-10
2019-11-01 05:44:59.000999,1.39644899563e-06,2.77267187959e-09,2.23874064606e-10,2.71841778543e-10
2019-11-01 05:59:59.000999,1.41362937872e-06,2.68748048097e-09,2.23731394506e-10,2.7479076645e-10
2019-11-01 06:14:59.000999,1.34654163208e-06,2.61511989091e-09,2.39869294662e-10,2.99859162199e-10
2019-11-01 06:29:59.000999,1.40769483936e-06,2.55313191728e-09,2.85045250665e-10,3.51403267958e-10
2019-11-01 06:44:59.000999,1.35444911101e-06,2.52288864062e-09,3.10608424295e-10,3.7286229958e-10
