,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:57.144000,7.999040848363696e-07,3.457621449595162e-08,2.4831750030962373e-08,2.9403875303604044e-08
2019-11-30 23:44:57.144000,8.317354913570607e-07,3.272770331423066e-08,2.3817805332983772e-08,2.8243001705668327e-08
2019-11-30 23:59:57.144000,8.505812176976533e-07,3.370162855240297e-08,2.5527123665878977e-08,2.9738769480134907e-08
2019-12-01 00:14:57.144000,8.547272126958536e-07,3.10440187166557e-08,2.3781815453229732e-08,2.77828865560858e-08
2019-12-01 00:29:57.144000,8.688838458918164e-07,2.846071122781141e-08,2.1353946731865408e-08,2.5318068137373336e-08
2019-12-01 00:44:57.144000,8.161214386423815e-07,3.188831330028734e-08,2.3277187539587404e-08,2.8058473983964536e-08
2019-12-01 00:59:57.144000,8.097509485152608e-07,2.6813250744038777e-08,2.084766302952904e-08,2.5802285149891933e-08
2019-12-01 01:14:57.144000,8.367256106867564e-07,2.646041227700597e-08,2.1056969571989452e-08,2.5670683363137325e-08
2019-12-01 01:29:57.144000,8.324531016154174e-07,2.599209088208918e-08,2.091948392349408e-08,2.513103535493123e-08
2019-12-01 01:44:57.144000,8.520275723874863e-07,2.199264593247839e-08,1.8135078785835186e-08,2.180738263065744e-08
2019-12-01 01:59:57.144000,8.177042903875343e-07,2.2289288339288928e-08,1.6934894627182183e-08,2.022885640525489e-08
2019-12-01 02:14:57.144000,8.124523610305829e-07,2.2319375580804404e-08,1.6586608319629493e-08,1.983944693397363e-08
2019-12-01 02:29:57.144000,8.071415828018423e-07,2.0801380615631342e-08,1.6103488104338536e-08,1.9093215989267246e-08
2019-12-01 02:44:57.144000,7.878721478373409e-07,2.1292638615961192e-08,1.6190530800005693e-08,1.9517691120454584e-08
2019-12-01 02:59:57.144000,1.7527114361482267e-06,2.897676191445833e-08,1.6227288610086078e-08,1.9802452696941948e-08
2019-12-01 03:14:57.144000,1.8366327751310774e-06,2.7589304545162608e-08,1.3818694701003836e-08,1.7059902140566074e-08
2019-12-01 03:29:57.144000,7.612433131330596e-07,1.846640285700988e-08,1.380788220000735e-08,1.6623902983799717e-08
2019-12-01 03:44:57.144000,7.735577833708756e-07,2.045683268211219e-08,1.4296398172771149e-08,1.7407216260329264e-08
2019-12-01 03:59:57.144000,7.912848857482931e-07,1.9159830355317036e-08,1.3781960122881658e-08,1.6442554806889545e-08
2019-12-01 04:14:57.144000,7.751291268317471e-07,1.4987323177515644e-08,1.1337178065263991e-08,1.3085145141506862e-08
2019-12-01 04:29:57.144000,7.538742313588772e-07,1.248811184185636e-08,9.946062683953405e-09,1.1990732431171633e-08
