,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.997999,4.07130191582e-07,9.30546441286e-08,8.22201301564e-08,9.25176670526e-08
2019-10-31 23:44:58.997999,3.8477098587e-07,9.23650710296e-08,8.14325403978e-08,9.1755297435e-08
2019-10-31 23:59:58.997999,3.778015836e-07,9.85407847219e-08,8.79023746022e-08,9.78349901678e-08
2019-11-01 00:14:58.997999,4.03395553681e-07,9.52377453423e-08,8.40654337891e-08,9.40384021021e-08
2019-11-01 00:29:58.997999,4.76452753137e-07,8.99200975471e-08,7.72722960859e-08,8.69852313153e-08
2019-11-01 00:44:58.997999,4.38125372953e-07,8.43573077808e-08,7.31630251832e-08,8.21098223895e-08
2019-11-01 00:59:58.997999,4.41780502404e-07,8.44523070447e-08,7.30380779195e-08,8.33212321503e-08
2019-11-01 01:14:58.997999,4.82387102612e-07,8.32546673155e-08,7.09075599529e-08,8.14379575993e-08
2019-11-01 01:29:58.997999,5.0482598453e-07,7.37579538456e-08,6.13046917722e-08,7.05696492573e-08
2019-11-01 01:44:58.997999,5.99800454667e-07,7.83294624168e-08,6.38374218524e-08,7.2816384834e-08
2019-11-01 01:59:58.997999,4.48507760954e-07,7.45812641876e-08,6.47531743375e-08,7.30870957792e-08
2019-11-01 02:14:58.997999,4.69773196518e-07,7.24968284349e-08,6.24122187223e-08,7.09733922554e-08
2019-11-01 02:29:58.997999,4.25831103551e-07,7.2694393864e-08,6.35083704122e-08,7.16707861062e-08
2019-11-01 02:44:58.997999,3.92624617412e-07,6.80606746074e-08,5.8547019574e-08,6.60602132403e-08
2019-11-01 02:59:58.997999,1.09659350835e-05,6.65730409639e-08,5.53942088313e-08,6.32379798619e-08
2019-11-01 03:14:58.997999,1.32388169429e-05,7.45458257097e-08,5.89165605771e-08,6.6579080782e-08
2019-11-01 03:29:58.997999,3.88496514322e-07,7.68957208554e-08,6.16270138006e-08,6.91728835361e-08
2019-11-01 03:44:58.997999,4.07305331492e-07,7.44298802816e-08,6.41850025216e-08,7.23327932408e-08
2019-11-01 03:59:58.997999,4.13742175049e-07,7.42756995512e-08,6.45105266385e-08,7.30900837817e-08
2019-11-01 04:14:58.997999,4.27688465377e-07,6.04925640193e-08,5.20017874634e-08,5.97354111729e-08
2019-11-01 04:29:58.997999,3.72974647897e-07,6.0912347264e-08,5.34326241644e-08,6.02510101687e-08
2019-11-01 04:44:58.997999,3.73231189994e-07,6.28032806398e-08,5.51085296537e-08,6.16103771627e-08
2019-11-01 04:59:58.997999,1.44418029056e-05,7.2102528091e-08,5.57072196638e-08,6.23342824806e-08
2019-11-01 05:14:58.997999,1.44211709266e-05,6.29285344114e-08,4.94791671698e-08,5.54115634057e-08
2019-11-01 05:29:58.997999,3.70543709721e-07,5.48251677638e-08,4.87128403143e-08,5.41345136427e-08
2019-11-01 05:44:58.997999,3.44180019561e-07,5.10901347745e-08,4.46960730528e-08,4.96045462622e-08
2019-11-01 05:59:58.997999,3.58504038943e-07,4.64231645583e-08,3.97950144072e-08,4.43213868942e-08
2019-11-01 06:14:58.997999,3.75462653529e-07,5.04575799697e-08,4.45659498459e-08,4.92300418721e-08
2019-11-01 06:29:58.997999,3.61501970214e-07,3.76119016067e-08,3.17234240556e-08,3.62351568516e-08
2019-11-01 06:44:58.997999,3.82447190639e-07,4.48940446454e-08,3.88360196253e-08,4.39073316998e-08
2019-11-01 06:59:58.997999,3.79108048177e-07,6.34386585836e-08,5.38850494296e-08,6.0139911234e-08
2019-11-01 07:14:58.997999,3.73989849177e-07,5.95702716753e-08,5.06097771042e-08,5.65198549756e-08
2019-11-01 07:29:58.997999,3.69017062917e-07,3.71459091816e-08,3.19559739361e-08,3.60602402165e-08
2019-11-01 07:44:58.997999,4.11789083505e-07,3.8781209139e-08,2.87473151738e-08,3.22357062402e-08
2019-11-01 07:59:58.997999,3.9400696645e-07,3.52169670181e-08,2.68705837389e-08,2.99786913429e-08
2019-11-01 08:14:58.997999,3.81869289324e-07,2.93545954423e-08,2.55356964837e-08,2.8613996563e-08
2019-11-01 08:29:58.997999,4.38774786322e-07,2.34491415066e-08,1.94101748133e-08,2.26096033618e-08
2019-11-01 08:44:58.997999,4.82030725846e-07,2.16281811201e-08,1.73164453158e-08,2.08144867082e-08
2019-11-01 08:59:58.997999,5.06667249958e-07,1.98251606047e-08,1.5975953387e-08,1.90056179915e-08
2019-11-01 09:14:58.997999,4.76004674082e-07,2.17463647533e-08,1.7963872083e-08,2.07951277215e-08
