,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:57.687998,2.97715339899907e-07,1.5966874437031843e-08,1.4951663778034092e-08,1.504275426571575e-08
2019-11-30 23:44:57.687998,3.217271208273529e-07,2.179651680833955e-08,2.0358512674164634e-08,2.0450712234883785e-08
2019-11-30 23:59:57.687998,2.789085799624353e-07,1.8639110113158057e-08,1.7360215289073333e-08,1.744521324325837e-08
2019-12-01 00:14:57.687998,2.6741659910443084e-07,1.3065833184361144e-08,1.2232317087057325e-08,1.231337170203064e-08
2019-12-01 00:29:57.687998,2.761937615287819e-07,1.386190926265085e-08,1.305652101270658e-08,1.3153960906859919e-08
2019-12-01 00:44:57.687998,2.608620692405176e-07,1.4973778976759108e-08,1.4031782600863965e-08,1.4151617809370857e-08
2019-12-01 00:59:57.687998,2.5700756078577064e-07,1.5512629709372602e-08,1.4635973320047633e-08,1.4754143546843606e-08
2019-12-01 01:14:57.687998,2.919972791421583e-07,1.504737711726902e-08,1.4251319468795567e-08,1.4398377367744463e-08
2019-12-01 01:29:57.687998,2.997035728755066e-07,1.270906624388836e-08,1.1966294000190345e-08,1.2124195507766214e-08
2019-12-01 01:44:57.687998,3.0708909610471067e-07,1.2453570307358292e-08,1.160561654670139e-08,1.1709475768915852e-08
2019-12-01 01:59:57.687998,2.8447424208101917e-07,1.2710902248485786e-08,1.1931202275914877e-08,1.2153288242927789e-08
2019-12-01 02:14:57.687998,3.09336459751992e-07,1.5570043473516048e-08,1.474961182450269e-08,1.502131539643749e-08
2019-12-01 02:29:57.687998,3.4900317268797263e-07,1.4483959448554722e-08,1.3716947986126856e-08,1.3885553245492236e-08
2019-12-01 02:44:57.687998,3.1370135889075384e-07,1.205407028146761e-08,1.097697021496042e-08,1.1031641897437394e-08
2019-12-01 02:59:57.687998,2.789864896085042e-07,9.446758414946144e-09,8.703759233779824e-09,8.745384185263286e-09
2019-12-01 03:14:57.687998,2.5649683082555573e-07,9.457795563991535e-09,8.855402160747641e-09,8.904028306857404e-09
2019-12-01 03:29:57.687998,2.5850689817122996e-07,1.0313709254449803e-08,9.726540706716133e-09,9.838729443852566e-09
2019-12-01 03:44:57.687998,2.550985910537861e-07,9.577390186648826e-09,8.882062697060721e-09,9.074122996550247e-09
2019-12-01 03:59:57.687998,2.4067506315457096e-07,8.654942268170166e-09,8.103177008482638e-09,8.20375181430983e-09
2019-12-01 04:14:57.687998,2.485821880831515e-07,8.132023893308703e-09,7.649195626989726e-09,7.699736289252326e-09
2019-12-01 04:29:57.687998,2.5153852902491055e-07,7.243938565845719e-09,6.84057588997298e-09,6.876891842469893e-09
2019-12-01 04:44:57.687998,2.5016929448794074e-07,5.918828492179721e-09,5.428861329328171e-09,5.4556031174855834e-09
2019-12-01 04:59:57.687998,2.3856640357078154e-07,6.766163855353412e-09,6.295034131909771e-09,6.343328588646038e-09
2019-12-01 05:14:57.687998,2.2290549055738225e-07,7.036625133198731e-09,6.643254657471971e-09,6.687567276338213e-09
2019-12-01 05:29:57.687998,2.1572587256069785e-07,5.8911605177743514e-09,5.433275008276888e-09,5.4843721469929255e-09
2019-12-01 05:44:57.687998,2.4205458016396484e-07,4.8600741903687844e-09,4.338324032542351e-09,4.380024444014307e-09
2019-12-01 05:59:57.687998,2.5349882465898206e-07,5.829591816788511e-09,5.31045200280888e-09,5.346781805272329e-09
2019-12-01 06:14:57.687998,2.3903526619602633e-07,4.813726783759969e-09,4.293263311258059e-09,4.324217522580319e-09
2019-12-01 06:29:57.687998,2.1802551128734068e-07,5.191165397754035e-09,4.586932389655685e-09,4.695130682326878e-09
2019-12-01 06:44:57.687998,2.1839953136970652e-07,4.164274202153046e-09,3.5880535643159066e-09,3.6893948744295793e-09
2019-12-01 06:59:57.687998,2.192451197741704e-07,6.354644179012097e-09,5.915633124639725e-09,5.988087456432079e-09
