,1.0-20.0,4.0-14.0,4.0-40.0
2019-12-24 10:55:18.299000,5.1972404484e-08,1.87633884833e-08,1.92679859977e-08
2019-12-24 11:10:18.299000,5.1783436951e-08,1.74851044959e-08,1.81192262095e-08
2019-12-24 11:25:18.299000,5.43142686585e-08,1.91839279457e-08,1.98343596097e-08
2019-12-24 11:40:18.299000,5.59535066655e-08,1.96113067651e-08,2.04347935216e-08
2019-12-24 11:55:18.299000,5.82011767303e-08,1.90635500524e-08,2.00475092099e-08
2019-12-24 12:10:18.299000,5.68717091535e-08,1.71883611551e-08,1.80067085004e-08
2019-12-24 12:25:18.299000,5.54345877832e-08,1.78931028799e-08,1.84080937152e-08
2019-12-24 12:40:18.299000,5.41460171997e-08,1.99590563246e-08,2.04508670171e-08
2019-12-24 12:55:18.299000,5.36224427504e-08,1.86531691534e-08,1.91844419437e-08
2019-12-24 13:10:18.299000,5.51435990377e-08,1.70277737474e-08,1.77187610419e-08
2019-12-24 13:25:18.299000,5.74870150659e-08,1.92159113462e-08,1.98616297148e-08
2019-12-24 13:40:18.299000,5.3272256782e-08,1.97265347213e-08,2.01191226993e-08
2019-12-24 13:55:18.299000,5.04578191048e-08,1.37638101473e-08,1.43213552669e-08
2019-12-24 14:10:18.299000,5.11385191998e-08,1.38051791126e-08,1.43172798265e-08
2019-12-24 14:25:18.299000,4.96184508084e-08,1.53166958056e-08,1.57352281757e-08
2019-12-24 14:40:18.299000,6.65851465458e-08,1.71482915614e-08,1.78127717802e-08
2019-12-24 14:55:18.299000,7.68057614993e-08,1.5593770296e-08,1.64149579634e-08
2019-12-24 15:10:18.299000,5.08935558446e-08,1.6751883163e-08,1.77916690167e-08
2019-12-24 15:25:18.299000,4.67789256886e-08,1.55532013292e-08,1.60275396634e-08
2019-12-24 15:40:18.299000,4.60132139591e-08,9.21017853421e-09,9.62051737666e-09
2019-12-24 15:55:18.299000,5.24514440553e-08,1.46351154912e-08,1.53962345536e-08
2019-12-24 16:10:18.299000,4.89896501087e-08,1.07445586463e-08,1.09795730488e-08
