,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.999999,8.1800621244e-07,4.92612413731e-07,3.91456210514e-07,3.97145065096e-07
2019-10-31 23:44:58.999999,8.27425344839e-07,5.0755478836e-07,3.96676522095e-07,4.02891275529e-07
2019-10-31 23:59:58.999999,9.8080954749e-07,5.36369639551e-07,4.42061975218e-07,4.50417725956e-07
2019-11-01 00:14:58.999999,2.11669192523e-05,6.11089626545e-07,4.95745094969e-07,5.04410108409e-07
2019-11-01 00:29:58.999999,9.74227972262e-06,5.6207044326e-07,4.30859250205e-07,4.37976420664e-07
2019-11-01 00:44:58.999999,8.09899080015e-07,6.72919387622e-07,5.65958725576e-07,5.73808587897e-07
2019-11-01 00:59:58.999999,7.94834250604e-07,7.53688781197e-07,6.47318489529e-07,6.55338709221e-07
2019-11-01 01:14:58.999999,1.30608351473e-06,8.68281114676e-07,7.39415651294e-07,7.47947492577e-07
2019-11-01 01:29:58.999999,1.32985155745e-05,7.64641528458e-07,6.3105835104e-07,6.39175928997e-07
2019-11-01 01:44:58.999999,1.32760404181e-05,6.12244356339e-07,4.74682687365e-07,4.84097746386e-07
2019-11-01 01:59:58.999999,7.97095290737e-07,5.9929882032e-07,4.72481255223e-07,4.80104906115e-07
2019-11-01 02:14:58.999999,2.08918736173e-06,5.86347118047e-07,4.74560127378e-07,4.80783014184e-07
2019-11-01 02:29:58.999999,2.09514886549e-06,5.93797963303e-07,4.6351764268e-07,4.68916121966e-07
2019-11-01 02:44:58.999999,8.32439499886e-07,8.16532110989e-07,7.21414600606e-07,7.2515836572e-07
2019-11-01 02:59:58.999999,8.27022763421e-07,8.03426119936e-07,7.1255013989e-07,7.17058633212e-07
2019-11-01 03:14:58.999999,8.93916343193e-07,6.07126243485e-07,4.84239520663e-07,4.91814040963e-07
2019-11-01 03:29:58.999999,1.07501342214e-06,6.33052049902e-07,5.03336153304e-07,5.11224918637e-07
2019-11-01 03:44:58.999999,2.87651107823e-06,7.87256982253e-07,6.83564907284e-07,6.92834004434e-07
2019-11-01 03:59:58.999999,2.87634368841e-06,7.66616758432e-07,6.57731334122e-07,6.64380921891e-07
2019-11-01 04:14:58.999999,8.17344213244e-07,4.90798611661e-07,3.73268490346e-07,3.78479266679e-07
2019-11-01 04:29:58.999999,8.06333992164e-07,4.53541359606e-07,3.41329735621e-07,3.45074782874e-07
2019-11-01 04:44:58.999999,7.94347511156e-07,5.99093670696e-07,4.84791848867e-07,4.93424148474e-07
2019-11-01 04:59:58.999999,3.22315931805e-05,7.14225585696e-07,6.04403175436e-07,6.13507151233e-07
2019-11-01 05:14:58.999999,3.29833797183e-05,7.3955878635e-07,6.24098205985e-07,6.30498824425e-07
2019-11-01 05:29:58.999999,7.28271109514e-06,7.42569146953e-07,6.2888348367e-07,6.3672521887e-07
2019-11-01 05:44:58.999999,7.77159702141e-07,6.61438796675e-07,5.78668862627e-07,5.85577931638e-07
2019-11-01 05:59:58.999999,7.91980600379e-07,8.00144719914e-07,7.21169469695e-07,7.25966650371e-07
2019-11-01 06:14:58.999999,9.6460548999e-07,7.85025800236e-07,7.01641347589e-07,7.05751235385e-07
2019-11-01 06:29:58.999999,2.39276798413e-05,1.36790603045e-06,7.37598831516e-07,7.87895190487e-07
2019-11-01 06:44:58.999999,2.12904157079e-05,1.55244048133e-06,8.3182770271e-07,8.93798759301e-07
2019-11-01 06:59:58.999999,1.08069505505e-05,9.23957059195e-07,7.04931029189e-07,7.24232902201e-07
2019-11-01 07:14:58.999999,2.23781688935e-06,6.70606496978e-07,5.62079684494e-07,5.75279864283e-07
2019-11-01 07:29:58.999999,7.58949136447e-07,5.83275969666e-07,4.73930281249e-07,4.82481620497e-07
2019-11-01 07:44:58.999999,7.75127624683e-07,4.9790222964e-07,3.81118404264e-07,3.89345559555e-07
2019-11-01 07:59:58.999999,8.08922316365e-07,5.31480430302e-07,4.21529324511e-07,4.30585461605e-07
2019-11-01 08:14:58.999999,6.57976270624e-06,5.92028458712e-07,4.58424236382e-07,4.73045511858e-07
2019-11-01 08:29:58.999999,6.64469303754e-06,7.89898205584e-07,6.61333785536e-07,6.77020833368e-07
2019-11-01 08:44:58.999999,5.43746928567e-06,8.61531792932e-07,7.47040485238e-07,7.63524525709e-07
2019-11-01 08:59:58.999999,7.442204471e-06,8.10502391862e-07,6.59701993011e-07,6.81842470948e-07
2019-11-01 09:14:58.999999,1.59616428316e-05,1.68775347514e-06,9.30771985336e-07,1.05544005741e-06
2019-11-01 09:29:58.999999,2.7764548069e-05,1.02868837976e-06,5.45515941246e-07,5.87656410195e-07
2019-11-01 09:44:58.999999,3.60960024674e-05,3.33680459844e-07,2.6661769161e-07,2.73966665465e-07
2019-11-01 09:59:58.999999,8.41285680419e-07,3.47358762279e-07,2.7863626803e-07,2.877183835e-07
2019-11-01 10:14:58.999999,8.52105957783e-07,4.0640527224e-07,3.3974544825e-07,3.48578980531e-07
2019-11-01 10:29:58.999999,8.72611772753e-07,3.79074025616e-07,3.15238079205e-07,3.20457087906e-07
2019-11-01 10:44:58.999999,8.7212316004e-07,3.69367901224e-07,3.04499525673e-07,3.07377166396e-07
2019-11-01 10:59:58.999999,8.5059535294e-07,3.40789637142e-07,2.72724875285e-07,2.74941220805e-07
2019-11-01 11:14:58.999999,8.30923763715e-07,3.39633477347e-07,2.813566383e-07,2.83225707022e-07
2019-11-01 11:29:58.999999,8.6435908573e-07,2.75900583412e-07,1.9896041553e-07,2.00914692305e-07
2019-11-01 11:44:58.999999,8.54373672202e-07,2.46103185736e-07,1.57593511919e-07,1.59251138834e-07
2019-11-01 11:59:58.999999,8.41163395006e-07,2.26974811563e-07,1.47205825208e-07,1.48629707017e-07
2019-11-01 12:14:58.999999,8.45081682159e-07,2.78583112629e-07,1.97942438728e-07,1.99264881809e-07
2019-11-01 12:29:58.999999,8.70585492403e-07,2.68478524559e-07,1.83666182181e-07,1.85031627287e-07
2019-11-01 12:44:58.999999,8.3705715686e-07,2.31864939174e-07,1.420719885e-07,1.43613141267e-07
2019-11-01 12:59:58.999999,8.38465442196e-07,2.41688978415e-07,1.62969261699e-07,1.64299609991e-07
2019-11-01 13:14:58.999999,8.5243540719e-07,2.50697087605e-07,1.69235852926e-07,1.70305017278e-07
2019-11-01 13:29:58.999999,8.4364854055e-07,2.40550701967e-07,1.53723656071e-07,1.5508303435e-07
2019-11-01 13:44:58.999999,8.08036890102e-07,2.79797937961e-07,1.97483162861e-07,1.99221600491e-07
2019-11-01 13:59:58.999999,8.01971803782e-07,3.36014113813e-07,2.43001994998e-07,2.46626569459e-07
2019-11-01 14:14:58.999999,8.13631326537e-07,3.27419823309e-07,2.30065808023e-07,2.34601001891e-07
2019-11-01 14:29:58.999999,8.05172568254e-07,3.20163320118e-07,2.43198427069e-07,2.45099087456e-07
2019-11-01 14:44:58.999999,8.13681226909e-07,3.52866792216e-07,2.83418765719e-07,2.86152590488e-07
2019-11-01 14:59:58.999999,7.93303238504e-07,2.69441884657e-07,1.87974720885e-07,1.90115734234e-07
2019-11-01 15:14:58.999999,7.60826906066e-07,2.0588652549e-07,1.13040433558e-07,1.14371894273e-07
2019-11-01 15:29:58.999999,7.82503998107e-07,1.71719540408e-07,9.44364929713e-08,9.54245828645e-08
2019-11-01 15:44:58.999999,7.74955391884e-07,1.70837635913e-07,8.59773884109e-08,8.68741967038e-08
2019-11-01 15:59:58.999999,7.2845547609e-07,1.50874313723e-07,8.46709399875e-08,8.58351394892e-08
2019-11-01 16:14:58.999999,6.91381255397e-07,1.54172522301e-07,8.82420707747e-08,8.92632952709e-08
2019-11-01 16:29:58.999999,6.87544048153e-07,1.76247433742e-07,8.8323881113e-08,8.92254601546e-08
2019-11-01 16:44:58.999999,7.13040957481e-07,1.75739360409e-07,8.26590158838e-08,8.34423029739e-08
2019-11-01 16:59:58.999999,6.99647181322e-07,2.06424060141e-07,8.21290738726e-08,8.29347617426e-08
2019-11-01 17:14:58.999999,7.0061213989e-07,1.68622166379e-07,8.13953724395e-08,8.22018904185e-08
2019-11-01 17:29:58.999999,7.11232804218e-07,1.58083752288e-07,8.06399817363e-08,8.15465571e-08
2019-11-01 17:44:58.999999,7.10883082496e-07,1.68174497657e-07,8.49444645694e-08,8.58282398073e-08
2019-11-01 17:59:58.999999,6.97718744908e-07,1.7398771755e-07,8.7667342703e-08,8.87559528286e-08
2019-11-01 18:14:58.999999,6.75865139221e-07,1.63144811838e-07,7.62869188206e-08,7.75684409041e-08
2019-11-01 18:29:58.999999,7.00207862705e-07,1.60248256418e-07,8.30526949027e-08,8.40273684626e-08
2019-11-01 18:44:58.999999,6.71328696904e-07,1.50357596309e-07,8.39857347704e-08,8.49054740713e-08
2019-11-01 18:59:58.999999,6.62537024767e-07,1.50208103335e-07,8.44116125277e-08,8.536161389e-08
2019-11-01 19:14:58.999999,6.58335413175e-07,1.56422673692e-07,8.35188030268e-08,8.4484255103e-08
2019-11-01 19:29:58.999999,6.47860586386e-07,1.44613643823e-07,7.95334099726e-08,8.03822731924e-08
