,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.996999,2.15060765667e-07,5.00120772614e-08,4.24329122258e-08,4.59152659105e-08
2019-10-31 23:44:58.996999,2.20489602622e-05,4.72959345987e-08,2.83595165562e-08,3.10716466194e-08
2019-10-31 23:59:58.996999,2.21429217819e-05,4.41114302002e-08,2.19928704544e-08,2.71904413819e-08
2019-11-01 00:14:58.996999,2.35731672672e-07,6.3431113336e-08,4.81908898493e-08,5.25131016234e-08
2019-11-01 00:29:58.996999,2.31659960871e-07,7.48996754732e-08,6.08154694751e-08,6.44714264388e-08
2019-11-01 00:44:58.996999,2.15969923151e-07,5.83367352835e-08,4.64464251738e-08,4.93328533912e-08
2019-11-01 00:59:58.996999,2.27613426993e-07,6.45992528116e-08,4.76326923458e-08,5.01047394846e-08
2019-11-01 01:14:58.996999,2.15147840707e-07,5.91516475089e-08,4.27641802556e-08,4.47909092437e-08
2019-11-01 01:29:58.996999,2.21180497692e-07,5.1870707258e-08,3.62305519963e-08,3.81563840629e-08
2019-11-01 01:44:58.996999,2.23489348083e-07,5.18933715017e-08,3.48573234939e-08,3.66473358942e-08
2019-11-01 01:59:58.996999,2.22408866203e-07,4.0431668783e-08,2.99357844939e-08,3.23096119859e-08
2019-11-01 02:14:58.996999,2.58607508183e-07,7.68147712575e-08,4.99075055197e-08,5.29326933805e-08
2019-11-01 02:29:58.996999,2.91508099247e-07,8.46521125251e-08,5.76789181733e-08,6.12855835356e-08
2019-11-01 02:44:58.996999,2.45834144721e-07,7.58540499239e-08,6.51458633013e-08,6.90467707757e-08
2019-11-01 02:59:58.996999,2.16436777739e-07,6.11835480882e-08,5.02577833342e-08,5.51410659269e-08
2019-11-01 03:14:58.996999,2.23832780007e-07,6.35328479996e-08,5.39590722342e-08,5.74621273267e-08
2019-11-01 03:29:58.996999,2.26924462121e-07,4.76925624405e-08,3.73932681199e-08,3.87177485698e-08
2019-11-01 03:44:58.996999,2.34131159396e-07,4.50981428727e-08,3.41466416677e-08,3.5495170086e-08
2019-11-01 03:59:58.996999,2.28746850939e-07,4.40626181327e-08,3.37387827924e-08,3.54909677549e-08
2019-11-01 04:14:58.996999,2.23478260487e-07,4.27409905851e-08,3.42205612416e-08,3.61545124602e-08
2019-11-01 04:29:58.996999,2.43297604374e-07,4.55165432645e-08,3.60676509386e-08,3.74767954715e-08
2019-11-01 04:44:58.996999,2.27533177965e-07,5.48836948259e-08,4.31668403368e-08,4.44799183257e-08
2019-11-01 04:59:58.996999,2.20710851861e-05,7.95949265167e-08,5.30421687975e-08,5.47622039669e-08
2019-11-01 05:14:58.996999,4.00250775328e-05,7.62721204467e-08,4.57479757404e-08,4.79122122638e-08
2019-11-01 05:29:58.996999,3.33093156641e-05,5.7384054326e-08,3.98529316707e-08,4.11759198192e-08
2019-11-01 05:44:58.996999,2.26897583534e-07,6.96987096052e-08,5.54602732419e-08,5.70338468644e-08
2019-11-01 05:59:58.996999,2.4302528917e-07,7.47881071328e-08,6.10734725061e-08,6.41099446486e-08
2019-11-01 06:14:58.996999,2.52791959559e-07,5.96970362974e-08,4.39363798082e-08,4.61492629394e-08
2019-11-01 06:29:58.996999,2.31598209943e-07,6.44236326581e-08,4.77642921119e-08,4.99661775279e-08
2019-11-01 06:44:58.996999,2.25796506365e-07,4.55241864277e-08,3.75310736287e-08,4.00055994872e-08
2019-11-01 06:59:58.996999,2.20248069325e-07,4.7514710304e-08,3.77587486841e-08,3.95059835376e-08
2019-11-01 07:14:58.996999,2.28782547484e-07,6.26411864593e-08,5.50009586293e-08,5.76224056735e-08
2019-11-01 07:29:58.996999,2.4787521655e-07,9.02763753875e-08,7.96961354118e-08,8.39382851769e-08
2019-11-01 07:44:58.996999,2.1969845183e-07,7.14407700045e-08,6.160761809e-08,6.46493053311e-08
2019-11-01 07:59:58.996999,2.33203081186e-07,6.62763382801e-08,5.47031474531e-08,5.72874043775e-08
2019-11-01 08:14:58.996999,2.35802081226e-07,6.5278770443e-08,5.60549688702e-08,5.97655493927e-08
2019-11-01 08:29:58.996999,2.39063448623e-07,5.96134109647e-08,5.24662142911e-08,5.68181073308e-08
2019-11-01 08:44:58.996999,2.39526271768e-07,7.0704782745e-08,6.0377143909e-08,6.40134114926e-08
2019-11-01 08:59:58.996999,2.35355686613e-07,5.93036884275e-08,5.01451092844e-08,5.29726892155e-08
2019-11-01 09:14:58.996999,2.42283136485e-07,5.01335441993e-08,4.40757898334e-08,4.77895293517e-08
2019-11-01 09:29:58.996999,2.26321861333e-05,1.07723834203e-07,5.54112531294e-08,6.04836068829e-08
2019-11-01 09:44:58.996999,3.91111112023e-05,1.2677283146e-07,3.40830900791e-08,3.68219412192e-08
2019-11-01 09:59:58.996999,2.45797445431e-07,3.29093829859e-08,2.76744048493e-08,2.96806528556e-08
2019-11-01 10:14:58.996999,2.42576174136e-07,4.82128314247e-08,4.1851504667e-08,4.48300119394e-08
2019-11-01 10:29:58.996999,2.36602949214e-07,4.50179262063e-08,3.7935051802e-08,4.12401756269e-08
2019-11-01 10:44:58.996999,2.38695832029e-07,3.11180801883e-08,2.73050201432e-08,2.91155977814e-08
2019-11-01 10:59:58.996999,2.29444504044e-07,3.45630726745e-08,3.03830187299e-08,3.26397871159e-08
2019-11-01 11:14:58.996999,2.44946003163e-07,5.38287087109e-08,4.63447396127e-08,5.08313705939e-08
2019-11-01 11:29:58.996999,2.41628440395e-07,4.70646290451e-08,4.10799146046e-08,4.47028485822e-08
2019-11-01 11:44:58.996999,2.31377033821e-07,3.53585015825e-08,3.05043224376e-08,3.26463445609e-08
2019-11-01 11:59:58.996999,2.35083007847e-07,7.73106519826e-08,4.1805512251e-08,4.3171675204e-08
2019-11-01 12:14:58.996999,2.18763119339e-07,4.11192646274e-08,3.57984729182e-08,3.84947183976e-08
2019-11-01 12:29:58.996999,2.18318588528e-07,3.19181121056e-08,2.81878200444e-08,3.00153795341e-08
2019-11-01 12:44:58.996999,2.46885261324e-07,6.13654698641e-08,5.38959437089e-08,5.82180495849e-08
2019-11-01 12:59:58.996999,2.40810288621e-07,4.64052493781e-08,4.03609326902e-08,4.34534336505e-08
2019-11-01 13:14:58.996999,2.37810556926e-07,3.73678324307e-08,3.28973066357e-08,3.52395251197e-08
2019-11-01 13:29:58.996999,2.3419622039e-07,2.4843781975e-08,2.12913922728e-08,2.28347705594e-08
2019-11-01 13:44:58.996999,2.40963386788e-07,1.10798989484e-08,7.01058998225e-09,7.31883278998e-09
2019-11-01 13:59:58.996999,2.3850278872e-07,1.28212508029e-08,8.18639961093e-09,8.8216264727e-09
2019-11-01 14:14:58.996999,2.41140257298e-05,3.46885124258e-08,7.47490690776e-09,7.83673139429e-09
2019-11-01 14:29:58.996999,2.1643911624e-05,3.01895697772e-08,7.35745515317e-09,7.74717598947e-09
2019-11-01 14:44:58.996999,2.20840233753e-07,1.22990309313e-08,7.66830986686e-09,8.30409035246e-09
2019-11-01 14:59:58.996999,2.2117450211e-07,1.21458390999e-08,7.33981323141e-09,7.94119881833e-09
2019-11-01 15:14:58.996999,2.26772859525e-07,1.05985051008e-08,5.79088928341e-09,6.12864156664e-09
2019-11-01 15:29:58.996999,2.24140778181e-07,1.08582652344e-08,6.35618839328e-09,6.69033527199e-09
2019-11-01 15:44:58.996999,2.31776829854e-07,1.13588665958e-08,7.07413826418e-09,7.37990456589e-09
2019-11-01 15:59:58.996999,2.22134993526e-07,1.11055772119e-08,7.06827990476e-09,7.40958996637e-09
2019-11-01 16:14:58.996999,2.26997762594e-07,1.09339854432e-08,7.41019776652e-09,7.69954794822e-09
2019-11-01 16:29:58.996999,2.37017759137e-07,9.5795410345e-09,6.39018084205e-09,6.64133265698e-09
2019-11-01 16:44:58.996999,2.33602312464e-07,1.18611921057e-08,7.19330221105e-09,7.45314609806e-09
2019-11-01 16:59:58.996999,2.47616820914e-07,1.08306944791e-08,7.33766386553e-09,7.70411747727e-09
2019-11-01 17:14:58.996999,2.2450536668e-07,1.30624175295e-08,8.62300121644e-09,9.22005349595e-09
2019-11-01 17:29:58.996999,2.00816280597e-07,1.69484958772e-08,1.34116667598e-08,1.44972845807e-08
2019-11-01 17:44:58.996999,2.13794967022e-07,1.22434219585e-08,9.76896736639e-09,1.04545243228e-08
2019-11-01 17:59:58.996999,2.21989258581e-07,1.36815429248e-08,1.11355912887e-08,1.16460674517e-08
2019-11-01 18:14:58.996999,2.17109560177e-07,1.76962046749e-08,1.50215815035e-08,1.56783209123e-08
2019-11-01 18:29:58.996999,2.33892158997e-07,1.37860944518e-08,1.10393772664e-08,1.15136550585e-08
