,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:57.499998,3.231139793935841e-07,3.128989614421916e-08,2.2654756040134395e-08,2.725165103415738e-08
2019-10-31 23:44:57.499998,3.123914339499418e-07,2.8663923440721043e-08,2.015008371480377e-08,2.409149267660365e-08
2019-10-31 23:59:57.499998,3.0882030636038195e-07,3.11175611527027e-08,1.98257861634555e-08,2.35013868791796e-08
2019-11-01 00:14:57.499998,3.3982088958633053e-07,3.371068413845974e-08,2.1285627853529607e-08,2.624282302383483e-08
2019-11-01 00:29:57.499998,3.3376691337727046e-07,3.591069293546881e-08,2.7267368826526366e-08,3.129351265831573e-08
2019-11-01 00:44:57.499998,3.1531640724319955e-07,3.081567601161415e-08,2.5748010157179616e-08,2.8940938430513453e-08
2019-11-01 00:59:57.499998,3.387196830747662e-07,2.6548734092911692e-08,1.797655778626959e-08,2.1553492907552613e-08
2019-11-01 01:14:57.499998,3.4218540209562035e-07,2.8893746880040755e-08,1.6495230038762296e-08,1.9568435295211738e-08
2019-11-01 01:29:57.499998,3.0598421970046226e-07,2.4137445702468057e-08,1.8821508734174532e-08,2.1392943824542856e-08
2019-11-01 01:44:57.499998,3.101716284304995e-07,2.202812979523288e-08,1.760470331039624e-08,2.0736949690007504e-08
2019-11-01 01:59:57.499998,3.3106328060311895e-07,2.2631096885110285e-08,1.054777636788719e-08,1.2319190724219095e-08
2019-11-01 02:14:57.499998,3.2040400401839274e-07,2.0542908131726188e-08,1.1107587396922389e-08,1.24371502090294e-08
2019-11-01 02:29:57.499998,3.272389596139801e-07,2.1928523235536107e-08,1.1020488190171887e-08,1.2421933157853367e-08
2019-11-01 02:44:57.499998,3.304343488692887e-07,3.0040887710060604e-08,2.0659832820054832e-08,2.2648715874557268e-08
2019-11-01 02:59:57.499998,3.252835006573047e-07,3.102609927093667e-08,1.622457043902942e-08,1.7860420595600723e-08
2019-11-01 03:14:57.499998,3.558792281750392e-07,3.741688731684632e-08,1.4178129066105359e-08,1.5558248702332462e-08
2019-11-01 03:29:57.499998,3.04790654222479e-07,1.956906930903733e-08,9.674485139349043e-09,1.0788339513587913e-08
2019-11-01 03:44:57.499998,3.0675673296038483e-07,1.4056898066110551e-08,6.289356728225536e-09,7.398001262991167e-09
2019-11-01 03:59:57.499998,3.0878789517612535e-07,1.153909005113849e-08,8.18614197185835e-09,9.479624876298963e-09
2019-11-01 04:14:57.499998,2.888227948306869e-07,1.0907188072621314e-08,8.147590866818866e-09,9.206206286053834e-09
2019-11-01 04:29:57.499998,3.173039492154737e-07,2.1507032176577956e-08,6.4764184935979966e-09,6.818524160464693e-09
2019-11-01 04:44:57.499998,3.1458467792846254e-07,2.6496148984499233e-08,6.908649866790113e-09,7.343873691786059e-09
2019-11-01 04:59:57.499998,2.9637719778342686e-05,4.7699790785434636e-08,7.682363682796325e-09,8.157560193576843e-09
2019-11-01 05:14:57.499998,2.9541479208470527e-05,4.472978106946435e-08,5.984571281169731e-09,6.127537094207608e-09
2019-11-01 05:29:57.499998,3.1825174531276825e-07,1.594042805833422e-08,5.4303514941217916e-09,5.722418044859714e-09
2019-11-01 05:44:57.499998,3.229104139903694e-07,1.569336801065824e-08,6.8393521494848135e-09,7.642464301081912e-09
2019-11-01 05:59:57.499998,3.4755621544075535e-07,2.1893170763034044e-08,7.364535844677683e-09,8.496136788327336e-09
2019-11-01 06:14:57.499998,3.6642901166919917e-07,2.2853788786494112e-08,7.358005452710417e-09,8.507835164286998e-09
2019-11-01 06:29:57.499998,3.2424197170850447e-07,1.517596378648571e-08,5.815744927794381e-09,6.63500804191583e-09
2019-11-01 06:44:57.499998,3.2800487023973823e-07,1.5118502509473362e-08,4.5853555238828965e-09,5.064267884260379e-09
2019-11-01 06:59:57.499998,3.525186688340989e-07,1.4730717240947504e-08,5.509979690073484e-09,6.0580313630861954e-09
2019-11-01 07:14:57.499998,3.536280107781136e-07,1.5702796542462044e-08,5.3113156333795006e-09,5.676404793354055e-09
2019-11-01 07:29:57.499998,3.7169531038747925e-07,2.1466184581197875e-08,5.4997890852280955e-09,5.8766815961776394e-09
2019-11-01 07:44:57.499998,3.622328780957697e-07,1.5243025325103217e-08,4.929438777549494e-09,5.116082116200143e-09
2019-11-01 07:59:57.499998,3.82916445351265e-07,1.935191020591867e-08,5.826178374791483e-09,6.074661694665304e-09
2019-11-01 08:14:57.499998,3.943662524842603e-07,1.5573739769478598e-08,6.478296084289972e-09,6.781909735107294e-09
2019-11-01 08:29:57.499998,3.679397200001959e-07,1.4283697101975997e-08,1.09118144467617e-08,1.1963903724991103e-08
2019-11-01 08:44:57.499998,4.2691014128792104e-07,1.62548491314201e-08,1.2902238696208517e-08,1.430502652763616e-08
2019-11-01 08:59:57.499998,4.047424400606603e-07,1.4353371019575137e-08,1.09710674403589e-08,1.2399317623142385e-08
2019-11-01 09:14:57.499998,3.5148898811077355e-07,1.3759763413841969e-08,1.1587866436092816e-08,1.3102632587712682e-08
2019-11-01 09:29:57.499998,1.7568159382400685e-05,2.7539370163111578e-08,1.420382563090407e-08,1.577213902276064e-08
2019-11-01 09:44:57.499998,2.6089957806058814e-05,4.299782889196092e-08,2.7063020471010318e-08,2.8875234009472406e-08
2019-11-01 09:59:57.499998,3.8823933301125723e-07,3.5096466101733575e-08,3.058161244636328e-08,3.4090934053223933e-08
2019-11-01 10:14:57.499998,4.1220649242185093e-07,3.2830241717315216e-08,2.8198093476456905e-08,3.17763559792207e-08
2019-11-01 10:29:57.499998,4.4882514567003455e-07,3.091212131740476e-08,2.6599924393744816e-08,2.9626032166132592e-08
2019-11-01 10:44:57.499998,4.194848665305984e-07,4.498377468005688e-08,3.948803442995668e-08,4.353571959886253e-08
2019-11-01 10:59:57.499998,4.212469394053416e-07,6.270685718321172e-08,5.729440972058163e-08,6.130657296081395e-08
2019-11-01 11:14:57.499998,4.2390254763678423e-07,1.000093291948327e-07,9.506597832966302e-08,9.899205038505931e-08
2019-11-01 11:29:57.499998,4.3016810508856074e-07,1.1407003272064414e-07,1.0832641442782546e-07,1.1260280131938781e-07
2019-11-01 11:44:57.499998,4.2769990227222047e-07,9.768542109620802e-08,9.216191928201525e-08,9.644991710320329e-08
2019-11-01 11:59:57.499998,4.3514872759381823e-07,2.5374698229390166e-07,2.4957642391697625e-07,2.5173896715857173e-07
2019-11-01 12:14:57.499998,4.2597108909482664e-07,2.8547926226818107e-07,2.817720245687663e-07,2.8346103114562133e-07
2019-11-01 12:29:57.499998,4.1627053285550924e-07,1.959236078397351e-07,1.9160581661388307e-07,1.936745264290181e-07
2019-11-01 12:44:57.499998,4.413721562841398e-07,1.7795373231486723e-07,1.7207462036008854e-07,1.7449394082829816e-07
2019-11-01 12:59:57.499998,4.1499246801723436e-07,2.3920704901970926e-07,2.329376613404159e-07,2.360016928476711e-07
2019-11-01 13:14:57.499998,4.3209467636294596e-07,2.6490440940666836e-07,2.5950716141171026e-07,2.6266335421279595e-07
2019-11-01 13:29:57.499998,4.343472462074281e-07,2.429008878324682e-07,2.383371651920602e-07,2.407624026158311e-07
2019-11-01 13:44:57.499998,4.275064403981716e-07,2.1295443211957519e-07,2.076697591379234e-07,2.1050757628460317e-07
2019-11-01 13:59:57.499998,4.373376084934511e-07,1.808809290067634e-07,1.7472627064920345e-07,1.7909619076220949e-07
2019-11-01 14:14:57.499998,4.171993932742543e-07,1.903751420813044e-07,1.8436612122724056e-07,1.8869938577668023e-07
2019-11-01 14:29:57.499998,4.3144347798838794e-07,2.1910027621808514e-07,2.1421709588624802e-07,2.179982075237012e-07
2019-11-01 14:44:57.499998,4.342939840274699e-07,2.288121695141658e-07,2.2383697710516675e-07,2.279213322332544e-07
2019-11-01 14:59:57.499998,3.9499440497634736e-07,1.8612854435516303e-07,1.8098992801027762e-07,1.8499665055968054e-07
2019-11-01 15:14:57.499998,3.987717168647372e-07,1.72080814195825e-07,1.6648573631485612e-07,1.7089619387867977e-07
2019-11-01 15:29:57.499998,3.989891528955035e-07,7.141043349264382e-08,6.391571291593372e-08,7.013808126860168e-08
2019-11-01 15:44:57.499998,3.914125053196376e-07,4.997304892707361e-08,4.32791968422803e-08,4.820161653476552e-08
2019-11-01 15:59:57.499998,3.738024778698925e-07,5.305696741156293e-08,4.6379043110246975e-08,5.1591991188196206e-08
2019-11-01 16:14:57.499998,3.785553746599153e-07,5.771944556940206e-08,5.022788756775214e-08,5.5299640946926716e-08
2019-11-01 16:29:57.499998,4.006580486492041e-07,6.172637427111516e-08,5.308918367884795e-08,5.927656410035826e-08
2019-11-01 16:44:57.499998,3.959945047826301e-07,6.786107297717506e-08,6.173686220130768e-08,6.689037670936222e-08
2019-11-01 16:59:57.499998,3.628116664558077e-07,1.5517498794375788e-07,1.5084029503899563e-07,1.54202650483108e-07
2019-11-01 17:14:57.499998,3.829882482275463e-07,1.9858706080355568e-07,1.9380494082883627e-07,1.9754032618876688e-07
2019-11-01 17:29:57.499998,4.0819320301774267e-07,1.8157982615845696e-07,1.7675688068824186e-07,1.8080411119358413e-07
2019-11-01 17:44:57.499998,3.699903925832146e-07,1.6985312766512795e-07,1.6625229950135e-07,1.690189834045548e-07
2019-11-01 17:59:57.499998,3.565124722694412e-07,1.8123638914687316e-07,1.7726596932362356e-07,1.8057231273771917e-07
