,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.002000,2.10547461983e-07,1.84974913323e-08,8.14246756907e-09,8.3493359523e-09
2019-10-31 23:44:59.002000,3.85275341433e-06,4.90630509069e-08,8.05212381394e-09,8.1752583856e-09
2019-10-31 23:59:59.002000,4.48398954768e-06,5.59749029038e-08,8.03249849311e-09,8.14522632717e-09
2019-11-01 00:14:59.002000,3.53119948538e-06,4.49249177014e-08,7.68408611289e-09,7.81404905516e-09
2019-11-01 00:29:59.002000,2.0659089731e-07,1.6678009821e-08,7.77024774441e-09,8.03551404503e-09
2019-11-01 00:44:59.002000,2.07089299863e-07,1.83568320067e-08,7.5026835778e-09,7.74307432293e-09
2019-11-01 00:59:59.002000,2.08683148856e-07,1.40262354486e-08,5.95952178903e-09,6.06906735212e-09
2019-11-01 01:14:59.002000,2.11358923445e-07,1.22375806354e-08,5.1631190136e-09,5.25134487513e-09
2019-11-01 01:29:59.002000,2.11941387699e-07,1.26521417122e-08,6.33505035615e-09,6.61495316428e-09
2019-11-01 01:44:59.002000,3.36364621694e-06,4.20100367251e-08,6.72012740664e-09,6.9319112395e-09
2019-11-01 01:59:59.002000,3.33630658487e-06,4.17196404322e-08,5.91397078421e-09,6.02453944829e-09
2019-11-01 02:14:59.002000,5.43587946884e-06,6.6256294907e-08,7.02939383627e-09,7.12419493269e-09
2019-11-01 02:29:59.002000,3.85451911827e-06,4.79500494008e-08,5.61909035423e-09,5.69647038739e-09
2019-11-01 02:44:59.002000,2.5325739014e-07,1.44297645e-08,3.65363341859e-09,3.70501364498e-09
2019-11-01 02:59:59.002000,2.48930142903e-07,1.49368732179e-08,3.30255172876e-09,3.35138137591e-09
2019-11-01 03:14:59.002000,2.08279750614e-07,1.64686398745e-08,2.82714951693e-09,2.85685644224e-09
2019-11-01 03:29:59.002000,2.3280023819e-07,1.67561866775e-08,2.69695042291e-09,2.71863379547e-09
2019-11-01 03:44:59.002000,2.40772421017e-07,1.76822146963e-08,3.17912051969e-09,3.1947007192e-09
2019-11-01 03:59:59.002000,5.17941500508e-06,6.39742640497e-08,5.86324003799e-09,5.92212885225e-09
2019-11-01 04:14:59.002000,4.41286576778e-06,5.49321653561e-08,5.91210484313e-09,5.95605247029e-09
2019-11-01 04:29:59.002000,4.29688931705e-06,5.40528531183e-08,6.67814964364e-09,6.71332207519e-09
2019-11-01 04:44:59.002000,4.99718120859e-06,6.16208319773e-08,5.71306858507e-09,5.76641809267e-09
2019-11-01 04:59:59.002000,3.08945209563e-05,6.43527783438e-08,6.0056308504e-09,6.06731093057e-09
2019-11-01 05:14:59.002000,3.10294408764e-05,7.56718206343e-08,6.96143812959e-09,7.03980409495e-09
2019-11-01 05:29:59.002000,5.41842537678e-06,6.61810254614e-08,5.58102238631e-09,5.64435270802e-09
2019-11-01 05:44:59.002000,5.78815641836e-06,7.09031354518e-08,5.95886047722e-09,6.02550555221e-09
2019-11-01 05:59:59.002000,4.96670046437e-06,6.07061662474e-08,5.144462354e-09,5.20358222104e-09
2019-11-01 06:14:59.002000,2.28537357469e-07,9.15934716317e-09,1.53986938339e-09,1.57166151393e-09
2019-11-01 06:29:59.002000,2.2144706831e-07,8.46840955235e-09,1.46885415691e-09,1.49822087629e-09
2019-11-01 06:44:59.002000,2.71192592028e-07,8.816524322e-09,1.531012014e-09,1.5839802729e-09
2019-11-01 06:59:59.002000,2.91294644883e-07,1.1319506052e-08,1.67094620301e-09,1.7303358665e-09
2019-11-01 07:14:59.002000,3.61642427514e-06,4.41899269425e-08,4.0438291275e-09,4.11048199515e-09
2019-11-01 07:29:59.002000,3.64779862372e-06,4.45134684465e-08,4.1526339948e-09,4.20277838014e-09
2019-11-01 07:44:59.002000,4.92864160718e-06,5.95211556081e-08,5.16691550115e-09,5.22365839997e-09
2019-11-01 07:59:59.002000,3.05536627736e-06,3.78062168451e-08,3.70541453336e-09,3.73939224508e-09
2019-11-01 08:14:59.002000,2.51309494467e-07,1.10921071744e-08,2.84683236922e-09,2.85757747578e-09
2019-11-01 08:29:59.002000,2.7115106292e-06,3.39456037993e-08,3.33426882825e-09,3.3683508985e-09
2019-11-01 08:44:59.002000,4.79127665941e-06,5.86347137335e-08,5.036861207e-09,5.09423686986e-09
2019-11-01 08:59:59.002000,1.06168639185e-06,1.58698910751e-08,2.01999780816e-09,2.04380118888e-09
2019-11-01 09:14:59.002000,2.79386072463e-07,9.71227003507e-09,2.07644657319e-09,2.12455757575e-09
2019-11-01 09:29:59.002000,1.452774478e-05,2.8494296611e-08,4.26995529788e-09,4.36020691784e-09
2019-11-01 09:44:59.002000,2.05051513215e-05,6.22616073469e-08,6.81742591493e-09,6.89472242792e-09
2019-11-01 09:59:59.002000,2.68132530973e-06,3.87230107592e-08,5.29758940848e-09,5.34955459708e-09
2019-11-01 10:14:59.002000,2.84406176201e-07,1.59000385716e-08,5.05252688051e-09,5.11824469811e-09
2019-11-01 10:29:59.002000,2.53261071706e-07,1.61392520514e-08,6.01191249767e-09,6.09668886027e-09
2019-11-01 10:44:59.002000,2.75266028676e-07,1.74122236557e-08,6.72767575968e-09,6.82781070544e-09
2019-11-01 10:59:59.002000,2.92548364112e-07,1.8449361264e-08,7.44620217793e-09,7.56449374882e-09
2019-11-01 11:14:59.002000,2.2533705348e-07,1.91860865604e-08,7.77562423651e-09,7.92330560924e-09
2019-11-01 11:29:59.002000,2.34379789738e-07,1.94224186596e-08,7.75688655344e-09,7.87149240307e-09
2019-11-01 11:44:59.002000,2.381999802e-07,2.03147005866e-08,8.60220011448e-09,8.715952548e-09
2019-11-01 11:59:59.002000,2.24244239957e-07,2.42251678722e-08,9.8028557099e-09,9.93692090538e-09
2019-11-01 12:14:59.002000,3.89117634626e-06,5.22527533175e-08,9.84809346812e-09,1.00371933738e-08
2019-11-01 12:29:59.002000,3.04225756543e-05,7.18289070999e-08,1.07574663922e-08,1.1012010649e-08
2019-11-01 12:44:59.002000,3.00218814764e-05,4.8353377683e-08,9.73096361269e-09,9.91484740953e-09
2019-11-01 12:59:59.002000,5.36482332568e-06,6.7839864843e-08,1.15812193754e-08,1.4088721473e-08
2019-11-01 13:14:59.002000,5.38115360796e-06,6.81621486558e-08,1.19445151631e-08,1.44363513055e-08
2019-11-01 13:29:59.002000,2.38537144021e-07,2.29683995267e-08,9.55945620315e-09,9.71780319094e-09
2019-11-01 13:44:59.002000,2.2228024175e-07,2.58371846034e-08,1.01069076838e-08,1.06269304393e-08
2019-11-01 13:59:59.002000,3.87222544935e-06,5.32298010046e-08,1.04503381621e-08,1.07967120273e-08
2019-11-01 14:14:59.002000,3.87261611431e-06,5.20817927622e-08,9.85867269445e-09,1.00352688766e-08
2019-11-01 14:29:59.002000,2.32210786073e-07,2.54778940135e-08,1.06538939199e-08,1.118407636e-08
2019-11-01 14:44:59.002000,3.319562852e-06,4.88057886205e-08,1.12725943774e-08,1.18135109035e-08
2019-11-01 14:59:59.002000,2.60848993629e-07,2.73689013999e-08,9.93427181076e-09,1.01793543709e-08
2019-11-01 15:14:59.002000,2.46878531181e-05,3.88156284508e-08,1.01688039721e-08,1.03985077496e-08
2019-11-01 15:29:59.002000,3.93434583455e-05,7.30698473674e-08,1.15378946301e-08,1.17854709004e-08
2019-11-01 15:44:59.002000,2.4009375804e-05,4.94981354541e-08,1.17621476091e-08,1.21214453236e-08
2019-11-01 15:59:59.002000,4.73450368192e-06,6.26656189524e-08,1.16296440448e-08,1.20298725379e-08
2019-11-01 16:14:59.002000,3.35997549715e-06,4.82363107893e-08,1.00018361293e-08,1.01656626481e-08
2019-11-01 16:29:59.002000,2.1994635914e-07,2.41439237926e-08,9.32040242378e-09,9.51897889658e-09
2019-11-01 16:44:59.002000,2.74323995049e-06,4.04485982819e-08,9.88309529081e-09,1.01482396614e-08
2019-11-01 16:59:59.002000,5.13462546801e-06,6.61458045973e-08,1.07998349816e-08,1.10746776911e-08
2019-11-01 17:14:59.002000,2.76885138541e-06,4.19061973011e-08,9.6331093132e-09,9.86829198709e-09
2019-11-01 17:29:59.002000,6.29269604087e-06,7.99883716696e-08,1.15565953876e-08,1.19422885485e-08
2019-11-01 17:44:59.002000,4.97520401948e-06,6.57185732205e-08,1.07677126313e-08,1.10978941945e-08
2019-11-01 17:59:59.002000,2.16375578263e-07,3.0537108612e-08,9.0708340235e-09,9.23273828172e-09
2019-11-01 18:14:59.002000,2.15792336544e-07,2.84865078689e-08,9.02596814522e-09,9.17701595507e-09
2019-11-01 18:29:59.002000,2.1480334279e-07,3.02587427721e-08,9.37278866664e-09,9.549776994e-09
2019-11-01 18:44:59.002000,2.65084230317e-07,8.39820084095e-08,1.15352838902e-08,1.17595388224e-08
2019-11-01 18:59:59.002000,3.43618935434e-06,6.37782540077e-08,9.59547489067e-09,9.84425138632e-09
2019-11-01 19:14:59.002000,2.46449701834e-07,2.75850483784e-08,7.99768488427e-09,8.12473959827e-09
2019-11-01 19:29:59.002000,2.31946673533e-07,2.52318042802e-08,8.47693126709e-09,8.66855991264e-09
2019-11-01 19:44:59.002000,2.32653362451e-07,2.53782452996e-08,8.49900931392e-09,8.67965982567e-09
2019-11-01 19:59:59.002000,3.77627176986e-05,5.95236080798e-08,9.68728377047e-09,9.87831022292e-09
2019-11-01 20:14:59.002000,3.25541005601e-05,6.7620378871e-08,1.01119935944e-08,1.02775158146e-08
2019-11-01 20:29:59.002000,4.31766396667e-06,5.80294974744e-08,1.06019715078e-08,1.08150995688e-08
2019-11-01 20:44:59.002000,2.31410581368e-07,2.64658019032e-08,9.8452854967e-09,1.0084042754e-08
2019-11-01 20:59:59.002000,1.53921692085e-05,4.36370903555e-08,1.0352504006e-08,1.0638007365e-08
2019-11-01 21:14:59.002000,1.13803071286e-05,3.66734208973e-08,1.0134534221e-08,1.03926198594e-08
2019-11-01 21:29:59.002000,2.27678060416e-07,2.43090302772e-08,9.7822805186e-09,9.99070773961e-09
2019-11-01 21:44:59.002000,2.26488519438e-07,2.51364546519e-08,9.88801517695e-09,1.00970188011e-08
2019-11-01 21:59:59.002000,3.39312736249e-05,4.67757886587e-08,1.24704281264e-08,1.29269239759e-08
2019-11-01 22:14:59.002000,3.4163804145e-05,4.73085686423e-08,1.28075144423e-08,1.32894343341e-08
2019-11-01 22:29:59.002000,2.2917382696e-07,2.85460053514e-08,9.35279427034e-09,9.51073486641e-09
2019-11-01 22:44:59.002000,2.3028650645e-07,3.38434141371e-08,9.02662383686e-09,9.25266059064e-09
2019-11-01 22:59:59.002000,2.33712016387e-07,2.64070276814e-08,1.01857322379e-08,1.04903532067e-08
2019-11-01 23:14:59.002000,4.02923380638e-05,5.80118290181e-08,1.05904882281e-08,1.08325085971e-08
2019-11-01 23:29:59.002000,3.50204822318e-05,6.22093987585e-08,8.72860088021e-09,8.87482733913e-09
2019-11-01 23:44:59.002000,3.73243160714e-06,5.02023876592e-08,7.92022418677e-09,8.06615926857e-09
2019-11-01 23:59:59.002000,5.29530876006e-06,6.65072429637e-08,8.81408516439e-09,9.02429714513e-09
2019-11-02 00:14:59.003999,3.29497245965e-06,4.79545124948e-08,7.58263893024e-09,7.7726167555e-09
2019-11-02 00:29:59.003999,2.36655484932e-07,2.16778922423e-08,6.25830563436e-09,6.35791334637e-09
2019-11-02 00:44:59.003999,1.57833915323e-05,5.87483783675e-08,8.00284308239e-09,8.10614242635e-09
2019-11-02 00:59:59.003999,1.5942857813e-05,6.84267073617e-08,7.97759147828e-09,8.06009304784e-09
2019-11-02 01:14:59.003999,5.05916853851e-06,6.02090604124e-08,7.04936988052e-09,7.12372142521e-09
2019-11-02 01:29:59.003999,1.94787718987e-06,2.74308573517e-08,5.38097283238e-09,5.43489271226e-09
2019-11-02 01:44:59.003999,3.83079072353e-06,4.73805856924e-08,6.05259295081e-09,6.11574845133e-09
2019-11-02 01:59:59.003999,2.23139314632e-07,1.63096990507e-08,4.39260274821e-09,4.43879223781e-09
2019-11-02 02:14:59.003999,3.70506475663e-05,6.05077173653e-08,9.93136078947e-09,1.02999436932e-08
2019-11-02 02:29:59.003999,2.92258555836e-05,3.66302896422e-08,8.69763739846e-09,9.08878227983e-09
2019-11-02 02:44:59.003999,4.15869057213e-05,4.26948665486e-08,5.47692552945e-09,5.529405023e-09
2019-11-02 02:59:59.003999,4.49943492144e-05,3.12509473164e-07,1.24225203732e-07,1.31529686704e-07
2019-11-02 03:14:59.003999,2.01216425994e-05,3.60423297418e-07,1.43764926336e-07,1.52180801548e-07
2019-11-02 03:29:59.003999,3.4078469777e-06,4.3766819949e-08,7.22208950131e-09,7.25055111997e-09
