,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.001000,3.59243305194e-07,1.04832443275e-08,2.31650513973e-09,2.56723606418e-09
2019-10-31 23:44:59.001000,3.79692139775e-07,8.82504809128e-09,1.56403028783e-09,1.7054904112e-09
2019-10-31 23:59:59.001000,3.77729602694e-07,8.36173747164e-09,1.43479725105e-09,1.48959359236e-09
2019-11-01 00:14:59.001000,3.97936635639e-07,7.56944209058e-09,1.29299046471e-09,1.335716146e-09
2019-11-01 00:29:59.001000,3.98683050871e-07,7.35979481712e-09,1.3480814894e-09,1.44002569589e-09
2019-11-01 00:44:59.001000,3.86414835657e-07,7.48888537308e-09,1.39947097206e-09,1.49987369143e-09
2019-11-01 00:59:59.001000,3.91460636406e-07,7.6575652111e-09,1.33659076867e-09,1.47945359314e-09
2019-11-01 01:14:59.001000,3.74604927815e-07,7.47657873137e-09,1.37096917946e-09,1.60707828283e-09
2019-11-01 01:29:59.001000,3.68866748494e-07,7.4723392884e-09,1.52299134422e-09,1.77383794035e-09
2019-11-01 01:44:59.001000,3.57285407686e-07,7.69769416339e-09,1.59079143652e-09,1.86601625001e-09
2019-11-01 01:59:59.001000,3.58124051555e-07,8.50436637608e-09,1.20965723355e-09,1.44781712335e-09
2019-11-01 02:14:59.001000,3.87498271644e-07,8.14260252647e-09,1.2656094751e-09,1.40339014709e-09
2019-11-01 02:29:59.001000,3.90422262339e-07,6.88264135172e-09,1.35977783841e-09,1.54527709432e-09
2019-11-01 02:44:59.001000,3.82390717225e-07,6.59070079998e-09,1.26393990919e-09,1.40376552132e-09
2019-11-01 02:59:59.001000,3.74826712693e-07,6.27648808914e-09,1.30849332722e-09,1.53812671525e-09
2019-11-01 03:14:59.001000,3.60928415117e-07,6.04361537042e-09,1.11812172463e-09,1.2766144322e-09
2019-11-01 03:29:59.001000,3.68863856712e-07,6.25723321074e-09,1.07490377233e-09,1.26131151771e-09
2019-11-01 03:44:59.001000,3.69552198281e-07,6.94482609164e-09,1.24971678526e-09,1.64342194271e-09
2019-11-01 03:59:59.001000,3.44163765722e-07,6.6370293164e-09,1.07698307687e-09,1.33427641316e-09
2019-11-01 04:14:59.001000,3.50385826406e-07,6.29561997264e-09,1.08726880449e-09,1.15673503923e-09
2019-11-01 04:29:59.001000,3.50664060532e-07,6.09620674723e-09,1.07881181044e-09,1.12860432175e-09
2019-11-01 04:44:59.001000,3.65047747458e-07,5.87500502026e-09,9.16598300542e-10,1.01758248955e-09
2019-11-01 04:59:59.001000,1.46868010022e-05,2.27228310409e-08,2.34078246647e-09,2.41275140028e-09
2019-11-01 05:14:59.001000,1.46651829281e-05,2.26234881708e-08,2.28379854325e-09,2.31993397301e-09
2019-11-01 05:29:59.001000,3.61393292881e-07,5.898460498e-09,1.23105873693e-09,1.59520020141e-09
2019-11-01 05:44:59.001000,3.4909939978e-07,5.66454753251e-09,8.96253919904e-10,1.12728520824e-09
2019-11-01 05:59:59.001000,3.44846539749e-07,5.79911574273e-09,6.02905151601e-10,6.32145821132e-10
2019-11-01 06:14:59.001000,3.44544896539e-07,5.25617945441e-09,5.45575330159e-10,5.7546600252e-10
2019-11-01 06:29:59.001000,3.71634409299e-07,5.25708387765e-09,5.59461289294e-10,5.86454401533e-10
2019-11-01 06:44:59.001000,3.56982585448e-07,5.26556555188e-09,5.06059102974e-10,5.31377161844e-10
2019-11-01 06:59:59.001000,3.50694103926e-07,5.10127172061e-09,4.90796582467e-10,5.15372528502e-10
2019-11-01 07:14:59.001000,3.67210167559e-07,5.07136843585e-09,4.64232203464e-10,4.96982648478e-10
2019-11-01 07:29:59.001000,3.39589471862e-07,5.77771071497e-09,4.64336555383e-10,5.01067269041e-10
2019-11-01 07:44:59.001000,3.39082089822e-07,7.37336267667e-09,4.612555395e-10,4.84006301099e-10
2019-11-01 07:59:59.001000,3.68651386443e-07,9.13953747524e-09,4.6165144664e-10,4.79658425817e-10
2019-11-01 08:14:59.001000,3.40780015185e-07,9.86102539712e-09,4.55226686496e-10,4.89313302996e-10
2019-11-01 08:29:59.001000,3.48172773425e-07,1.18021912139e-08,5.46572649964e-10,8.00780593079e-10
2019-11-01 08:44:59.001000,3.30636160513e-07,1.54225899322e-08,6.26992796588e-10,8.46627709591e-10
2019-11-01 08:59:59.001000,3.49400356735e-07,1.747100022e-08,6.53499134435e-10,8.58633632258e-10
2019-11-01 09:14:59.001000,3.41610928851e-07,1.5022810601e-08,5.85371841649e-10,7.72718987769e-10
2019-11-01 09:29:59.001000,2.6559215947e-06,2.02847067465e-08,1.60952131508e-09,1.63541315967e-09
2019-11-01 09:44:59.001000,3.55901428593e-06,2.44567841148e-08,2.10631944498e-09,2.133199727e-09
2019-11-01 09:59:59.001000,3.58391745777e-07,7.53839674356e-09,4.34929025832e-10,4.59211845649e-10
2019-11-01 10:14:59.001000,3.57397289547e-07,7.48700308157e-09,4.08559058131e-10,4.3636016529e-10
2019-11-01 10:29:59.001000,3.60311481995e-07,8.19649593745e-09,4.8085773018e-10,6.78244743114e-10
2019-11-01 10:44:59.001000,3.60863516758e-07,8.43864967567e-09,4.52560371567e-10,5.19364952869e-10
2019-11-01 10:59:59.001000,3.42231505528e-07,7.88758950346e-09,4.54787153787e-10,4.88231148336e-10
2019-11-01 11:14:59.001000,3.43761498363e-07,7.60947586817e-09,4.68607116621e-10,4.99469754521e-10
2019-11-01 11:29:59.001000,3.43996461439e-07,7.29768485495e-09,5.22674932102e-10,5.53455886185e-10
2019-11-01 11:44:59.001000,3.45530705557e-07,7.08157885912e-09,5.46083403924e-10,5.70410093572e-10
2019-11-01 11:59:59.001000,3.59567978697e-07,7.14671643679e-09,5.61603414461e-10,5.90266999781e-10
2019-11-01 12:14:59.001000,3.43160066331e-07,7.51479854385e-09,6.03800804357e-10,6.34221304957e-10
2019-11-01 12:29:59.001000,3.35271888301e-07,8.42868775985e-09,6.56135231645e-10,6.83693830669e-10
2019-11-01 12:44:59.001000,3.52018378072e-07,9.11709611449e-09,8.24701091181e-10,8.86098059846e-10
2019-11-01 12:59:59.001000,3.48604035594e-07,9.41927658231e-09,8.94632113718e-10,9.60357167781e-10
2019-11-01 13:14:59.001000,3.48128751227e-07,9.29939947098e-09,9.62535648505e-10,1.03291336247e-09
2019-11-01 13:29:59.001000,3.48944721957e-07,9.36144226409e-09,9.69890724626e-10,1.03276424709e-09
2019-11-01 13:44:59.001000,3.46180123204e-07,1.14859317466e-08,2.06613066778e-09,2.12779987805e-09
2019-11-01 13:59:59.001000,3.34438235987e-07,1.2986764542e-08,2.21470321402e-09,2.28444884184e-09
2019-11-01 14:14:59.001000,3.33442829429e-07,1.42819396497e-08,2.42975004218e-09,2.57128768377e-09
2019-11-01 14:29:59.001000,3.49893295031e-07,1.65971813649e-08,2.88213209827e-09,3.17073852895e-09
2019-11-01 14:44:59.001000,3.47721108232e-07,1.66415685104e-08,2.38992795888e-09,2.78557861659e-09
2019-11-01 14:59:59.001000,3.500533957e-07,1.61245266084e-08,2.48602972636e-09,2.60200683948e-09
2019-11-01 15:14:59.001000,3.33702015929e-07,2.06371979525e-08,1.13556740317e-08,1.16294032697e-08
2019-11-01 15:29:59.001000,3.36743414557e-07,2.24402399103e-08,1.32033916291e-08,1.37815165699e-08
2019-11-01 15:44:59.001000,3.54294228816e-07,1.80943395211e-08,5.67845549204e-09,5.968281344e-09
2019-11-01 15:59:59.001000,3.51792208048e-07,1.81376521872e-08,2.19409545271e-09,2.43514641512e-09
2019-11-01 16:14:59.001000,3.33793432327e-07,1.81436206001e-08,3.10346232835e-09,3.30356693778e-09
2019-11-01 16:29:59.001000,3.55245027328e-07,1.73604976272e-08,3.51587158398e-09,3.73092766496e-09
2019-11-01 16:44:59.001000,3.58584690453e-07,1.74879003141e-08,3.59375321421e-09,3.82472480046e-09
2019-11-01 16:59:59.001000,3.44357930585e-07,1.72380304129e-08,3.28217839703e-09,3.5336214537e-09
2019-11-01 17:14:59.001000,3.27871976274e-07,1.5595007392e-08,2.08085885013e-09,2.14260490402e-09
2019-11-01 17:29:59.001000,3.50649426983e-07,1.49993059585e-08,2.17123874123e-09,2.23411081685e-09
2019-11-01 17:44:59.001000,3.53363189733e-07,1.48298243717e-08,2.56621388344e-09,2.75249818409e-09
2019-11-01 17:59:59.001000,3.44941428855e-07,1.50040892878e-08,2.98522350978e-09,3.25821078976e-09
2019-11-01 18:14:59.001000,3.19449230491e-07,1.57977822088e-08,4.58284435227e-09,5.1981296116e-09
2019-11-01 18:29:59.001000,3.10852072052e-07,1.45738944967e-08,4.12252501258e-09,4.53215509751e-09
2019-11-01 18:44:59.001000,3.29008547234e-07,1.27501857213e-08,2.4498961444e-09,2.57074889576e-09
2019-11-01 18:59:59.001000,3.43179958918e-07,1.25277713656e-08,1.97157632784e-09,2.14010689824e-09
2019-11-01 19:14:59.001000,3.47563888313e-07,1.38799474924e-08,2.39443405183e-09,2.5578876721e-09
2019-11-01 19:29:59.001000,3.4052446539e-07,1.38899453813e-08,2.82597683455e-09,2.98599087386e-09
2019-11-01 19:44:59.001000,3.42885487408e-07,1.73577889878e-08,3.1057544084e-09,3.36671218495e-09
2019-11-01 19:59:59.001000,1.62560823903e-05,2.28369903194e-08,3.57201686019e-09,3.89387109152e-09
2019-11-01 20:14:59.001000,1.39781770465e-05,2.33701904188e-08,4.23106471357e-09,4.43544322858e-09
2019-11-01 20:29:59.001000,3.19374792658e-07,2.02903874938e-08,4.4072857228e-09,4.55305856871e-09
2019-11-01 20:44:59.001000,3.3500070573e-07,1.81702660763e-08,4.5597542149e-09,4.86154652417e-09
2019-11-01 20:59:59.001000,3.35741915079e-07,1.34292345447e-08,2.82546133551e-09,3.39327905962e-09
2019-11-01 21:14:59.001000,3.49778681787e-07,1.36700432195e-08,2.32699824033e-09,2.68761562222e-09
2019-11-01 21:29:59.001000,3.45100478184e-07,1.35193841532e-08,2.21459704591e-09,2.55978916553e-09
2019-11-01 21:44:59.001000,3.40276904903e-07,1.37457439797e-08,1.96478302634e-09,2.16360432941e-09
2019-11-01 21:59:59.001000,3.30332562911e-07,1.45697599842e-08,2.54761031656e-09,2.7480574756e-09
2019-11-01 22:14:59.001000,1.77227537374e-05,2.29011813929e-08,3.30395432423e-09,3.49266502966e-09
2019-11-01 22:29:59.001000,1.75763184005e-05,2.40076798057e-08,4.25460104315e-09,4.57536683857e-09
2019-11-01 22:44:59.001000,3.43661698229e-07,1.52021027692e-08,3.7434003409e-09,4.14721472754e-09
2019-11-01 22:59:59.001000,3.36117913278e-07,1.60745826792e-08,3.95776407449e-09,4.3466673157e-09
2019-11-01 23:14:59.001000,3.15542121279e-07,1.45957019713e-08,1.89856378718e-09,2.02731581775e-09
2019-11-01 23:29:59.001000,3.21099270863e-07,1.72307681135e-08,2.52755145873e-09,2.69645015634e-09
2019-11-01 23:44:59.001000,3.35721951172e-07,1.60242714969e-08,1.64360040904e-09,1.81176392559e-09
2019-11-01 23:59:59.001000,3.31874643546e-07,1.52463963456e-08,1.28495152572e-09,1.36360932122e-09
2019-11-02 00:29:59.000999,3.23747221201e-07,1.37787550087e-08,1.57249413675e-09,1.80129229792e-09
2019-11-02 00:44:59.000999,3.3873556082e-06,2.45661941971e-08,2.39750456501e-09,2.55664132366e-09
2019-11-02 00:59:59.000999,3.36305095735e-06,2.427672635e-08,2.36775226309e-09,2.51682012388e-09
2019-11-02 01:14:59.000999,3.31335771885e-07,1.1036101e-08,1.23559874554e-09,1.36777576951e-09
2019-11-02 01:29:59.000999,3.25637243901e-07,1.17097914221e-08,1.13137254043e-09,1.26641374611e-09
2019-11-02 01:44:59.000999,3.18243876203e-07,1.34036218872e-08,1.04779662057e-09,1.13617814507e-09
2019-11-02 01:59:59.000999,3.12564853282e-07,1.47162069434e-08,1.16948129573e-09,1.25147879498e-09
2019-11-02 02:14:59.000999,3.20878520063e-07,1.57013778474e-08,1.20140486396e-09,1.31020033804e-09
2019-11-02 02:29:59.000999,3.22926243133e-07,1.56746627362e-08,1.0895283474e-09,1.19722480768e-09
2019-11-02 02:44:59.000999,3.15886288773e-07,1.41442564663e-08,1.0898978015e-09,1.21033693945e-09
2019-11-02 02:59:59.000999,3.28520982886e-07,1.13562275463e-08,1.06393616825e-09,1.1474976347e-09
2019-11-02 03:14:59.000999,3.20438175354e-07,9.21420982688e-09,1.02770716289e-09,1.21662563811e-09
2019-11-02 03:29:59.000999,3.28591967539e-07,8.23093465737e-09,9.46293044022e-10,1.14172413017e-09
2019-11-02 03:44:59.000999,3.42451556401e-07,8.78888426366e-09,1.02470668183e-09,1.22213647852e-09
2019-11-02 03:59:59.000999,3.5154051126e-07,9.32794014366e-09,9.62457676993e-10,1.07923921251e-09
2019-11-02 04:14:59.000999,3.40707410626e-07,8.0176616525e-09,9.2311910754e-10,9.83240151651e-10
2019-11-02 04:29:59.000999,3.25354126732e-07,7.47528686511e-09,9.18726542484e-10,9.92905558013e-10
2019-11-02 04:44:59.000999,3.12572877072e-07,7.3935936929e-09,8.43765611426e-10,9.16612711513e-10
2019-11-02 04:59:59.000999,3.18739863987e-07,7.08208335013e-09,7.80402402492e-10,8.36719514554e-10
2019-11-02 05:14:59.000999,3.22899114994e-07,6.26775020523e-09,7.24966538072e-10,7.55954760509e-10
2019-11-02 05:29:59.000999,1.35755830605e-05,1.81479393906e-08,2.04467002059e-09,2.07600836318e-09
2019-11-02 05:44:59.000999,1.35224652057e-05,1.79863756625e-08,2.00807183405e-09,2.03960590868e-09
2019-11-02 05:59:59.000999,3.16096451999e-07,5.97625198036e-09,5.9569388342e-10,6.3131946785e-10
2019-11-02 06:14:59.000999,3.31516585284e-07,5.84124782172e-09,5.99838802574e-10,6.30614951568e-10
