,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.992999,7.72862342806e-07,1.42765835825e-07,1.85602343626e-08,1.87836379833e-08
2019-10-31 23:44:58.992999,7.0119171483e-07,1.38303357956e-07,1.76485729637e-08,1.78480647838e-08
2019-10-31 23:59:58.992999,7.30668411181e-07,1.4555629527e-07,1.72226770883e-08,1.74099964786e-08
2019-11-01 00:14:58.992999,8.56043112429e-07,2.57214723096e-07,1.91662341596e-08,1.93702947515e-08
2019-11-01 00:29:58.992999,9.61471801419e-07,3.96256801349e-07,2.30154113909e-08,2.32477415861e-08
2019-11-01 00:44:58.992999,9.13225652864e-07,3.85411023845e-07,2.31110515172e-08,2.33341479857e-08
2019-11-01 00:59:58.992999,9.26576614377e-07,4.19459698017e-07,2.3165861989e-08,2.340348488e-08
2019-11-01 01:14:58.992999,9.18111186346e-07,3.88554381537e-07,2.219077112e-08,2.24244352485e-08
2019-11-01 01:29:58.992999,9.74850612544e-07,4.81860309063e-07,2.29834817829e-08,2.31960041572e-08
2019-11-01 01:44:58.992999,1.10844433506e-06,6.01267058052e-07,2.65755958195e-08,2.68245007546e-08
2019-11-01 01:59:58.992999,1.33848914959e-06,7.45179138846e-07,3.22351764253e-08,3.25556155467e-08
2019-11-01 02:14:58.992999,9.89822430275e-07,5.36512326357e-07,2.63259532647e-08,2.65685140042e-08
2019-11-01 02:29:58.992999,9.70945763519e-07,4.32050376112e-07,2.34746896501e-08,2.36639224494e-08
2019-11-01 02:44:58.992999,1.20658553066e-06,5.50886637303e-07,2.70180827349e-08,2.72655525419e-08
2019-11-01 02:59:58.992999,1.20670998533e-06,6.35072016438e-07,2.81771305529e-08,2.84611576514e-08
2019-11-01 03:14:58.992999,1.27836122778e-06,6.58550174325e-07,2.83102211141e-08,2.85395953247e-08
2019-11-01 03:29:58.992999,1.35950431525e-06,6.19086648602e-07,2.67307723561e-08,2.6951570318e-08
2019-11-01 03:44:58.992999,1.56759654534e-06,8.57405089814e-07,3.29226195641e-08,3.31633325066e-08
2019-11-01 03:59:58.992999,1.59129748002e-06,9.29544333714e-07,3.44923770593e-08,3.47629135403e-08
2019-11-01 04:14:58.992999,1.1560634412e-06,5.92989865237e-07,2.41536453797e-08,2.43689991674e-08
2019-11-01 04:29:58.992999,1.00999535209e-06,5.00990129778e-07,2.27588334775e-08,2.29716176159e-08
2019-11-01 04:44:58.992999,1.06378598204e-06,4.94035762728e-07,2.33430622256e-08,2.35652964947e-08
2019-11-01 04:59:58.992999,1.19354289551e-06,3.84522234963e-07,2.18644358166e-08,2.20263859831e-08
2019-11-01 05:14:58.992999,1.3139669654e-06,4.06395737405e-07,2.31087988654e-08,2.32563465458e-08
2019-11-01 05:29:58.992999,1.30393177308e-06,4.30977163858e-07,2.46857443495e-08,2.48299940421e-08
2019-11-01 05:44:58.992999,1.27766556971e-06,5.0585803939e-07,2.62222028086e-08,2.6346017996e-08
2019-11-01 05:59:58.992999,1.33303919605e-06,5.28534265978e-07,2.85904079611e-08,2.87113507398e-08
2019-11-01 06:14:58.992999,1.23543051363e-06,4.21664187632e-07,2.29886214539e-08,2.31198296657e-08
2019-11-01 06:29:58.992999,1.15147704026e-06,3.6911906299e-07,2.01889191357e-08,2.03354287291e-08
2019-11-01 06:44:58.992999,1.04016422193e-06,3.38025222226e-07,1.88631807431e-08,1.89938566325e-08
2019-11-01 06:59:58.992999,9.21270871082e-07,2.67023640411e-07,1.56270382175e-08,1.57509058175e-08
2019-11-01 07:14:58.992999,8.68824534862e-07,2.29843295069e-07,1.33389563632e-08,1.34533453951e-08
2019-11-01 07:29:58.992999,8.50883769038e-07,1.87694529808e-07,1.32476838718e-08,1.33465642572e-08
2019-11-01 07:44:58.992999,8.12762055714e-07,1.91949667463e-07,1.45661746523e-08,1.4668529165e-08
2019-11-01 07:59:58.992999,1.00461342776e-06,2.71805347495e-07,1.74180421943e-08,1.75289459087e-08
