,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:57.795000,2.0981296875698264e-07,3.1233937295130634e-08,2.0557613576975696e-08,2.1659854177636815e-08
2019-11-30 23:44:57.795000,2.1566231590916291e-07,3.413283652793686e-08,2.204960875116388e-08,2.3044781916298678e-08
2019-11-30 23:59:57.795000,1.987699147652673e-07,3.338821423900339e-08,2.1290239118853924e-08,2.225459206047632e-08
2019-12-01 00:14:57.795000,2.0701432036260946e-07,3.094675358193525e-08,1.9689568650305103e-08,2.0710765765369985e-08
2019-12-01 00:29:57.795000,2.0721109668897424e-07,2.989148942383961e-08,1.9192969877377405e-08,2.0213451534385687e-08
2019-12-01 00:44:57.795000,2.138105772003556e-07,2.8519142346383358e-08,1.8467271032910247e-08,1.950236073513659e-08
2019-12-01 00:59:57.795000,2.0362973491363167e-07,2.875658148452923e-08,1.8716868178454128e-08,1.9903485233441108e-08
2019-12-01 01:14:57.795000,2.1018637998552432e-07,2.8982342457763906e-08,1.8832851725414464e-08,2.0013337271048118e-08
2019-12-01 01:29:57.795000,1.978017402029762e-07,2.7041521612247092e-08,1.709997654214955e-08,1.806402618825022e-08
2019-12-01 01:44:57.795000,1.813700734212583e-07,2.6542455386191907e-08,1.627427269049913e-08,1.72097041430482e-08
2019-12-01 01:59:57.795000,2.0779279984738743e-07,2.7249003577447883e-08,1.706085341108679e-08,1.7988215721963256e-08
2019-12-01 02:14:57.795000,2.0730304670654234e-07,2.607751885458163e-08,1.6460650927499127e-08,1.721385041895943e-08
2019-12-01 02:29:57.795000,2.1556178788633186e-07,2.4135130255916e-08,1.5480334776526184e-08,1.6160895168697756e-08
2019-12-01 02:44:57.795000,2.1002761394554063e-07,2.404271897843842e-08,1.4722264222309505e-08,1.5551167532128615e-08
2019-12-01 02:59:57.795000,2.156033926536127e-07,2.3274619221412178e-08,1.4093554901355091e-08,1.4869578219255318e-08
2019-12-01 03:14:57.795000,2.0615347332417873e-07,2.27970503974989e-08,1.4042531552476199e-08,1.4741426020091302e-08
2019-12-01 03:29:57.795000,2.15824357578493e-07,2.235684813243974e-08,1.3825321329501145e-08,1.4546138990743175e-08
2019-12-01 03:44:57.795000,2.2639883644428967e-07,2.1381246471651805e-08,1.3174414791256412e-08,1.3735696468235578e-08
2019-12-01 03:59:57.795000,2.3579077022772863e-07,2.0708281366995037e-08,1.2680294848073753e-08,1.328263029620276e-08
2019-12-01 04:14:57.795000,2.1256273015087652e-07,2.0125665629195413e-08,1.2075494594393162e-08,1.2695188470695435e-08
2019-12-01 04:29:57.795000,2.2038222847004548e-07,2.002621949099652e-08,1.209742775532653e-08,1.2722930240169087e-08
2019-12-01 04:44:57.795000,2.2301379791400458e-07,1.8582461720307602e-08,1.1958438360323898e-08,1.2613898399951018e-08
2019-12-01 04:59:57.795000,2.03521712456446e-07,1.7873384097472903e-08,1.1595835988477868e-08,1.2159427082784823e-08
2019-12-01 05:14:57.795000,2.1699602679027672e-07,1.7399425811751797e-08,1.1306442988819598e-08,1.184172027749841e-08
2019-12-01 05:29:57.795000,2.2677687429982845e-07,1.483092721357854e-08,9.636793148982518e-09,1.012539333608552e-08
2019-12-01 05:44:57.795000,2.155009901705482e-07,1.441524800806698e-08,9.474986550095748e-09,9.999172644070184e-09
2019-12-01 05:59:57.795000,2.2630697345499055e-07,1.3858635079575086e-08,9.047121199492194e-09,9.539065996193301e-09
2019-12-01 06:14:57.795000,2.1984911626570108e-07,1.4733025007792056e-08,9.200085159637133e-09,9.913267383372508e-09
2019-12-01 06:29:57.795000,2.2299756445301088e-07,1.5394393396491704e-08,1.0110528967813177e-08,1.1112068558106277e-08
2019-12-01 06:44:57.795000,2.4185803501927766e-07,1.418462876731796e-08,9.493923413622757e-09,1.026836747191593e-08
2019-12-01 06:59:57.795000,2.496717205840057e-07,1.2849361143878987e-08,8.193907768230865e-09,8.67974049124085e-09
2019-12-01 07:14:57.795000,2.404211565504714e-07,1.3652242044000208e-08,8.77730938899244e-09,9.595181200561248e-09
2019-12-01 07:29:57.795000,2.4850549564737607e-07,1.2137073697288173e-08,7.833524513158873e-09,8.442708337727881e-09
2019-12-01 07:44:57.795000,2.533874125444469e-07,1.1726805995905296e-08,7.775967327972703e-09,8.301509806805736e-09
2019-12-01 07:59:57.795000,2.2582097771054618e-07,1.0881970119401971e-08,7.031116053721643e-09,7.425686503671098e-09
2019-12-01 08:14:57.795000,2.3191294969697753e-07,1.0992642953450317e-08,7.328220529652155e-09,7.73576695441783e-09
2019-12-01 08:29:57.795000,2.3792616710092057e-07,1.0863145889014037e-08,6.94187852143847e-09,7.356445075202577e-09
2019-12-01 08:44:57.795000,2.3884614537303965e-07,1.0827423377224933e-08,6.50536078201578e-09,6.79751917593126e-09
2019-12-01 08:59:57.795000,2.442233386759732e-07,1.0702111889695801e-08,6.552499252173529e-09,7.007523851186813e-09
2019-12-01 09:14:57.795000,2.5651362112344316e-07,1.0441656894335542e-08,5.894046237858888e-09,6.226722619151035e-09
2019-12-01 09:29:57.795000,2.362773057836523e-07,1.08375708917974e-08,6.19035886577958e-09,6.547098221974543e-09
2019-12-01 09:44:57.795000,2.1246674899245422e-07,1.20273051325108e-08,7.152275644222592e-09,7.724303225082417e-09
2019-12-01 09:59:57.795000,2.1900716623852693e-07,1.1658813535651669e-08,6.870484858755903e-09,7.434082394268264e-09
2019-12-01 10:14:57.795000,2.3475506738357354e-07,1.195633043784595e-08,7.1705841136246796e-09,7.495793278547263e-09
2019-12-01 10:29:57.795000,2.535948122134763e-07,1.33048105831381e-08,7.249230088727493e-09,7.48390196590494e-09
2019-12-01 10:44:57.795000,2.46213068699758e-07,1.5745401975877424e-08,8.348375294238854e-09,8.77527126690215e-09
