,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.996999,7.78638065068e-07,1.52812031063e-07,1.13277771072e-07,1.25782818519e-07
2019-10-31 23:44:58.996999,7.57539578164e-07,1.57264175066e-07,1.13840397008e-07,1.27283846909e-07
2019-10-31 23:59:58.996999,6.24728076664e-07,1.27485757275e-07,1.05990200859e-07,1.18674452128e-07
2019-11-01 00:14:58.996999,6.69445650202e-07,1.37823032889e-07,1.16744427675e-07,1.28598144055e-07
2019-11-01 00:29:58.996999,6.97840566416e-07,1.36995422691e-07,1.11169719203e-07,1.26894568473e-07
2019-11-01 00:44:58.996999,6.41014557537e-07,1.33063295016e-07,1.10092043592e-07,1.26770453177e-07
2019-11-01 00:59:58.996999,6.14156871742e-07,1.21552036151e-07,1.06198841826e-07,1.17564560298e-07
2019-11-01 01:14:58.996999,6.44959924065e-07,1.27961495987e-07,1.11537257898e-07,1.23904546091e-07
2019-11-01 01:29:58.996999,6.3880033048e-07,1.31020053474e-07,1.16162121765e-07,1.28152235046e-07
2019-11-01 01:44:58.996999,6.27366844916e-07,1.17285890592e-07,1.02191515047e-07,1.14253264189e-07
2019-11-01 01:59:58.996999,6.35664243367e-07,1.2334109909e-07,1.07954210619e-07,1.20596783872e-07
2019-11-01 02:14:58.996999,6.49928542798e-07,1.22268499215e-07,1.07026356992e-07,1.18948112377e-07
2019-11-01 02:29:58.996999,6.56483098894e-07,1.28261532955e-07,1.1179610939e-07,1.24571750178e-07
2019-11-01 02:44:58.996999,6.90317694264e-07,1.26577507269e-07,1.09974520844e-07,1.23062879819e-07
2019-11-01 02:59:58.996999,6.65261689523e-07,1.27725883724e-07,1.122795068e-07,1.22881464789e-07
2019-11-01 03:14:58.996999,6.42132422085e-07,1.30205722407e-07,1.12703600907e-07,1.24101292992e-07
2019-11-01 03:29:58.996999,6.69846010843e-07,1.26240933422e-07,1.11701695465e-07,1.22944065194e-07
2019-11-01 03:44:58.996999,6.90328574336e-07,1.30892108106e-07,1.16491814523e-07,1.27141559032e-07
2019-11-01 03:59:58.996999,7.13537340627e-07,1.34137158926e-07,1.18758724391e-07,1.28873415146e-07
2019-11-01 04:14:58.996999,7.74689820886e-07,1.44299122794e-07,1.24883322656e-07,1.34925078469e-07
2019-11-01 04:29:58.996999,8.20176102358e-07,1.3708873296e-07,1.10842399964e-07,1.25374695074e-07
2019-11-01 04:44:58.996999,8.03708926865e-07,1.47257064168e-07,1.19098121592e-07,1.39339836672e-07
2019-11-01 04:59:58.996999,1.61505536571e-05,1.50111890015e-07,1.23369415701e-07,1.42881689431e-07
