,0.1-1.0,1.0-20.0,4.0-10.0,4.0-14.0
2019-10-31 23:29:59.002000,1.16208716306e-05,1.03419727024e-07,1.82611471826e-08,2.17064820155e-08
2019-10-31 23:44:59.002000,1.18080521435e-07,3.6871809413e-08,1.74966919329e-08,2.10992960614e-08
2019-10-31 23:59:59.002000,1.24645979389e-07,4.17785805199e-08,1.85352987532e-08,2.19079213257e-08
2019-11-01 00:14:59.002000,1.92029080852e-07,6.67897491669e-08,2.41331538728e-08,2.72315416341e-08
2019-11-01 00:29:59.002000,1.38278133393e-07,4.55764756019e-08,1.8538604546e-08,2.17518026771e-08
2019-11-01 00:44:59.002000,1.14258189143e-07,3.54152804981e-08,1.52036191245e-08,1.87126795672e-08
2019-11-01 00:59:59.002000,1.59410112865e-07,7.30100394604e-08,2.14025295403e-08,2.4180135794e-08
2019-11-01 01:14:59.002000,1.59298659753e-07,7.31613624065e-08,2.20167221624e-08,2.50845650806e-08
2019-11-01 01:29:59.002000,2.09017984854e-07,9.87818732956e-08,2.98200719783e-08,3.27114022132e-08
2019-11-01 01:44:59.002000,2.55397099221e-07,1.07151835872e-07,2.88440056582e-08,3.15137322736e-08
2019-11-01 01:59:59.002000,1.93019466393e-07,5.95460285105e-08,1.74187943941e-08,1.99718461666e-08
2019-11-01 02:14:59.002000,1.03013061009e-07,1.96054160364e-08,1.07211236932e-08,1.41529845571e-08
2019-11-01 02:29:59.002000,1.09228351313e-07,1.89529385989e-08,1.00156909231e-08,1.34059034669e-08
2019-11-01 02:44:59.002000,1.03714349762e-07,1.92570758779e-08,1.12594385474e-08,1.40739714207e-08
2019-11-01 02:59:59.002000,1.06689553033e-07,1.89740235613e-08,1.07522247484e-08,1.36133403369e-08
2019-11-01 03:14:59.002000,1.01818984596e-07,1.47658124967e-08,8.48395945179e-09,1.06398777933e-08
2019-11-01 03:29:59.002000,1.04118503091e-07,1.16396976004e-08,7.66713484089e-09,8.78516605234e-09
2019-11-01 03:44:59.002000,1.07513431749e-07,1.1337967785e-08,7.28032241325e-09,8.33691014159e-09
2019-11-01 03:59:59.002000,1.15301471359e-07,1.19237971289e-08,7.6078143925e-09,8.43638765232e-09
2019-11-01 04:14:59.002000,1.07591775609e-07,1.12664101725e-08,7.06521551947e-09,7.78856943782e-09
2019-11-01 04:29:59.002000,1.03838504337e-07,1.09437311513e-08,6.56986429675e-09,7.39290511139e-09
2019-11-01 04:44:59.002000,1.05193623845e-07,1.08434449556e-08,6.26850199125e-09,6.98821409981e-09
2019-11-01 04:59:59.002000,9.84119434719e-08,9.02138393475e-09,5.14480141314e-09,5.71604929074e-09
2019-11-01 05:14:59.002000,9.80501322649e-08,8.62170227644e-09,4.94746257847e-09,5.50837784997e-09
2019-11-01 05:29:59.002000,1.01140514145e-07,8.87632521289e-09,5.23228929756e-09,5.80255469052e-09
2019-11-01 05:44:59.002000,1.03541494954e-07,8.87129602372e-09,4.98380774264e-09,5.55179771557e-09
2019-11-01 05:59:59.002000,1.02213465942e-07,8.97811714127e-09,4.54907982964e-09,5.07749271449e-09
2019-11-01 06:14:59.002000,1.04511348519e-07,8.93360526677e-09,4.80896104506e-09,5.54339982937e-09
2019-11-01 06:29:59.002000,1.02284202661e-07,8.91663904236e-09,4.75777148039e-09,5.5273781106e-09
2019-11-01 06:44:59.002000,9.92072478771e-08,8.1792700399e-09,4.24396236615e-09,4.70269159547e-09
