,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:59:58.073000,2.1425689957e-07,7.2591688299e-08,6.05442307453e-08,7.24489484079e-08
2019-11-01 00:14:58.073000,2.40984933814e-07,7.16516919405e-08,6.05402170045e-08,7.1485752319e-08
2019-11-01 00:29:58.073000,2.69757306046e-07,6.32785968969e-08,5.10770742256e-08,6.31141734042e-08
2019-11-01 00:44:58.073000,2.599332367e-07,6.77067171045e-08,5.3629686734e-08,6.75517186805e-08
2019-11-01 00:59:58.073000,3.16498478654e-07,6.66858793959e-08,5.29474784392e-08,6.65162922264e-08
2019-11-01 01:14:58.073000,4.45714410843e-07,6.6887391453e-08,5.42486878559e-08,6.67275900723e-08
2019-11-01 01:29:58.073000,2.69370036487e-07,6.36538008711e-08,5.10405405593e-08,6.35147658397e-08
2019-11-01 01:44:58.073000,5.88518971722e-07,7.36533814525e-08,6.04921908671e-08,7.34979229343e-08
2019-11-01 01:59:58.073000,3.46358091322e-07,7.8719089016e-08,6.50803776664e-08,7.85271895277e-08
2019-11-01 02:14:58.073000,2.70181179442e-07,7.86870414731e-08,6.44014420639e-08,7.8455412381e-08
2019-11-01 02:29:58.073000,5.77029566512e-07,7.55061975296e-08,6.1017188621e-08,7.52481906987e-08
2019-11-01 02:44:58.073000,5.71367179018e-07,7.44644894913e-08,5.95100832637e-08,7.42407135243e-08
2019-11-01 02:59:58.073000,2.51854456022e-07,7.64061529977e-08,6.11451617975e-08,7.61881719078e-08
2019-11-01 03:14:58.073000,2.54216254442e-07,8.11347372286e-08,6.38203673499e-08,8.09507403133e-08
2019-11-01 03:29:58.073000,3.42606197664e-07,7.46548046586e-08,5.85761917203e-08,7.44577973488e-08
2019-11-01 03:44:58.073000,2.66796139771e-07,6.22193497634e-08,4.89556632379e-08,6.19916322327e-08
2019-11-01 03:59:58.073000,2.49994200862e-07,7.02931233201e-08,5.52782171597e-08,7.01114785254e-08
2019-11-01 04:14:58.073000,3.40773717498e-07,6.9314470946e-08,5.57898042781e-08,6.91701024042e-08
2019-11-01 04:29:58.073000,5.17121958565e-07,6.38289549952e-08,5.05507076295e-08,6.36448564484e-08
2019-11-01 04:44:58.073000,4.00793936451e-07,6.56389801261e-08,5.0356440115e-08,6.54714800362e-08
2019-11-01 04:59:58.073000,1.75457671193e-05,6.82987853438e-08,5.20620379958e-08,6.55651637818e-08
2019-11-01 05:14:58.073000,1.7502827363e-05,7.16100025859e-08,5.54916769189e-08,6.90144119277e-08
2019-11-01 05:29:58.073000,2.43470045396e-07,6.59447605284e-08,5.26400622004e-08,6.57906604803e-08
2019-11-01 05:44:58.073000,2.53007323495e-07,6.16049135693e-08,4.90360743375e-08,6.14249663667e-08
2019-11-01 05:59:58.073000,2.61357024667e-07,6.23552415381e-08,5.06863451196e-08,6.21592672491e-08
2019-11-01 06:14:58.073000,2.57838835126e-07,6.75179190893e-08,5.62055012296e-08,6.73104396755e-08
2019-11-01 06:29:58.073000,2.41808044579e-07,6.85403769825e-08,5.71354583475e-08,6.83615568266e-08
2019-11-01 06:44:58.073000,2.54885669579e-07,6.20289527527e-08,5.11866359994e-08,6.18968964115e-08
2019-11-01 06:59:58.073000,2.60128792819e-07,6.05097992506e-08,4.92000815538e-08,6.03268367811e-08
2019-11-01 07:14:58.073000,2.41106302726e-07,6.28164391297e-08,5.25021365276e-08,6.25980814363e-08
2019-11-01 07:29:58.073000,2.1963477979e-07,6.46280393227e-08,5.47963404152e-08,6.44454978786e-08
2019-11-01 07:44:58.073000,2.57028609756e-07,6.17967736524e-08,5.07706868575e-08,6.15711712063e-08
2019-11-01 07:59:58.073000,2.44661869032e-07,5.93432961211e-08,4.7343494242e-08,5.91010255881e-08
2019-11-01 08:14:58.073000,2.2376682194e-07,6.32144200724e-08,5.28048005648e-08,6.3022804534e-08
2019-11-01 08:29:58.073000,2.6063587646e-07,6.46316742383e-08,5.47978650247e-08,6.44484052969e-08
2019-11-01 08:44:58.073000,2.6060767872e-07,6.57077597317e-08,5.62769371983e-08,6.55068065567e-08
2019-11-01 08:59:58.073000,2.53231886644e-07,7.23208247601e-08,6.40035445249e-08,7.20184550627e-08
2019-11-01 09:14:58.073000,2.38904051784e-07,6.49173315871e-08,5.67393276731e-08,6.46408930246e-08
2019-11-01 09:29:58.073000,4.13909315339e-06,6.01191691782e-08,5.09972402614e-08,5.88269317574e-08
2019-11-01 09:44:58.073000,5.5980011819e-06,6.73413848806e-08,5.63655910244e-08,6.54235195849e-08
2019-11-01 09:59:58.073000,2.43306381805e-07,7.0613480872e-08,5.9869812678e-08,7.04336843065e-08
2019-11-01 10:14:58.073000,2.47602748829e-07,6.33866761689e-08,5.31421579283e-08,6.32120758229e-08
2019-11-01 10:29:58.073000,2.44834663378e-07,6.11169837406e-08,5.11754240407e-08,6.08980407213e-08
2019-11-01 10:44:58.073000,2.60467263722e-07,6.49413410288e-08,5.44582968775e-08,6.4717258821e-08
2019-11-01 10:59:58.073000,3.63260832566e-07,6.2343655286e-08,5.18656443475e-08,6.21742275031e-08
2019-11-01 11:14:58.073000,3.19544119592e-07,5.89665240758e-08,4.9238507777e-08,5.87853756386e-08
