,4.0-14.0
2019-10-31 23:29:58.997999,40.4080877014
2019-10-31 23:44:58.997999,40.7162752147
2019-10-31 23:59:58.997999,41.0462962698
2019-11-01 00:14:58.997999,42.8612541144
2019-11-01 00:29:58.997999,39.1657751004
2019-11-01 00:44:58.997999,38.4634420188
2019-11-01 00:59:58.997999,41.6328682724
2019-11-01 01:14:58.997999,38.1926674679
2019-11-01 01:29:58.997999,37.849310688
2019-11-01 01:44:58.997999,35.4724420623
2019-11-01 01:59:58.997999,36.2143094509
2019-11-01 02:14:58.997999,36.319936242
2019-11-01 02:29:58.997999,34.4278566892
2019-11-01 02:44:58.997999,31.9601234066
2019-11-01 02:59:58.997999,32.8731404477
2019-11-01 03:14:58.997999,32.5813498783
2019-11-01 03:29:58.997999,33.0916673052
2019-11-01 03:44:58.997999,31.3015526686
2019-11-01 03:59:58.997999,30.0696401346
2019-11-01 04:14:58.997999,36.5435559028
2019-11-01 04:29:58.997999,39.0800287447
2019-11-01 04:44:58.997999,37.8202908126
2019-11-01 04:59:58.997999,34.1233863922
2019-11-01 05:14:58.997999,32.9029505783
2019-11-01 05:29:58.997999,32.4594681806
2019-11-01 05:44:58.997999,39.2700271442
2019-11-01 05:59:58.997999,41.1179705715
2019-11-01 06:14:58.997999,38.3242122006
2019-11-01 06:29:58.997999,36.6260012573
2019-11-01 06:44:58.997999,38.8305133124
2019-11-01 06:59:58.997999,39.8870850196
2019-11-01 07:14:58.997999,41.7914550143
2019-11-01 07:29:58.997999,40.6543563791
2019-11-01 07:44:58.997999,41.0821710318
2019-11-01 07:59:58.997999,41.0629676632
2019-11-01 08:14:58.997999,42.1328226431
2019-11-01 08:29:58.997999,41.2005897235
2019-11-01 08:44:58.997999,45.7924306087
2019-11-01 08:59:58.997999,49.1575442503
2019-11-01 09:14:58.997999,53.1682467926
2019-11-01 09:29:58.997999,66.3083331241
2019-11-01 09:44:58.997999,64.2967847783
2019-11-01 09:59:58.997999,67.5497967015
2019-11-01 10:14:58.997999,82.1590340659
2019-11-01 10:29:58.997999,77.9286318599
2019-11-01 10:44:58.997999,60.8121070486
2019-11-01 10:59:58.997999,61.4870130166
2019-11-01 11:14:58.997999,68.6728432717
2019-11-01 11:29:58.997999,75.7698589985
2019-11-01 11:44:58.997999,73.946366559
2019-11-01 11:59:58.997999,73.1472525091
2019-11-01 12:14:58.997999,73.2521316165
2019-11-01 12:29:58.997999,66.3752031942
2019-11-01 12:44:58.997999,76.7202324525
2019-11-01 12:59:58.997999,87.6017718703
2019-11-01 13:14:58.997999,81.1489930217
2019-11-01 13:29:58.997999,76.2956168558
2019-11-01 13:44:58.997999,76.4183518065
2019-11-01 13:59:58.997999,71.9277581869
2019-11-01 14:14:58.997999,70.3833094178
2019-11-01 14:29:58.997999,68.6514170161
2019-11-01 14:44:58.997999,73.8121582678
2019-11-01 14:59:58.997999,71.8038966987
2019-11-01 15:14:58.997999,65.9948539108
2019-11-01 15:29:58.997999,63.8465989096
2019-11-01 15:44:58.997999,68.5564289016
2019-11-01 15:59:58.997999,67.4455771746
2019-11-01 16:14:58.997999,87.9614778414
2019-11-01 16:29:58.997999,81.1571061843
2019-11-01 16:44:58.997999,54.6180958931
2019-11-01 16:59:58.997999,63.5870713873
2019-11-01 17:14:58.997999,65.7180773009
2019-11-01 17:29:58.997999,65.6802409446
2019-11-01 17:44:58.997999,76.6617228352
2019-11-01 17:59:58.997999,75.644686935
2019-11-01 18:14:58.997999,66.1636563578
2019-11-01 18:29:58.997999,76.7319852227
2019-11-01 18:44:58.997999,71.38124677
2019-11-01 18:59:58.997999,63.896762244
2019-11-01 19:14:58.997999,76.6845503322
2019-11-01 19:29:58.997999,69.3561837504
2019-11-01 19:44:58.997999,62.117482545
2019-11-01 19:59:58.997999,52.3837320221
2019-11-01 20:14:58.997999,51.990153909
2019-11-01 20:29:58.997999,51.0215559952
2019-11-01 20:44:58.997999,48.6270229699
2019-11-01 20:59:58.997999,50.0272268815
2019-11-01 21:14:58.997999,49.8791956002
2019-11-01 21:29:58.997999,46.961297818
2019-11-01 21:44:58.997999,42.8580434612
2019-11-01 21:59:58.997999,41.3440001911
2019-11-01 22:14:58.997999,37.8927282397
2019-11-01 22:29:58.997999,41.0801734318
2019-11-01 22:44:58.997999,48.0100549127
2019-11-01 22:59:58.997999,47.3222102661
2019-11-01 23:14:58.997999,45.2395527598
2019-11-01 23:29:58.997999,60.8467174177
2019-11-01 23:44:58.997999,48.3518188583
2019-11-01 23:59:58.997999,38.9512799364
2019-11-02 00:14:58.997999,39.4896511881
2019-11-02 00:29:58.997999,33.8956693449
2019-11-02 00:44:58.997999,31.7662321614
2019-11-02 00:59:58.997999,37.627663263
2019-11-02 01:14:58.997999,46.3839166177
2019-11-02 01:29:58.997999,46.9545696744
2019-11-02 01:44:58.997999,32.8153461357
2019-11-02 01:59:58.997999,36.0788475381
2019-11-02 02:14:58.997999,43.1763887729
2019-11-02 02:29:58.997999,44.8836808583
2019-11-02 02:44:58.997999,47.8611884347
2019-11-02 02:59:58.997999,32.6658585448
2019-11-02 03:14:58.997999,32.5986405625
2019-11-02 03:29:58.997999,35.5174990561
2019-11-02 03:44:58.997999,30.6497752729
2019-11-02 03:59:58.997999,24.5983067786
2019-11-02 04:14:58.997999,27.5701607703
2019-11-02 04:29:58.997999,31.9654442728
2019-11-02 04:44:58.997999,36.8251236803
2019-11-02 04:59:58.997999,35.3516845552
2019-11-02 05:14:58.997999,31.2817598962
2019-11-02 05:29:58.997999,28.7329623633
2019-11-02 05:44:58.997999,29.0764635977
2019-11-02 05:59:58.997999,25.7566474516
2019-11-02 06:14:58.997999,31.0227440397
2019-11-02 06:29:58.997999,32.6823776946
2019-11-02 06:44:58.997999,26.0871535123
2019-11-02 06:59:58.997999,31.7517542385
2019-11-02 07:14:58.997999,36.5478420783
2019-11-02 07:29:58.997999,31.5967666115
2019-11-02 07:44:58.997999,33.9890934419
2019-11-02 07:59:58.997999,42.1850228698
2019-11-02 08:14:58.997999,32.7290772679
2019-11-02 08:29:58.997999,35.4920268981
2019-11-02 08:44:58.997999,33.3854256632
2019-11-02 08:59:58.997999,38.7161454913
2019-11-02 09:14:58.997999,41.5156953295
2019-11-02 09:29:58.997999,42.6223042734
2019-11-02 09:44:58.997999,42.8644841254
2019-11-02 09:59:58.997999,48.9998598433
2019-11-02 10:14:58.997999,43.4414231935
2019-11-02 10:29:58.997999,43.3115317858
2019-11-02 10:44:58.997999,45.7412955829
2019-11-02 10:59:58.997999,46.5423439432
2019-11-02 11:14:58.997999,49.1676323754
2019-11-02 11:29:58.997999,51.0358006517
2019-11-02 11:44:58.997999,50.5630011399
2019-11-02 11:59:58.997999,50.4294801735
2019-11-02 12:14:58.997999,49.2528300308
2019-11-02 12:29:58.997999,53.5602737977
2019-11-02 12:44:58.997999,51.6264363559
2019-11-02 12:59:58.997999,44.6765007414
2019-11-02 13:14:58.997999,47.7604101638
2019-11-02 13:29:58.997999,48.3218555335
2019-11-02 13:44:58.997999,48.3921430455
2019-11-02 13:59:58.997999,51.8566018841
2019-11-02 14:14:58.997999,44.6825348861
2019-11-02 14:29:58.997999,46.3807212968
2019-11-02 14:44:58.997999,60.2130859948
2019-11-02 14:59:58.997999,53.3330967604
2019-11-02 15:14:58.997999,47.0846054788
2019-11-02 15:29:58.997999,47.7899270222
2019-11-02 15:44:58.997999,47.7073651461
2019-11-02 15:59:58.997999,49.6665557825
2019-11-02 16:14:58.997999,39.6428330021
2019-11-02 16:29:58.997999,51.132573442
2019-11-02 16:44:58.997999,56.9173886713
2019-11-02 16:59:58.997999,51.6648415172
2019-11-02 17:14:58.997999,51.4006373942
2019-11-02 17:29:58.997999,46.1533284036
2019-11-02 17:44:58.997999,40.3592049716
2019-11-02 17:59:58.997999,39.9245646891
2019-11-02 18:14:58.997999,38.7498561336
2019-11-02 18:29:58.997999,39.9840117994
2019-11-02 18:44:58.997999,36.135399882
2019-11-02 18:59:58.997999,33.6656263311
2019-11-02 19:14:58.997999,37.3892480991
2019-11-02 19:29:58.997999,39.4381547885
2019-11-02 19:44:58.997999,35.1439841779
2019-11-02 19:59:58.997999,37.3997894371
2019-11-02 20:14:58.997999,39.6318849315
2019-11-02 20:29:58.997999,38.1379602402
2019-11-02 20:44:58.997999,27.7671270918
2019-11-02 20:59:58.997999,28.9288910589
2019-11-02 21:14:58.997999,31.1023725278
2019-11-02 21:29:58.997999,31.5573359545
2019-11-02 21:44:58.997999,32.9298008175
2019-11-02 21:59:58.997999,38.6352968418
2019-11-02 22:14:58.997999,36.7697053103
2019-11-02 22:29:58.997999,37.3719486154
2019-11-02 22:44:58.997999,33.358645467
2019-11-02 22:59:58.997999,34.3317079967
2019-11-02 23:14:58.997999,35.4964161738
2019-11-02 23:29:58.997999,34.72965197
2019-11-02 23:44:58.997999,30.4210434814
2019-11-02 23:59:58.997999,31.1532135442
2019-11-03 00:14:58.998000,26.0661574704
2019-11-03 00:29:58.998000,24.0075521409
2019-11-03 00:44:58.998000,25.1990146409
2019-11-03 00:59:58.998000,26.0522179921
2019-11-03 01:14:58.998000,28.5290516734
2019-11-03 01:29:58.998000,24.7629099812
2019-11-03 01:44:58.998000,24.5251018771
2019-11-03 01:59:58.998000,26.1497933827
2019-11-03 02:14:58.998000,31.3173894389
2019-11-03 02:29:58.998000,36.2704173093
2019-11-03 02:44:58.998000,34.1069379007
2019-11-03 02:59:58.998000,34.350886939
2019-11-03 03:14:58.998000,25.7688543688
2019-11-03 03:29:58.998000,20.3109174715
2019-11-03 03:44:58.998000,19.8107091235
2019-11-03 03:59:58.998000,22.1302327809
2019-11-03 04:14:58.998000,24.6665651562
2019-11-03 04:29:58.998000,24.6457474278
2019-11-03 04:44:58.998000,20.9337105739
2019-11-03 04:59:58.998000,26.7875025182
2019-11-03 05:14:58.998000,25.8055444541
2019-11-03 05:29:58.998000,18.078258688
2019-11-03 05:44:58.998000,20.468868441
2019-11-03 05:59:58.998000,19.0901063684
2019-11-03 06:14:58.998000,17.9127475518
2019-11-03 06:29:58.998000,18.0010314911
2019-11-03 06:44:58.998000,17.8496094635
2019-11-03 06:59:58.998000,20.2595605394
2019-11-03 07:14:58.998000,22.5238501926
2019-11-03 07:29:58.998000,21.3156164768
2019-11-03 07:44:58.998000,19.4072736941
2019-11-03 07:59:58.998000,18.9189534725
2019-11-03 08:14:58.998000,17.9103779825
2019-11-03 08:29:58.998000,18.648259007
2019-11-03 08:44:58.998000,17.2729003761
2019-11-03 08:59:58.998000,17.3309682527
2019-11-03 09:14:58.998000,19.4118504062
2019-11-03 09:29:58.998000,19.1210452004
2019-11-03 09:44:58.998000,23.2375281028
2019-11-03 09:59:58.998000,23.0918005661
2019-11-03 10:14:58.998000,19.7408810302
2019-11-03 10:29:58.998000,22.7529297793
2019-11-03 10:44:58.998000,26.3178473325
2019-11-03 10:59:58.998000,27.8198158953
2019-11-03 11:14:58.998000,24.8205376752
2019-11-03 11:29:58.998000,20.9489410783
2019-11-03 11:44:58.998000,25.3695037422
