,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-02-15 14:12:12.672999,3.096723820490807e-07,6.432173237067887e-09,4.239282007045136e-09,5.729947812596015e-09
2020-02-15 14:27:12.672999,3.2687517583810495e-07,6.9192970873705834e-09,4.872013580345548e-09,6.339268096131495e-09
2020-02-15 14:42:12.672999,3.1737227317320657e-07,6.733289992307705e-09,4.8248867759408965e-09,6.252138790020275e-09
2020-02-15 14:57:12.672999,3.264462092992909e-07,6.316956391991211e-09,4.1795299226625e-09,5.82057918368604e-09
2020-02-15 15:12:12.672999,3.2006589056977037e-07,6.035037040834147e-09,3.7913621633807915e-09,5.597106846816083e-09
2020-02-15 15:27:12.672999,3.286396256109634e-07,5.409272300247982e-09,3.2851120502494784e-09,5.1354604192806856e-09
2020-02-15 15:42:12.672999,2.959503070104914e-07,6.113322831373157e-09,3.511689886952006e-09,5.856291101809201e-09
2020-02-15 15:57:12.672999,3.1025904911526924e-07,5.914930043900805e-09,3.941407416597144e-09,5.588747142183977e-09
2020-02-15 16:12:12.672999,3.4059828145374356e-07,5.717822194932896e-09,3.83815385576676e-09,5.423587474799708e-09
2020-02-15 16:27:12.672999,3.351422280045491e-07,5.383250009463848e-09,3.447943585215009e-09,5.155603319964215e-09
2020-02-15 16:42:12.672999,3.163708526216864e-07,5.6747233682173624e-09,3.7167619984292387e-09,5.441171753716334e-09
2020-02-15 16:57:12.672999,3.298009583148622e-07,5.375668622119907e-09,3.280828236960003e-09,5.16522091704372e-09
2020-02-15 17:12:12.672999,3.203226849800727e-07,5.361921764167036e-09,3.2151270812160983e-09,5.161460694824291e-09
2020-02-15 17:27:12.672999,3.2396960500759667e-07,5.384574274926979e-09,3.2175335220322315e-09,5.195028391361957e-09
2020-02-15 17:42:12.672999,2.930377044795837e-07,4.713401520315684e-09,3.0338783651049034e-09,4.5134846821049685e-09
2020-02-15 17:57:12.672999,2.9417145268804006e-07,4.331726231117935e-09,3.167044368613634e-09,4.1211155075931646e-09
2020-02-15 18:12:12.672999,3.358942316531681e-07,3.3811283435212673e-09,2.4350113821785313e-09,2.9740738517451052e-09
2020-02-15 18:27:12.672999,3.335924817509706e-07,2.9189086865533137e-09,2.2299563303585352e-09,2.6317967576933978e-09
2020-02-15 18:42:12.672999,3.2527850167289803e-07,2.945848589053437e-09,2.2846957737744824e-09,2.604113036844462e-09
