,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.996000,2.78510983375e-07,4.89291733807e-09,5.35699291407e-10,5.6756429378e-10
2019-10-31 23:44:58.996000,2.67692384842e-07,4.96311241286e-09,4.98614891596e-10,5.40307481618e-10
2019-10-31 23:59:58.996000,2.70569122737e-07,4.78633125913e-09,4.28820178209e-10,4.65789569783e-10
2019-11-01 00:14:58.996000,2.75247331622e-07,5.08018708482e-09,4.11738247825e-10,4.43473354076e-10
2019-11-01 00:29:58.996000,2.71749907742e-07,5.40170522741e-09,3.83418334224e-10,4.14955175177e-10
2019-11-01 00:44:58.996000,2.66296760278e-07,5.60387369567e-09,3.51854598173e-10,3.84567689361e-10
2019-11-01 00:59:58.996000,2.71186899822e-07,5.63732768147e-09,3.62800309118e-10,4.04040972563e-10
2019-11-01 01:14:58.996000,2.84232258138e-07,5.72728809339e-09,4.32651408113e-10,4.69125248124e-10
2019-11-01 01:29:58.996000,2.8252030495e-07,5.86596331743e-09,3.87351323332e-10,4.14919659331e-10
2019-11-01 01:44:58.996000,2.75127873582e-07,6.07754514256e-09,2.91662418023e-10,3.19493895476e-10
2019-11-01 01:59:58.996000,2.77251484136e-07,6.29069489558e-09,2.36896241386e-10,2.66950462226e-10
2019-11-01 02:14:58.996000,2.70737122623e-07,6.72884573926e-09,2.74522826624e-10,3.0350043801e-10
2019-11-01 02:29:58.996000,2.71328625075e-07,6.92757106004e-09,2.75290359519e-10,2.99986385375e-10
2019-11-01 02:44:58.996000,2.6935580622e-07,6.90208908196e-09,3.00856618134e-10,3.24533491199e-10
2019-11-01 02:59:58.996000,2.67918694343e-07,7.03704378371e-09,3.04820155528e-10,3.29967838829e-10
2019-11-01 03:14:58.996000,2.75675147223e-07,7.5860018441e-09,4.11837919043e-10,4.3588032448e-10
2019-11-01 03:29:58.996000,2.81071346679e-07,7.71281369376e-09,5.30581534058e-10,5.5577739355e-10
2019-11-01 03:44:58.996000,2.80161030918e-07,7.65196652265e-09,4.85231215933e-10,5.09350737371e-10
2019-11-01 03:59:58.996000,2.77283305028e-07,7.41913361582e-09,4.88039115359e-10,5.1365986517e-10
2019-11-01 04:14:58.996000,2.79292037192e-07,7.113234634e-09,4.29948716618e-10,4.54910590389e-10
2019-11-01 04:29:58.996000,2.82461653365e-07,7.31653879243e-09,4.238030345e-10,4.55579954859e-10
2019-11-01 04:44:58.996000,2.82631260987e-07,7.22857134048e-09,4.40502186175e-10,4.77865483056e-10
2019-11-01 04:59:58.996000,3.28345854084e-05,3.36948126089e-08,3.93797434754e-09,3.97514623729e-09
2019-11-01 05:14:58.996000,3.27942139309e-05,3.37817014152e-08,3.97242737586e-09,4.012825649e-09
2019-11-01 05:29:58.996000,2.87367370529e-07,7.52661253739e-09,6.01069200248e-10,6.29146103729e-10
2019-11-01 05:44:58.996000,2.83964735119e-07,7.05481953128e-09,6.64650706857e-10,6.92603016845e-10
2019-11-01 05:59:58.996000,2.7174523959e-07,7.07561150195e-09,7.99366413286e-10,8.44418746252e-10
2019-11-01 06:14:58.996000,2.73245139358e-07,7.08823054188e-09,7.91541279123e-10,8.52928523266e-10
2019-11-01 06:29:58.996000,2.7575095397e-07,7.16464461607e-09,9.58478484789e-10,1.23482618936e-09
2019-11-01 06:44:58.996000,2.68729481628e-07,7.0578648678e-09,1.05908558324e-09,1.68208701751e-09
2019-11-01 06:59:58.996000,2.58913166925e-07,6.93422455283e-09,1.11440437277e-09,1.74679171939e-09
2019-11-01 07:14:58.996000,2.5956967501e-07,7.0220257974e-09,1.21456386534e-09,1.79351142396e-09
2019-11-01 07:29:58.996000,2.67441824844e-07,7.23770597654e-09,1.22343026982e-09,1.69870463627e-09
2019-11-01 07:44:58.996000,2.63793453743e-07,7.05848283878e-09,1.30604771286e-09,1.64850371074e-09
2019-11-01 07:59:58.996000,2.62601550458e-07,6.59050936202e-09,1.29096485195e-09,1.57015625218e-09
2019-11-01 08:14:58.996000,2.68279348857e-07,6.64812548333e-09,1.31299210737e-09,1.63658311009e-09
2019-11-01 08:29:58.996000,2.60353054715e-07,6.50116502055e-09,1.26293439763e-09,1.54906540429e-09
2019-11-01 08:44:58.996000,2.67181806008e-07,6.28003400142e-09,1.30149514343e-09,1.61048840733e-09
2019-11-01 08:59:58.996000,2.64438290853e-07,6.25309441838e-09,1.27697580645e-09,1.49830873804e-09
2019-11-01 09:14:58.996000,2.56180476115e-07,5.86426269665e-09,1.27631907212e-09,1.3807806043e-09
2019-11-01 09:29:58.996000,1.64948979606e-05,2.44830525977e-08,2.77409171664e-09,2.84453013415e-09
2019-11-01 09:44:58.996000,2.28989562381e-05,3.32266418873e-08,3.40523834715e-09,3.46685924775e-09
2019-11-01 09:59:58.996000,2.52875448694e-07,5.802788543e-09,1.15104428429e-09,1.2406832258e-09
2019-11-01 10:14:58.996000,2.44513843061e-07,5.56292287054e-09,1.17873848779e-09,1.29203071449e-09
2019-11-01 10:29:58.996000,2.630752162e-07,5.48874891483e-09,1.35346026258e-09,1.45596494482e-09
2019-11-01 10:44:58.996000,2.59812903737e-07,5.70072575265e-09,1.3630020391e-09,1.46497440236e-09
2019-11-01 10:59:58.996000,2.47008562392e-07,5.39931942286e-09,1.26865458693e-09,1.37319425772e-09
2019-11-01 11:14:58.996000,2.41480084008e-07,5.52688277609e-09,1.43441703056e-09,1.5042657886e-09
