,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.956998,4.4329496166855653e-07,6.987874959014326e-08,6.620826492992933e-08,6.906044940602946e-08
2019-10-31 23:44:58.956998,4.5528887088658163e-07,6.450339314457515e-08,6.09309064598041e-08,6.361588359457236e-08
2019-10-31 23:59:58.956998,4.4618028508761726e-07,6.524112113452487e-08,6.185552989326441e-08,6.440375932316884e-08
2019-11-01 00:14:58.956998,4.368575593744152e-07,6.567535321909565e-08,6.25504747935266e-08,6.494901918168695e-08
2019-11-01 00:29:58.956998,4.379899148144396e-07,5.3550156947965694e-08,5.034159594944292e-08,5.2592071503144226e-08
2019-11-01 00:44:58.956998,4.478594633467545e-07,6.119320642996835e-08,5.82824344651299e-08,6.04156905032394e-08
2019-11-01 00:59:58.956998,4.6590779406216053e-07,6.365549173837799e-08,6.06593457935717e-08,6.289155084017885e-08
2019-11-01 01:14:58.956998,2.2816097818898706e-05,5.4633763217736276e-08,4.587783302749144e-08,4.830900549714052e-08
2019-11-01 01:29:58.956998,3.081239030322003e-05,6.180610886526526e-08,4.9719763485963215e-08,5.191893999610029e-08
2019-11-01 01:44:58.956998,4.4629467935399787e-07,5.549733862523368e-08,5.226941835866905e-08,5.4484496380513107e-08
2019-11-01 01:59:58.956998,4.4073417810397506e-07,5.3824929682162975e-08,5.0813745163730856e-08,5.297050648315576e-08
2019-11-01 02:14:58.956998,2.6984174564786008e-05,5.782968923015433e-08,4.6017828580122146e-08,4.8010456598467136e-08
2019-11-01 02:29:58.956998,2.7093910322783706e-05,5.68808451932807e-08,4.496067109054287e-08,4.6663729543106855e-08
2019-11-01 02:44:58.956998,4.2409930305025087e-07,4.3886070856081756e-08,4.1126729826637484e-08,4.2903531210349936e-08
2019-11-01 02:59:58.956998,4.3856129956101224e-07,3.7736718883799e-08,3.467187195420319e-08,3.6740274873193346e-08
2019-11-01 03:14:58.956998,4.427812791304096e-07,3.498225235394557e-08,3.194275017468935e-08,3.392385193628333e-08
2019-11-01 03:29:58.956998,4.3484186673868906e-07,4.4493554518285264e-08,4.225879410059605e-08,4.374995906170685e-08
2019-11-01 03:44:58.956998,4.129057793492261e-07,3.4244878966548853e-08,3.1774011975931626e-08,3.329797673653139e-08
2019-11-01 03:59:58.956998,2.20800689558591e-06,2.964361232208087e-08,2.641876517907187e-08,2.8105108359818035e-08
2019-11-01 04:14:58.956998,2.2128240644478588e-06,3.118263777296635e-08,2.7866583306723806e-08,2.9714283172365327e-08
2019-11-01 04:29:58.956998,3.968062184891339e-07,3.123903902681624e-08,2.8255209273417273e-08,3.0079564727334634e-08
2019-11-01 04:44:58.956998,4.1132185776873224e-07,2.8652985132488785e-08,2.5946336772842345e-08,2.745878644393323e-08
2019-11-01 04:59:58.956998,2.6318218523991292e-05,4.405306880768452e-08,2.363541028903048e-08,2.5031284525518403e-08
2019-11-01 05:14:58.956998,2.6279657835094205e-05,4.296565406516348e-08,2.1898455889912112e-08,2.3242621350911135e-08
2019-11-01 05:29:58.956998,4.310956318644904e-07,2.891857294386079e-08,2.643536106734144e-08,2.78042378706926e-08
2019-11-01 05:44:58.956998,4.015103473894763e-07,2.953362555766662e-08,2.691173207621336e-08,2.846949280123179e-08
2019-11-01 05:59:58.956998,3.857420044272757e-07,2.2158831139377563e-08,1.9332677903906473e-08,2.0731987154019858e-08
2019-11-01 06:14:58.956998,3.8221365830885576e-07,2.164207570545394e-08,1.9086260942292228e-08,2.0209866970021695e-08
2019-11-01 06:29:58.956998,3.8043671780984575e-07,1.997333721617076e-08,1.7446790029652675e-08,1.8506112866146057e-08
2019-11-01 06:44:58.956998,6.488504842127178e-06,3.283208955462025e-08,2.2862849761030885e-08,2.40234814116407e-08
2019-11-01 06:59:58.956998,9.411902739610341e-06,3.3405249745127046e-08,1.8911520753160382e-08,2.002416767593383e-08
2019-11-01 07:14:58.956998,3.9237112969028244e-07,2.06467382974485e-08,1.8434822179907395e-08,1.9362816396594207e-08
2019-11-01 07:29:58.956998,3.8364002251140296e-07,2.6621895162893573e-08,2.4461727472573217e-08,2.5574202567323487e-08
2019-11-01 07:44:58.956998,3.731289418529908e-07,3.0071625214944274e-08,2.8080256877953845e-08,2.9245794718305155e-08
2019-11-01 07:59:58.956998,3.65644214129619e-07,4.838660727917053e-08,4.720049493069801e-08,4.792758366262873e-08
2019-11-01 08:14:58.956998,3.7636914979627493e-07,5.2820782777287126e-08,5.1193269695658846e-08,5.239410433498175e-08
2019-11-01 08:29:58.956998,3.8204103799637073e-07,5.344415384871917e-08,5.113048267389246e-08,5.3005325704815664e-08
2019-11-01 08:44:58.956998,3.777997164651372e-07,3.3262265740161264e-08,3.074423889100035e-08,3.2587798583538384e-08
2019-11-01 08:59:58.956998,3.5810219410458806e-07,2.7371245972224893e-08,2.505309276211203e-08,2.6537898137176506e-08
2019-11-01 09:14:58.956998,3.7084748922230503e-07,1.310057374706332e-07,1.3008162464854539e-07,1.3082775237916518e-07
2019-11-01 09:29:58.956998,1.7171821612487882e-05,1.5724845054410027e-07,1.5485961795424197e-07,1.5566364919212516e-07
2019-11-01 09:44:58.956998,2.5373836763575648e-05,7.61740669620536e-08,6.772248199754332e-08,6.983078364040715e-08
2019-11-01 09:59:58.956998,3.9539124657032736e-07,8.084318470674102e-08,7.786052273730736e-08,8.056289504918238e-08
2019-11-01 10:14:58.956998,3.8462180875957643e-07,1.035774946545375e-07,1.0050845155406943e-07,1.0331828414605315e-07
2019-11-01 10:29:58.956998,3.8783564459133184e-07,1.0429072737747815e-07,1.0178787438817489e-07,1.040703789693855e-07
2019-11-01 10:44:58.956998,3.7968172766068034e-07,9.280222082433453e-08,9.027456465000505e-08,9.25583436369737e-08
