,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:56.988998,1.095493802900576e-05,2.2474630487241064e-08,8.18423677474374e-09,9.939796013897269e-09
2019-11-30 23:44:56.988998,7.412932953824071e-06,2.0111366128590293e-08,7.551221188964235e-09,9.154831232227427e-09
2019-11-30 23:59:56.988998,7.670513896364809e-07,1.5074701945150797e-08,7.092917844477349e-09,8.699598079966013e-09
2019-12-01 00:14:56.988998,7.410663696877797e-07,1.4254342118754328e-08,7.373908632085126e-09,8.936384722752666e-09
2019-12-01 00:29:56.988998,7.508587150139957e-07,1.3505174448044242e-08,7.267131338287856e-09,8.756846101307899e-09
2019-12-01 00:44:56.988998,7.409271878142125e-07,1.4581761692547511e-08,7.544186255608252e-09,8.967604215191547e-09
2019-12-01 00:59:56.988998,7.339761175923611e-07,1.5470072873546033e-08,9.307062842742927e-09,1.1015960101436477e-08
2019-12-01 01:14:56.988998,7.465040441953524e-07,1.19328276356845e-08,7.204935245691088e-09,8.82683521025164e-09
2019-12-01 01:29:56.988998,7.788244158301877e-07,1.2676033360868176e-08,7.559616027910536e-09,9.181456718672484e-09
2019-12-01 01:44:56.988998,8.096995704172404e-07,1.1612757553951955e-08,6.84573866252588e-09,8.290527171657531e-09
2019-12-01 01:59:56.988998,7.930197440679297e-07,1.0964999635106747e-08,6.192514467913205e-09,7.614766027105594e-09
2019-12-01 02:14:56.988998,7.384156382306704e-07,1.0642953231996355e-08,5.783395635636342e-09,7.363728015741172e-09
2019-12-01 02:29:56.988998,7.36570747843102e-07,1.0497449942090413e-08,6.3634820139635295e-09,7.737311940800333e-09
2019-12-01 02:44:56.988998,7.491625408684877e-07,1.1081024587224208e-08,6.940253557284589e-09,8.300358077394322e-09
2019-12-01 02:59:56.988998,7.174400424709239e-07,1.0696594579052173e-08,6.2469129184927285e-09,7.60854216055566e-09
2019-12-01 03:14:56.988998,7.852815753518409e-07,1.09879348944385e-08,5.913929128443673e-09,7.006285372538995e-09
