,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.001000,6.36722582957e-07,4.67038510847e-09,1.29032942988e-09,1.31574097739e-09
2019-10-31 23:44:59.001000,6.28661873168e-07,4.7513810143e-09,1.6349848738e-09,1.96075318085e-09
2019-10-31 23:59:59.001000,6.24773660721e-07,4.43343539624e-09,1.06658170767e-09,1.39166676981e-09
2019-11-01 00:14:59.001000,6.12840360999e-07,4.15891314024e-09,4.40778306245e-10,4.61047987006e-10
2019-11-01 00:29:59.001000,6.06632328011e-07,4.00412438138e-09,4.4326805483e-10,4.66766506906e-10
2019-11-01 00:44:59.001000,6.31504941701e-07,3.99102314184e-09,4.61742019933e-10,4.8263358294e-10
2019-11-01 00:59:59.001000,6.49212932459e-07,3.98872774518e-09,4.63312081596e-10,4.79413409804e-10
2019-11-01 01:14:59.001000,6.58897636676e-07,4.05838523263e-09,4.91499828791e-10,5.15199881849e-10
2019-11-01 01:29:59.001000,6.34587506062e-07,4.11372387513e-09,4.95662036434e-10,5.18485567649e-10
2019-11-01 01:44:59.001000,6.39212708378e-07,4.05986723987e-09,5.02059519644e-10,5.22235270725e-10
2019-11-01 01:59:59.001000,6.66020398929e-07,4.02425607868e-09,5.03149322178e-10,5.22625487769e-10
2019-11-01 02:14:59.001000,6.91920605067e-07,3.96353575274e-09,5.16302582311e-10,5.35213555467e-10
2019-11-01 02:29:59.001000,6.82293867773e-07,3.88780760648e-09,4.93917642753e-10,5.12810877685e-10
2019-11-01 02:44:59.001000,6.63575108204e-07,3.80501171348e-09,4.77296383833e-10,4.97734714117e-10
2019-11-01 02:59:59.001000,6.55325845238e-07,3.84965614729e-09,5.07061627087e-10,5.59249963983e-10
2019-11-01 03:14:59.001000,6.37029801128e-07,3.78657919225e-09,4.4011658066e-10,4.59818770501e-10
2019-11-01 03:29:59.001000,6.77708152842e-07,3.8166186997e-09,4.59746406085e-10,4.76749001993e-10
2019-11-01 03:44:59.001000,7.30365818835e-07,3.77628004961e-09,4.84481499197e-10,4.99599084861e-10
2019-11-01 03:59:59.001000,7.36904819123e-07,3.71826566618e-09,4.87360365853e-10,5.00724028701e-10
2019-11-01 04:14:59.001000,6.93862327429e-07,3.70970303558e-09,4.85168481748e-10,4.99675294692e-10
2019-11-01 04:29:59.001000,7.38931385931e-07,3.73093911461e-09,5.00868449619e-10,5.18058398896e-10
2019-11-01 04:44:59.001000,7.09241869028e-07,3.69620944212e-09,4.78410242568e-10,4.92772842092e-10
2019-11-01 04:59:59.001000,9.38811303643e-07,4.02327112251e-09,5.38463840886e-10,5.53086843057e-10
2019-11-01 05:14:59.001000,9.27087528181e-07,4.01318092837e-09,5.20721046264e-10,5.36589483739e-10
2019-11-01 05:29:59.001000,7.33893293178e-07,3.71177433104e-09,4.93274915171e-10,5.09432611834e-10
2019-11-01 05:44:59.001000,6.7841104614e-07,3.72364192435e-09,4.74659655611e-10,4.9023592743e-10
2019-11-01 05:59:59.001000,7.26197507685e-07,3.77687124214e-09,4.89676044077e-10,5.07545970252e-10
2019-11-01 06:14:59.001000,7.02079613986e-07,3.77503343124e-09,4.77556716533e-10,4.97507298535e-10
2019-11-01 06:29:59.001000,7.13019840172e-07,3.8278413401e-09,4.90465774495e-10,5.07312665486e-10
2019-11-01 06:44:59.001000,7.07414076018e-07,3.8789039062e-09,4.93597247098e-10,5.12419110871e-10
2019-11-01 06:59:59.001000,7.29977601336e-07,3.89428137564e-09,5.12017324851e-10,5.38074379311e-10
2019-11-01 07:14:59.001000,7.81469031409e-07,4.08718700814e-09,6.1316726217e-10,6.64396463128e-10
2019-11-01 07:29:59.001000,7.75966225756e-07,4.03431721764e-09,5.81276747313e-10,6.33031580894e-10
2019-11-01 07:44:59.001000,7.33297310932e-07,4.01898985768e-09,5.43357978999e-10,5.86319082897e-10
2019-11-01 07:59:59.001000,7.27033070051e-07,4.14540324579e-09,5.50675207142e-10,6.12293187066e-10
2019-11-01 08:14:59.001000,7.38781604569e-07,4.07026267248e-09,5.4576770707e-10,5.89192019211e-10
2019-11-01 08:29:59.001000,7.07237812384e-07,4.1700120557e-09,6.3885313188e-10,6.89248181115e-10
2019-11-01 08:44:59.001000,6.98637746443e-07,4.19010007666e-09,5.83514106229e-10,6.3436327792e-10
2019-11-01 08:59:59.001000,7.38988218835e-07,4.20577930739e-09,5.5070014213e-10,5.956511357e-10
2019-11-01 09:14:59.001000,7.91382871897e-07,4.33830243238e-09,5.71500187421e-10,6.1453417727e-10
2019-11-01 09:29:59.001000,8.23042177492e-07,4.45278414906e-09,6.01021895588e-10,6.54022571792e-10
2019-11-01 09:44:59.001000,8.39292374002e-07,4.56192676626e-09,5.71057502076e-10,6.18395344415e-10
2019-11-01 09:59:59.001000,7.24543662339e-07,4.51307926318e-09,6.09936649199e-10,6.77940655949e-10
2019-11-01 10:14:59.001000,7.16588569337e-07,4.53882172283e-09,6.59495297486e-10,7.43700028545e-10
2019-11-01 10:29:59.001000,7.07383301743e-07,4.51213052794e-09,6.38153845285e-10,7.1160302126e-10
2019-11-01 10:44:59.001000,7.01045549027e-07,4.5227187669e-09,6.32564869669e-10,7.04978364945e-10
2019-11-01 10:59:59.001000,7.20429474127e-07,4.68611286227e-09,6.44072106286e-10,7.05126411941e-10
2019-11-01 11:14:59.001000,7.43797403593e-07,4.90966257356e-09,7.3403626572e-10,8.50523226418e-10
2019-11-01 11:29:59.001000,7.63392321736e-07,4.96423580809e-09,8.33158247839e-10,9.43931505506e-10
2019-11-01 11:44:59.001000,7.35254202467e-07,5.47863023228e-09,1.14023408723e-09,1.23847936903e-09
2019-11-01 11:59:59.001000,7.24279812319e-07,5.59760893978e-09,1.16606940253e-09,1.26086123417e-09
2019-11-01 12:14:59.001000,7.32543043035e-07,5.76342019746e-09,2.14737561152e-09,2.35848659224e-09
2019-11-01 12:29:59.001000,7.46531582878e-07,5.90474686705e-09,2.24111255018e-09,2.44248568859e-09
2019-11-01 12:44:59.001000,7.3619985274e-07,6.17220181542e-09,2.35947873083e-09,2.60736587948e-09
2019-11-01 12:59:59.001000,6.95402068413e-07,6.76398738305e-09,2.40293807805e-09,3.82839720457e-09
2019-11-01 13:14:59.001000,7.15985921095e-07,5.74547910181e-09,1.20044513361e-09,2.15832411465e-09
