,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-11 10:54:31.914999,3.10075932521e-07,1.34883643671e-07,9.40838367048e-08,9.60296131678e-08
2019-11-11 11:09:31.914999,2.99775266883e-07,1.37204386118e-07,1.00426117304e-07,1.01846332959e-07
2019-11-11 11:24:31.914999,3.25452295791e-07,1.34125351041e-07,1.02111349117e-07,1.03345547331e-07
2019-11-11 11:39:31.914999,3.09339618189e-07,1.35293159013e-07,1.01933236422e-07,1.02722004428e-07
2019-11-11 11:54:31.914999,2.94487283011e-07,1.30794181842e-07,9.9883655008e-08,1.00575177598e-07
2019-11-11 12:09:31.914999,2.92271523313e-07,1.21276838081e-07,9.33711967819e-08,9.40642954692e-08
2019-11-11 12:24:31.914999,2.77472955853e-07,1.23841848359e-07,9.17117440107e-08,9.21374031078e-08
2019-11-11 12:39:31.914999,2.7092634503e-07,1.19040800827e-07,9.10943007818e-08,9.22483885019e-08
2019-11-11 12:54:31.914999,2.9544882174e-07,1.14528332132e-07,9.09337094388e-08,9.20453128692e-08
2019-11-11 13:09:31.914999,3.02861127671e-07,1.20051761524e-07,9.210427364e-08,9.27696248028e-08
2019-11-11 13:24:31.914999,2.97340872251e-07,1.118338569e-07,8.50803211517e-08,8.57441089224e-08
2019-11-11 13:39:31.914999,2.95953304743e-07,1.1520343611e-07,9.00412809629e-08,9.06570632227e-08
2019-11-11 13:54:31.914999,2.77470296074e-07,1.18545618455e-07,9.42296130697e-08,9.47965791955e-08
2019-11-11 14:09:31.914999,3.00506712634e-07,1.12711900437e-07,8.39523862087e-08,8.46997568219e-08
2019-11-11 14:24:31.914999,2.93624261584e-07,1.03571641368e-07,7.45749497714e-08,7.51225393021e-08
2019-11-11 14:39:31.914999,2.81737241084e-07,1.06934704852e-07,7.58376338492e-08,7.61692400662e-08
2019-11-11 14:54:31.914999,2.69750220602e-07,1.04178985033e-07,7.50708861883e-08,7.53904115302e-08
2019-11-11 15:09:31.914999,2.53205245334e-07,9.84866450037e-08,6.99707375399e-08,7.02920825082e-08
2019-11-11 15:24:31.914999,2.79136842409e-07,9.08911305668e-08,6.41034217212e-08,6.44473936282e-08
2019-11-11 15:39:31.914999,2.82547307682e-07,1.00442106877e-07,7.30135162816e-08,7.34581840666e-08
2019-11-11 15:54:31.914999,2.95771077403e-07,9.57996846407e-08,6.90524951108e-08,6.93994977021e-08
2019-11-11 16:09:31.914999,2.92413813206e-07,9.94968713715e-08,6.8508649558e-08,6.88198912192e-08
2019-11-11 16:24:31.914999,2.95468254353e-07,1.08256780514e-07,7.51595286229e-08,7.54626721822e-08
2019-11-11 16:39:31.914999,2.86387658063e-07,1.09297406164e-07,7.69856491913e-08,7.73550448897e-08
2019-11-11 16:54:31.914999,3.00261290684e-07,1.06228600007e-07,7.58916414497e-08,7.628857334e-08
