,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.003999,4.88584881264e-07,3.82817107151e-08,4.30187965652e-09,4.34503405909e-09
2019-10-31 23:44:59.003999,4.72235905141e-07,3.58559390725e-08,4.23679460397e-09,4.28326068158e-09
2019-10-31 23:59:59.003999,4.68915470872e-07,3.55565925771e-08,3.96045504424e-09,4.00117419864e-09
2019-11-01 00:14:59.003999,4.81147823847e-07,4.08573391159e-08,4.61254123952e-09,4.65502704422e-09
2019-11-01 00:29:59.003999,4.60262493722e-07,3.43295185438e-08,3.78605055205e-09,3.82659903382e-09
2019-11-01 00:44:59.003999,4.624039524e-07,2.53932071051e-08,2.77630758033e-09,2.81275363533e-09
2019-11-01 00:59:59.003999,4.67727722199e-07,2.3636818867e-08,2.90557446521e-09,2.94441245787e-09
2019-11-01 01:14:59.003999,4.66920212695e-07,3.60340733229e-08,4.2080287681e-09,4.25060565419e-09
2019-11-01 01:29:59.003999,4.69277994165e-07,3.3732723274e-08,3.77185665641e-09,3.80985331525e-09
2019-11-01 01:44:59.003999,4.49295818325e-07,2.43143029931e-08,2.78684129428e-09,2.82312404063e-09
2019-11-01 01:59:59.003999,4.4084549513e-07,2.9089362057e-08,3.41726389482e-09,3.45953404891e-09
2019-11-01 02:14:59.003999,4.47803998149e-07,2.90586256648e-08,3.55722445223e-09,3.60454976941e-09
2019-11-01 02:29:59.003999,4.78959667298e-07,2.32899432553e-08,2.66868349994e-09,2.71701926019e-09
2019-11-01 02:44:59.003999,4.63769270615e-07,2.64935017972e-08,3.02536015415e-09,3.07537864109e-09
2019-11-01 02:59:59.003999,4.92818562542e-07,4.06692269057e-08,4.64851889075e-09,4.70382370089e-09
2019-11-01 03:14:59.003999,5.04212727244e-07,4.68212238139e-08,5.447131387e-09,5.50377252405e-09
2019-11-01 03:29:59.003999,4.71195535757e-07,4.11239059075e-08,4.55061636555e-09,4.60937430433e-09
2019-11-01 03:44:59.003999,4.73031927766e-07,5.07751178078e-08,5.52835913189e-09,5.59146237349e-09
2019-11-01 03:59:59.003999,4.96037883348e-07,5.58627130236e-08,6.1885755645e-09,6.25139872432e-09
2019-11-01 04:14:59.003999,5.11273755307e-07,4.75311640484e-08,5.2626485754e-09,5.32527356049e-09
2019-11-01 04:29:59.003999,4.93279850166e-07,3.81297906301e-08,4.27983770687e-09,4.33984503207e-09
2019-11-01 04:44:59.003999,4.49558840587e-07,2.187430305e-08,2.56037514703e-09,2.61670136656e-09
2019-11-01 04:59:59.003999,3.46093081151e-05,4.544567791e-08,4.86283472698e-09,4.91628670056e-09
2019-11-01 05:14:59.003999,3.45630007349e-05,4.65546804772e-08,5.03063173998e-09,5.08694708916e-09
2019-11-01 05:29:59.003999,4.85091181638e-07,2.39782961044e-08,2.72361378885e-09,2.78249456505e-09
2019-11-01 05:44:59.003999,4.8114116486e-07,2.33693110523e-08,2.68677223316e-09,2.73955611751e-09
2019-11-01 05:59:59.003999,4.79251734817e-07,1.83105374245e-08,2.13477646092e-09,2.19737629839e-09
2019-11-01 06:14:59.003999,4.58841466837e-07,1.65541052868e-08,1.96493151681e-09,2.04654570993e-09
2019-11-01 06:29:59.003999,4.77729540887e-07,1.44632966522e-08,1.68826848332e-09,1.76385760297e-09
2019-11-01 06:44:59.003999,4.54093140656e-07,1.84163980325e-08,2.127551523e-09,2.19702215457e-09
2019-11-01 06:59:59.003999,4.88271551379e-07,2.25805005545e-08,2.86102188918e-09,2.93691693696e-09
2019-11-01 07:14:59.003999,4.92186056334e-07,2.11375015768e-08,2.6282465515e-09,2.7256053013e-09
2019-11-01 07:29:59.003999,4.88580042303e-07,1.76008670803e-08,2.1969231749e-09,2.29535142458e-09
2019-11-01 07:44:59.003999,4.69428919244e-07,2.07155415083e-08,2.38844892019e-09,2.46113454243e-09
2019-11-01 07:59:59.003999,4.95543730224e-07,2.10813730266e-08,2.6644146858e-09,2.73873475433e-09
2019-11-01 08:14:59.003999,5.12731055301e-07,3.16406927679e-08,3.68878392896e-09,3.76320632515e-09
2019-11-01 08:29:59.003999,5.12350657917e-07,3.91608728264e-08,4.18154195951e-09,4.27356751634e-09
2019-11-01 08:44:59.003999,5.20408582174e-07,2.7244935376e-08,2.95265355616e-09,3.03381325073e-09
2019-11-01 08:59:59.003999,5.3492714885e-07,1.80255558811e-08,2.12250297504e-09,2.19199247689e-09
2019-11-01 09:14:59.003999,5.02122281799e-07,2.25498068086e-08,2.68512374837e-09,2.74852055721e-09
2019-11-01 09:29:59.003999,2.56975029722e-05,4.07879061453e-08,4.69360503305e-09,4.79273741497e-09
2019-11-01 09:44:59.003999,3.54042997931e-05,5.48818867021e-08,5.9625402287e-09,6.07014292967e-09
