,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-16 23:13:35.828000,3.04060424812e-07,8.06554903973e-08,4.7117756482e-08,5.7111202283e-08
2019-11-16 23:28:35.828000,3.02891172591e-07,6.88226076134e-08,4.11533656626e-08,4.95166469416e-08
2019-11-16 23:59:59.558000,2.79321547364e-07,4.56539629426e-08,2.99761135638e-08,3.95208238611e-08
2019-11-17 00:14:59.558000,2.71017587615e-07,6.44968196351e-08,3.66703771803e-08,4.50776803905e-08
2019-11-17 00:29:59.558000,2.64678606219e-07,6.18604600388e-08,3.74234056815e-08,4.94080306225e-08
2019-11-17 00:44:59.558000,2.75095094311e-07,7.31283902212e-08,4.96281977598e-08,6.11261631505e-08
2019-11-17 00:59:59.558000,3.09197963518e-07,4.78121283257e-08,3.11795621067e-08,3.98447743446e-08
2019-11-17 01:14:59.558000,2.72086429331e-07,3.17318003356e-08,2.25858067988e-08,3.14476161715e-08
2019-11-17 01:29:59.558000,2.45750328457e-07,3.13085417896e-08,2.23280835166e-08,3.07935015103e-08
2019-11-17 01:44:59.558000,2.49140275277e-07,3.7899585416e-08,2.33689168455e-08,3.18027037486e-08
2019-11-17 01:59:59.558000,2.73318487113e-07,4.38238995569e-08,2.62755692924e-08,3.52196994412e-08
2019-11-17 02:14:59.558000,2.64290797412e-07,2.93343862794e-08,2.1907972117e-08,2.8864643159e-08
2019-11-17 02:29:59.558000,2.72080562925e-07,2.68606881104e-08,2.07647436255e-08,2.62144623204e-08
2019-11-17 02:44:59.558000,3.31450759711e-07,2.69289728966e-08,2.09767520277e-08,2.62532221064e-08
2019-11-17 02:59:59.558000,2.09231053302e-05,3.69466830985e-08,1.99515803441e-08,2.48605340416e-08
2019-11-17 03:14:59.558000,2.77619552225e-05,4.16456746372e-08,1.57006361016e-08,2.0314919102e-08
2019-11-17 03:29:59.558000,2.60372185119e-07,2.15520781019e-08,1.56236729456e-08,2.07626282881e-08
2019-11-17 03:44:59.558000,2.71313647634e-07,2.67802166858e-08,2.12025418314e-08,2.5986860216e-08
2019-11-17 03:59:59.558000,2.37016542555e-07,2.2836918138e-08,1.77114571733e-08,2.26025349057e-08
2019-11-17 04:14:59.558000,2.36432675835e-07,2.10444267203e-08,1.47273752888e-08,2.08734152193e-08
2019-11-17 04:29:59.558000,2.54112614349e-07,2.01891343284e-08,1.40409878092e-08,1.99848785804e-08
2019-11-17 04:44:59.558000,2.60519226828e-07,1.98981674604e-08,1.41317752905e-08,1.95197083046e-08
2019-11-17 04:59:59.558000,2.50506067858e-07,2.04075475361e-08,1.47935491812e-08,1.98364684897e-08
2019-11-17 05:14:59.558000,2.65583305741e-07,1.85775224108e-08,1.30844959904e-08,1.8128497091e-08
2019-11-17 05:29:59.558000,2.63665531672e-07,1.66344221525e-08,1.10723744922e-08,1.56838495636e-08
2019-11-17 05:44:59.558000,2.74590534735e-07,1.53639830561e-08,1.00973909901e-08,1.41669675277e-08
2019-11-17 05:59:59.558000,2.60168803453e-07,1.59225150998e-08,1.0580310781e-08,1.54414129179e-08
2019-11-17 06:14:59.558000,2.38867031779e-07,1.68015170616e-08,1.1445103242e-08,1.64560250035e-08
2019-11-17 06:29:59.558000,2.52767612267e-07,1.29808262779e-08,9.58674796637e-09,1.27859548114e-08
2019-11-17 06:44:59.558000,2.39178023645e-07,1.25300890345e-08,9.58265153853e-09,1.23268085488e-08
2019-11-17 06:59:59.558000,2.24597018301e-07,1.26544166194e-08,8.38139707685e-09,1.24286255797e-08
2019-11-17 07:14:59.558000,2.36832522642e-07,1.24561115149e-08,7.21456246033e-09,1.22289288779e-08
2019-11-17 07:29:59.558000,2.45918822847e-07,1.05345590704e-08,6.54382937927e-09,1.02818388759e-08
2019-11-17 07:44:59.558000,2.45716012614e-07,1.3727372427e-08,8.05178982138e-09,1.3298602557e-08
2019-11-17 07:59:59.558000,2.66239486741e-07,1.55495550098e-08,8.88329445505e-09,1.48854040584e-08
2019-11-17 08:14:59.558000,2.71142710714e-07,1.4971045e-08,9.60058784048e-09,1.40223419484e-08
2019-11-17 08:29:59.558000,2.50471499666e-07,1.29732464712e-08,8.53694538618e-09,1.21648833167e-08
2019-11-17 08:44:59.558000,2.61525577601e-07,1.11180520247e-08,7.74857651479e-09,1.0778754985e-08
2019-11-17 08:59:59.558000,2.73078929503e-07,1.51121307648e-08,1.23944726701e-08,1.48535065874e-08
2019-11-17 09:14:59.558000,2.60532345916e-07,1.41150488177e-08,1.06609273689e-08,1.37037236918e-08
2019-11-17 09:29:59.558000,2.41408342998e-07,1.0569969004e-08,7.45861994586e-09,1.01924488806e-08
2019-11-17 09:44:59.558000,2.53339555467e-07,3.03043666418e-08,1.60536399636e-08,2.07880032765e-08
2019-11-17 09:59:59.558000,2.631475922e-07,3.14616712747e-08,1.76049080208e-08,2.22924429973e-08
2019-11-17 10:14:59.558000,2.63916195636e-07,1.24018499424e-08,7.81626021984e-09,1.20350414768e-08
2019-11-17 10:29:59.558000,2.59045988851e-07,1.55847752922e-08,1.20422860454e-08,1.53990699824e-08
2019-11-17 10:44:59.558000,2.67948094223e-07,1.68368242667e-08,1.36591435692e-08,1.66372842777e-08
2019-11-17 10:59:59.558000,2.53451540763e-07,1.8547350871e-08,1.27961227463e-08,1.79976654017e-08
2019-11-17 11:14:59.558000,2.5962246134e-07,1.80211123244e-08,1.1974616109e-08,1.76659507651e-08
2019-11-17 11:29:59.558000,2.57105314576e-07,2.3972897944e-08,1.72611661148e-08,2.3349866009e-08
2019-11-17 11:44:59.558000,2.48301937027e-07,2.88620925622e-08,2.09050502054e-08,2.81572110417e-08
2019-11-17 11:59:59.558000,2.36206200468e-07,2.55128779744e-08,1.61470067698e-08,2.52283027508e-08
2019-11-17 12:14:59.558000,2.70549758925e-07,2.83551170417e-08,1.95747378579e-08,2.80250802614e-08
2019-11-17 12:29:59.558000,3.19473218657e-07,2.75504250605e-08,1.80242535166e-08,2.71739366764e-08
2019-11-17 12:44:59.558000,3.04125443136e-07,2.98565840131e-08,2.1145734226e-08,2.93552499268e-08
2019-11-17 12:59:59.558000,2.75118278441e-07,2.65844313777e-08,1.92986460651e-08,2.58989935306e-08
2019-11-17 13:14:59.558000,2.69795983527e-07,3.33558673667e-08,2.4915242743e-08,3.28323544624e-08
2019-11-17 13:29:59.558000,2.46743676415e-07,4.05125833263e-08,2.76298867739e-08,3.98968712014e-08
2019-11-17 13:44:59.558000,2.5244012686e-07,4.24158618897e-08,3.05477676419e-08,4.17303451198e-08
