,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.005000,7.19886147244e-07,2.53675416842e-08,1.09084341387e-08,1.12740527198e-08
2019-10-31 23:44:59.005000,4.49395805684e-07,2.62432016589e-08,1.38217644217e-08,1.44939919507e-08
2019-10-31 23:59:59.005000,4.20235821644e-07,2.75436889225e-08,1.54220094488e-08,1.57506616209e-08
2019-11-01 00:14:59.005000,3.92413062504e-07,2.61223352328e-08,1.28854251603e-08,1.32753160518e-08
2019-11-01 00:29:59.005000,4.15493978417e-07,2.78234686127e-08,1.39901426708e-08,1.46896930834e-08
2019-11-01 00:44:59.005000,4.33037271757e-07,2.74744372287e-08,1.2868463219e-08,1.33241430164e-08
2019-11-01 00:59:59.005000,4.18028376116e-07,2.74951932344e-08,1.44405293608e-08,1.4689672005e-08
2019-11-01 01:14:59.005000,4.37233246279e-07,2.7130203806e-08,1.26400447666e-08,1.29308901263e-08
2019-11-01 01:29:59.005000,4.10350181628e-07,2.36063484882e-08,9.89541547137e-09,1.01395305457e-08
2019-11-01 01:44:59.005000,4.07962728729e-07,2.4868446354e-08,1.22893664684e-08,1.27569465844e-08
2019-11-01 01:59:59.005000,4.1451176815e-07,2.59243277937e-08,1.3883744145e-08,1.42920769207e-08
2019-11-01 02:14:59.005000,4.25582450513e-07,2.57979307535e-08,1.08736649224e-08,1.09117648474e-08
2019-11-01 02:29:59.005000,4.05383383263e-07,2.53150451352e-08,9.2308758439e-09,9.30799734181e-09
2019-11-01 02:44:59.005000,3.97271853524e-07,2.52556932443e-08,1.38453920827e-08,1.40034108754e-08
2019-11-01 02:59:59.005000,4.02174958076e-07,2.73295657633e-08,1.71952324326e-08,1.72832010592e-08
2019-11-01 03:14:59.005000,4.24066812652e-07,2.60915682289e-08,1.27886587239e-08,1.28360852108e-08
2019-11-01 03:29:59.005000,3.97920578408e-07,2.71018174474e-08,1.31440864404e-08,1.33455542673e-08
2019-11-01 03:44:59.005000,3.96929232909e-07,3.19163108591e-08,1.73656094578e-08,1.74991158183e-08
2019-11-01 03:59:59.005000,3.9446719624e-07,3.1575616212e-08,1.79359961654e-08,1.80968373871e-08
2019-11-01 04:14:59.005000,4.15648583875e-07,2.96031673124e-08,1.56263739808e-08,1.58719007088e-08
2019-11-01 04:29:59.005000,4.21915226748e-07,2.88963026541e-08,1.33232689881e-08,1.34571079317e-08
2019-11-01 04:44:59.005000,3.75612211874e-07,2.92761252768e-08,1.49322461551e-08,1.49923502765e-08
2019-11-01 04:59:59.005000,3.4962790457e-05,5.09343479171e-08,1.57471645682e-08,1.58392955691e-08
2019-11-01 05:14:59.005000,3.49253051781e-05,5.18406929642e-08,1.59181593358e-08,1.60234749148e-08
2019-11-01 05:29:59.005000,5.56984102446e-07,3.07706550809e-08,1.61559162377e-08,1.65235707965e-08
2019-11-01 05:44:59.005000,3.9306088524e-07,3.09482927816e-08,1.693584917e-08,1.73114899643e-08
2019-11-01 05:59:59.005000,4.00310867059e-07,3.26483535512e-08,1.76044943135e-08,1.77178289853e-08
2019-11-01 06:14:59.005000,4.04008952004e-07,3.60601621e-08,2.12641195041e-08,2.1873484441e-08
2019-11-01 06:29:59.005000,3.9240524803e-07,3.43323410138e-08,2.00070002556e-08,2.05369904914e-08
2019-11-01 06:44:59.005000,3.89444316633e-07,3.20767565336e-08,1.71831151457e-08,1.75393315502e-08
2019-11-01 06:59:59.005000,3.85418289258e-07,3.40372663173e-08,1.96164029742e-08,2.03187469178e-08
2019-11-01 07:14:59.005000,1.39204534312e-05,4.86871578118e-08,2.09498297395e-08,2.19537451193e-08
2019-11-01 07:29:59.005000,1.60655904555e-05,5.37809474199e-08,2.30687547146e-08,2.34491522762e-08
2019-11-01 07:44:59.005000,3.93934291828e-07,3.63313547145e-08,2.175581923e-08,2.20942081886e-08
2019-11-01 07:59:59.005000,3.86646111157e-07,3.66744858948e-08,2.23800264611e-08,2.29541753601e-08
2019-11-01 08:14:59.005000,3.74774456723e-07,3.9197994718e-08,2.40258022607e-08,2.46731984378e-08
2019-11-01 08:29:59.005000,3.93054414851e-07,4.24778511129e-08,2.74274021584e-08,2.84993309135e-08
2019-11-01 08:44:59.005000,3.72987242307e-07,4.08568304476e-08,2.45767289911e-08,2.53634469648e-08
2019-11-01 08:59:59.005000,3.77657600129e-07,4.17218388579e-08,2.39124022665e-08,2.42899755428e-08
2019-11-01 09:14:59.005000,8.43743444023e-07,4.55487950431e-08,2.66186442777e-08,2.70354328907e-08
2019-11-01 09:29:59.005000,2.6422694325e-05,4.94545781222e-08,2.39461838522e-08,2.42705698607e-08
2019-11-01 09:44:59.005000,3.63536937157e-05,5.32508462576e-08,2.25423524033e-08,2.27873126903e-08
2019-11-01 09:59:59.005000,3.85060512868e-07,3.87785917871e-08,2.36381993911e-08,2.42276655779e-08
2019-11-01 10:14:59.005000,3.82913915456e-07,3.88298631544e-08,2.22705081725e-08,2.29211338926e-08
2019-11-01 10:29:59.005000,3.68588958964e-07,3.92497663167e-08,2.23218480034e-08,2.2828229567e-08
2019-11-01 10:44:59.005000,3.77328441366e-07,3.90186453214e-08,2.23684896504e-08,2.27258528663e-08
2019-11-01 10:59:59.005000,5.65269253891e-07,4.03053387464e-08,2.24044339544e-08,2.27427233616e-08
2019-11-01 11:14:59.005000,5.27486238884e-07,3.87343585718e-08,2.20550791602e-08,2.2455043799e-08
2019-11-01 11:29:59.005000,3.64645717975e-07,3.92063726212e-08,2.30760296728e-08,2.34231718358e-08
2019-11-01 11:44:59.005000,5.86274200726e-07,4.15690262411e-08,2.41150132078e-08,2.44328029708e-08
2019-11-01 11:59:59.005000,5.9569374196e-07,4.14427245883e-08,2.42618871426e-08,2.46679132556e-08
2019-11-01 12:14:59.005000,3.57975588832e-07,4.10562875431e-08,2.44853723179e-08,2.50028180924e-08
2019-11-01 12:29:59.005000,3.90519125403e-07,4.18887656232e-08,2.46275910676e-08,2.51302627903e-08
2019-11-01 12:44:59.005000,4.25011619924e-07,4.40647651535e-08,2.61324822302e-08,2.69423951901e-08
2019-11-01 12:59:59.005000,4.11313853929e-07,4.03144978017e-08,2.45171012982e-08,2.56171540185e-08
2019-11-01 13:14:59.005000,3.82379310255e-07,3.91737820564e-08,2.31996346633e-08,2.41578787675e-08
2019-11-01 13:29:59.005000,3.78974764825e-07,3.78506111178e-08,2.24383273233e-08,2.28497637686e-08
2019-11-01 13:44:59.005000,3.71809667074e-07,3.89403672893e-08,2.3363653332e-08,2.38974955053e-08
2019-11-01 13:59:59.005000,3.82041019341e-07,3.93645769635e-08,2.34189225042e-08,2.39221591191e-08
2019-11-01 14:14:59.005000,4.00814415691e-07,4.02058283889e-08,2.32997693178e-08,2.36640756639e-08
2019-11-01 14:29:59.005000,4.26735385723e-07,4.43595702338e-08,2.56713901866e-08,2.60568157923e-08
2019-11-01 14:44:59.005000,4.01039769074e-07,4.48975743607e-08,2.64293653107e-08,2.69088695651e-08
2019-11-01 14:59:59.005000,3.85831876296e-07,4.08724191208e-08,2.45592066294e-08,2.52547948719e-08
2019-11-01 15:14:59.005000,3.96071717252e-07,4.18331172088e-08,2.4898114063e-08,2.56057971664e-08
2019-11-01 15:29:59.005000,3.88350973769e-07,4.06591416427e-08,2.48039725923e-08,2.55381634671e-08
2019-11-01 15:44:59.005000,4.03527116472e-07,4.02209058176e-08,2.49688881985e-08,2.58598652368e-08
2019-11-01 15:59:59.005000,4.13297461652e-07,4.21498388604e-08,2.52572591273e-08,2.60483099201e-08
2019-11-01 16:14:59.005000,4.09495836879e-07,4.25353022666e-08,2.59363530354e-08,2.66107826265e-08
2019-11-01 16:29:59.005000,4.04663472052e-07,4.18156610526e-08,2.48929395328e-08,2.55653659136e-08
2019-11-01 16:44:59.005000,5.68782810715e-07,4.08859266678e-08,2.32472782054e-08,2.38444647041e-08
2019-11-01 16:59:59.005000,5.88218292323e-07,3.75553834401e-08,2.00084468935e-08,2.0256857848e-08
2019-11-01 17:14:59.005000,4.14161605829e-07,3.6177764518e-08,2.10005145125e-08,2.15083853676e-08
2019-11-01 17:29:59.005000,4.26977109388e-07,3.74304803206e-08,2.1762035032e-08,2.216101349e-08
2019-11-01 17:44:59.005000,4.08200888191e-07,3.60346176595e-08,2.07175194764e-08,2.11989527496e-08
2019-11-01 17:59:59.005000,4.11976618268e-07,3.57636507915e-08,2.02075984763e-08,2.05839440802e-08
2019-11-01 18:14:59.005000,4.24761922607e-07,3.71453004096e-08,2.14841354343e-08,2.2035346218e-08
2019-11-01 18:29:59.005000,4.35579200214e-07,3.542956875e-08,2.04564574452e-08,2.08999875041e-08
2019-11-01 18:44:59.005000,4.23235749617e-07,3.50165591764e-08,1.91604784465e-08,1.93730481452e-08
2019-11-01 18:59:59.005000,4.06878747894e-07,3.32593876241e-08,1.74439930172e-08,1.76311493073e-08
2019-11-01 19:14:59.005000,4.29926975492e-07,3.47714970574e-08,1.84069188117e-08,1.8639481157e-08
2019-11-01 19:29:59.005000,4.34644399949e-07,3.50654328165e-08,1.938031344e-08,1.97412139228e-08
2019-11-01 19:44:59.005000,4.44799559488e-07,3.11550685744e-08,1.67264730444e-08,1.70694223116e-08
2019-11-01 19:59:59.005000,3.70804642157e-05,4.77042436718e-08,1.78490873659e-08,1.80938786733e-08
2019-11-01 20:14:59.005000,3.18508619277e-05,4.38446504388e-08,1.86869073168e-08,1.89446441761e-08
