,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.009999,1.14466462493e-06,1.28357532345e-07,1.15420234914e-07,1.23222201359e-07
2019-10-31 23:44:59.009999,1.48240291248e-06,1.25290255283e-07,1.03683778078e-07,1.14383585594e-07
2019-10-31 23:59:59.009999,1.39410599601e-06,1.21095121756e-07,9.95014858434e-08,1.09872169068e-07
2019-11-01 00:14:59.009999,1.35105895177e-06,1.26394407581e-07,1.06129391466e-07,1.16371096089e-07
2019-11-01 00:29:59.009999,1.53309036824e-06,1.23132601413e-07,1.01633829886e-07,1.11705252726e-07
2019-11-01 00:44:59.009999,1.46081499416e-06,1.2036553408e-07,9.88403409779e-08,1.09694394009e-07
2019-11-01 00:59:59.009999,1.36863082931e-06,1.17507569276e-07,9.51402790506e-08,1.07157762849e-07
2019-11-01 01:14:59.009999,1.29511973703e-06,1.23053726924e-07,1.0428652172e-07,1.13383558122e-07
2019-11-01 01:29:59.009999,1.38150917023e-06,1.19893037247e-07,1.01967010608e-07,1.10919083508e-07
2019-11-01 01:44:59.009999,1.48285143914e-06,1.16791327062e-07,9.88162172963e-08,1.07293385192e-07
2019-11-01 01:59:59.009999,1.66402339149e-06,1.14787184721e-07,9.66993354304e-08,1.04047548415e-07
2019-11-01 02:14:59.009999,1.5407628263e-06,1.17497483533e-07,9.97395880048e-08,1.06527288765e-07
2019-11-01 02:29:59.009999,1.30126846801e-06,9.53382410604e-08,7.73551301844e-08,8.53991029727e-08
2019-11-01 02:44:59.009999,1.22321818086e-06,9.71083142818e-08,7.96056433218e-08,8.69825923998e-08
2019-11-01 02:59:59.009999,1.19965157535e-06,1.02612690214e-07,9.03081687938e-08,9.51208814121e-08
2019-11-01 03:14:59.009999,1.36220163116e-06,1.07645735919e-07,9.69315079369e-08,1.01725709102e-07
2019-11-01 03:29:59.009999,1.53000555092e-06,1.16369614901e-07,1.0358868851e-07,1.08486637496e-07
2019-11-01 03:44:59.009999,1.68600337048e-06,1.17146457879e-07,9.2554641041e-08,1.01369698616e-07
2019-11-01 03:59:59.009999,1.86756095336e-06,1.24492866314e-07,8.8873440025e-08,9.95180845616e-08
2019-11-01 04:14:59.009999,1.80056172268e-06,1.3242794497e-07,9.48330408739e-08,1.0270576171e-07
2019-11-01 04:29:59.009999,1.96269680191e-06,1.35637351631e-07,1.04072508358e-07,1.10549518182e-07
2019-11-01 04:44:59.009999,1.7544578627e-06,1.22829850717e-07,9.90830689323e-08,1.05347054918e-07
