,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.008000,2.79778047129e-07,6.52869329011e-09,2.82398060854e-09,3.16500668172e-09
2019-10-31 23:44:59.008000,2.83207802673e-07,6.84628934952e-09,2.94087554483e-09,3.22638269266e-09
2019-10-31 23:59:59.008000,2.66171759238e-07,6.83559165985e-09,3.27767499503e-09,3.64123589416e-09
2019-11-01 00:14:59.008000,2.42747025361e-07,6.736111819e-09,3.48251133573e-09,3.84341021629e-09
2019-11-01 00:29:59.008000,2.5552969956e-07,6.2259583445e-09,3.2181598308e-09,3.45075115782e-09
2019-11-01 00:44:59.008000,2.61961383122e-07,5.92228988378e-09,2.65825813986e-09,2.80436530938e-09
2019-11-01 00:59:59.008000,2.71927788513e-07,1.94799649162e-08,9.07089300529e-09,9.12889373157e-09
2019-11-01 01:14:59.008000,2.55979586692e-07,1.13666290611e-08,5.14803639494e-09,5.27237977057e-09
2019-11-01 01:29:59.008000,2.49532771509e-07,6.52722306875e-09,2.26013301289e-09,2.41735401438e-09
2019-11-01 01:44:59.008000,2.52833381529e-07,6.70812918896e-09,2.86114292813e-09,3.17628471081e-09
2019-11-01 01:59:59.008000,2.56040278128e-07,7.10807640402e-09,3.17661776164e-09,3.54405386728e-09
2019-11-01 02:14:59.008000,2.58977342897e-07,7.47325872385e-09,4.63860135612e-09,4.82983771243e-09
2019-11-01 02:29:59.008000,2.57483532628e-07,6.90487588697e-09,3.96764168157e-09,4.20928880372e-09
2019-11-01 02:44:59.008000,2.58634208445e-07,6.46710585685e-09,2.67492016139e-09,3.003282072e-09
2019-11-01 02:59:59.008000,2.59389219114e-07,6.82287765729e-09,2.80528779307e-09,3.09915208587e-09
2019-11-01 03:14:59.008000,2.66149737926e-07,6.47792850769e-09,2.53177192915e-09,2.80352991644e-09
2019-11-01 03:29:59.008000,2.58759950333e-07,5.74484650924e-09,1.78897540946e-09,1.98652403567e-09
2019-11-01 03:44:59.008000,2.4514082591e-07,5.91260534476e-09,1.82632119413e-09,1.96856772725e-09
2019-11-01 03:59:59.008000,2.57497383522e-07,6.20056012772e-09,2.22097170044e-09,2.43451228578e-09
2019-11-01 04:14:59.008000,2.72675196231e-07,6.40330317052e-09,2.44204895355e-09,2.69642273636e-09
2019-11-01 04:29:59.008000,2.72712400647e-07,6.13045755981e-09,2.31159005714e-09,2.5509226093e-09
2019-11-01 04:44:59.008000,2.6333124246e-07,6.18369122722e-09,2.20696894677e-09,2.42053869546e-09
2019-11-01 04:59:59.008000,2.72724973307e-07,6.48533883047e-09,2.15336585924e-09,2.38845407968e-09
2019-11-01 05:14:59.008000,2.67524986691e-07,6.31721113652e-09,1.96951629132e-09,2.20414153557e-09
2019-11-01 05:29:59.008000,2.72240217889e-07,6.43852632416e-09,2.20945149843e-09,2.39035117654e-09
