,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:56.936998,3.9692907294906454e-07,4.198353999586858e-08,3.552600033960018e-08,3.870133269442294e-08
2019-10-31 23:44:56.936998,4.1330935264239764e-07,3.886159527237709e-08,3.286561893378278e-08,3.556207071740412e-08
2019-10-31 23:59:56.936998,3.857811910632313e-07,4.557954841856091e-08,3.9781318960051593e-08,4.296928168554149e-08
2019-11-01 00:14:56.936998,3.922315190168247e-07,4.3472909072248154e-08,3.74113446861425e-08,4.085719207071802e-08
2019-11-01 00:29:56.936998,3.8226155544583766e-07,3.686589059786862e-08,3.0623002842712566e-08,3.3722385359481004e-08
2019-11-01 00:44:56.936998,3.385951138616499e-06,3.757924538902362e-08,2.5776681495910915e-08,2.7684873779335105e-08
2019-11-01 00:59:56.936998,4.221216722874553e-06,3.9758560342389455e-08,2.4061658569414558e-08,2.5525407236234295e-08
2019-11-01 01:14:56.936998,4.120695390240101e-07,3.738614868718468e-08,2.8572763327274874e-08,3.030139978961931e-08
2019-11-01 01:29:56.936998,6.87581578125559e-07,4.182703678074969e-08,3.063948016139474e-08,3.241057137048269e-08
2019-11-01 01:44:56.936998,4.0792339922736075e-07,3.3880869383745496e-08,2.6058764330378586e-08,2.7763320128108854e-08
2019-11-01 01:59:56.936998,1.0914150789397566e-05,4.2765264981865357e-08,2.6905159113982553e-08,2.8429124269222056e-08
2019-11-01 02:14:56.936998,7.602018551466969e-06,4.108619304631084e-08,2.873058306986008e-08,3.066371011517531e-08
2019-11-01 02:29:56.936998,4.111560286268023e-07,3.583980665788426e-08,2.6849802679012437e-08,2.8763574721365123e-08
2019-11-01 02:44:56.936998,3.7239646648842897e-07,3.764092497129445e-08,2.6974717383262458e-08,2.8538666835840755e-08
2019-11-01 02:59:56.936998,3.7273876343059545e-07,4.5883999764073255e-08,3.550816440617927e-08,3.7406954034641865e-08
2019-11-01 03:14:56.936998,3.588752365949381e-07,4.5083485026637194e-08,3.5145521459745984e-08,3.810738631805699e-08
2019-11-01 03:29:56.936998,3.700783286629386e-07,4.1047050276380835e-08,3.131069776612666e-08,3.3939536501317485e-08
2019-11-01 03:44:56.936998,3.723000605443909e-07,2.9180347001869033e-08,2.253082967026042e-08,2.491238659339868e-08
2019-11-01 03:59:56.936998,1.4872431461277235e-05,3.509361147814329e-08,2.0783161379934157e-08,2.2219807491593482e-08
2019-11-01 04:14:56.936998,1.4736246578904255e-05,3.6300565070135e-08,2.3088784899899334e-08,2.5372287697868648e-08
2019-11-01 04:29:56.936998,3.950894762990249e-07,2.772984060299696e-08,2.2231884180298543e-08,2.4762610007393433e-08
2019-11-01 04:44:56.936998,3.713647105165802e-07,2.2484849099527328e-08,1.734493368630461e-08,1.847545844453806e-08
2019-11-01 04:59:56.936998,3.7053126401535015e-07,2.496695310201797e-08,1.851694811855992e-08,1.987672135552307e-08
2019-11-01 05:14:56.936998,3.6987279457953903e-07,2.565307911260279e-08,1.935450403726879e-08,2.0295815176144782e-08
2019-11-01 05:29:56.936998,3.5693914293915877e-07,2.490587060711699e-08,1.8826223860275375e-08,1.9703426055482125e-08
2019-11-01 05:44:56.936998,3.715199703723439e-07,2.3904505143416067e-08,1.7898884213064977e-08,1.8566497004297807e-08
2019-11-01 05:59:56.936998,3.726309107599178e-07,2.2933606091553815e-08,1.6182170167746144e-08,1.6642363678512124e-08
2019-11-01 06:14:56.936998,3.877266319608784e-07,2.4553426608335312e-08,1.748447680364231e-08,1.85679634180154e-08
2019-11-01 06:29:56.936998,3.7627294764342276e-07,2.8835315606477408e-08,2.2804001360876905e-08,2.3644560387637164e-08
2019-11-01 06:44:56.936998,3.6044090474916243e-07,3.325108813544068e-08,2.8106522478232388e-08,2.921858426873614e-08
2019-11-01 06:59:56.936998,7.765628580317384e-06,5.2335629793330096e-08,2.3113386761341837e-08,2.4277035274379843e-08
2019-11-01 07:14:56.936998,9.842072753334529e-06,6.170461166610907e-08,1.6787642241367418e-08,1.7645686845108446e-08
2019-11-01 07:29:56.936998,3.9566494375902307e-07,1.798180177852038e-08,1.3534407994559851e-08,1.4156412485399525e-08
2019-11-01 07:44:56.936998,3.482590306570252e-07,2.6058898190741952e-08,2.2419692579908262e-08,2.2724039141392644e-08
2019-11-01 07:59:56.936998,3.4987629699467827e-07,2.424818797435827e-08,2.0915932873249545e-08,2.1117886816099652e-08
2019-11-01 08:14:56.936998,3.850232114674593e-07,1.6597498051511825e-08,1.254008870283114e-08,1.2848146584206302e-08
2019-11-01 08:29:56.936998,8.539758719736073e-06,1.8783628255854215e-08,1.0416019740533652e-08,1.1095210772129741e-08
2019-11-01 08:44:56.936998,1.3069609723847603e-05,2.3804693897139395e-08,1.299995761723163e-08,1.364566309260848e-08
2019-11-01 08:59:56.936998,3.8325109424950075e-07,1.7777546655059097e-08,1.2394295721507723e-08,1.2762938695166388e-08
2019-11-01 09:14:56.936998,3.92718222487448e-07,1.7018294429397928e-08,1.2050592732043057e-08,1.2406145625434664e-08
2019-11-01 09:29:56.936998,3.810862627539705e-07,1.6751900014282396e-08,1.1534701083174436e-08,1.2156925143465456e-08
2019-11-01 09:44:56.936998,3.8766431379434304e-07,3.2646844884548696e-08,2.8374494644544843e-08,2.9174393107437305e-08
2019-11-01 09:59:56.936998,4.014522923685618e-07,3.234802785452666e-08,2.7792677750550623e-08,2.8643269244455403e-08
2019-11-01 10:14:56.936998,4.0013816266569234e-07,2.648208929561224e-08,2.0746440466636605e-08,2.1892501733445315e-08
2019-11-01 10:29:56.936998,3.9033038999800906e-07,2.848031062117891e-08,2.2466105051895304e-08,2.3801579897820098e-08
2019-11-01 10:44:56.936998,3.963442579553112e-07,3.042330212884698e-08,2.4122223152143225e-08,2.5605541885944374e-08
2019-11-01 10:59:56.936998,4.159940996474999e-07,3.943730156565052e-08,2.8649111657701373e-08,3.054671281565245e-08
2019-11-01 11:14:56.936998,4.2611789046436985e-07,4.304929436574549e-08,3.126281506496573e-08,3.3149271317805754e-08
2019-11-01 11:29:56.936998,4.443549244668369e-07,4.304309581219479e-08,3.497591411017623e-08,3.728788914321838e-08
2019-11-01 11:44:56.936998,4.363796101574987e-07,4.116944903678246e-08,3.239241763770111e-08,3.462347577417774e-08
2019-11-01 11:59:56.936998,4.364768795033577e-07,8.657536993662427e-08,7.858140687730827e-08,8.145265145911663e-08
2019-11-01 12:14:56.936998,4.3101599503176186e-07,1.2272188514664855e-07,1.1535960683503471e-07,1.1890397435491587e-07
2019-11-01 12:29:56.936998,4.512563645197418e-07,1.269928504497439e-07,1.1919346425216491e-07,1.2348676358945903e-07
