,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.002000,3.51276633029e-07,2.41418498431e-09,1.41692770007e-09,1.45065005109e-09
2019-10-31 23:44:59.002000,3.36225908527e-07,2.37298512215e-09,1.3559226518e-09,1.39290088013e-09
2019-10-31 23:59:59.002000,2.85654425054e-07,2.27423815302e-09,1.17521764216e-09,1.21665962345e-09
2019-11-01 00:14:59.002000,2.89692883447e-07,2.16318413682e-09,1.0991413511e-09,1.14979032434e-09
2019-11-01 00:29:59.002000,2.9294385033e-07,2.17724481297e-09,1.09924368733e-09,1.16461728543e-09
2019-11-01 00:44:59.002000,2.97209967023e-07,2.16758889264e-09,1.08176625413e-09,1.12574163152e-09
2019-11-01 00:59:59.002000,2.97999972105e-07,2.21227776784e-09,1.12003681214e-09,1.16384085716e-09
2019-11-01 01:14:59.002000,2.9581488253e-07,2.28643835576e-09,1.22252299654e-09,1.27816016248e-09
2019-11-01 01:29:59.002000,2.96443940753e-07,2.98674915979e-09,1.65950728568e-09,1.68821494181e-09
2019-11-01 01:44:59.002000,2.86308133294e-07,2.61656497405e-09,1.44291751921e-09,1.46539848582e-09
2019-11-01 01:59:59.002000,2.86119227158e-07,2.1198985227e-09,1.03953066799e-09,1.06505355475e-09
2019-11-01 02:14:59.002000,2.86784110824e-07,2.18307886136e-09,1.03681324117e-09,1.06179900416e-09
2019-11-01 02:29:59.002000,3.05674429373e-07,2.26269581804e-09,1.07474619159e-09,1.09723736309e-09
2019-11-01 02:44:59.002000,3.16581015678e-07,2.27170333882e-09,1.06732844608e-09,1.08605419884e-09
2019-11-01 02:59:59.002000,3.17146581335e-07,2.20265168647e-09,1.06449430865e-09,1.08270483349e-09
2019-11-01 03:14:59.002000,3.0527410446e-07,2.24934115149e-09,1.05478139454e-09,1.07411226332e-09
2019-11-01 03:29:59.002000,3.03748331142e-07,2.26059285703e-09,1.04513977585e-09,1.06341185787e-09
2019-11-01 03:44:59.002000,3.05874428414e-07,2.9378182589e-09,1.32323797069e-09,1.34013202604e-09
2019-11-01 03:59:59.002000,3.03578241611e-07,2.7267416961e-09,1.23623982614e-09,1.25270347531e-09
2019-11-01 04:14:59.002000,3.04942983807e-07,2.244182587e-09,1.06166539268e-09,1.07897930021e-09
2019-11-01 04:29:59.002000,3.00775059949e-07,2.24508458143e-09,1.03678235407e-09,1.05283363975e-09
2019-11-01 04:44:59.002000,3.01316950824e-07,2.20879921378e-09,1.09724742158e-09,1.12130524516e-09
2019-11-01 04:59:59.002000,1.31013990783e-06,4.50188983929e-09,1.16894474624e-09,1.18625086634e-09
2019-11-01 05:14:59.002000,1.30904072157e-06,4.53821903898e-09,1.17078477865e-09,1.18636426896e-09
2019-11-01 05:29:59.002000,3.15851825692e-07,2.35174693223e-09,1.09657325032e-09,1.11659451484e-09
2019-11-01 05:44:59.002000,3.31268315374e-07,2.29196795023e-09,1.17493022979e-09,1.19859650824e-09
2019-11-01 05:59:59.002000,3.191884453e-07,2.25464267337e-09,1.15723941424e-09,1.17614463982e-09
2019-11-01 06:14:59.002000,3.21370474282e-07,2.2917013563e-09,1.13688338797e-09,1.15085300366e-09
2019-11-01 06:29:59.002000,3.4050670622e-07,2.35276399221e-09,1.2228137456e-09,1.24684912568e-09
2019-11-01 06:44:59.002000,3.57947465899e-07,2.33670154112e-09,1.25302747377e-09,1.26705514586e-09
2019-11-01 06:59:59.002000,3.53467387486e-07,2.34890234909e-09,1.2162356896e-09,1.22696482281e-09
2019-11-01 07:14:59.002000,3.71921361357e-07,2.35139697791e-09,1.2742821784e-09,1.28469262217e-09
2019-11-01 07:29:59.002000,3.90226632369e-07,2.41429945335e-09,1.32908742765e-09,1.35081888048e-09
2019-11-01 07:44:59.002000,4.11385915092e-07,2.43930493467e-09,1.36563759531e-09,1.39136129574e-09
2019-11-01 07:59:59.002000,4.18066369708e-07,2.39424373083e-09,1.38703437352e-09,1.41293443569e-09
2019-11-01 08:14:59.002000,4.5240392574e-07,2.40869901311e-09,1.39275168772e-09,1.4215766167e-09
2019-11-01 08:29:59.002000,4.8116929618e-07,2.38090112e-09,1.40937313931e-09,1.43302237356e-09
2019-11-01 08:44:59.002000,4.81074754953e-07,2.37249570515e-09,1.42031345253e-09,1.44207636104e-09
2019-11-01 08:59:59.002000,5.02480914681e-07,2.50657496078e-09,1.42616211698e-09,1.45416041449e-09
2019-11-01 09:14:59.002000,5.26770726133e-07,2.53544014987e-09,1.43373301164e-09,1.4587511705e-09
