,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.004000,1.10419438225e-06,1.30037785065e-08,7.33523283148e-09,7.79674318935e-09
2019-10-31 23:44:59.004000,1.09235766835e-06,1.08353493089e-08,7.13627763691e-09,7.31079305973e-09
2019-10-31 23:59:59.004000,1.02806524828e-05,4.90092434928e-08,1.29771222112e-08,1.42556586452e-08
2019-11-01 00:14:59.004000,1.01929261931e-05,4.72739497054e-08,1.02539553607e-08,1.13830611023e-08
2019-11-01 00:29:59.004000,1.06175260125e-06,1.26093140511e-08,8.19338462547e-09,8.38424519741e-09
2019-11-01 00:44:59.004000,1.05836589602e-06,1.63416370501e-08,9.00785481802e-09,9.42199095065e-09
2019-11-01 00:59:59.004000,1.05265751805e-06,1.86879501955e-08,9.14764740705e-09,9.60856437053e-09
2019-11-01 01:14:59.004000,1.06452905878e-06,1.27938628186e-08,7.68961503974e-09,7.8925159738e-09
2019-11-01 01:29:59.004000,1.20542618071e-06,3.62323605464e-08,1.35410709657e-08,1.40390996222e-08
2019-11-01 01:44:59.004000,1.19805884779e-06,3.85210756668e-08,1.44364768172e-08,1.49211570596e-08
2019-11-01 01:59:59.004000,1.05191370825e-06,1.53009950112e-08,9.70670629299e-09,9.95570835575e-09
2019-11-01 02:14:59.004000,1.01875306728e-06,1.86477492551e-08,1.10798926199e-08,1.15024770463e-08
2019-11-01 02:29:59.004000,9.71758602668e-07,1.64619670067e-08,1.03110223839e-08,1.08056073475e-08
2019-11-01 02:44:59.004000,1.01866730444e-06,1.67882627121e-08,1.02012850543e-08,1.08055084173e-08
2019-11-01 02:59:59.004000,5.26740755331e-06,2.87794167151e-08,9.53198138828e-09,1.02514325023e-08
2019-11-01 03:14:59.004000,1.00626461224e-06,1.29066928591e-08,6.88193341913e-09,7.28892668478e-09
2019-11-01 03:29:59.004000,9.95805604891e-07,1.59648078427e-08,8.64025098327e-09,9.12356910334e-09
2019-11-01 03:44:59.004000,9.8580601531e-07,1.59984636333e-08,8.99505534337e-09,9.77792097e-09
2019-11-01 03:59:59.004000,9.54046345033e-07,1.0597849563e-08,5.83057961085e-09,6.75913601102e-09
2019-11-01 04:14:59.004000,9.22358835588e-07,9.79205219771e-09,5.17263689309e-09,6.34411379692e-09
2019-11-01 04:29:59.004000,2.20152430316e-06,2.02780097389e-08,7.46655162191e-09,8.58312910669e-09
2019-11-01 04:44:59.004000,3.67576582605e-06,2.78182281817e-08,7.71750499606e-09,9.00488824809e-09
2019-11-01 04:59:59.004000,8.23251603698e-06,5.09158025031e-08,6.21736207936e-09,7.55231308089e-09
2019-11-01 05:14:59.004000,7.61138069155e-06,5.00241817239e-08,7.67506565171e-09,8.38953115991e-09
2019-11-01 05:29:59.004000,9.2082506337e-07,1.73516007769e-08,6.08588977778e-09,6.73469299799e-09
2019-11-01 05:44:59.004000,9.2193989388e-07,9.10873862918e-09,4.18453060429e-09,4.86813952897e-09
2019-11-01 05:59:59.004000,9.42859604922e-07,7.18996986883e-09,3.32602810768e-09,3.90217197516e-09
2019-11-01 06:14:59.004000,9.74741961789e-07,7.21150205404e-09,3.38174879561e-09,3.78197786541e-09
2019-11-01 06:29:59.004000,9.12951017837e-07,7.05587527298e-09,3.19399712256e-09,3.79068436549e-09
2019-11-01 06:44:59.004000,9.06230069374e-07,6.2618495235e-09,2.5894655297e-09,3.09004206473e-09
2019-11-01 06:59:59.004000,9.24774101057e-07,5.81310971699e-09,2.29623421648e-09,2.68913723665e-09
2019-11-01 07:14:59.004000,9.29122061355e-07,6.16856371423e-09,2.57304503213e-09,2.89169719499e-09
2019-11-01 07:29:59.004000,8.96011608743e-07,5.91002012614e-09,2.46799034226e-09,2.93728825111e-09
2019-11-01 07:44:59.004000,9.0119876719e-07,5.56786525458e-09,2.09587421702e-09,2.55502751359e-09
2019-11-01 07:59:59.004000,8.97286020997e-07,8.58952993819e-09,3.31550771778e-09,4.01574024221e-09
2019-11-01 08:14:59.004000,9.09426987646e-07,1.92695865289e-08,5.35993067955e-09,6.20590363744e-09
2019-11-01 08:29:59.004000,9.49487562362e-07,9.54598756802e-09,4.64989644313e-09,4.87482974079e-09
2019-11-01 08:44:59.004000,9.24496425477e-07,1.10421532107e-08,4.88208136426e-09,5.4148752292e-09
2019-11-01 08:59:59.004000,8.82040048235e-07,9.35351409371e-09,3.76240749995e-09,4.51446521368e-09
2019-11-01 09:14:59.004000,8.97817103915e-07,5.90009652912e-09,2.21811358834e-09,2.74383135247e-09
2019-11-01 09:29:59.004000,5.35922330087e-06,3.3182587592e-08,3.4469977459e-09,3.56824813412e-09
2019-11-01 09:44:59.004000,7.15735154514e-06,4.43253904817e-08,4.22549153957e-09,4.32822095428e-09
2019-11-01 09:59:59.004000,8.59679643912e-07,5.09217519495e-09,1.64885763697e-09,1.87447011839e-09
2019-11-01 10:14:59.004000,8.86350778733e-07,4.74408183656e-09,1.52164758582e-09,1.66400506325e-09
2019-11-01 10:29:59.004000,8.7387606484e-07,7.87885486705e-09,3.80771383828e-09,3.93127344126e-09
2019-11-01 10:44:59.004000,8.58643943152e-07,8.06279404854e-09,3.8958331411e-09,3.99735455011e-09
2019-11-01 10:59:59.004000,8.60114058819e-07,4.80560126842e-09,1.54866114753e-09,1.66410311945e-09
2019-11-01 11:14:59.004000,8.58580369719e-07,4.99645946713e-09,1.94235635578e-09,2.06323227978e-09
2019-11-01 11:29:59.004000,8.4667994353e-07,4.97610637491e-09,1.93552659027e-09,2.07022933748e-09
2019-11-01 11:44:59.004000,8.39733224816e-07,5.09109388457e-09,1.69440127066e-09,1.82544060525e-09
2019-11-01 11:59:59.004000,8.4844788437e-07,4.79615909461e-09,1.40478916917e-09,1.54462554707e-09
2019-11-01 12:14:59.004000,8.62406150495e-07,4.85844502776e-09,1.38314746743e-09,1.61579315367e-09
2019-11-01 12:29:59.004000,8.52102637637e-07,5.25295556904e-09,1.38613093941e-09,2.10033271826e-09
2019-11-01 12:44:59.004000,8.57268029581e-07,4.91407076149e-09,1.39927639486e-09,1.92481137172e-09
2019-11-01 12:59:59.004000,9.06307727032e-07,4.76562893959e-09,1.48279854633e-09,1.63153822011e-09
2019-11-01 13:14:59.004000,9.5179869173e-07,4.88415822919e-09,1.39387298021e-09,1.77323412484e-09
2019-11-01 13:29:59.004000,9.12606753899e-07,5.02549715138e-09,1.48019273097e-09,1.85875309092e-09
2019-11-01 13:44:59.004000,8.31949215212e-07,4.71579976756e-09,1.31891518867e-09,1.56395045923e-09
2019-11-01 13:59:59.004000,8.3919842894e-07,4.43835420255e-09,1.10963516999e-09,1.35675652148e-09
2019-11-01 14:14:59.004000,8.54521683176e-07,4.58939024744e-09,1.0197412425e-09,1.14636985668e-09
2019-11-01 14:29:59.004000,8.69243591365e-07,4.82465453992e-09,1.42437118569e-09,1.54579066181e-09
2019-11-01 14:44:59.004000,8.70635984796e-07,4.82434368079e-09,1.59169340441e-09,1.71688540871e-09
2019-11-01 14:59:59.004000,8.44441023218e-07,6.70886522866e-09,3.33613228473e-09,3.43951759362e-09
2019-11-01 15:14:59.004000,8.63108228906e-07,5.69423047156e-09,2.27776538682e-09,2.46011231616e-09
2019-11-01 15:29:59.004000,8.43862955954e-07,5.94542532735e-09,2.74911513488e-09,3.02535283348e-09
2019-11-01 15:44:59.004000,8.55676252361e-07,5.71431610256e-09,2.07585494043e-09,2.55306818219e-09
2019-11-01 15:59:59.004000,8.61157250218e-07,5.38077514933e-09,1.65824322633e-09,2.02089633638e-09
2019-11-01 16:14:59.004000,1.11582040747e-06,6.19302233692e-09,1.87385582082e-09,2.21589011821e-09
2019-11-01 16:29:59.004000,1.10904460659e-06,6.23119836433e-09,1.91967132708e-09,2.47510140327e-09
2019-11-01 16:44:59.004000,8.50909197765e-07,5.22719735866e-09,1.95378779209e-09,2.28410999509e-09
