,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.002000,1.03819853537e-06,1.85432815418e-07,1.48686973622e-07,1.66470421257e-07
2019-10-31 23:44:59.002000,7.32960205353e-07,1.7705013891e-07,1.47841415117e-07,1.68124877827e-07
2019-10-31 23:59:59.002000,7.32634657739e-07,1.74172899977e-07,1.44827693664e-07,1.64901967062e-07
2019-11-01 00:14:59.002000,7.67758377838e-07,1.72410538262e-07,1.4228285719e-07,1.62122863521e-07
2019-11-01 00:29:59.002000,7.41847984324e-07,1.66610329581e-07,1.37725262346e-07,1.55849125985e-07
2019-11-01 00:44:59.002000,7.14765433351e-07,1.59691087402e-07,1.33532338302e-07,1.50137433153e-07
2019-11-01 00:59:59.002000,6.79432472519e-07,1.58390550237e-07,1.31519992803e-07,1.48397544627e-07
2019-11-01 01:14:59.002000,6.80939282489e-07,1.59251457405e-07,1.32671786096e-07,1.49282029142e-07
2019-11-01 01:29:59.002000,6.61777730353e-07,1.55827052038e-07,1.30687676253e-07,1.47310627891e-07
2019-11-01 01:44:59.002000,6.92350501101e-07,1.33831817549e-07,1.11339010095e-07,1.25950841412e-07
2019-11-01 01:59:59.002000,6.88981889779e-07,1.36168321986e-07,1.12937197902e-07,1.25854087614e-07
2019-11-01 02:14:59.002000,7.0273648321e-07,1.38649744361e-07,1.14064726092e-07,1.27284722749e-07
2019-11-01 02:29:59.002000,7.26758132688e-07,1.24984665089e-07,1.03154677675e-07,1.17141345833e-07
2019-11-01 02:44:59.002000,6.88635930565e-07,1.20677012551e-07,9.59428732883e-08,1.10953973866e-07
2019-11-01 02:59:59.002000,6.2065551464e-07,1.1961584698e-07,9.49922802091e-08,1.08979091987e-07
2019-11-01 03:14:59.002000,5.86653859348e-07,1.16544641678e-07,9.41038814054e-08,1.07210219074e-07
2019-11-01 03:29:59.002000,6.1922704313e-07,1.11124366167e-07,8.798995717e-08,1.00552442449e-07
2019-11-01 03:44:59.002000,6.20607897514e-07,1.15847348019e-07,9.23224703782e-08,1.05122881435e-07
