,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:59:57.566000,2.57456679485e-07,8.04040762266e-09,6.39024945579e-09,6.96006428822e-09
2019-11-01 00:14:57.566000,2.71158512661e-07,1.05275868867e-08,7.95959316181e-09,8.68296330614e-09
2019-11-01 00:29:57.566000,3.57552617924e-07,9.58990270503e-09,6.32007950735e-09,6.93127686946e-09
2019-11-01 00:44:57.566000,2.89523620961e-07,8.7400800794e-09,6.06351969821e-09,6.56182366554e-09
2019-11-01 00:59:57.566000,2.58293156579e-07,1.0368953326e-08,7.93854178669e-09,8.68870913051e-09
2019-11-01 01:14:57.566000,2.73723741279e-07,7.51809705255e-09,6.43178116123e-09,7.08437473716e-09
2019-11-01 01:29:57.566000,2.80674862163e-07,1.56438247584e-08,1.33060107588e-08,1.46458073364e-08
2019-11-01 01:44:57.566000,2.66245676199e-07,1.12782635897e-08,9.40605347388e-09,1.02703902816e-08
2019-11-01 01:59:57.566000,2.63076886194e-07,7.40975363599e-09,6.34433371221e-09,7.09862794561e-09
2019-11-01 02:14:57.566000,2.59672101344e-07,8.25590506199e-09,7.11137051421e-09,7.91352725593e-09
2019-11-01 02:29:57.566000,2.53956220056e-07,9.36891362958e-09,8.07912552204e-09,8.83035546643e-09
2019-11-01 02:44:57.566000,2.49611958916e-07,8.27296225785e-09,7.291170134e-09,7.99927930171e-09
2019-11-01 02:59:57.566000,2.44926164135e-07,1.03353972798e-08,8.41011443845e-09,1.008339534e-08
2019-11-01 03:14:57.566000,2.63263238651e-07,1.239486979e-08,1.02927537999e-08,1.20101493941e-08
2019-11-01 03:29:57.566000,2.73218186237e-07,9.71675304164e-09,8.38123751128e-09,9.23990365399e-09
2019-11-01 03:44:57.566000,1.17933342429e-05,1.6815678661e-08,8.91138977965e-09,9.80743556076e-09
2019-11-01 03:59:57.566000,1.59498526934e-05,2.53628899117e-08,1.27082239551e-08,1.41414696163e-08
2019-11-01 04:14:57.566000,2.85252317337e-07,3.63911842315e-08,1.90912546101e-08,2.0641418433e-08
2019-11-01 04:29:57.566000,2.75242213898e-07,3.61439237241e-08,1.91806137649e-08,2.06140610377e-08
2019-11-01 04:44:57.566000,2.40057580515e-07,1.1381040769e-08,8.9787983516e-09,9.58801078115e-09
2019-11-01 04:59:57.566000,5.27201179133e-06,2.98362140069e-08,1.29809640923e-08,1.36466750324e-08
2019-11-01 05:14:57.566000,5.26062279356e-06,4.09572856472e-08,1.83423487576e-08,1.97220815449e-08
2019-11-01 05:29:57.566000,2.66404367611e-07,2.53195421197e-08,1.4965236053e-08,1.64676942558e-08
