,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:58.433999,3.059364504605364e-07,1.5365496935054852e-08,1.0063396580695981e-08,1.0189704593666742e-08
2019-11-30 23:44:58.433999,3.1018662390956445e-07,1.2771107524855919e-08,8.668244293432191e-09,8.829803346891195e-09
2019-11-30 23:59:58.433999,3.189916184790221e-07,6.612818938280323e-09,5.266300126220432e-09,5.548819162115378e-09
2019-12-01 00:14:58.433999,3.0640456216125614e-07,6.823785476610172e-09,5.730531810335996e-09,6.067456099511065e-09
2019-12-01 00:29:58.433999,2.6642436387348957e-07,6.791404050998596e-09,5.988824053459148e-09,6.310221620391096e-09
2019-12-01 00:44:58.433999,2.7912388551127807e-07,7.900353144872659e-09,7.1605111927871415e-09,7.4639579714532e-09
2019-12-01 00:59:58.433999,3.076674156504206e-07,9.271541392078546e-09,7.189046929725505e-09,7.426184120979528e-09
2019-12-01 01:14:58.433999,2.99977329893532e-07,9.208324824160695e-09,6.171947417182749e-09,6.304707652192075e-09
2019-12-01 01:29:58.433999,3.060347845397723e-07,7.268472560847151e-09,4.474608706160438e-09,4.54723347377197e-09
2019-12-01 01:44:58.433999,2.9465328064172036e-07,4.48374853098761e-09,2.422115324529275e-09,2.453080207653125e-09
2019-12-01 01:59:58.433999,2.981487001505335e-07,7.0157409919103075e-09,4.214010125073734e-09,4.248332579699929e-09
2019-12-01 02:14:58.433999,3.034477649826298e-07,7.567520013951944e-09,5.189271750635114e-09,5.320234477690301e-09
2019-12-01 02:29:58.433999,2.986044194000742e-07,5.722062431643275e-09,4.909959381281695e-09,5.280794211781374e-09
2019-12-01 02:44:58.433999,2.909876536404392e-07,5.546188341084995e-09,4.693473486883777e-09,5.025854656660599e-09
2019-12-01 02:59:58.433999,2.8976156566680936e-07,4.754461894579555e-09,4.079280404535411e-09,4.252001787879262e-09
2019-12-01 03:14:58.433999,3.0060688035764733e-07,3.3310133836286447e-09,2.6393928180216227e-09,2.7143509831619393e-09
2019-12-01 03:29:58.433999,3.055117325517288e-07,5.179567302138599e-09,4.606784213538844e-09,4.763979175291632e-09
2019-12-01 03:44:58.433999,2.9774731145402805e-07,6.326712746840637e-09,5.744126366473478e-09,5.902578200088496e-09
2019-12-01 03:59:58.433999,2.9181700415018933e-07,4.698801695610184e-09,4.07618339460723e-09,4.186462142016892e-09
2019-12-01 04:14:58.433999,2.913537697416657e-07,5.389872502320215e-09,4.445719521183459e-09,4.6020402085853945e-09
2019-12-01 04:29:58.433999,2.9392046238969943e-07,5.183410718042971e-09,3.819894424645985e-09,3.966824117737243e-09
2019-12-01 04:44:58.433999,2.9597528424150797e-07,7.290976914364762e-09,6.819055295988368e-09,6.978639315237555e-09
2019-12-01 04:59:58.433999,3.2131442514082015e-07,6.6392027291273596e-09,6.209180030346425e-09,6.308701591540668e-09
2019-12-01 05:14:58.433999,3.348142682195445e-07,2.6697367870236887e-09,1.5708176129083681e-09,1.5827682195006133e-09
2019-12-01 05:29:58.433999,3.2512528977315607e-07,2.5233655456087847e-09,1.4242906723311754e-09,1.4357974376077417e-09
2019-12-01 05:44:58.433999,3.3428960090843107e-07,2.4365666755795113e-09,1.2851812603962143e-09,1.2963839380741358e-09
2019-12-01 05:59:58.433999,3.147507883123013e-07,3.6108486123232877e-09,1.969650327343358e-09,2.0106887547427193e-09
2019-12-01 06:14:58.433999,2.9869651234641487e-07,3.954658378507285e-09,2.053200662932818e-09,2.0944582270785027e-09
2019-12-01 06:29:58.433999,2.9968286223252547e-07,5.452382130722515e-09,3.895974196050425e-09,3.90411104353589e-09
2019-12-01 06:44:58.433999,1.1124184340448026e-05,1.5224272435516547e-08,4.314483129622464e-09,4.3284884731348125e-09
2019-12-01 06:59:58.433999,1.2924818974245444e-05,1.6350597234536577e-08,2.269060244818439e-09,2.2910904151724106e-09
2019-12-01 07:14:58.433999,3.213033596049067e-07,2.4639327939850874e-09,1.1313738969328838e-09,1.1433336962266338e-09
2019-12-01 07:29:58.433999,3.0431486520388143e-07,2.56189670653691e-09,1.2139599116721684e-09,1.2295837665962943e-09
2019-12-01 07:44:58.433999,3.2043491308749167e-07,3.2696224886241437e-09,1.2524596706883214e-09,1.267926866902595e-09
2019-12-01 07:59:58.433999,3.3260713051358607e-07,3.278496969618196e-09,1.1002363639657219e-09,1.1096157869547034e-09
2019-12-01 08:14:58.433999,3.3280844268786486e-07,2.5762926086504774e-09,1.0658091548955733e-09,1.076613983840675e-09
2019-12-01 08:29:58.433999,3.3210898967304456e-07,2.6827500395216417e-09,1.1945241891700293e-09,1.2073392394552782e-09
2019-12-01 08:44:58.433999,3.206951697886315e-07,2.7132810955703824e-09,1.223027717002763e-09,1.2397369722051453e-09
2019-12-01 08:59:58.433999,3.196884869462741e-07,2.548956217600723e-09,1.1824285125952434e-09,1.1998874824108826e-09
2019-12-01 09:14:58.433999,3.277162067752331e-07,2.5116392327895065e-09,9.549517313908167e-10,9.641359501029659e-10
2019-12-01 09:29:58.433999,3.222384809703124e-07,2.9001562344429856e-09,1.2381796911465635e-09,1.2511943418013115e-09
2019-12-01 09:44:58.433999,3.340845406856672e-07,3.40007956556082e-09,2.0267061670972553e-09,2.1103910147739326e-09
2019-12-01 09:59:58.433999,3.3955453689315525e-07,4.5909268325762885e-09,3.3040119773046975e-09,3.675880301728819e-09
