,4.0-14.0
2019-11-30 17:15:00,1.15170539095e-08
2019-11-30 17:30:00,1.13049889984e-08
2019-11-30 17:45:00,1.06827775411e-08
2019-11-30 18:00:00,1.11776893132e-08
2019-11-30 18:15:00,1.13451356078e-08
2019-11-30 18:30:00,1.17617758741e-08
2019-11-30 18:45:00,1.16528260125e-08
2019-11-30 19:00:00,1.02775810242e-08
2019-11-30 19:15:00,1.04492402141e-08
2019-11-30 19:30:00,1.04350266765e-08
2019-11-30 19:45:00,9.91006213402e-09
2019-11-30 20:00:00,9.98536314748e-09
2019-11-30 20:15:00,1.03323380004e-08
2019-11-30 20:30:00,9.55407273243e-09
2019-11-30 20:45:00,9.39643476784e-09
2019-11-30 21:00:00,9.57908125099e-09
2019-11-30 21:15:00,9.52367915175e-09
2019-11-30 21:30:00,9.25554231016e-09
2019-11-30 21:45:00,9.12974474222e-09
2019-11-30 22:00:00,8.60091118277e-09
2019-11-30 22:15:00,7.83632080949e-09
2019-11-30 22:30:00,7.75354138355e-09
2019-11-30 22:45:00,9.16266870192e-09
2019-11-30 23:00:00,8.62541330023e-09
2019-11-30 23:15:00,7.91542243093e-09
2019-11-30 23:30:00,6.59331736276e-09
2019-11-30 23:45:00,4.90934847644e-09
2019-12-01 00:00:00,4.26176405799e-09
2019-12-01 00:15:00,4.06824772764e-09
2019-12-01 00:30:00,5.58963969838e-09
2019-12-01 00:45:00,5.42070144417e-09
2019-12-01 01:00:00,3.55995019967e-09
2019-12-01 01:15:00,3.45371490613e-09
2019-12-01 01:30:00,3.27816042165e-09
2019-12-01 01:45:00,3.59268882455e-09
2019-12-01 02:00:00,3.79775753497e-09
2019-12-01 02:15:00,2.98396800808e-09
2019-12-01 02:30:00,2.99011577289e-09
2019-12-01 02:45:00,3.15036837057e-09
2019-12-01 03:00:00,3.1461429835e-09
2019-12-01 03:15:00,3.0320927432e-09
2019-12-01 03:30:00,3.02196921721e-09
2019-12-01 03:45:00,2.86790015675e-09
2019-12-01 04:00:00,2.90012488454e-09
2019-12-01 04:15:00,3.39989047501e-09
2019-12-01 04:30:00,3.35607071279e-09
2019-12-01 04:45:00,3.4595468296e-09
2019-12-01 05:00:00,3.5920279396e-09
2019-12-01 05:15:00,3.79200726378e-09
2019-12-01 05:30:00,3.78319907543e-09
2019-12-01 05:45:00,4.37562150129e-09
2019-12-01 06:00:00,4.63289295926e-09
2019-12-01 06:15:00,5.66475276691e-09
