,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.004000,5.35539838562e-07,2.44069364476e-09,2.25304197039e-10,2.35202931919e-10
2019-10-31 23:44:59.004000,5.8304378355e-07,2.39945149075e-09,2.43856580872e-10,2.54044293072e-10
2019-10-31 23:59:59.004000,5.58836300153e-07,2.47356128487e-09,2.39057826082e-10,2.49291113656e-10
2019-11-01 00:14:59.004000,5.4787509495e-07,2.56392750246e-09,2.19274123098e-10,2.29292461186e-10
2019-11-01 00:29:59.004000,5.49548132724e-07,2.4928685955e-09,2.14351675249e-10,2.24456403577e-10
2019-11-01 00:44:59.004000,5.23929463392e-07,2.55829535746e-09,2.1941584834e-10,2.29059129295e-10
2019-11-01 00:59:59.004000,5.12154758266e-07,2.51458809729e-09,2.27931488247e-10,2.37834244711e-10
2019-11-01 01:14:59.004000,5.13172276066e-07,2.51423502032e-09,2.22288874356e-10,2.31992263493e-10
2019-11-01 01:29:59.004000,5.2666732338e-07,2.53315459927e-09,2.2130666824e-10,2.30968806069e-10
2019-11-01 01:44:59.004000,5.49170593904e-07,2.59280892142e-09,2.25280505087e-10,2.34637115503e-10
2019-11-01 01:59:59.004000,5.21339020986e-07,2.7036298068e-09,2.32690322308e-10,2.41875789614e-10
2019-11-01 02:14:59.004000,5.12618332182e-07,2.80439915855e-09,2.36634208115e-10,2.46176949578e-10
2019-11-01 02:29:59.004000,5.086277503e-07,2.76194807796e-09,2.27142184244e-10,2.36765403089e-10
2019-11-01 02:44:59.004000,5.2487350438e-07,2.71937864712e-09,2.16030539692e-10,2.25678135757e-10
2019-11-01 02:59:59.004000,5.41593636143e-07,2.64453176694e-09,2.13827092756e-10,2.23640230522e-10
2019-11-01 03:14:59.004000,5.39926445967e-07,2.71902125892e-09,2.16764882377e-10,2.26405362495e-10
2019-11-01 03:29:59.004000,5.22518792987e-07,2.70724946678e-09,2.1490246123e-10,2.24480990711e-10
2019-11-01 03:44:59.004000,5.38589988574e-07,2.7180261803e-09,2.06759242899e-10,2.16576891271e-10
2019-11-01 03:59:59.004000,5.48017143948e-07,2.85447230546e-09,2.02035479075e-10,2.11844802771e-10
2019-11-01 04:14:59.004000,5.49179305172e-07,2.84444507149e-09,2.05658658148e-10,2.15000327505e-10
