,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:58.616998,2.8883447579616457e-05,8.623122983786408e-08,2.7319449252272156e-08,2.9315657840779643e-08
2019-11-30 23:44:58.616998,6.263173370106179e-06,7.45803538144696e-08,2.656080032938578e-08,2.8762574188893457e-08
2019-11-30 23:59:58.616998,3.8115545638312067e-06,6.216432308161663e-08,2.543805445376858e-08,2.7445794044162895e-08
2019-12-01 00:14:58.616998,4.828715695242447e-06,7.289402382409692e-08,2.5636905914214045e-08,2.7711116370677324e-08
2019-12-01 00:29:58.616998,3.463142439155757e-06,6.357225113978429e-08,2.533171832586675e-08,2.714926706466288e-08
2019-12-01 00:44:58.616998,2.679137872553709e-06,5.720981036620878e-08,2.443458127537996e-08,2.5933536814366735e-08
2019-12-01 00:59:58.616998,3.7824395801575223e-06,7.430806962225657e-08,2.330072325185783e-08,2.4879842377613933e-08
2019-12-01 01:14:58.616998,2.2038311598581502e-07,1.0059402779853968e-07,2.3254190510354968e-08,2.4927633704526313e-08
2019-12-01 01:29:58.616998,1.6311743991725195e-07,9.081672139135035e-08,2.2479481815231698e-08,2.3840376219970884e-08
2019-12-01 01:44:58.616998,1.6001422903623856e-07,3.837066658530645e-08,2.137873278265318e-08,2.2933685771666428e-08
2019-12-01 01:59:58.616998,1.502499058135803e-07,4.1298616908077085e-08,2.2109560511431025e-08,2.396036045374259e-08
2019-12-01 02:14:58.616998,4.260023327438889e-06,6.329066021593512e-08,2.122976331090506e-08,2.3036545354222135e-08
2019-12-01 02:29:58.616998,4.908425035548107e-06,7.779036648554431e-08,1.9967262309430963e-08,2.1477299075984074e-08
2019-12-01 02:44:58.616998,1.2739589966214083e-06,4.712449420565333e-08,1.8616079761896466e-08,2.0002989874402084e-08
2019-12-01 02:59:58.616998,1.1607470501482507e-05,1.1176549002558541e-07,1.9615071646692536e-08,2.079794819724766e-08
2019-12-01 03:14:58.616998,9.476555459592725e-06,1.8611790366077135e-07,1.9146288237679388e-08,2.0237254597601788e-08
2019-12-01 03:29:58.616998,3.250428935056005e-06,1.3489611446359763e-07,1.723700617647148e-08,1.8214847596873346e-08
2019-12-01 03:44:58.616998,1.891281064375655e-07,5.566388488695451e-08,1.5371614504671878e-08,1.640214978854832e-08
2019-12-01 03:59:58.616998,2.4700099670871547e-07,2.447400673145108e-07,2.2515355532789326e-08,2.3072092509451387e-08
2019-12-01 04:14:58.616998,2.217620942323556e-07,3.587860833729072e-07,2.3260800957924523e-08,2.3713210975206462e-08
2019-12-01 04:29:58.616998,1.6783012527341254e-07,2.510176362720902e-07,2.1809188019477725e-08,2.2368467663420694e-08
2019-12-01 04:44:58.616998,3.790597013565518e-06,2.4303272919698717e-07,2.0897923333235128e-08,2.139856061406407e-08
2019-12-01 04:59:58.616998,3.7932794809625084e-06,2.0190403611545652e-07,2.1192414500527053e-08,2.171159660947762e-08
2019-12-01 05:14:58.616998,1.973673563929596e-07,1.718327019572579e-07,2.2787451817532496e-08,2.3260526173661564e-08
2019-12-01 05:29:58.616998,2.2476989148762638e-07,1.9157881004941413e-07,1.9898886076937844e-08,2.0421161489708958e-08
2019-12-01 05:44:58.616998,1.435234176252056e-07,2.4922393309012847e-07,1.8128900309137056e-08,1.8650196929218762e-08
2019-12-01 05:59:58.616998,1.644770828430315e-07,3.3384157047079585e-07,1.9862112701108294e-08,2.0403459030483563e-08
2019-12-01 06:14:58.616998,1.8547348166901207e-07,2.873572566580854e-07,1.8379857479526144e-08,1.900724105876943e-08
2019-12-01 06:29:58.616998,3.2440337161421115e-06,2.0645763795919294e-07,1.9852246661567302e-08,2.0577608274195373e-08
2019-12-01 06:44:58.616998,2.1250092037279492e-05,2.1156767628287806e-07,2.014453221330505e-08,2.0729293477197472e-08
2019-12-01 06:59:58.616998,2.4025534290990534e-05,1.5897323431638793e-07,1.7597773653413862e-08,1.8239873175775433e-08
2019-12-01 07:14:58.616998,2.6460542319811696e-06,1.1179651732831957e-07,1.6592850453266316e-08,1.7284576489519474e-08
2019-12-01 07:29:58.616998,3.2333304934009003e-06,1.4408956370170215e-07,1.8174846976943862e-08,1.8801670020910652e-08
2019-12-01 07:44:58.616998,0.0002634976475355086,4.757313596056185e-06,1.908456713791701e-06,2.020861936125804e-06
2019-12-01 07:59:58.616998,0.00023171191001589934,4.181760419224232e-06,1.6784053929646858e-06,1.7772492751510156e-06
2019-12-01 08:14:58.616998,7.336468370160358e-07,3.6587790894278204e-08,2.067677381810706e-08,2.1462232166516194e-08
2019-12-01 08:29:58.616998,2.4482612522800706e-07,2.832830263611956e-08,1.762062435554967e-08,1.8413906949434425e-08
2019-12-01 08:44:58.616998,3.206868819163045e-07,2.552680851936873e-08,1.388360667549743e-08,1.469006725468408e-08
2019-12-01 08:59:58.616998,4.595342515271169e-07,2.4554739578330264e-08,1.3468481469146155e-08,1.426510431110494e-08
2019-12-01 09:14:58.616998,3.6195915180123095e-06,4.998921724741681e-08,1.4537621612947363e-08,1.5312536584726733e-08
2019-12-01 09:29:58.616998,1.7043691441943443e-06,3.3428117883259925e-08,1.3563742163008052e-08,1.4550367677273412e-08
2019-12-01 09:44:58.616998,2.865242584115018e-07,2.6739411422848457e-08,1.4315865843237355e-08,1.5379059965183102e-08
