,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:57.602999,1.6054749336115518e-06,9.225619708343205e-08,3.4833282756636846e-08,3.4979877576006826e-08
2019-11-30 23:44:57.602999,1.617319386691537e-06,8.65378365930013e-08,3.395131367508379e-08,3.4106149713328094e-08
2019-11-30 23:59:57.602999,1.621363945090596e-06,7.586052806651434e-08,3.035896551014219e-08,3.052225615052815e-08
2019-12-01 00:14:57.602999,2.7016881014942586e-05,7.717817072872027e-08,3.1963015250411554e-08,3.21649865449061e-08
2019-12-01 00:29:57.602999,2.708601371868256e-05,8.612244752711355e-08,3.17083595294595e-08,3.190860961464299e-08
2019-12-01 00:44:57.602999,1.6058352693549598e-06,7.37753182150754e-08,3.2465929214829136e-08,3.258364616039226e-08
2019-12-01 00:59:57.602999,1.6005534659350412e-06,6.892571282245028e-08,3.1616812731156263e-08,3.1698379777743305e-08
2019-12-01 01:14:57.602999,1.5901832337308625e-06,7.165016766861286e-08,2.6333510847805384e-08,2.647002759818499e-08
2019-12-01 01:29:57.602999,1.594927778856835e-06,7.191900079340361e-08,2.3830985446151403e-08,2.397707900903399e-08
2019-12-01 01:44:57.602999,1.6245837169838738e-06,5.990700046197433e-08,2.3587472625801765e-08,2.3741290104611312e-08
2019-12-01 01:59:57.602999,1.611619670179631e-06,7.478223531508087e-08,2.4069908168816294e-08,2.4236905969626663e-08
2019-12-01 02:14:57.602999,1.6056022414653052e-06,7.359836755415524e-08,2.40572730449903e-08,2.4170275827312957e-08
2019-12-01 02:29:57.602999,1.6032280633253676e-06,6.538908063376587e-08,2.2896785334826245e-08,2.3033260242974513e-08
2019-12-01 02:44:57.602999,1.6101395415174764e-06,4.66163259762296e-08,2.1119116014926464e-08,2.134697497575166e-08
2019-12-01 02:59:57.602999,1.611791765503528e-06,6.211279548512133e-08,2.125564009052994e-08,2.1461119215283112e-08
2019-12-01 03:14:57.602999,1.6153612099061053e-06,7.7511148201625e-08,1.8686145698477833e-08,1.880824071898156e-08
2019-12-01 03:29:57.602999,1.6083477306461168e-06,6.963745433956611e-08,1.98791854175058e-08,2.0048952323591588e-08
2019-12-01 03:44:57.602999,1.5972492809460585e-06,4.907279774315664e-08,1.89167479938258e-08,1.90331967134052e-08
2019-12-01 03:59:57.602999,1.584395318265854e-06,6.143745807733738e-08,2.3913007706741067e-08,2.400991521172678e-08
2019-12-01 04:14:57.602999,1.5802817793878634e-06,6.099245637257924e-08,2.77328955312411e-08,2.788327054258612e-08
2019-12-01 04:29:57.602999,1.6104759273425728e-06,5.7803898217659555e-08,2.2619794510583557e-08,2.281970340076736e-08
2019-12-01 04:44:57.602999,1.6164851822534453e-06,6.293397186799836e-08,1.61100634333758e-08,1.6211044227460606e-08
2019-12-01 04:59:57.602999,1.6192592856788233e-06,5.500987741462181e-08,1.4209169261210051e-08,1.4320247536816737e-08
2019-12-01 05:14:57.602999,1.6356711567892306e-06,4.396579299825991e-08,1.2818586610129183e-08,1.2941901213421185e-08
2019-12-01 05:29:57.602999,1.618377859694721e-06,4.098742601676142e-08,1.1237068772074176e-08,1.134881334092259e-08
2019-12-01 05:44:57.602999,1.6355763088144894e-06,6.473342591468087e-08,1.624118122857216e-08,1.6335829240861465e-08
2019-12-01 05:59:57.602999,1.6351961491615757e-06,8.315033283766615e-08,1.7088781600180876e-08,1.717677699529377e-08
2019-12-01 06:14:57.602999,1.6306678359602012e-06,7.119520802830994e-08,1.219756969814972e-08,1.2307272436507133e-08
2019-12-01 06:29:57.602999,1.6186407366784408e-06,5.368078932855574e-08,1.5105601264296168e-08,1.5235812505043538e-08
2019-12-01 06:44:57.602999,2.2917342983627953e-05,5.992603735103539e-08,1.604909148499986e-08,1.6180393182311063e-08
2019-12-01 06:59:57.602999,2.6691035838630348e-05,6.731049396750486e-08,1.4785016796318902e-08,1.4920460519558924e-08
2019-12-01 07:14:57.602999,1.6280573634826181e-06,6.126322780781172e-08,1.4985825687219194e-08,1.51086882756556e-08
2019-12-01 07:29:57.602999,1.627603724098391e-06,5.376424424208317e-08,1.3662779224765237e-08,1.3773769509441238e-08
2019-12-01 07:44:57.602999,1.6213107411149281e-06,6.626032617200025e-08,1.1106707946000059e-08,1.1245968754386454e-08
2019-12-01 07:59:57.602999,1.6113270463777765e-06,5.379633515673588e-08,1.2123526619918591e-08,1.227171722044249e-08
2019-12-01 08:14:57.602999,1.6031734659612682e-06,5.917132561483144e-08,1.0921519079481382e-08,1.1057232593023834e-08
2019-12-01 08:29:57.602999,1.6042568558876284e-06,5.8238193627671035e-08,1.0873549606064687e-08,1.1023268272779112e-08
2019-12-01 08:44:57.602999,1.6096436179178436e-06,6.656413666691089e-08,1.163297674738438e-08,1.1770676702584769e-08
2019-12-01 08:59:57.602999,1.6107133201585723e-06,6.555064847672962e-08,1.4339009901825384e-08,1.4436966885842865e-08
2019-12-01 09:14:57.602999,1.6289129516511308e-06,5.639992108553066e-08,1.18160602395488e-08,1.193881111497542e-08
2019-12-01 09:29:57.602999,1.6508868027732525e-06,5.732193169644832e-08,1.0710257585070947e-08,1.0836660146560371e-08
2019-12-01 09:44:57.602999,1.631682161614431e-06,4.4802190122253676e-08,1.1280951308131064e-08,1.1397324796065769e-08
2019-12-01 09:59:57.602999,1.6447522773092186e-06,4.030492238997342e-08,1.112834920928418e-08,1.1251252233847443e-08
2019-12-01 10:14:57.602999,1.6433344612145936e-06,4.644841146329006e-08,1.7225166821027742e-08,1.738126383480068e-08
2019-12-01 10:29:57.602999,1.6591555241720662e-06,6.029589233765713e-08,1.8871511981711336e-08,1.902129140538286e-08
2019-12-01 10:44:57.602999,1.6413408377997006e-06,5.865613308075073e-08,1.7237937065848998e-08,1.7356288467315604e-08
2019-12-01 10:59:57.602999,1.6276253676217615e-06,3.6811324406099374e-08,1.7940363107422075e-08,1.8062244196459e-08
2019-12-01 11:14:57.602999,1.6282283392580597e-06,4.0102007156009674e-08,2.4238133137503392e-08,2.43945493178781e-08
2019-12-01 11:29:57.602999,1.6216681020712535e-06,4.7886991814512094e-08,2.52258297330148e-08,2.5386080226010915e-08
2019-12-01 11:44:57.602999,1.60304470131018e-06,6.044846263709426e-08,2.613593138826716e-08,2.6305247870031545e-08
2019-12-01 11:59:57.602999,1.5998933852474147e-06,5.8765485556661446e-08,2.7009065856809294e-08,2.7204613748605542e-08
2019-12-01 12:14:57.602999,1.609069808538063e-06,5.379164368615913e-08,2.8862438199550922e-08,2.9012867905219184e-08
2019-12-01 12:29:57.602999,1.6341980548855144e-06,6.416150026802915e-08,2.8293841304689723e-08,2.8475650994262038e-08
2019-12-01 12:44:57.602999,1.6497783519640438e-06,6.741187833247814e-08,2.718357008235931e-08,2.73692264100388e-08
2019-12-01 12:59:57.602999,1.6574367633310381e-06,8.356558555295962e-08,3.405025524884557e-08,3.4228380966587706e-08
2019-12-01 13:14:57.602999,1.6404191853623677e-06,8.399124212845856e-08,3.8435366572116325e-08,3.8629230260451304e-08
2019-12-01 13:29:57.602999,1.6257538903559334e-06,9.070844591498871e-08,4.2107824737729274e-08,4.243172648107815e-08
2019-12-01 13:44:57.602999,1.6296009168641608e-06,8.598245231560545e-08,4.093415592540158e-08,4.1137033506994125e-08
2019-12-01 13:59:57.602999,1.6314906063500698e-06,8.612501935828023e-08,4.88248683876335e-08,4.894804777540641e-08
2019-12-01 14:14:57.602999,1.6221970440323348e-06,8.736989852037216e-08,4.790075011495942e-08,4.802720631139759e-08
2019-12-01 14:29:57.602999,1.6204853252210811e-06,8.49596974011512e-08,3.840381473178488e-08,3.857316606585769e-08
2019-12-01 14:44:57.602999,1.6559240066980068e-06,9.867689642344904e-08,4.3661143532597164e-08,4.3881263340997997e-08
2019-12-01 14:59:57.602999,1.6592871005844916e-06,9.959975106327147e-08,4.375262001421213e-08,4.3993069094428696e-08
2019-12-01 15:14:57.602999,1.6360530625155378e-06,9.212836727407919e-08,4.033958554436855e-08,4.0535250693857645e-08
2019-12-01 15:29:57.602999,1.6304583096462492e-06,1.253788377948922e-07,4.1224231267535684e-08,4.1426907453473353e-08
2019-12-01 15:44:57.602999,1.63586884103428e-06,1.1549870544518961e-07,3.947148763183663e-08,3.9671852674603044e-08
2019-12-01 15:59:57.602999,1.637781068254856e-06,1.0190247450769986e-07,4.79080372129167e-08,4.8095051509814375e-08
2019-12-01 16:14:57.602999,1.6475766460376865e-06,1.222895853111415e-07,6.318639734359375e-08,6.340644154729737e-08
2019-12-01 16:29:57.602999,1.6173950045112749e-06,9.049380356039896e-08,4.6314000414341856e-08,4.657135255600376e-08
2019-12-01 16:44:57.602999,2.874810210171278e-05,1.2257354694070078e-07,5.986431094618378e-08,6.005123490484198e-08
2019-12-01 16:59:57.602999,2.8753565401185276e-05,1.3958245661070755e-07,5.958988422752893e-08,5.988486033786685e-08
2019-12-01 17:14:57.602999,1.6360756507072506e-06,1.1986526372139863e-07,4.767155178863862e-08,4.795662651812121e-08
2019-12-01 17:29:57.602999,1.6507754016478326e-06,1.1299872063914087e-07,4.744726132222677e-08,4.7739851569619226e-08
2019-12-01 17:44:57.602999,1.6568028194838658e-06,1.1190336617351444e-07,4.799510630022757e-08,4.82770861588719e-08
2019-12-01 17:59:57.602999,1.6728211532984443e-06,1.0893820086362745e-07,4.6232030008621554e-08,4.644438641307496e-08
