,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000000,6.43449418566e-07,2.73774002792e-08,1.68521127147e-08,1.69788745726e-08
2019-10-31 23:44:59.000000,5.74595326949e-07,2.93116118902e-08,2.05136409612e-08,2.06081883231e-08
2019-10-31 23:59:59.000000,5.71018948333e-07,2.95600883714e-08,2.05049975455e-08,2.06161925554e-08
2019-11-01 00:14:59.000000,5.99322539659e-07,2.53721659871e-08,1.59961358381e-08,1.61257576093e-08
2019-11-01 00:29:59.000000,6.55855292694e-07,2.56028899476e-08,1.59220833704e-08,1.60561505839e-08
2019-11-01 00:44:59.000000,6.79078855386e-07,3.7222182595e-08,2.94726355728e-08,2.95838655354e-08
2019-11-01 00:59:59.000000,6.67023042206e-07,4.5947569474e-08,3.90301873529e-08,3.91570764612e-08
2019-11-01 01:14:59.000000,5.89407445601e-07,3.12321102692e-08,2.38692455621e-08,2.39971062922e-08
2019-11-01 01:29:59.000000,5.95388225851e-07,2.18712468794e-08,1.07305775242e-08,1.08711129478e-08
2019-11-01 01:44:59.000000,6.12353855996e-07,2.45667884917e-08,1.46112807566e-08,1.47306283426e-08
2019-11-01 01:59:59.000000,6.47730927775e-07,2.74312084399e-08,1.92652102426e-08,1.9396059683e-08
2019-11-01 02:14:59.000000,6.74494178049e-07,2.84924513863e-08,2.00275204011e-08,2.01572317315e-08
2019-11-01 02:29:59.000000,6.59329930798e-07,2.9407313468e-08,1.96495224224e-08,1.97652174051e-08
2019-11-01 02:44:59.000000,6.72252964364e-07,2.67786647777e-08,1.75942042901e-08,1.77303193203e-08
2019-11-01 02:59:59.000000,7.20329027806e-07,2.39907158472e-08,1.38688482495e-08,1.40090286517e-08
2019-11-01 03:14:59.000000,6.63104498152e-07,2.26312108697e-08,1.2566601558e-08,1.27061997107e-08
2019-11-01 03:29:59.000000,6.07122348246e-07,2.1807314865e-08,1.20233995213e-08,1.21571682332e-08
2019-11-01 03:44:59.000000,6.1131607388e-07,2.35701617014e-08,1.36007111463e-08,1.37406237277e-08
2019-11-01 03:59:59.000000,5.89419947521e-07,2.48422848703e-08,1.44905301944e-08,1.462594747e-08
2019-11-01 04:14:59.000000,6.28724371791e-07,2.39627953837e-08,1.38884214002e-08,1.4026081769e-08
2019-11-01 04:29:59.000000,6.20921999811e-07,2.22156005589e-08,1.24317506814e-08,1.25697998713e-08
2019-11-01 04:44:59.000000,6.04490994283e-07,2.18225368917e-08,1.26747798596e-08,1.28014567561e-08
2019-11-01 04:59:59.000000,1.67482928639e-05,3.34624529649e-08,1.40862712062e-08,1.42090279171e-08
2019-11-01 05:14:59.000000,1.67269980915e-05,3.33617870229e-08,1.41673866289e-08,1.42913580652e-08
2019-11-01 05:29:59.000000,6.35618276961e-07,2.13772220143e-08,1.31062527242e-08,1.32349711721e-08
2019-11-01 05:44:59.000000,6.21644237211e-07,2.08112267178e-08,1.24152397601e-08,1.25526882556e-08
2019-11-01 05:59:59.000000,6.01257045636e-07,2.04748962144e-08,1.18408451097e-08,1.19918155625e-08
2019-11-01 06:14:59.000000,6.32972936721e-07,1.92086331005e-08,1.08995554368e-08,1.10613752697e-08
2019-11-01 06:29:59.000000,6.20042180465e-07,1.86862375581e-08,1.04082360515e-08,1.05867544328e-08
2019-11-01 06:44:59.000000,6.42060918607e-07,1.77412292928e-08,9.13922219427e-09,9.32481732838e-09
2019-11-01 06:59:59.000000,6.36477738859e-07,1.71859307006e-08,8.70871116448e-09,8.86415802921e-09
2019-11-01 07:14:59.000000,6.73553795638e-07,1.68880130364e-08,8.24735358116e-09,8.39988014178e-09
2019-11-01 07:29:59.000000,6.1479925582e-07,1.64678979464e-08,7.98588788573e-09,8.13470839259e-09
2019-11-01 07:44:59.000000,6.52850234382e-07,1.61290243708e-08,7.92434891689e-09,8.07089648689e-09
2019-11-01 07:59:59.000000,7.01355780577e-07,1.9200081283e-08,1.05979944466e-08,1.07405407287e-08
2019-11-01 08:14:59.000000,6.22947624591e-07,1.52698221502e-08,7.31924175048e-09,7.4762180357e-09
2019-11-01 08:29:59.000000,6.41757576093e-07,1.53416466488e-08,7.10950851443e-09,7.2583784141e-09
2019-11-01 08:44:59.000000,6.23894965932e-07,1.591500379e-08,7.40783893417e-09,7.56211427905e-09
2019-11-01 08:59:59.000000,6.0320604517e-07,1.22297423321e-07,4.01309359098e-08,4.02277148492e-08
2019-11-01 09:14:59.000000,6.19052704141e-07,8.76037850083e-08,2.89149849508e-08,2.89947551107e-08
2019-11-01 09:29:59.000000,1.2129433337e-05,3.92598460241e-08,1.56551327225e-08,1.75824919352e-08
2019-11-01 09:44:59.000000,1.49352038951e-05,4.15823129086e-08,1.55569084309e-08,1.75138676125e-08
2019-11-01 09:59:59.000000,6.39818765449e-07,1.40663993033e-08,6.16620292348e-09,6.2870308717e-09
2019-11-01 10:14:59.000000,6.86408710752e-07,1.42768125382e-08,6.71987361254e-09,6.82741954856e-09
2019-11-01 10:29:59.000000,6.50044070828e-07,1.40152957079e-08,6.50199408231e-09,6.59878172276e-09
2019-11-01 10:44:59.000000,6.45813036851e-07,1.35494664156e-08,6.35103177389e-09,6.45651386887e-09
2019-11-01 10:59:59.000000,7.09472886477e-07,1.31188181523e-08,6.00264263695e-09,6.12215096107e-09
2019-11-01 11:14:59.000000,6.53459661651e-07,1.41774616359e-08,6.63375302058e-09,6.73664132756e-09
2019-11-01 11:29:59.000000,6.13965461826e-07,1.49981235507e-08,6.45001848473e-09,6.54440003682e-09
2019-11-01 11:44:59.000000,5.83134249235e-07,1.30692980232e-08,5.81800122858e-09,5.92353547318e-09
2019-11-01 11:59:59.000000,5.79166344261e-07,1.29794440558e-08,5.86200622596e-09,5.98838202033e-09
2019-11-01 12:14:59.000000,6.21417810943e-07,1.37424019024e-08,7.3076733413e-09,7.41645292495e-09
2019-11-01 12:29:59.000000,6.49306817933e-07,1.31174385017e-08,6.69554694554e-09,6.78735910963e-09
2019-11-01 12:44:59.000000,6.33551156981e-07,1.2127188561e-08,5.03115849464e-09,5.12259429741e-09
2019-11-01 12:59:59.000000,6.46686772055e-07,1.22741334232e-08,4.86085541223e-09,4.93758056967e-09
2019-11-01 13:14:59.000000,6.30071697575e-07,1.22538559403e-08,4.25043760195e-09,4.31913510426e-09
2019-11-01 13:29:59.000000,5.72242443851e-07,1.24443414903e-08,4.52840088503e-09,4.59260027812e-09
2019-11-01 13:44:59.000000,5.85909269647e-07,1.19818102278e-08,4.34051762306e-09,4.41872905257e-09
2019-11-01 13:59:59.000000,5.92003793574e-07,1.18978648252e-08,3.90107543551e-09,3.98927991719e-09
2019-11-01 14:14:59.000000,5.6988177935e-07,1.25001986047e-08,4.16833212398e-09,4.24914166093e-09
2019-11-01 14:29:59.000000,5.69453412352e-07,1.3505504085e-08,4.17273259287e-09,4.24586172746e-09
2019-11-01 14:44:59.000000,6.13128358915e-07,1.42325860695e-08,4.42760391834e-09,4.50768649907e-09
2019-11-01 14:59:59.000000,6.17720964317e-07,1.3391568638e-08,3.85211618643e-09,3.9255129151e-09
2019-11-01 15:14:59.000000,6.35306254059e-07,2.03260176291e-08,8.08792136401e-09,8.21131084975e-09
2019-11-01 15:29:59.000000,6.24043419783e-07,1.99319926016e-08,7.98955706115e-09,8.11493753302e-09
2019-11-01 15:44:59.000000,5.75785697588e-07,1.22435578788e-08,3.63136725562e-09,3.71223705588e-09
2019-11-01 15:59:59.000000,5.77365355662e-07,1.19650794054e-08,3.19098161461e-09,3.26384112099e-09
2019-11-01 16:14:59.000000,5.88767177826e-07,1.21194629414e-08,3.16547966858e-09,3.235371599e-09
