,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.002999,2.7501877948e-07,1.97962776722e-08,1.2270320947e-08,1.31586276701e-08
2019-10-31 23:44:59.002999,2.48053495677e-07,1.83285643066e-08,1.21987703075e-08,1.31734667574e-08
2019-10-31 23:59:59.002999,2.49791338792e-07,1.45524341856e-08,1.0759006386e-08,1.1801109639e-08
2019-11-01 00:14:59.002999,2.60662135283e-07,1.50434008492e-08,1.15595285935e-08,1.25022787382e-08
2019-11-01 00:29:59.002999,2.59190564334e-07,1.66082951554e-08,1.20851649247e-08,1.29439019222e-08
2019-11-01 00:44:59.002999,2.42365275998e-07,1.56293137354e-08,1.11063352518e-08,1.20808205251e-08
2019-11-01 00:59:59.002999,2.35205805562e-07,1.41645068095e-08,1.10634542719e-08,1.18605974876e-08
2019-11-01 01:14:59.002999,2.52682467979e-07,1.2359170801e-08,8.44663482477e-09,9.25302797546e-09
2019-11-01 01:29:59.002999,2.71696939183e-07,9.6619769624e-09,7.50912707159e-09,8.28840912138e-09
2019-11-01 01:44:59.002999,2.67632481828e-07,9.47595291595e-09,7.5262406592e-09,8.38153820118e-09
2019-11-01 01:59:59.002999,2.64291116481e-07,9.53573788025e-09,7.55410144091e-09,8.40843083643e-09
2019-11-01 02:14:59.002999,2.70859106776e-07,1.11834230719e-08,9.00350590957e-09,9.71398219841e-09
2019-11-01 02:29:59.002999,2.70401280024e-07,1.03590333711e-08,8.2461322016e-09,8.96504640996e-09
2019-11-01 02:44:59.002999,2.47429572101e-07,8.87532722804e-09,6.99680466373e-09,7.82303824855e-09
2019-11-01 02:59:59.002999,2.62713262733e-07,7.85032773674e-09,6.02882838883e-09,6.90778781994e-09
2019-11-01 03:14:59.002999,2.50475878537e-07,7.95232953912e-09,6.18343243533e-09,7.09009423318e-09
2019-11-01 03:29:59.002999,2.47839120604e-07,7.79211160649e-09,6.04669248206e-09,6.95810730716e-09
2019-11-01 03:44:59.002999,2.48391111185e-07,7.86820989317e-09,6.04618399166e-09,6.96856878492e-09
2019-11-01 03:59:59.002999,2.44207471501e-07,7.71768900965e-09,5.9982651387e-09,6.95755829503e-09
2019-11-01 04:14:59.002999,2.56586044773e-07,8.24481861099e-09,6.39393022404e-09,7.36629902254e-09
2019-11-01 04:29:59.002999,2.44902080145e-07,9.37186310988e-09,7.12919787407e-09,8.2657608448e-09
2019-11-01 04:44:59.002999,2.49734276853e-07,8.69980958661e-09,6.98060577154e-09,8.09082092621e-09
2019-11-01 04:59:59.002999,2.9695172053e-05,4.28001651668e-08,8.19475272312e-09,9.18111259583e-09
2019-11-01 05:14:59.002999,2.965624985e-05,4.26568195585e-08,7.90904699878e-09,8.71465735367e-09
2019-11-01 05:29:59.002999,2.47998692974e-07,7.44284025928e-09,5.96081575923e-09,6.82333897491e-09
2019-11-01 05:44:59.002999,2.3951798464e-07,6.98530984794e-09,5.2846608291e-09,6.18926922531e-09
2019-11-01 05:59:59.002999,2.55392645893e-07,7.06192624579e-09,5.12446420765e-09,6.03008968315e-09
2019-11-01 06:14:59.002999,2.61069339943e-07,7.20173788172e-09,5.33506040397e-09,6.23961424458e-09
2019-11-01 06:29:59.002999,2.53840570163e-07,7.30284302746e-09,5.69217425563e-09,6.55926800354e-09
2019-11-01 06:44:59.002999,2.63508720437e-07,7.57458505056e-09,5.92594555009e-09,6.74818132878e-09
2019-11-01 06:59:59.002999,2.37576282914e-07,7.47961537314e-09,6.02445915807e-09,6.84507484479e-09
2019-11-01 07:14:59.002999,2.31831339771e-07,7.38044707598e-09,5.80972943604e-09,6.66897712623e-09
2019-11-01 07:29:59.002999,2.15039137375e-07,7.41478745698e-09,5.74090537385e-09,6.61891984116e-09
2019-11-01 07:44:59.002999,2.34043832725e-07,7.23242345085e-09,5.63534094601e-09,6.51953435228e-09
2019-11-01 07:59:59.002999,2.30707758158e-07,7.26867374176e-09,5.72118824372e-09,6.59187792664e-09
2019-11-01 08:14:59.002999,2.18765028042e-07,7.22541484593e-09,5.78094723969e-09,6.64163879951e-09
2019-11-01 08:29:59.002999,2.16105863065e-07,7.82942059872e-09,6.22466286737e-09,7.05513058718e-09
2019-11-01 08:44:59.002999,2.19000014889e-07,7.62347629869e-09,6.01134689781e-09,6.83066207747e-09
2019-11-01 08:59:59.002999,2.24235686927e-07,7.75503793175e-09,6.26536905107e-09,7.07805135205e-09
2019-11-01 09:14:59.002999,2.44256463715e-07,8.29258359634e-09,6.7261432135e-09,7.56405528725e-09
2019-11-01 09:29:59.002999,2.07814532535e-05,2.50951925778e-08,7.20701387889e-09,7.98620046795e-09
2019-11-01 09:44:59.002999,2.85539384909e-05,3.34457064064e-08,6.73505148409e-09,7.51044290567e-09
2019-11-01 09:59:59.002999,2.40793175345e-07,6.96814752937e-09,5.28220754345e-09,6.21012908536e-09
2019-11-01 10:14:59.002999,2.44376775872e-07,7.04047574826e-09,5.30539897425e-09,6.25139857406e-09
2019-11-01 10:29:59.002999,2.26196714305e-07,6.87790426876e-09,5.17865994452e-09,6.12737499854e-09
2019-11-01 10:44:59.002999,2.25226583081e-07,8.08241484155e-09,6.31880862915e-09,7.15875382653e-09
2019-11-01 10:59:59.002999,2.2962094949e-07,9.37110958734e-09,7.08632507529e-09,7.91847336854e-09
2019-11-01 11:14:59.002999,2.30960291267e-07,9.15144587126e-09,6.62073497932e-09,7.49016708261e-09
2019-11-01 11:29:59.002999,2.26552407095e-07,9.40055844337e-09,6.00793746974e-09,6.88670567942e-09
2019-11-01 11:44:59.002999,2.29938241748e-07,1.05326187122e-08,5.85883098738e-09,6.71623019377e-09
2019-11-01 11:59:59.002999,2.25126018354e-07,1.17439628047e-08,6.73831242466e-09,7.67635270561e-09
2019-11-01 12:14:59.002999,2.19447356354e-07,1.39513489855e-08,7.77736265087e-09,8.67366234397e-09
2019-11-01 12:29:59.002999,2.14494532867e-07,1.43532918019e-08,7.08799202868e-09,7.89351511605e-09
2019-11-01 12:44:59.002999,2.17521467806e-07,1.44911115631e-08,7.75019036495e-09,8.62136682049e-09
2019-11-01 12:59:59.002999,2.19121021609e-07,1.45685313577e-08,8.08654878372e-09,9.06719681971e-09
2019-11-01 13:14:59.002999,2.26419999472e-07,1.49278360784e-08,8.34786635493e-09,9.21553318456e-09
2019-11-01 13:29:59.002999,2.16561365485e-07,1.57008029703e-08,8.28088108718e-09,9.01008833293e-09
2019-11-01 13:44:59.002999,2.14769235563e-07,1.5444968938e-08,7.76246780168e-09,8.48828580016e-09
2019-11-01 13:59:59.002999,2.08334279659e-07,1.61737702939e-08,7.51070936555e-09,8.28577992538e-09
2019-11-01 14:14:59.002999,2.11026907583e-07,1.75234030366e-08,1.12016535684e-08,1.18913759978e-08
2019-11-01 14:29:59.002999,2.08973389168e-07,1.86522846371e-08,1.2935575514e-08,1.36290948011e-08
2019-11-01 14:44:59.002999,2.02779151393e-07,1.75494513334e-08,1.11260737201e-08,1.18910336498e-08
2019-11-01 14:59:59.002999,2.13614100345e-07,1.8172860325e-08,1.1274712062e-08,1.20253821334e-08
2019-11-01 15:14:59.002999,2.19642499272e-07,1.97593962469e-08,1.20109976549e-08,1.27655905487e-08
2019-11-01 15:29:59.002999,2.23546059022e-07,2.41428762391e-08,1.3488718482e-08,1.42589152523e-08
2019-11-01 15:44:59.002999,2.1474063836e-07,2.09771040091e-08,1.27904772347e-08,1.36191276188e-08
2019-11-01 15:59:59.002999,2.14047766307e-07,1.8932548302e-08,1.25354753917e-08,1.33435463263e-08
2019-11-01 16:14:59.002999,2.2113345484e-07,2.06828744242e-08,1.22010216313e-08,1.30122670997e-08
2019-11-01 16:29:59.002999,2.11709239063e-07,2.19493610039e-08,1.15098106572e-08,1.23619660875e-08
2019-11-01 16:44:59.002999,2.22058242229e-07,2.42523165193e-08,1.19013215679e-08,1.26742075169e-08
2019-11-01 16:59:59.002999,2.18169613212e-07,2.29959514009e-08,1.10962050396e-08,1.19647838955e-08
2019-11-01 17:14:59.002999,2.23683453663e-07,2.36092564948e-08,1.13634578232e-08,1.24222734797e-08
2019-11-01 17:29:59.002999,2.10497636827e-07,2.11014185747e-08,1.08867155491e-08,1.19224218467e-08
2019-11-01 17:44:59.002999,2.12147527725e-07,1.89170415967e-08,1.09017293873e-08,1.19510559683e-08
2019-11-01 17:59:59.002999,2.0796069652e-07,1.91467273318e-08,1.14964224372e-08,1.24774287762e-08
2019-11-01 18:14:59.002999,2.15171344697e-07,2.0985246598e-08,1.36954618822e-08,1.45362510823e-08
2019-11-01 18:29:59.002999,3.92529428249e-07,2.03728479188e-08,1.29745874681e-08,1.38768313313e-08
2019-11-01 18:44:59.002999,3.88650833009e-07,2.10707936596e-08,1.29291412319e-08,1.3798149283e-08
2019-11-01 18:59:59.002999,1.34148609748e-05,4.7549548197e-08,1.31184356762e-08,1.39329894525e-08
2019-11-01 19:14:59.002999,1.96927799446e-07,2.20282431482e-08,1.36411584413e-08,1.44541440277e-08
2019-11-01 19:29:59.002999,1.96021603477e-07,1.92128769344e-08,1.1376693815e-08,1.22773840793e-08
2019-11-01 19:44:59.002999,1.90509833875e-07,1.96609485341e-08,1.32132897407e-08,1.4014761665e-08
2019-11-01 19:59:59.002999,3.63217839884e-05,4.26641322163e-08,1.31804592312e-08,1.40253681488e-08
2019-11-01 20:14:59.002999,3.12051625279e-05,3.92052392289e-08,1.46746855739e-08,1.55248199546e-08
2019-11-01 20:29:59.002999,2.06669516351e-07,1.9830043812e-08,1.15194920151e-08,1.2439905508e-08
2019-11-01 20:44:59.002999,2.05732702054e-07,2.20782412157e-08,1.25792901116e-08,1.34015279264e-08
2019-11-01 20:59:59.002999,2.13023434671e-07,2.02710183898e-08,1.13790670256e-08,1.22120949288e-08
2019-11-01 21:14:59.002999,2.06815722592e-07,1.97138795557e-08,1.31335897872e-08,1.39463215421e-08
2019-11-01 21:29:59.002999,1.97701394132e-07,1.88732273673e-08,1.1531701902e-08,1.2347469905e-08
2019-11-01 21:44:59.002999,2.11459490352e-07,2.00644252781e-08,1.20688758807e-08,1.28687957741e-08
2019-11-01 21:59:59.002999,2.29091097523e-07,1.97053121675e-08,1.27215491647e-08,1.34170985145e-08
