,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.003000,3.41563957855e-07,8.43832533532e-09,5.83330855176e-09,7.31089719906e-09
2019-10-31 23:44:59.003000,3.59797860482e-07,8.16071006761e-09,5.37607979057e-09,6.97418414031e-09
2019-10-31 23:59:59.003000,3.43242391477e-07,7.54975244208e-09,5.10703125611e-09,6.65287489555e-09
2019-11-01 00:14:59.003000,3.51294797229e-07,7.83214819258e-09,5.28547118691e-09,6.77247235242e-09
2019-11-01 00:29:59.003000,3.56880072081e-07,7.92979474396e-09,5.07706180168e-09,6.44876928055e-09
2019-11-01 00:44:59.003000,3.44320951228e-07,9.34185998215e-09,4.97996062515e-09,6.34051003527e-09
2019-11-01 00:59:59.003000,3.53681801497e-07,9.44585787289e-09,4.97202670404e-09,6.29108129085e-09
2019-11-01 01:14:59.003000,3.58948819398e-07,7.63794891013e-09,4.66727045435e-09,6.04253013679e-09
2019-11-01 01:29:59.003000,3.65708328591e-07,9.0487813215e-09,4.99637125891e-09,6.32592573994e-09
2019-11-01 01:44:59.003000,3.71872003031e-07,9.0274208729e-09,5.01744553015e-09,6.26677712083e-09
2019-11-01 01:59:59.003000,3.75199660058e-07,7.18634363714e-09,4.53556825667e-09,5.79574680704e-09
2019-11-01 02:14:59.003000,3.54256750943e-07,6.87294332859e-09,4.42817137654e-09,5.72593845087e-09
2019-11-01 02:29:59.003000,3.61132133669e-07,8.23225865702e-09,4.72708634092e-09,5.93615469752e-09
2019-11-01 02:44:59.003000,3.56937677223e-07,7.83009741334e-09,4.64268015831e-09,5.68134465166e-09
2019-11-01 02:59:59.003000,3.49435165584e-07,5.73301919056e-09,4.27325235481e-09,5.11136154933e-09
2019-11-01 03:14:59.003000,3.55184420671e-07,5.74396097068e-09,4.24164190209e-09,5.08959847059e-09
2019-11-01 03:29:59.003000,3.54039212553e-07,5.77468785174e-09,4.29409680281e-09,5.12268056071e-09
2019-11-01 03:44:59.003000,3.64071949283e-07,5.89411256859e-09,4.38930744599e-09,5.23173005475e-09
2019-11-01 03:59:59.003000,3.78493087971e-07,5.89535859631e-09,4.40724982852e-09,5.25465325121e-09
2019-11-01 04:14:59.003000,3.52158198296e-07,5.64980815546e-09,4.25002451051e-09,5.0731618277e-09
2019-11-01 04:29:59.003000,3.6144891443e-07,5.68919916241e-09,4.2373506075e-09,5.06602781459e-09
2019-11-01 04:44:59.003000,4.33135673289e-07,5.93404176722e-09,4.38022179749e-09,5.26291874087e-09
2019-11-01 04:59:59.003000,2.74312639332e-05,3.73482887508e-08,6.07911302835e-09,6.90715518711e-09
2019-11-01 05:14:59.003000,2.73917538382e-05,3.72902660848e-08,5.91088642978e-09,6.96919205025e-09
2019-11-01 05:29:59.003000,3.74887113139e-07,6.19437900319e-09,4.0179448657e-09,5.65831240509e-09
2019-11-01 05:44:59.003000,3.77601455251e-07,6.11627798915e-09,3.99191422885e-09,5.60420281376e-09
2019-11-01 05:59:59.003000,3.60215479683e-07,6.12918146347e-09,3.94970141265e-09,5.62592697872e-09
2019-11-01 06:14:59.003000,3.98162596288e-07,6.22688243874e-09,3.93245815226e-09,5.70771299064e-09
2019-11-01 06:29:59.003000,4.15088443735e-07,6.08994264728e-09,3.94261301551e-09,5.55158369533e-09
2019-11-01 06:44:59.003000,4.25546675137e-07,5.86385134783e-09,3.90586492917e-09,5.32773972701e-09
2019-11-01 06:59:59.003000,4.74001093661e-07,5.68226915877e-09,3.8801632365e-09,5.11429502518e-09
2019-11-01 07:14:59.003000,4.84160258293e-07,5.66242035811e-09,3.88598577121e-09,5.0808193808e-09
2019-11-01 07:29:59.003000,5.13619280861e-07,5.828063661e-09,3.93574956616e-09,5.24963986935e-09
2019-11-01 07:44:59.003000,5.49211734701e-07,5.87552648614e-09,3.94942522478e-09,5.27948014857e-09
2019-11-01 07:59:59.003000,5.46988088725e-07,5.66153651881e-09,3.8344181171e-09,5.08466888434e-09
2019-11-01 08:14:59.003000,5.38829392654e-07,5.70161020465e-09,3.88455537763e-09,5.16228620791e-09
2019-11-01 08:29:59.003000,5.52241325265e-07,5.77156926697e-09,3.96146571768e-09,5.19658934616e-09
2019-11-01 08:44:59.003000,5.75870671934e-07,5.65215359158e-09,3.83029875694e-09,5.05733070757e-09
2019-11-01 08:59:59.003000,5.58097146656e-07,5.58098019981e-09,3.85104654733e-09,4.98715958008e-09
2019-11-01 09:14:59.003000,5.85321183312e-07,5.7423398377e-09,3.95999661083e-09,5.057642368e-09
2019-11-01 09:29:59.003000,1.79629578303e-05,2.28357802399e-08,4.67379045561e-09,5.66143599543e-09
2019-11-01 09:44:59.003000,2.6518200036e-05,3.13331359354e-08,5.17768206089e-09,6.1261788525e-09
2019-11-01 09:59:59.003000,6.4400506005e-07,5.98677188574e-09,3.7900988542e-09,5.42044403292e-09
2019-11-01 10:14:59.003000,6.63460464988e-07,1.13963163293e-08,4.01973243105e-09,5.78706251916e-09
2019-11-01 10:29:59.003000,6.61591903759e-07,1.14078251747e-08,3.99811571974e-09,5.77699363704e-09
2019-11-01 10:44:59.003000,6.2981068035e-07,6.25585369242e-09,3.8472097276e-09,5.69690798654e-09
2019-11-01 10:59:59.003000,6.21597601263e-07,9.95299029852e-09,4.22229077901e-09,9.47862154385e-09
2019-11-01 11:14:59.003000,6.28814338668e-07,1.19207949643e-08,5.45848251523e-09,1.14124932573e-08
2019-11-01 11:29:59.003000,6.10774486015e-07,1.0861058006e-08,6.10497717706e-09,1.02894366616e-08
2019-11-01 11:44:59.003000,6.2509255498e-07,1.21085842043e-08,6.13861411811e-09,1.13665226297e-08
2019-11-01 11:59:59.003000,6.05574239709e-07,1.0923784217e-08,5.49945894385e-09,1.02815049685e-08
2019-11-01 12:14:59.003000,6.08261010159e-07,1.11981220601e-08,5.02435358655e-09,1.06151391073e-08
2019-11-01 12:29:59.003000,6.08686647036e-07,1.19703459548e-08,5.13245295924e-09,1.14194920197e-08
2019-11-01 12:44:59.003000,5.79351873744e-07,9.81794607709e-09,5.62601256045e-09,8.9282007588e-09
2019-11-01 12:59:59.003000,6.15732495773e-07,1.21146698535e-08,7.61926540934e-09,1.07869741558e-08
2019-11-01 13:14:59.003000,6.09306390618e-07,1.25749883091e-08,8.11725085627e-09,1.10926333025e-08
2019-11-01 13:29:59.003000,6.2727143497e-07,1.05551868981e-08,6.80608663637e-09,9.49561179638e-09
