,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.997999,3.88930901741e-06,5.9997431796e-08,3.71557774778e-08,3.75355726415e-08
2019-10-31 23:44:58.997999,3.87575384345e-06,6.52785426855e-08,4.38333767505e-08,4.42487761232e-08
2019-10-31 23:59:58.997999,4.87483987841e-07,4.74148114921e-08,4.30913990268e-08,4.35043219745e-08
2019-11-01 00:14:58.997999,4.94881796709e-07,4.12561756325e-08,3.61215737598e-08,3.66142949855e-08
2019-11-01 00:29:58.997999,5.02658557415e-07,3.97218598033e-08,3.35554010299e-08,3.40903955623e-08
2019-11-01 00:44:58.997999,3.31161446126e-06,5.50569804225e-08,3.28970955764e-08,3.33813312978e-08
2019-11-01 00:59:58.997999,3.81787135604e-06,5.82201163536e-08,3.19116825061e-08,3.2282142871e-08
2019-11-01 01:14:58.997999,4.34482179264e-07,3.54140370802e-08,3.1588744989e-08,3.18876694175e-08
2019-11-01 01:29:58.997999,3.366285791e-06,5.5181031557e-08,3.50231434027e-08,3.53136391175e-08
2019-11-01 01:44:58.997999,1.97144359653e-06,4.65568661412e-08,3.53142143041e-08,3.56283533449e-08
2019-11-01 01:59:58.997999,4.35969642627e-07,4.00735164281e-08,3.41381836621e-08,3.44682087005e-08
2019-11-01 02:14:58.997999,3.29792461197e-06,5.67015496004e-08,3.33100611444e-08,3.37482154221e-08
2019-11-01 02:29:58.997999,1.1234594265e-05,6.78795311235e-08,3.54146140291e-08,3.59948137375e-08
2019-11-01 02:44:58.997999,1.07469395798e-05,5.3702773302e-08,3.61219517563e-08,3.65958308636e-08
2019-11-01 02:59:58.997999,4.07754182249e-07,3.78693161226e-08,3.33957308269e-08,3.37283547407e-08
2019-11-01 03:14:58.997999,4.16722699815e-07,3.79816564623e-08,3.38223628225e-08,3.41512067527e-08
2019-11-01 03:29:58.997999,4.99828745297e-06,7.10220740231e-08,3.49975451869e-08,3.53785738804e-08
2019-11-01 03:44:58.997999,3.78066396745e-06,6.19639559829e-08,3.62929805559e-08,3.67425248798e-08
2019-11-01 03:59:58.997999,1.22657071377e-06,4.75433968042e-08,3.64332511943e-08,3.69740824946e-08
2019-11-01 04:14:58.997999,6.71547019063e-06,8.12190479047e-08,3.26080886937e-08,3.30285868881e-08
2019-11-01 04:29:58.997999,2.26681872227e-05,1.08194751262e-07,3.12911278547e-08,3.1653341962e-08
2019-11-01 04:44:58.997999,3.43352168109e-05,1.00715102359e-07,3.38265873955e-08,3.42308522347e-08
2019-11-01 04:59:58.997999,2.85785127565e-05,9.12298637749e-08,3.23983102218e-08,3.29020587359e-08
2019-11-01 05:14:58.997999,9.49629716282e-06,5.83916337019e-08,2.91828636284e-08,2.95741866635e-08
2019-11-01 05:29:58.997999,2.50608674456e-06,3.30602709369e-08,2.93710155355e-08,2.9708640505e-08
2019-11-01 05:44:58.997999,5.53675076733e-06,5.46174094159e-08,3.24641096978e-08,3.2815753081e-08
2019-11-01 05:59:58.997999,1.32355015034e-05,6.65984619115e-08,3.23840280826e-08,3.27554600357e-08
2019-11-01 06:14:58.997999,1.26866520363e-05,5.35635206574e-08,3.29253382804e-08,3.33103548463e-08
2019-11-01 06:29:58.997999,1.1442735177e-05,5.11637414979e-08,3.36630411988e-08,3.41071658524e-08
2019-11-01 06:44:58.997999,1.11523913341e-05,4.96680865296e-08,3.18638206811e-08,3.23493539179e-08
2019-11-01 06:59:58.997999,3.67653999437e-06,3.71720313297e-08,3.1902061704e-08,3.23214680316e-08
2019-11-01 07:14:58.997999,3.80064035885e-06,5.57584303425e-08,3.40483028743e-08,3.44291137735e-08
2019-11-01 07:29:58.997999,3.88427200071e-06,5.54777580177e-08,3.36846969199e-08,3.40800117115e-08
2019-11-01 07:44:58.997999,1.05742145632e-05,4.95162187104e-08,3.42566628531e-08,3.46184283069e-08
2019-11-01 07:59:58.997999,4.07365253352e-07,3.73095618743e-08,3.36806723592e-08,3.40623359865e-08
2019-11-01 08:14:58.997999,4.54832404266e-06,6.64233020597e-08,3.55564176752e-08,3.59298942034e-08
2019-11-01 08:29:58.997999,4.93065555756e-06,7.20646179118e-08,3.82357548135e-08,3.8598243675e-08
2019-11-01 08:44:58.997999,4.75162648753e-07,4.13012813341e-08,3.77830305517e-08,3.81015677973e-08
2019-11-01 08:59:58.997999,3.38480273587e-06,5.69017860255e-08,3.58411560933e-08,3.61921656926e-08
2019-11-01 09:14:58.997999,3.41505908582e-06,5.61674205129e-08,3.46999846045e-08,3.5046220012e-08
2019-11-01 09:29:58.997999,2.1684286055e-05,5.81006533158e-08,3.21205189894e-08,3.24589970475e-08
2019-11-01 09:44:58.997999,3.09239548195e-05,7.25144173711e-08,3.33405915939e-08,3.36596020737e-08
2019-11-01 09:59:58.997999,3.52655261906e-06,5.38744554582e-08,3.19968442953e-08,3.22639835636e-08
2019-11-01 10:14:58.997999,3.78977752544e-07,3.27416396902e-08,3.06474031928e-08,3.09060972942e-08
2019-11-01 10:29:58.997999,3.30218898736e-06,5.14684936993e-08,3.11188386414e-08,3.13840034143e-08
2019-11-01 10:44:58.997999,1.98225951473e-06,4.09905288022e-08,3.21014675741e-08,3.23599226824e-08
2019-11-01 10:59:58.997999,4.93710517939e-07,3.42608058576e-08,3.20343483016e-08,3.22888563793e-08
2019-11-01 11:14:58.997999,3.44858413873e-06,5.37979288788e-08,3.27743791711e-08,3.30268446519e-08
2019-11-01 11:29:58.997999,3.42316597899e-06,5.24651185563e-08,3.1280055542e-08,3.15156209922e-08
2019-11-01 11:44:58.997999,3.85472605801e-06,5.72311075449e-08,3.37886816717e-08,3.40218464707e-08
2019-11-01 11:59:58.997999,1.96563648139e-06,4.05804327198e-08,3.17184542341e-08,3.19439070046e-08
2019-11-01 12:14:58.997999,5.96453937258e-07,3.30858373531e-08,3.07993342238e-08,3.1020627471e-08
2019-11-01 12:29:58.997999,2.36535330603e-06,4.25018556347e-08,3.01676603339e-08,3.03752169061e-08
