,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.001999,1.18160623392e-06,2.42144129614e-09,6.92956789438e-10,7.70371987231e-10
2019-10-31 23:44:59.001999,1.16192029032e-06,2.42227038817e-09,6.74525345653e-10,7.40691685121e-10
2019-10-31 23:59:59.001999,1.20818624353e-06,2.40215595765e-09,6.6956962891e-10,7.36948472352e-10
2019-11-01 00:14:59.001999,1.2120668203e-06,2.44757281143e-09,6.6967457379e-10,7.37535820698e-10
2019-11-01 00:29:59.001999,1.1816598138e-06,2.50147019246e-09,6.77733392507e-10,7.46639651583e-10
2019-11-01 00:44:59.001999,1.16553346353e-06,2.47526967922e-09,6.61397178165e-10,7.32245036597e-10
2019-11-01 00:59:59.001999,1.1941907169e-06,2.53805880422e-09,6.57714350931e-10,7.30495660095e-10
2019-11-01 01:14:59.001999,1.19985887462e-06,2.58505812026e-09,6.47816916763e-10,7.20130233099e-10
2019-11-01 01:29:59.001999,1.19878162395e-06,2.74301824534e-09,6.43691489882e-10,7.13364056201e-10
2019-11-01 01:44:59.001999,1.16143946984e-06,3.10303036849e-09,6.57119729464e-10,7.2713708514e-10
2019-11-01 01:59:59.001999,1.15330403433e-06,3.39918001882e-09,6.54283281487e-10,7.26931381665e-10
2019-11-01 02:14:59.001999,1.20622770686e-06,3.63455609629e-09,6.59158951041e-10,7.31687142975e-10
2019-11-01 02:29:59.001999,1.15880577932e-06,3.59305348412e-09,6.63873047928e-10,7.36270449134e-10
2019-11-01 02:44:59.001999,1.18207470835e-06,3.56491825852e-09,6.72024740423e-10,7.44391715229e-10
2019-11-01 02:59:59.001999,1.16193425617e-06,3.39936027749e-09,6.60536453594e-10,7.33601551277e-10
2019-11-01 03:14:59.001999,1.19115816146e-06,3.32878356216e-09,6.58272574964e-10,7.31721987974e-10
2019-11-01 03:29:59.001999,1.21920989855e-06,3.33096092252e-09,6.55479780769e-10,7.28411860577e-10
2019-11-01 03:44:59.001999,1.25642005639e-06,3.32238491642e-09,6.56218159375e-10,7.30408498173e-10
2019-11-01 03:59:59.001999,1.2086013907e-06,3.2632387434e-09,6.56930601905e-10,7.30790120667e-10
2019-11-01 04:14:59.001999,1.16984448697e-06,3.19940681971e-09,6.60156469373e-10,7.35198104872e-10
2019-11-01 04:29:59.001999,1.16262307212e-06,3.0946765782e-09,6.57376722052e-10,7.32992681719e-10
2019-11-01 04:44:59.001999,1.2143026166e-06,3.05014794333e-09,6.55701706043e-10,7.31331386035e-10
