,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-01-11 04:55:21.148999,1.44735962711e-05,1.84042798523e-07,1.32980189075e-07,1.47398254487e-07
2020-01-11 05:10:21.148999,4.16552197384e-05,2.18363722229e-07,1.77158585235e-07,1.84736615134e-07
2020-01-11 05:25:21.148999,2.62149698363e-05,2.46119259446e-07,1.8422149643e-07,1.99327628419e-07
2020-01-11 05:40:21.148999,1.86913709598e-06,2.27605543271e-07,1.42159072923e-07,1.66003167548e-07
2020-01-11 05:55:21.148999,1.97385720512e-06,2.10258945837e-07,1.46342446764e-07,1.68655064079e-07
2020-01-11 06:10:21.148999,1.75024997025e-06,1.98101815557e-07,1.48398276327e-07,1.82056661453e-07
2020-01-11 06:25:21.148999,1.76491466e-06,1.94292858166e-07,1.42440569617e-07,1.7554718505e-07
2020-01-11 06:40:21.148999,1.10462254504e-05,2.03615823127e-07,1.53272073166e-07,1.67465966641e-07
2020-01-11 06:55:21.148999,9.57680806323e-06,2.04181167018e-07,1.63497897913e-07,1.74384208028e-07
2020-01-11 07:10:21.148999,3.727519658e-06,1.94261592818e-07,1.50413963174e-07,1.61392203125e-07
2020-01-11 07:25:21.148999,5.02326089094e-06,2.42727203487e-07,1.74267087113e-07,1.97316890178e-07
2020-01-11 07:40:21.148999,3.30984467326e-05,2.08786359763e-07,1.32670380812e-07,1.55737423677e-07
2020-01-11 07:55:21.148999,1.77407783579e-05,2.19421500991e-07,1.16113482113e-07,1.55372849713e-07
2020-01-11 08:10:21.148999,7.31064222507e-06,2.17016117765e-07,1.23591028411e-07,1.59717254578e-07
2020-01-11 08:25:21.148999,8.52123783108e-07,2.07134495962e-07,1.53129180744e-07,1.65816544702e-07
2020-01-11 08:40:21.148999,3.26058823065e-06,1.90653619114e-07,1.26932840249e-07,1.46558122162e-07
2020-01-11 08:55:21.148999,0.000931697261372,4.50961665607e-06,1.0891964587e-06,1.11557604591e-06
2020-01-11 09:10:21.148999,0.000549387888744,2.825136385e-06,7.29563512649e-07,7.45630691207e-07
2020-01-11 09:25:21.148999,1.94261621706e-05,1.64570579098e-07,1.19797807497e-07,1.3275224251e-07
2020-01-11 09:40:21.148999,1.8361749466e-05,4.75450685584e-08,2.14782110877e-08,2.76626763231e-08
2020-01-11 09:55:21.148999,6.89463929631e-155,2.17403009682e-156,2.68533614435e-157,2.70660207115e-157
2020-01-11 10:10:21.148999,6.89463929631e-155,2.17403009682e-156,2.68533614435e-157,2.70660207115e-157
2020-01-11 10:25:21.148999,6.89463929631e-155,2.17403009682e-156,2.68533614435e-157,2.70660207115e-157
2020-01-11 10:40:21.148999,6.89463929631e-155,2.17403009682e-156,2.68533614435e-157,2.70660207115e-157
2020-01-11 10:55:21.148999,6.89463929631e-155,2.17403009682e-156,2.68533614435e-157,2.70660207115e-157
2020-01-11 11:10:21.148999,6.89463929631e-155,2.17403009682e-156,2.68533614435e-157,2.70660207115e-157
