,2.0-20.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.020,1.29782464573e-07,1.31036813144e-07,8.69135762223e-08,8.69135762223e-08
2019-10-31 23:44:59.020,1.28320165214e-07,1.29493533813e-07,8.28311429989e-08,8.28311429989e-08
2019-10-31 23:59:59.020,1.0901013731e-07,1.10133668015e-07,6.93829759288e-08,6.93829759288e-08
2019-11-01 00:14:59.020,1.15367690247e-07,1.16450834918e-07,7.11865422079e-08,7.11865422079e-08
2019-11-01 00:29:59.020,1.26529084617e-07,1.27784831283e-07,7.9148671971e-08,7.9148671971e-08
2019-11-01 00:44:59.020,1.29199833682e-07,1.30554541377e-07,7.98759885645e-08,7.98759885645e-08
2019-11-01 00:59:59.020,1.41756803561e-07,1.43092100569e-07,8.05001534681e-08,8.05001534681e-08
2019-11-01 01:14:59.020,1.13999850456e-07,1.15492108608e-07,7.44324749247e-08,7.44324749247e-08
2019-11-01 01:29:59.020,1.14379564289e-07,1.16236414068e-07,6.66930170762e-08,6.66930170762e-08
2019-11-01 01:44:59.020,1.14694690301e-07,1.16296927441e-07,7.48077587359e-08,7.48077587359e-08
2019-11-01 01:59:59.020,1.11287244051e-07,1.12567705804e-07,7.7754951134e-08,7.7754951134e-08
2019-11-01 02:14:59.020,1.2905954179e-07,1.30323239677e-07,8.16134916384e-08,8.16134916384e-08
2019-11-01 02:29:59.020,1.25619416922e-07,1.26912214061e-07,7.87999867495e-08,7.87999867495e-08
2019-11-01 02:44:59.020,1.16033557858e-07,1.17315762216e-07,7.24895448938e-08,7.24895448938e-08
2019-11-01 02:59:59.020,1.10925251831e-07,1.1212031593e-07,7.12044720602e-08,7.12044720602e-08
2019-11-01 03:14:59.020,1.4266407747e-07,1.43705770789e-07,8.82232003471e-08,8.82232003471e-08
2019-11-01 03:29:59.020,1.32850999429e-07,1.34000588198e-07,8.13405644652e-08,8.13405644652e-08
2019-11-01 03:44:59.020,1.07077242399e-07,1.08624286685e-07,6.78843197118e-08,6.78843197118e-08
2019-11-01 03:59:59.020,1.15194669484e-07,1.16662803267e-07,7.54634396977e-08,7.54634396977e-08
2019-11-01 04:14:59.020,1.03673088918e-07,1.05319697882e-07,7.14110948923e-08,7.14110948923e-08
2019-11-01 04:29:59.020,9.47125674328e-08,9.61508950895e-08,6.35424330775e-08,6.35424330775e-08
2019-11-01 04:44:59.020,7.86849406544e-08,7.986877446e-08,5.72013016482e-08,5.72013016482e-08
2019-11-01 04:59:59.020,7.31628482935e-08,7.44669340036e-08,5.32765870718e-08,5.32765870718e-08
2019-11-01 05:14:59.020,7.35877689822e-08,7.50770192107e-08,5.26939817687e-08,5.26939817687e-08
2019-11-01 05:29:59.020,7.2293779583e-08,7.40427347611e-08,5.34035966475e-08,5.34035966475e-08
2019-11-01 05:44:59.020,7.21083822773e-08,7.38502244382e-08,5.2178528461e-08,5.2178528461e-08
2019-11-01 05:59:59.020,7.34306646928e-08,7.49553473777e-08,5.45943622398e-08,5.45943622398e-08
2019-11-01 06:14:59.020,7.08141274688e-08,7.20588577143e-08,5.33971326597e-08,5.33971326597e-08
2019-11-01 06:29:59.020,7.12519149744e-08,7.24586710643e-08,5.46832390829e-08,5.46832390829e-08
2019-11-01 06:44:59.020,7.2716032932e-08,7.39035948963e-08,5.81700721951e-08,5.81700721951e-08
2019-11-01 06:59:59.020,7.03287189376e-08,7.15407710211e-08,5.60495859138e-08,5.60495859138e-08
2019-11-01 07:14:59.020,6.54263520338e-08,6.67305133251e-08,5.03108194686e-08,5.03108194686e-08
2019-11-01 07:29:59.020,6.57186925026e-08,6.69514345154e-08,5.12460688425e-08,5.12460688425e-08
2019-11-01 07:44:59.020,6.10246178852e-08,6.21554249263e-08,4.82986838874e-08,4.82986838874e-08
2019-11-01 07:59:59.020,5.82153422962e-08,5.92978550947e-08,4.61854593995e-08,4.61854593995e-08
2019-11-01 08:14:59.020,5.61542653749e-08,5.71418927218e-08,4.5068690045e-08,4.5068690045e-08
2019-11-01 08:29:59.020,6.04354379785e-08,6.12627843198e-08,5.0165805681e-08,5.0165805681e-08
2019-11-01 08:44:59.020,6.04532750131e-08,6.13002950096e-08,5.03596470353e-08,5.03596470353e-08
2019-11-01 08:59:59.020,5.54932247795e-08,5.63544525495e-08,4.48395424167e-08,4.48395424167e-08
2019-11-01 09:14:59.020,5.6512801723e-08,5.72210969685e-08,4.72445084296e-08,4.72445084296e-08
2019-11-01 09:29:59.020,5.94813317201e-08,6.02216132848e-08,5.23578161859e-08,5.23578161859e-08
2019-11-01 09:44:59.020,5.919099206e-08,5.99288026774e-08,5.21632303234e-08,5.21632303234e-08
2019-11-01 09:59:59.020,5.7359965226e-08,5.80075390283e-08,5.1716642545e-08,5.1716642545e-08
2019-11-01 10:14:59.020,5.10926893174e-08,5.17981794106e-08,4.4941315905e-08,4.4941315905e-08
2019-11-01 10:29:59.020,5.35494220932e-08,5.42347757494e-08,4.81139897285e-08,4.81139897285e-08
2019-11-01 10:44:59.020,5.1769158516e-08,5.24651170995e-08,4.56968498115e-08,4.56968498115e-08
2019-11-01 10:59:59.020,5.22050075278e-08,5.29454598444e-08,4.5445628094e-08,4.5445628094e-08
2019-11-01 11:14:59.020,5.4897077516e-08,5.55652267486e-08,4.87409915801e-08,4.87409915801e-08
2019-11-01 11:29:59.020,5.80589164142e-08,5.85892728323e-08,5.28308897631e-08,5.28308897631e-08
