,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,8.27386673948e-08,1.30531038855e-09,5.68243023562e-10,5.97488820047e-10
2019-10-31 23:44:59,8.13353697705e-08,1.24881313166e-09,4.7275879877e-10,4.99448508708e-10
2019-10-31 23:59:59,8.26419266454e-08,1.13322436421e-09,3.69693210196e-10,3.90287280854e-10
2019-11-01 00:14:59,7.93902108515e-08,1.08957687918e-09,3.1285946126e-10,3.32692880231e-10
2019-11-01 00:29:59,7.5767741e-08,1.07657677144e-09,3.03128784108e-10,3.25315627638e-10
2019-11-01 00:44:59,7.43955928636e-08,1.09018706011e-09,2.93678121984e-10,3.13827308478e-10
2019-11-01 00:59:59,8.03329865815e-08,1.07313845625e-09,2.78795236071e-10,2.98143320212e-10
2019-11-01 01:14:59,8.16070192187e-08,1.0488023562e-09,2.63786240267e-10,2.81675570254e-10
2019-11-01 01:29:59,7.95973650134e-08,1.07896498606e-09,2.89041973689e-10,3.05799619262e-10
2019-11-01 01:44:59,7.7538910853e-08,1.07026549234e-09,3.00363082126e-10,3.19352377431e-10
2019-11-01 01:59:59,7.53882212646e-08,1.02444913712e-09,2.49368393284e-10,2.73060623488e-10
2019-11-01 02:14:59,7.63651160952e-08,9.9408361174e-10,2.47321684834e-10,2.66097118241e-10
2019-11-01 02:29:59,7.63564404957e-08,1.00003091036e-09,2.60958719072e-10,2.81847350019e-10
2019-11-01 02:44:59,7.33866146601e-08,9.99434007468e-10,2.6110069645e-10,2.79426729496e-10
2019-11-01 02:59:59,7.35240480862e-08,9.89602165333e-10,2.81753842408e-10,2.97740420753e-10
2019-11-01 03:14:59,7.66268226822e-08,1.00619499493e-09,2.92092778999e-10,3.06535429334e-10
2019-11-01 03:29:59,7.84652170639e-08,1.1204426898e-09,2.90653835714e-10,3.05876207401e-10
2019-11-01 03:44:59,7.79855923779e-08,1.09184227666e-09,2.7306382094e-10,2.90777598769e-10
2019-11-01 03:59:59,7.97096837118e-08,1.11302266809e-09,3.99479138158e-10,4.16079176419e-10
2019-11-01 04:14:59,7.69011228505e-08,1.3016544235e-09,6.97959375435e-10,7.11856798984e-10
2019-11-01 04:29:59,7.13734748822e-08,1.15370996814e-09,4.75614222768e-10,4.9724162906e-10
2019-11-01 04:44:59,7.3663555244e-08,1.15180013626e-09,4.84764374933e-10,5.02199173123e-10
2019-11-01 04:59:59,7.49211370831e-08,1.25263284492e-09,6.08677454181e-10,6.30544619508e-10
2019-11-01 05:14:59,1.07292210975e-07,1.43959840032e-09,5.49203093305e-10,5.72428857433e-10
2019-11-01 05:29:59,1.08412712312e-07,1.32104737998e-09,6.24745299272e-10,6.50001952408e-10
2019-11-01 05:44:59,7.75673908246e-08,1.30587694536e-09,6.33812513932e-10,6.5658405349e-10
2019-11-01 05:59:59,8.26332456863e-08,1.34846257841e-09,6.86452595139e-10,7.11782297148e-10
2019-11-01 06:14:59,8.24019070207e-08,1.33087999798e-09,6.43861716834e-10,6.70779897844e-10
2019-11-01 06:29:59,8.18090006727e-08,1.39915700462e-09,7.24567717483e-10,7.49822048851e-10
2019-11-01 06:44:59,8.17879516629e-08,1.42390832684e-09,7.20731261487e-10,7.47202569244e-10
