,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-01 00:00:00.008393,1.98228432338e-07,2.33871243768e-09,4.94489402196e-10,4.96039078223e-10
2019-11-01 00:15:00.008393,2.14905634026e-07,2.30926662675e-09,4.75957054066e-10,4.77527999029e-10
2019-11-01 00:30:00.008393,2.30034760209e-07,2.29895139087e-09,4.5129672395e-10,4.5292512362e-10
2019-11-01 00:45:00.008393,2.40964288398e-07,2.27689284879e-09,4.48775470502e-10,4.50443871498e-10
2019-11-01 01:00:00.008393,2.34288186053e-07,2.20948944176e-09,4.41147033586e-10,4.42805063606e-10
2019-11-01 01:15:00.008393,2.34167791548e-07,2.21922774405e-09,4.45110065866e-10,4.46575182633e-10
2019-11-01 01:30:00.008393,2.21093954394e-07,2.19542531259e-09,3.93211404962e-10,3.94738950511e-10
2019-11-01 01:45:00.008393,2.06555172303e-07,2.18422047657e-09,3.88192494587e-10,3.89689007793e-10
2019-11-01 02:00:00.008393,2.24688102714e-07,2.15027620856e-09,3.88425750582e-10,3.90269098643e-10
2019-11-01 02:15:00.008393,2.10390833343e-07,2.05196888527e-09,3.44008596965e-10,3.46287969128e-10
2019-11-01 02:30:00.008393,1.93903983965e-07,2.01828867825e-09,3.12265216563e-10,3.14338536907e-10
2019-11-01 02:45:00.008393,2.07426073882e-07,2.03438103026e-09,3.16821939067e-10,3.18707103694e-10
2019-11-01 03:00:00.008393,2.03877788678e-07,1.99589237404e-09,3.17480376114e-10,3.19197751963e-10
2019-11-01 03:15:00.008393,1.95857026502e-07,1.90818994047e-09,3.19143604067e-10,3.20889469611e-10
2019-11-01 03:30:00.008393,1.85736515468e-07,1.79481017753e-09,2.96196654004e-10,2.9792939817e-10
2019-11-01 03:45:00.008393,2.05283798623e-07,1.81006674487e-09,2.77596958661e-10,2.79268411842e-10
2019-11-01 04:00:00.008393,2.15399455454e-07,1.9730738046e-09,2.78996444627e-10,2.80749336927e-10
2019-11-01 04:15:00.008393,2.07973126567e-07,1.94923934656e-09,2.95631579742e-10,2.97177684668e-10
2019-11-01 04:30:00.008393,1.84736312912e-07,1.81360115491e-09,3.18236682748e-10,3.19748329118e-10
2019-11-01 04:45:00.008393,2.00848435801e-07,1.69959619739e-09,2.73141429109e-10,2.74936167679e-10
2019-11-01 05:00:00.008393,2.07656500699e-07,1.63207222151e-09,2.49744607308e-10,2.51683133202e-10
2019-11-01 05:15:00.008393,1.88403302301e-07,1.63028385997e-09,2.53810448686e-10,2.55558624354e-10
2019-11-01 05:30:00.008393,1.87389628824e-07,1.58061995841e-09,2.48471680175e-10,2.50205800772e-10
2019-11-01 05:45:00.008393,1.80832988108e-07,1.55339301831e-09,2.50506552711e-10,2.52298247708e-10
2019-11-01 06:00:00.008393,1.97293756066e-07,1.51179829134e-09,2.6431658699e-10,2.6608071663e-10
2019-11-01 06:15:00.008393,2.04033895178e-07,1.55394871717e-09,2.81759302474e-10,2.83611966059e-10
2019-11-01 06:30:00.008393,1.88270957648e-07,1.58775136005e-09,2.62375580607e-10,2.64376642217e-10
2019-11-01 06:45:00.008393,1.87218483007e-07,3.08637258907e-09,4.58337183703e-10,4.59338356798e-10
2019-11-01 07:00:00.008393,2.04196492033e-07,2.17306380118e-09,3.06419363036e-10,3.07856597054e-10
2019-11-01 07:15:00.008393,1.94982831418e-07,1.52350799766e-09,2.29755100851e-10,2.31689832473e-10
2019-11-01 07:30:00.008393,1.99229082341e-07,1.50772403961e-09,2.26513141176e-10,2.28428248978e-10
2019-11-01 07:45:00.008393,2.00476259358e-07,1.39690380211e-09,2.27439300243e-10,2.29347952241e-10
2019-11-01 08:00:00.008393,1.82219251643e-07,1.3762479383e-09,2.25878797413e-10,2.27764530708e-10
2019-11-01 08:15:00.008393,1.80289139593e-07,1.39800964367e-09,2.4246943094e-10,2.44213485078e-10
2019-11-01 08:30:00.008393,1.98385037018e-07,1.39280928736e-09,2.2508735385e-10,2.26910261785e-10
2019-11-01 08:45:00.008393,1.82195057068e-07,1.39698494687e-09,2.17122397235e-10,2.18975712666e-10
2019-11-01 09:00:00.008393,1.96530876879e-07,1.43131977833e-09,2.22540612124e-10,2.24296965457e-10
2019-11-01 09:15:00.008393,2.04956159587e-07,3.15328300221e-09,3.45964893901e-10,3.47157681016e-10
2019-11-01 09:30:00.008393,1.81929525198e-07,3.13059964114e-09,3.43330483278e-10,3.44528703545e-10
2019-11-01 09:45:00.008393,1.82680766972e-07,1.37596099473e-09,2.01585855895e-10,2.03604876625e-10
2019-11-01 10:00:00.008393,1.79483743034e-07,1.43118680933e-09,1.99797099782e-10,2.01892003309e-10
2019-11-01 10:15:00.008393,1.89582445844e-07,1.49377883963e-09,2.1089630337e-10,2.12868808478e-10
2019-11-01 10:30:00.008393,1.73155739491e-07,1.56068427512e-09,2.77350165404e-10,2.79762209225e-10
2019-11-01 10:45:00.008393,1.75883780046e-07,1.66406093657e-09,3.01380860931e-10,3.03779239032e-10
2019-11-01 11:00:00.008393,1.78271033086e-07,1.70852591645e-09,2.66367984644e-10,2.68151085094e-10
2019-11-01 11:15:00.008393,1.91238265383e-07,1.81327745989e-09,2.76968497068e-10,2.78644676148e-10
2019-11-01 11:30:00.008393,1.83471511416e-07,2.07551001302e-09,3.04533557712e-10,3.06132369597e-10
2019-11-01 11:45:00.008393,1.80031554127e-07,2.55548631908e-09,4.08748765421e-10,4.10011765128e-10
2019-11-01 12:00:00.008393,1.87006928383e-07,3.03187544176e-09,5.59385266327e-10,5.60575288798e-10
2019-11-01 12:15:00.008393,1.89326946558e-07,2.45472522625e-09,5.10654676686e-10,5.16376921487e-10
2019-11-01 12:30:00.008393,1.87967738416e-07,2.2603655769e-09,4.89922035587e-10,4.95909222458e-10
2019-11-01 12:45:00.008393,1.7817720752e-07,2.38943998571e-09,4.14416966131e-10,4.15940412972e-10
2019-11-01 13:00:00.008393,1.77281248559e-07,2.41894146552e-09,4.08636042416e-10,4.10142760929e-10
2019-11-01 13:15:00.008393,1.5937027205e-07,2.49254743338e-09,4.38591555542e-10,4.39994509671e-10
2019-11-01 13:30:00.008393,1.67526841759e-07,2.83525542236e-09,4.88469912454e-10,4.89762936897e-10
2019-11-01 13:45:00.008393,1.85330128755e-07,2.88195745274e-09,5.66842722358e-10,5.70500091062e-10
2019-11-01 14:00:00.008393,1.81176477818e-07,2.89490059216e-09,5.92898868759e-10,5.95940028974e-10
2019-11-01 14:15:00.008393,1.73167112457e-07,3.1116542732e-09,5.93901426104e-10,5.95895407664e-10
2019-11-01 14:30:00.008393,1.79365852439e-07,2.97298999489e-09,6.20491454072e-10,6.24540844403e-10
2019-11-01 14:45:00.008393,1.73416907944e-07,3.02885011507e-09,6.22091013069e-10,6.26257582654e-10
2019-11-01 15:00:00.008393,1.76802481848e-07,3.07850534731e-09,5.64033316101e-10,5.65460177541e-10
2019-11-01 15:15:00.008393,1.87277467061e-07,3.27870352252e-09,6.83776703681e-10,6.87988309513e-10
2019-11-01 15:30:00.008393,1.82754010782e-07,3.29368851106e-09,6.6925302317e-10,6.72926408492e-10
2019-11-01 15:45:00.008393,1.60187065478e-07,3.25378975544e-09,6.06441945429e-10,6.08119655133e-10
2019-11-01 16:00:00.008393,1.60151997762e-07,3.09466365433e-09,5.81306960457e-10,5.82739022842e-10
2019-11-01 16:15:00.008393,1.62453037491e-07,3.10594662014e-09,5.7730051118e-10,5.78771807426e-10
2019-11-01 16:30:00.008393,1.63066040589e-07,3.22919488769e-09,6.09618284342e-10,6.10947979159e-10
2019-11-01 16:45:00.008393,1.66754335517e-07,3.10820198222e-09,5.53070675051e-10,5.5446905282e-10
2019-11-01 17:00:00.008393,1.64075999376e-07,3.20344749302e-09,5.90314085167e-10,5.9156977946e-10
2019-11-01 17:15:00.008393,1.74145151939e-07,3.32819346892e-09,6.19416695809e-10,6.20591833155e-10
2019-11-01 17:30:00.008393,1.71440421928e-07,3.22418473551e-09,6.14450711092e-10,6.15593499771e-10
2019-11-01 17:45:00.008393,1.59734283173e-07,3.21489784296e-09,6.34496238198e-10,6.35709815785e-10
2019-11-01 18:00:00.008393,1.58689309622e-07,2.96052038079e-09,5.30959253795e-10,5.32298612541e-10
2019-11-01 18:15:00.008393,1.70303781454e-07,2.96208953793e-09,5.77310191487e-10,5.78655988231e-10
2019-11-01 18:30:00.008393,1.63320810832e-07,3.00959671605e-09,5.64426302839e-10,5.65876674078e-10
2019-11-01 18:45:00.008393,1.78387411744e-07,2.95267511984e-09,5.45988286104e-10,5.47304378496e-10
2019-11-01 19:00:00.008393,1.75756921537e-07,2.87120347838e-09,5.28794238655e-10,5.30113135043e-10
2019-11-01 19:15:00.008393,1.77154091305e-07,2.90579254708e-09,5.40689798771e-10,5.42149906278e-10
2019-11-01 19:30:00.008393,1.6841548134e-07,2.96620722243e-09,5.47586065712e-10,5.49052562646e-10
2019-11-01 19:45:00.008393,1.58105444336e-07,2.99154643931e-09,5.40684894332e-10,5.42067399191e-10
2019-11-01 20:00:00.008393,1.61302952169e-07,3.02991719546e-09,5.14289906321e-10,5.15628281714e-10
2019-11-01 20:15:00.008393,1.59632209593e-07,3.05229420589e-09,5.30780943514e-10,5.3486375414e-10
2019-11-01 20:30:00.008393,1.66108252512e-07,2.98500914892e-09,5.4495037129e-10,5.48926442843e-10
2019-11-01 20:45:00.008393,1.59880584741e-07,2.96559630247e-09,5.2644058099e-10,5.27745853422e-10
2019-11-01 21:00:00.008393,1.51435867745e-07,3.01025497587e-09,5.2156905132e-10,5.22907400719e-10
2019-11-01 21:15:00.008393,1.46665575549e-07,3.30660886679e-09,7.5796577006e-10,7.60330186386e-10
2019-11-01 21:30:00.008393,1.50395833831e-07,3.06754559607e-09,5.67250910823e-10,5.68627592491e-10
2019-11-01 21:45:00.008393,1.58981471226e-07,2.9827803586e-09,5.2612965497e-10,5.27718809946e-10
2019-11-01 22:00:00.008393,1.67474032431e-07,2.89042498083e-09,5.30179091329e-10,5.31850114421e-10
2019-11-01 22:15:00.008393,1.57470506293e-07,2.82087569814e-09,5.27541817566e-10,5.29091354657e-10
