,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-01 00:00:00.008393,1.90969219675e-07,3.00327944329e-09,1.78831524187e-09,1.83604657772e-09
2019-11-01 00:15:00.008393,2.01379541838e-07,2.85260933975e-09,1.66340011771e-09,1.71303067646e-09
2019-11-01 00:30:00.008393,2.1973888248e-07,2.78214854646e-09,1.62297601092e-09,1.68020679876e-09
2019-11-01 00:45:00.008393,2.15303550152e-07,2.76789800922e-09,1.63549192141e-09,1.68215033431e-09
2019-11-01 01:00:00.008393,2.16656169281e-07,2.71213636848e-09,1.60734563197e-09,1.6493729797e-09
2019-11-01 01:15:00.008393,2.20379219843e-07,2.71572028343e-09,1.60967927364e-09,1.65427506603e-09
2019-11-01 01:30:00.008393,2.04661830391e-07,2.63009411319e-09,1.55694015953e-09,1.59749104192e-09
2019-11-01 01:45:00.008393,1.91203271443e-07,2.64929820431e-09,1.49619689276e-09,1.53723658467e-09
2019-11-01 02:00:00.008393,2.1208561457e-07,2.54640610799e-09,1.45505411716e-09,1.49406033199e-09
2019-11-01 02:15:00.008393,1.96276036936e-07,2.4928752569e-09,1.46068639891e-09,1.50134048397e-09
2019-11-01 02:30:00.008393,1.76048583293e-07,2.44742312615e-09,1.44613076711e-09,1.48978371656e-09
2019-11-01 02:45:00.008393,1.84558552076e-07,2.44659140832e-09,1.44808152924e-09,1.50356028236e-09
2019-11-01 03:00:00.008393,1.87399316238e-07,2.42426505506e-09,1.43935404899e-09,1.49649804975e-09
2019-11-01 03:15:00.008393,1.77943051952e-07,2.29816821518e-09,1.40136724059e-09,1.44719984329e-09
2019-11-01 03:30:00.008393,1.75157935741e-07,2.20155454723e-09,1.34867298327e-09,1.39727078774e-09
2019-11-01 03:45:00.008393,1.83846762813e-07,2.29181944439e-09,1.35445453698e-09,1.40356194309e-09
2019-11-01 04:00:00.008393,1.97391678453e-07,2.54433776385e-09,1.35048597911e-09,1.39611608603e-09
2019-11-01 04:15:00.008393,1.97469937604e-07,2.25443302816e-09,1.31795524875e-09,1.35960254508e-09
2019-11-01 04:30:00.008393,1.76726649706e-07,2.10743961551e-09,1.28506407093e-09,1.32871404945e-09
2019-11-01 04:45:00.008393,1.82922737189e-07,2.07319874379e-09,1.27424870546e-09,1.31461155156e-09
2019-11-01 05:00:00.008393,1.83958990728e-07,2.01520687135e-09,1.26872989344e-09,1.31090039269e-09
2019-11-01 05:15:00.008393,1.71896597179e-07,1.97584908215e-09,1.23676813954e-09,1.27692604968e-09
2019-11-01 05:30:00.008393,1.68933774238e-07,1.95656513079e-09,1.22382279768e-09,1.26505140804e-09
2019-11-01 05:45:00.008393,1.71372461699e-07,1.9414989998e-09,1.24017886726e-09,1.28235963247e-09
2019-11-01 06:00:00.008393,1.84468584841e-07,1.89973745455e-09,1.20691271419e-09,1.24737156033e-09
2019-11-01 06:15:00.008393,1.91035446685e-07,1.98017884137e-09,1.1908313943e-09,1.22964076621e-09
2019-11-01 06:30:00.008393,1.72228217138e-07,1.90977245234e-09,1.16023931622e-09,1.19810424163e-09
2019-11-01 06:45:00.008393,1.79520863619e-07,2.45794251241e-09,1.14979879389e-09,1.19072079559e-09
2019-11-01 07:00:00.008393,1.92980303793e-07,2.00594053759e-09,1.1053272743e-09,1.14494138617e-09
2019-11-01 07:15:00.008393,1.8373797289e-07,1.72724199973e-09,1.06762155307e-09,1.10448886498e-09
2019-11-01 07:30:00.008393,1.88223202512e-07,1.67390699703e-09,1.05500125335e-09,1.09427914659e-09
2019-11-01 07:45:00.008393,1.93355608215e-07,1.59153027873e-09,1.02301192615e-09,1.05716930684e-09
2019-11-01 08:00:00.008393,1.71015822744e-07,1.55629338626e-09,1.00774562159e-09,1.04171831886e-09
2019-11-01 08:15:00.008393,1.60922219178e-07,1.55100756499e-09,1.01031094419e-09,1.04869012321e-09
2019-11-01 08:30:00.008393,1.75129484233e-07,1.53879670121e-09,9.9323772629e-10,1.0345528359e-09
2019-11-01 08:45:00.008393,1.69532099846e-07,1.63478742697e-09,1.04478099621e-09,1.08084262666e-09
2019-11-01 09:00:00.008393,1.86211146595e-07,1.66459993426e-09,1.04872680838e-09,1.08284441589e-09
2019-11-01 09:15:00.008393,1.91224641194e-07,2.28922770071e-09,9.9607474492e-10,1.02981194973e-09
2019-11-01 09:30:00.008393,1.61906118861e-07,2.27372223126e-09,9.60314776171e-10,9.89428146503e-10
2019-11-01 09:45:00.008393,1.66282270217e-07,1.51073411525e-09,9.01884243963e-10,9.29886626511e-10
2019-11-01 10:00:00.008393,1.65644360864e-07,1.45955523695e-09,8.81049753924e-10,9.09829571325e-10
2019-11-01 10:15:00.008393,1.71565881437e-07,1.49230526108e-09,8.97931445375e-10,9.2420622752e-10
2019-11-01 10:30:00.008393,1.56527372458e-07,1.53407481314e-09,9.24237868582e-10,9.51054413705e-10
2019-11-01 10:45:00.008393,1.60143407448e-07,1.58830998807e-09,9.09102912873e-10,9.35659072306e-10
2019-11-01 11:00:00.008393,1.64787034585e-07,1.66379839325e-09,9.2795537596e-10,9.59245697148e-10
2019-11-01 11:15:00.008393,1.77484135523e-07,1.79325803703e-09,9.65565070085e-10,9.98335018701e-10
2019-11-01 11:30:00.008393,1.6662003997e-07,1.97876434911e-09,1.0053634417e-09,1.04252403968e-09
2019-11-01 11:45:00.008393,1.68651566964e-07,2.21667720696e-09,1.10916996018e-09,1.15642899286e-09
2019-11-01 12:00:00.008393,1.73052356082e-07,2.48251674476e-09,1.18419296973e-09,1.22875650467e-09
2019-11-01 12:15:00.008393,1.70273958443e-07,2.43841125921e-09,1.23719667627e-09,1.27876545954e-09
2019-11-01 12:30:00.008393,1.71171513994e-07,2.68994079959e-09,1.25200704947e-09,1.29318668702e-09
2019-11-01 12:45:00.008393,1.63145827443e-07,2.73392353646e-09,1.22803518505e-09,1.27007776191e-09
2019-11-01 13:00:00.008393,1.61310332941e-07,2.41527897703e-09,1.18836299806e-09,1.23010916503e-09
2019-11-01 13:15:00.008393,1.58668282763e-07,2.61445640551e-09,1.25126129448e-09,1.30099816774e-09
2019-11-01 13:30:00.008393,1.58429205329e-07,2.83446628915e-09,1.36175089113e-09,1.42187739186e-09
2019-11-01 13:45:00.008393,1.65924209387e-07,2.93687245178e-09,1.42508243891e-09,1.48440052362e-09
2019-11-01 14:00:00.008393,1.65430539372e-07,3.15792863368e-09,1.57442921946e-09,1.63471338672e-09
2019-11-01 14:15:00.008393,1.6333814531e-07,3.59024290518e-09,1.91600816612e-09,1.99426299272e-09
2019-11-01 14:30:00.008393,1.71299588977e-07,3.67361166071e-09,1.97680623508e-09,2.04847276239e-09
2019-11-01 14:45:00.008393,1.62249482166e-07,3.77406607231e-09,2.10025109633e-09,2.16767711139e-09
2019-11-01 15:00:00.008393,1.60811240389e-07,3.85565423017e-09,2.1981462582e-09,2.2633408008e-09
2019-11-01 15:15:00.008393,1.83197654824e-07,3.95520204799e-09,2.25529106511e-09,2.32198787958e-09
2019-11-01 15:30:00.008393,1.73643468335e-07,4.04956399176e-09,2.14603560554e-09,2.21728668589e-09
2019-11-01 15:45:00.008393,1.51015662537e-07,4.02820243042e-09,2.12339988139e-09,2.20245558132e-09
2019-11-01 16:00:00.008393,1.49307854056e-07,3.85874302865e-09,2.12663936888e-09,2.1990670241e-09
2019-11-01 16:15:00.008393,1.55750944545e-07,3.78799902323e-09,2.15118912565e-09,2.22489949083e-09
2019-11-01 16:30:00.008393,1.54987129596e-07,3.69675565786e-09,2.03878527605e-09,2.12520702566e-09
2019-11-01 16:45:00.008393,1.53870385427e-07,3.72513795207e-09,1.99335208599e-09,2.06996981058e-09
2019-11-01 17:00:00.008393,1.48681152536e-07,3.70332405761e-09,1.88366362589e-09,1.96109482926e-09
2019-11-01 17:15:00.008393,1.60980685607e-07,3.57736159645e-09,1.88877363429e-09,1.97135935699e-09
