,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-30 23:29:59.019538,3.76740531689e-07,2.94155703293e-09,3.91568020269e-10,9.38572373191e-10
2019-10-30 23:44:59.019538,3.56445809578e-07,2.83721613537e-09,4.05322417469e-10,9.51203200458e-10
2019-10-30 23:59:59.019538,3.56192626624e-07,2.63542991172e-09,3.82151869643e-10,9.48676045362e-10
2019-10-31 00:14:59.019538,3.69801566086e-07,2.8615957734e-09,4.14221432452e-10,9.68053931549e-10
2019-10-31 00:29:59.019538,3.42703758924e-07,2.29939877226e-09,3.6280396922e-10,9.20906948163e-10
2019-10-31 00:44:59.019538,3.53020991234e-07,2.2544975687e-09,3.47500089769e-10,9.44177682094e-10
2019-10-31 00:59:59.019538,3.41659354633e-07,2.10675763122e-09,3.03361618398e-10,9.37662149928e-10
2019-10-31 01:14:59.019538,4.31913594002e-07,2.01375278478e-09,2.85661184179e-10,9.26399828741e-10
2019-10-31 01:29:59.019538,4.72356474688e-07,1.88532883924e-09,3.58865290738e-10,9.68462971818e-10
2019-10-31 01:44:59.019538,4.1129685166e-07,1.8369224415e-09,3.26797057679e-10,9.75089083925e-10
2019-10-31 01:59:59.019538,3.84941438267e-07,1.71327744765e-09,2.11348600247e-10,9.09342207002e-10
2019-10-31 02:14:59.019538,3.693318107e-07,1.57510001916e-09,1.94788477448e-10,8.676734889e-10
2019-10-31 02:29:59.019538,3.59700545804e-07,1.50829039461e-09,1.69255897268e-10,8.66672375415e-10
2019-10-31 02:44:59.019538,3.44509728906e-07,1.49973578416e-09,1.76653302444e-10,8.68958885226e-10
2019-10-31 02:59:59.019538,3.49779808577e-07,1.45340257974e-09,1.79910463439e-10,8.72472456034e-10
2019-10-31 03:14:59.019538,3.48952783275e-07,1.44077002011e-09,1.77144675533e-10,9.02897357075e-10
2019-10-31 03:29:59.019538,3.29590010626e-07,1.38520711388e-09,1.48885689552e-10,8.91557975902e-10
2019-10-31 03:44:59.019538,3.05180333315e-07,1.38291538214e-09,1.42079559363e-10,9.02512189341e-10
2019-10-31 03:59:59.019538,3.25456493237e-07,1.3642767994e-09,1.45766034172e-10,9.09196719011e-10
2019-10-31 04:14:59.019538,3.46835881969e-07,1.38047311666e-09,1.3572356646e-10,9.05812455503e-10
2019-10-31 04:29:59.019538,3.59002887238e-07,1.35827512006e-09,1.59263638632e-10,9.07203424469e-10
2019-10-31 04:44:59.019538,3.23694781926e-07,1.32445438595e-09,1.49894514489e-10,8.88057182763e-10
2019-10-31 04:59:59.019538,3.19235057168e-07,1.4502718735e-09,1.44664943816e-10,8.86412414672e-10
2019-10-31 05:14:59.019538,3.26258865372e-07,1.6364970161e-09,1.6018723331e-10,8.9223062148e-10
2019-10-31 05:29:59.019538,3.06220442702e-07,1.29907735246e-09,1.02634785059e-10,8.52796068007e-10
2019-10-31 05:44:59.019538,3.09914736091e-07,1.28899015955e-09,1.0013130477e-10,8.75354672615e-10
2019-10-31 05:59:59.019538,3.53827814188e-07,1.29218094923e-09,1.11510393171e-10,8.81404958643e-10
2019-10-31 06:14:59.019538,3.42360995709e-07,1.2620445397e-09,1.07274626838e-10,8.57519385727e-10
2019-10-31 06:29:59.019538,3.13843285823e-07,1.21125675166e-09,8.57188633927e-11,8.72868771904e-10
2019-10-31 06:44:59.019538,3.18020659043e-07,1.28319944714e-09,9.62706599983e-11,8.49711496491e-10
2019-10-31 06:59:59.019538,3.17193095689e-07,1.24301562744e-09,8.81657520872e-11,8.57994778402e-10
2019-10-31 07:14:59.019538,3.15572280923e-07,1.22272814811e-09,9.03262355298e-11,8.62894083462e-10
2019-10-31 07:29:59.019538,3.02135323471e-07,1.18260185126e-09,7.67730970242e-11,8.84341119651e-10
2019-10-31 07:44:59.019538,3.29944895588e-07,1.14523774919e-09,6.55238181062e-11,8.41004746026e-10
2019-10-31 07:59:59.019538,3.14167794563e-07,1.1616163674e-09,8.04658450526e-11,8.45181580554e-10
2019-10-31 08:14:59.019538,3.07663433721e-07,1.15059500384e-09,9.88216703358e-11,8.55333943753e-10
2019-10-31 08:29:59.019538,3.17978316028e-07,1.17210076186e-09,7.65231334385e-11,8.84367193308e-10
2019-10-31 08:44:59.019538,3.18867843777e-07,1.17521968514e-09,7.58262940996e-11,8.8319382943e-10
2019-10-31 08:59:59.019538,3.2669197606e-07,1.21462670349e-09,6.2917388e-11,9.04216456393e-10
2019-10-31 09:14:59.019538,3.14255794759e-07,1.15922270475e-09,6.15021990027e-11,8.62864490589e-10
2019-10-31 09:29:59.019538,2.93680328388e-07,1.16430221923e-09,6.37856334401e-11,8.65646941056e-10
2019-10-31 09:44:59.019538,2.99586682988e-07,1.16007854393e-09,6.25884705877e-11,8.43811674347e-10
2019-10-31 09:59:59.019538,2.88577756829e-07,1.20094411164e-09,6.26962337107e-11,8.99613218585e-10
2019-10-31 10:14:59.019538,3.13894571852e-07,1.19997479871e-09,7.92973863138e-11,8.72135033757e-10
2019-10-31 10:29:59.019538,3.08853391506e-07,1.23371545294e-09,9.04074421717e-11,8.97724724745e-10
2019-10-31 10:44:59.019538,3.04165772352e-07,1.22814407426e-09,7.71827183732e-11,8.75287599485e-10
2019-10-31 10:59:59.019538,2.80604446349e-07,1.26525425493e-09,9.04107960215e-11,9.01381040886e-10
