,1.0-20.0,4.0-14.0,4.0-40.0
2019-12-01 00:00:00.000,7.28437651165e-10,2.36325879886e-10,2.68826214864e-10
2019-12-01 00:15:00.000,7.26245849631e-10,2.33788714531e-10,2.63970367123e-10
2019-12-01 00:30:00.000,7.11606837515e-10,2.26335252855e-10,2.56077975753e-10
2019-12-01 00:45:00.000,7.15064963452e-10,2.4429510879e-10,2.72300975417e-10
2019-12-01 01:00:00.000,7.05183489317e-10,2.10033306397e-10,2.39164459031e-10
2019-12-01 01:15:00.000,6.99261513358e-10,2.01791032463e-10,2.31911549438e-10
2019-12-01 01:30:00.000,6.88509699784e-10,1.76537754531e-10,2.09459861097e-10
2019-12-01 01:45:00.000,6.79835904694e-10,2.22359775534e-10,2.53092246687e-10
2019-12-01 02:00:00.000,6.68232325868e-10,2.10061652786e-10,2.36239386239e-10
2019-12-01 02:15:00.000,6.52703037536e-10,1.64998584801e-10,1.93581581726e-10
2019-12-01 02:30:00.000,6.61244568074e-10,1.54897123e-10,1.84889839642e-10
2019-12-01 02:45:00.000,6.69506676661e-10,2.16084456026e-10,2.52526765343e-10
2019-12-01 03:00:00.000,6.4872931147e-10,2.1511616927e-10,2.47410108806e-10
2019-12-01 03:15:00.000,6.4098163043e-10,1.47355886542e-10,1.78988294281e-10
2019-12-01 03:30:00.000,6.07226339633e-10,1.24424771523e-10,1.54391602788e-10
2019-12-01 03:45:00.000,5.80130949462e-10,1.29109920238e-10,1.55498466572e-10
2019-12-01 04:00:00.000,5.90073421829e-10,1.16155049954e-10,1.4098664039e-10
2019-12-01 04:15:00.000,5.73700113391e-10,1.14537569053e-10,1.39873210043e-10
2019-12-01 04:30:00.000,5.44025578333e-10,1.20196701582e-10,1.44490689615e-10
2019-12-01 04:45:00.000,5.51046884486e-10,1.26387709137e-10,1.4942660394e-10
2019-12-01 05:00:00.000,5.53044973572e-10,1.10303950332e-10,1.34212959717e-10
2019-12-01 05:15:00.000,5.5430721313e-10,1.03239521688e-10,1.28753092312e-10
2019-12-01 05:30:00.000,5.34807239191e-10,9.80119518769e-11,1.24383568166e-10
2019-12-01 05:45:00.000,5.313108934e-10,9.87594706975e-11,1.24196831094e-10
2019-12-01 06:00:00.000,5.46013926174e-10,1.06980039462e-10,1.34023253661e-10
2019-12-01 06:15:00.000,5.31786059601e-10,1.15491538971e-10,1.40655423908e-10
2019-12-01 06:30:00.000,5.2109836253e-10,1.11671261637e-10,1.34646852829e-10
2019-12-01 06:45:00.000,5.30703781754e-10,1.04124731443e-10,1.27630319596e-10
2019-12-01 07:00:00.000,5.42691417675e-10,1.05726226561e-10,1.29737805134e-10
2019-12-01 07:15:00.000,5.31107495677e-10,1.03927678369e-10,1.28265514868e-10
2019-12-01 07:30:00.000,5.34322063562e-10,1.17402731233e-10,1.38643200656e-10
2019-12-01 07:45:00.000,5.80856994957e-10,1.71342310103e-10,1.90330228236e-10
2019-12-01 08:00:00.000,6.29000235853e-10,2.41279965831e-10,2.6477721315e-10
2019-12-01 08:15:00.000,5.95771579942e-10,2.00535009455e-10,2.26602990631e-10
2019-12-01 08:30:00.000,5.93717369428e-10,1.89885795511e-10,2.11761544414e-10
2019-12-01 08:45:00.000,6.36449582111e-10,2.64439105169e-10,2.90733500647e-10
2019-12-01 09:00:00.000,6.52937362066e-10,2.48229230285e-10,2.73376325299e-10
2019-12-01 09:15:00.000,6.26264608131e-10,1.82972812361e-10,2.06610737011e-10
2019-12-01 09:30:00.000,6.60658122036e-10,2.73779815152e-10,2.99494969906e-10
2019-12-01 09:45:00.000,6.73808140628e-10,2.89060082557e-10,3.1607789867e-10
2019-12-01 10:00:00.000,6.54048710717e-10,2.29022728536e-10,2.60990784136e-10
2019-12-01 10:15:00.000,6.53721290495e-10,1.77909889259e-10,2.08819440085e-10
2019-12-01 10:30:00.000,6.82374845052e-10,2.14725310043e-10,2.47515743874e-10
2019-12-01 10:45:00.000,7.05003995657e-10,2.98327538239e-10,3.31719543799e-10
2019-12-01 11:00:00.000,7.17770764823e-10,2.74228236173e-10,3.12493113248e-10
2019-12-01 11:15:00.000,7.1208570424e-10,2.57140025054e-10,2.92809482374e-10
2019-12-01 11:30:00.000,6.84293963961e-10,2.24808945724e-10,2.56267302389e-10
2019-12-01 11:45:00.000,6.82471771142e-10,2.04091021347e-10,2.38252446163e-10
2019-12-01 12:00:00.000,6.98428156592e-10,2.31230035543e-10,2.63865224296e-10
2019-12-01 12:15:00.000,6.88040912337e-10,2.34644453052e-10,2.68785387983e-10
2019-12-01 12:30:00.000,6.89448756344e-10,2.21479680972e-10,2.54335042291e-10
2019-12-01 12:45:00.000,6.96553007586e-10,2.49896335017e-10,2.77642935079e-10
2019-12-01 13:00:00.000,7.64457462998e-10,2.38551818355e-10,2.681041666e-10
2019-12-01 13:15:00.000,8.1773236183e-10,2.93921118878e-10,3.27690011338e-10
2019-12-01 13:30:00.000,7.26039345161e-10,2.99222896867e-10,3.34581828971e-10
2019-12-01 13:45:00.000,7.01202138103e-10,2.60253070923e-10,2.97427683002e-10
2019-12-01 14:00:00.000,6.78825925456e-10,2.06216677828e-10,2.39335043562e-10
2019-12-01 14:15:00.000,7.00866017663e-10,2.13307636353e-10,2.44076790442e-10
2019-12-01 14:30:00.000,7.38728904618e-10,3.02470088751e-10,3.32235384011e-10
2019-12-01 14:45:00.000,7.35670455981e-10,3.09569643655e-10,3.40899944164e-10
2019-12-01 15:00:00.000,7.18019104527e-10,2.67775511929e-10,3.03958247652e-10
2019-12-01 15:15:00.000,6.85325693035e-10,2.30376908615e-10,2.62705366499e-10
2019-12-01 15:30:00.000,6.62245923794e-10,2.14895202071e-10,2.62671384392e-10
2019-12-01 15:45:00.000,6.65734235411e-10,2.40206084834e-10,3.13474653334e-10
2019-12-01 16:00:00.000,6.84567930931e-10,2.66674662974e-10,3.41407022909e-10
2019-12-01 16:15:00.000,6.9477242987e-10,2.92262497887e-10,3.42459744308e-10
2019-12-01 16:30:00.000,6.60953574718e-10,2.25348918864e-10,2.59815680007e-10
2019-12-01 16:45:00.000,6.50881455597e-10,2.16550305727e-10,2.44153267021e-10
2019-12-01 17:00:00.000,6.65070502191e-10,2.33393747966e-10,2.60941966185e-10
2019-12-01 17:15:00.000,6.92445944484e-10,2.77951501293e-10,3.06280601424e-10
