,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,2.01072572279e-07,3.29461647321e-09,2.05121127975e-09,2.23575420286e-09
2019-10-31 23:44:59.000,1.88504760058e-07,3.29161583423e-09,2.11949496535e-09,2.31741503065e-09
2019-10-31 23:59:59.000,1.99577395503e-07,3.03908508158e-09,1.91075907123e-09,2.12468573025e-09
2019-11-01 00:14:59.000,1.76876372497e-07,2.98934778949e-09,1.96935500876e-09,2.1725611301e-09
2019-11-01 00:29:59.000,2.0177701844e-07,2.82048775983e-09,1.80798446692e-09,2.00925206355e-09
2019-11-01 00:44:59.000,1.92573641353e-07,2.41685029112e-09,1.46801300285e-09,1.67075591552e-09
2019-11-01 00:59:59.000,2.02427526357e-07,2.29133134757e-09,1.49068831285e-09,1.70702508404e-09
2019-11-01 01:14:59.000,2.0753580002e-07,2.2517470301e-09,1.50163383666e-09,1.71660964662e-09
2019-11-01 01:29:59.000,1.81837279989e-07,2.21593828152e-09,1.44326749885e-09,1.64531351632e-09
2019-11-01 01:44:59.000,1.81433991147e-07,2.23623436255e-09,1.40126286725e-09,1.60467281191e-09
2019-11-01 01:59:59.000,1.91392543181e-07,2.02777505334e-09,1.33066064987e-09,1.52692063987e-09
2019-11-01 02:14:59.000,1.9695923051e-07,2.27222435176e-09,1.64534725369e-09,1.80895666925e-09
2019-11-01 02:29:59.000,2.18689530341e-07,2.30816999934e-09,1.6626778662e-09,1.82108498361e-09
2019-11-01 02:44:59.000,2.03556293357e-07,1.97863062597e-09,1.26985146872e-09,1.43676140663e-09
2019-11-01 02:59:59.000,1.90400336345e-07,1.86920048791e-09,1.22349432932e-09,1.41755596639e-09
2019-11-01 03:14:59.000,2.04139250445e-07,2.15526223232e-09,1.55352841625e-09,1.73980557921e-09
2019-11-01 03:29:59.000,2.1067027152e-07,2.31390105067e-09,1.58712615731e-09,1.78982779926e-09
2019-11-01 03:44:59.000,1.92817091594e-07,2.09666095493e-09,1.49984478679e-09,1.67861390212e-09
2019-11-01 03:59:59.000,1.99878036228e-07,1.74333682456e-09,1.0689759865e-09,1.23672681609e-09
2019-11-01 04:14:59.000,2.06434532471e-07,2.05434304208e-09,1.37683520895e-09,1.51735860303e-09
2019-11-01 04:29:59.000,1.95231618433e-07,2.2038302736e-09,1.62014479063e-09,1.74963952936e-09
2019-11-01 04:44:59.000,1.81679806584e-07,2.33663109647e-09,1.84913504802e-09,1.96998551067e-09
2019-11-01 04:59:59.000,1.86327088372e-07,2.38152163872e-09,1.85870344799e-09,1.98214853655e-09
2019-11-01 05:14:59.000,1.97965182599e-07,2.59767351288e-09,1.90587498249e-09,2.01998057414e-09
2019-11-01 05:29:59.000,2.13788874375e-07,2.39935287539e-09,1.80808701102e-09,1.91690005316e-09
2019-11-01 05:44:59.000,1.82467523975e-07,2.4484115409e-09,1.82260210341e-09,1.92635428294e-09
2019-11-01 05:59:59.000,1.87260428954e-07,2.52007187936e-09,1.88452093268e-09,1.997559345e-09
2019-11-01 06:14:59.000,2.01670060787e-07,2.47729617684e-09,1.89610338242e-09,2.00636336282e-09
2019-11-01 06:29:59.000,1.97680695112e-07,2.64731714234e-09,2.02084251286e-09,2.13800341423e-09
2019-11-01 06:44:59.000,1.88866447127e-07,2.73364530404e-09,2.07150517816e-09,2.20562633963e-09
2019-11-01 06:59:59.000,1.91503455327e-07,2.63398322937e-09,1.89635901072e-09,2.04613339774e-09
2019-11-01 07:14:59.000,1.78618471085e-07,2.82922866658e-09,2.07202832161e-09,2.224982503e-09
2019-11-01 07:29:59.000,1.86969008097e-07,3.10131202265e-09,2.38310325443e-09,2.53812366232e-09
2019-11-01 07:44:59.000,2.1988649276e-07,3.09311680546e-09,2.36502568736e-09,2.53068586819e-09
2019-11-01 07:59:59.000,2.2104344633e-07,3.39991687673e-09,2.63143609109e-09,2.80303795284e-09
2019-11-01 08:14:59.000,2.13181343256e-07,3.72532120264e-09,2.9842927814e-09,3.12395671642e-09
2019-11-01 08:29:59.000,2.06002091093e-07,3.62624931532e-09,2.65505292597e-09,2.82760620108e-09
2019-11-01 08:44:59.000,1.6606958675e-07,3.97014151379e-09,2.97003643825e-09,3.13126020166e-09
2019-11-01 08:59:59.000,1.91349817111e-07,3.66670524405e-09,2.74690083914e-09,2.89676243395e-09
2019-11-01 09:14:59.000,1.84215410857e-07,3.91738979187e-09,2.96981073402e-09,3.11283529317e-09
2019-11-01 09:29:59.000,2.00501493199e-07,4.02342223507e-09,3.03404589558e-09,3.20054510981e-09
2019-11-01 09:44:59.000,2.03801940688e-07,3.85022502853e-09,2.86322468043e-09,3.02865951312e-09
2019-11-01 09:59:59.000,2.22351685396e-07,3.87718257964e-09,2.86091085026e-09,3.03254435338e-09
2019-11-01 10:14:59.000,2.17748115343e-07,3.89055790836e-09,2.92685272837e-09,3.11590532868e-09
2019-11-01 10:29:59.000,2.08434684412e-07,3.84278731621e-09,2.95071617647e-09,3.14319445789e-09
2019-11-01 10:44:59.000,1.9674851747e-07,3.68906872704e-09,2.78511590427e-09,2.95917854683e-09
2019-11-01 10:59:59.000,2.09604827776e-07,3.77615002335e-09,2.85634801756e-09,3.03795268206e-09
2019-11-01 11:14:59.000,2.03954156838e-07,3.88534555539e-09,2.94558171042e-09,3.13413294374e-09
2019-11-01 11:29:59.000,2.14889488648e-07,3.90083334367e-09,3.03145739093e-09,3.21499563137e-09
2019-11-01 11:44:59.000,2.02165903393e-07,3.88204719873e-09,3.03469149875e-09,3.21185294683e-09
2019-11-01 11:59:59.000,2.11365620967e-07,3.89511684069e-09,2.96652936225e-09,3.16705937828e-09
2019-11-01 12:14:59.000,2.04774767312e-07,4.08761277818e-09,3.0985548874e-09,3.29354239962e-09
2019-11-01 12:29:59.000,1.85437804191e-07,4.26871346209e-09,3.33913557296e-09,3.52712936052e-09
2019-11-01 12:44:59.000,1.81586344259e-07,4.22736679246e-09,3.24306557097e-09,3.43797803157e-09
2019-11-01 12:59:59.000,2.02869961199e-07,4.20815026286e-09,3.27158831683e-09,3.48160230187e-09
