,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.999999,6.6623018508e-08,3.22294416439e-10,7.31441151025e-11,7.77962065256e-11
2019-10-31 23:44:58.999999,6.58046458266e-08,3.20139391181e-10,7.4812729289e-11,7.8994929991e-11
2019-10-31 23:59:58.999999,6.4472986065e-08,3.34167245558e-10,8.16682053592e-11,8.55795825367e-11
2019-11-01 00:14:58.999999,6.3718032317e-08,3.45690169956e-10,8.67539704841e-11,9.09907226656e-11
2019-11-01 00:29:58.999999,6.34455452824e-08,3.34964787483e-10,8.35561396406e-11,8.79334483961e-11
2019-11-01 00:44:58.999999,6.33154188078e-08,3.19310879618e-10,7.57636447911e-11,7.98442775645e-11
2019-11-01 00:59:58.999999,6.55420112901e-08,3.26468167263e-10,8.32617950209e-11,8.76414452122e-11
2019-11-01 01:14:58.999999,6.66554268281e-08,3.29148291377e-10,8.80403242599e-11,9.27892313427e-11
2019-11-01 01:29:58.999999,6.66995407747e-08,3.31722414009e-10,8.4170503698e-11,8.93956895114e-11
2019-11-01 01:44:58.999999,6.82796489254e-08,3.26755464301e-10,8.2024680814e-11,8.74889826446e-11
2019-11-01 01:59:58.999999,6.83844911646e-08,3.25136914855e-10,8.58364838173e-11,9.10153156426e-11
2019-11-01 02:14:58.999999,6.43270418649e-08,3.38471286553e-10,8.73871161865e-11,9.22657817108e-11
2019-11-01 02:29:58.999999,6.53557119283e-08,3.6183168579e-10,8.46956008459e-11,9.43589042972e-11
2019-11-01 02:44:58.999999,6.53724381672e-08,3.51812040966e-10,8.53253838039e-11,9.54358021537e-11
2019-11-01 02:59:58.999999,6.3823043711e-08,3.23715258622e-10,8.65602077041e-11,9.11978470872e-11
2019-11-01 03:14:58.999999,6.55033035803e-08,3.26976203062e-10,8.77249711781e-11,9.2779003634e-11
2019-11-01 03:29:58.999999,6.29099108216e-08,3.17613433247e-10,8.27519986486e-11,8.75722636864e-11
2019-11-01 03:44:58.999999,6.43473050523e-08,3.13660708855e-10,7.48493452689e-11,7.92974548999e-11
2019-11-01 03:59:58.999999,6.40395013382e-08,3.13742740972e-10,7.05161682488e-11,7.47557983093e-11
2019-11-01 04:14:58.999999,6.38130146169e-08,3.19354011661e-10,6.76967638795e-11,7.16840570226e-11
2019-11-01 04:29:58.999999,6.33633983461e-08,3.08253530307e-10,6.62120087209e-11,7.01324756124e-11
2019-11-01 04:44:58.999999,6.15738744936e-08,3.94788577791e-10,6.75391945007e-11,7.10239353412e-11
2019-11-01 04:59:58.999999,6.47500649204e-08,9.64176911897e-10,7.52843155859e-11,7.81394046596e-11
2019-11-01 05:14:58.999999,2.43897509377e-07,7.93931899631e-09,1.32450203934e-10,1.34013612091e-10
2019-11-01 05:29:58.999999,2.07297959459e-07,2.64703441847e-09,6.90102006814e-11,7.1884190951e-11
2019-11-01 05:44:58.999999,6.36811963497e-08,3.42276962865e-10,8.99596365755e-11,9.32799610775e-11
2019-11-01 05:59:58.999999,6.48408876751e-08,3.9173782297e-10,1.87221101275e-10,1.95246711968e-10
2019-11-01 06:14:58.999999,6.34354315098e-08,3.98332283229e-10,2.25662402373e-10,2.34258151754e-10
2019-11-01 06:29:58.999999,6.29448675312e-08,4.71405826859e-10,1.59890157667e-10,1.87855814195e-10
2019-11-01 06:44:58.999999,6.45709889788e-08,6.24966640665e-10,2.05372798601e-10,2.14204066472e-10
2019-11-01 06:59:58.999999,6.26130678824e-08,4.53448394867e-10,2.86294304861e-10,2.95307909388e-10
