,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.024500,1.8188904522e-07,5.04536332374e-09,3.34151086694e-10,4.99798982037e-09
2019-10-31 23:44:59.024500,1.86251603523e-07,4.67250910867e-09,3.09080954105e-10,4.62171194497e-09
2019-10-31 23:59:59.024500,1.85276703079e-07,4.62277442803e-09,1.00793892367e-10,4.56817397561e-09
2019-11-01 00:14:59.024500,1.88915223318e-07,4.86865869377e-09,1.20947488835e-10,4.81884554472e-09
2019-11-01 00:29:59.024500,1.87016452189e-07,4.91379078622e-09,1.2657577132e-10,4.8649839232e-09
2019-11-01 00:44:59.024500,1.90426331694e-07,4.92446521064e-09,1.04363432497e-10,4.87520464538e-09
2019-11-01 00:59:59.024500,1.82164619213e-07,4.87495967637e-09,9.65521354762e-11,4.82818287377e-09
2019-11-01 01:14:59.024500,1.757638239e-07,4.82003432668e-09,9.65828732039e-11,4.77168679899e-09
2019-11-01 01:29:59.024500,1.76994518624e-07,4.85914290869e-09,9.63752186141e-11,4.81017723631e-09
2019-11-01 01:44:59.024500,1.73500066521e-07,4.72344846131e-09,1.11308988988e-10,4.67376157589e-09
2019-11-01 01:59:59.024500,1.76278735731e-07,4.81976332108e-09,1.2026843954e-10,4.77334476106e-09
2019-11-01 02:14:59.024500,1.77296936584e-07,4.95191978106e-09,1.06876744658e-10,4.90442765475e-09
2019-11-01 02:29:59.024500,1.74054360557e-07,4.84830164935e-09,1.23029753347e-10,4.79862273149e-09
2019-11-01 02:44:59.024500,1.64649410218e-07,4.8499456843e-09,1.59407575884e-10,4.79789994121e-09
2019-11-01 02:59:59.024500,1.73392423511e-07,4.67462168425e-09,2.0354127297e-10,4.62145439337e-09
2019-11-01 03:14:59.024500,1.69758484393e-07,4.87052348088e-09,3.34733797861e-10,4.81962280744e-09
2019-11-01 03:29:59.024500,1.74375845359e-07,5.03642999677e-09,6.07680183628e-10,4.9796839779e-09
2019-11-01 03:44:59.024500,1.69261373717e-07,4.82646314966e-09,4.80871607039e-10,4.75388060646e-09
2019-11-01 03:59:59.024500,1.60589533155e-07,5.18486535494e-09,8.43694193371e-10,5.09690443048e-09
2019-11-01 04:14:59.024500,1.69101529087e-07,5.22680514366e-09,8.6637044132e-10,5.12113956646e-09
2019-11-01 04:29:59.024500,1.69172238181e-07,5.5922623809e-09,1.30928212858e-09,5.44048099135e-09
2019-11-01 04:44:59.024500,1.6152751576e-07,5.6387517968e-09,1.52726076952e-09,5.46857211706e-09
2019-11-01 04:59:59.024500,1.65120241482e-07,5.72138979196e-09,1.35122163679e-09,5.57646452959e-09
2019-11-01 05:14:59.024500,1.67523478734e-07,5.67349285756e-09,1.30113848952e-09,5.36291636531e-09
2019-11-01 05:29:59.024500,1.6443579499e-07,5.35302989569e-09,1.07558228122e-09,5.03891000513e-09
2019-11-01 05:44:59.024500,1.62254028974e-07,5.43973795556e-09,1.28318623817e-09,5.22981319571e-09
2019-11-01 05:59:59.024500,1.5836405794e-07,5.66383335859e-09,1.42053862213e-09,5.46856751009e-09
2019-11-01 06:14:59.024500,1.63769395768e-07,5.34208578082e-09,1.16444066047e-09,5.19125224962e-09
2019-11-01 06:29:59.024500,1.71611609551e-07,5.25758782254e-09,8.89795018902e-10,5.08703562832e-09
2019-11-01 06:44:59.024500,1.66250475044e-07,5.23479225643e-09,8.45140214585e-10,5.11319327026e-09
2019-11-01 06:59:59.024500,1.56294280273e-07,5.55276975759e-09,1.25328483024e-09,5.41428805181e-09
2019-11-01 07:14:59.024500,1.52724198668e-07,5.27165968577e-09,1.11812240265e-09,5.10247959967e-09
2019-11-01 07:29:59.024500,1.66846630308e-07,5.13611981789e-09,1.15087319695e-09,4.99440623165e-09
2019-11-01 07:44:59.024500,1.60321821968e-07,5.31628821024e-09,1.15957775737e-09,5.20005272866e-09
2019-11-01 07:59:59.024500,1.62348979638e-07,5.51282856605e-09,1.32741602274e-09,5.36450980838e-09
2019-11-01 08:14:59.024500,1.65154209945e-07,5.56293221156e-09,1.45429256689e-09,5.40800904274e-09
2019-11-01 08:29:59.024500,1.56724092068e-07,5.49583268011e-09,1.47739787397e-09,5.33755506801e-09
2019-11-01 08:44:59.024500,1.64602169383e-07,5.45192216266e-09,1.33723204299e-09,5.2934463103e-09
2019-11-01 08:59:59.024500,1.66285622495e-07,5.45213673091e-09,1.2755183377e-09,5.30990856463e-09
2019-11-01 09:14:59.024500,1.59339037603e-07,5.1788340477e-09,1.1132965114e-09,5.00029000419e-09
2019-11-01 09:29:59.024500,1.64309395774e-07,5.33712986051e-09,1.26245024242e-09,5.18207136466e-09
2019-11-01 09:44:59.024500,1.56165399445e-07,6.49921339937e-09,1.44350886222e-09,6.32119988657e-09
2019-11-01 09:59:59.024500,1.55322773428e-07,6.6271008902e-09,1.52820003643e-09,6.41464203267e-09
2019-11-01 10:14:59.024500,1.62687708057e-07,5.58238644785e-09,1.24708600162e-09,5.43338986375e-09
2019-11-01 10:29:59.024500,1.69430265186e-07,5.4504230517e-09,1.3301751194e-09,5.31973040466e-09
2019-11-01 10:44:59.024500,1.66301523079e-07,5.44348073907e-09,1.3667433854e-09,5.2357808048e-09
2019-11-01 10:59:59.024500,1.65124940848e-07,5.12721633615e-09,1.110405352e-09,4.95415996461e-09
2019-11-01 11:14:59.024500,1.63073588064e-07,5.148717224e-09,1.07273451273e-09,5.02271346417e-09
2019-11-01 11:29:59.024500,1.63700927776e-07,5.34474103867e-09,1.31042256778e-09,5.2050299505e-09
2019-11-01 11:44:59.024500,1.64791573856e-07,5.03529118926e-09,1.11878878159e-09,4.9369293032e-09
2019-11-01 11:59:59.024500,1.60997123708e-07,5.07341999145e-09,9.77261214669e-10,4.98653987334e-09
2019-11-01 12:14:59.024500,1.64028437497e-07,5.47146097826e-09,1.14198967435e-09,5.37089056192e-09
2019-11-01 12:29:59.024500,1.66886935174e-07,5.14745188423e-09,9.01234072383e-10,5.05519116835e-09
2019-11-01 12:44:59.024500,1.65297084715e-07,5.19680497088e-09,9.49908828794e-10,5.12289322191e-09
2019-11-01 12:59:59.024500,1.60446375926e-07,5.43257316007e-09,1.2480690599e-09,5.3241152649e-09
2019-11-01 13:14:59.024500,1.56872993661e-07,5.41861249846e-09,1.27866771503e-09,5.32136304708e-09
2019-11-01 13:29:59.024500,1.63006973227e-07,5.0740941327e-09,7.86450924121e-10,4.99768337085e-09
2019-11-01 13:44:59.024500,1.7049187592e-07,4.99855231021e-09,6.3470370241e-10,4.92355117213e-09
2019-11-01 13:59:59.024500,1.70586792474e-07,5.14127886565e-09,1.04300229862e-09,5.03781974539e-09
2019-11-01 14:14:59.024500,1.74570880797e-07,5.2505752813e-09,9.86248340208e-10,5.12347386626e-09
2019-11-01 14:29:59.024500,1.7107546331e-07,5.24621900693e-09,8.17154243941e-10,5.11191960309e-09
2019-11-01 14:44:59.024500,1.68465891431e-07,5.33755982633e-09,9.84006868616e-10,5.18875065338e-09
2019-11-01 14:59:59.024500,1.66106898136e-07,5.23669237438e-09,1.11874938075e-09,5.116610115e-09
2019-11-01 15:14:59.024500,1.78364860718e-07,5.23157476194e-09,1.28653176621e-09,5.13923507768e-09
2019-11-01 15:29:59.024500,1.7453031764e-07,5.35970148255e-09,1.34413593515e-09,5.23929932987e-09
2019-11-01 15:44:59.024500,1.70420540741e-07,5.36453409529e-09,1.39683082408e-09,5.22318078187e-09
2019-11-01 15:59:59.024500,1.74951346418e-07,5.917128312e-09,1.75876533572e-09,5.70486924695e-09
2019-11-01 16:14:59.024500,1.79219367898e-07,6.79041384758e-09,2.26741818962e-09,6.3700113948e-09
2019-11-01 16:29:59.024500,1.72842849377e-07,5.45746235442e-09,1.34530525629e-09,5.25436833403e-09
2019-11-01 16:44:59.024500,1.77117327003e-07,5.19913722319e-09,1.02111613546e-09,5.08814751358e-09
2019-11-01 16:59:59.024500,1.87633524214e-07,5.14319934207e-09,8.47217223382e-10,5.06801075756e-09
2019-11-01 17:14:59.024500,1.97517851407e-07,5.01231506286e-09,7.06921756203e-10,4.9425434614e-09
2019-11-01 17:29:59.024500,1.90792087233e-07,5.41296643678e-09,8.23122906293e-10,5.35741322592e-09
2019-11-01 17:44:59.024500,1.81540021951e-07,5.43013090088e-09,7.04788706971e-10,5.38250934604e-09
2019-11-01 17:59:59.024500,1.85544086595e-07,4.97889822085e-09,5.82307505151e-10,4.92066775985e-09
2019-11-01 18:14:59.024500,1.89382555244e-07,4.95503793397e-09,7.15795553072e-10,4.88929696512e-09
2019-11-01 18:29:59.024500,1.94636346882e-07,5.20581698944e-09,7.45764241031e-10,5.14034240268e-09
2019-11-01 18:44:59.024500,1.97006312856e-07,4.93443120479e-09,5.4577095579e-10,4.88602096916e-09
2019-11-01 18:59:59.024500,1.85462566314e-07,4.92919778327e-09,3.4521779182e-10,4.89258868631e-09
2019-11-01 19:14:59.024500,1.87038000807e-07,4.79187958346e-09,2.26648196202e-10,4.75715086276e-09
2019-11-04 07:30:20.851700,4.11010516794e-07,4.93488320735e-09,5.68077022362e-10,4.87341982931e-09
2019-11-04 07:45:20.851700,3.86039887509e-07,5.21918995101e-09,7.56264114406e-10,5.15088003922e-09
2019-11-04 08:00:20.851700,3.80082929347e-07,5.21703370339e-09,1.1451146804e-09,5.08916567075e-09
2019-11-04 08:15:20.851700,3.68501761698e-07,5.25577432866e-09,1.22250527681e-09,5.13753887434e-09
2019-11-04 08:30:20.851700,3.50783945297e-07,5.22020125202e-09,1.11590400599e-09,5.10527145604e-09
2019-11-04 08:45:20.851700,3.66858296227e-07,5.32634711107e-09,1.00858574324e-09,5.18552516706e-09
2019-11-04 09:00:20.851700,3.94354529688e-07,5.66770170015e-09,1.41076633323e-09,5.50930119086e-09
2019-11-04 09:15:20.851700,4.05004343651e-07,5.642867238e-09,1.32421357333e-09,5.46026673088e-09
2019-11-04 09:30:20.851700,3.91401777641e-07,6.68038834261e-09,2.40294632002e-09,6.46326232055e-09
2019-11-04 09:45:20.851700,4.20145383246e-07,5.74562048879e-09,1.65247864888e-09,5.58794140106e-09
2019-11-04 10:00:20.851700,3.94427354015e-07,5.26415145075e-09,8.32667983353e-10,5.18832883404e-09
2019-11-04 10:15:20.851700,3.49121193535e-07,5.38188552774e-09,9.25035408809e-10,5.16760999252e-09
2019-11-04 10:30:20.851700,3.55900107841e-07,5.50370795086e-09,1.3402688732e-09,5.23017678043e-09
2019-11-04 10:45:20.851700,3.52903091819e-07,5.22245743861e-09,9.10191984104e-10,4.95332871741e-09
2019-11-04 11:00:20.851700,3.80625697357e-07,5.37426773012e-09,7.4802786173e-10,5.22526592258e-09
2019-11-04 11:15:20.851700,3.70201090328e-07,5.19937435041e-09,7.15330388532e-10,5.12828842496e-09
2019-11-04 11:30:20.851700,3.72894757601e-07,4.8920782181e-09,6.14101397379e-10,4.78994723095e-09
2019-11-04 11:45:20.851700,3.76708351738e-07,5.0527778886e-09,7.25555208306e-10,4.94379882201e-09
2019-11-04 12:00:20.851700,3.87929505408e-07,5.09507002532e-09,8.98489175036e-10,4.94463299063e-09
2019-11-04 12:15:20.851700,3.55903320529e-07,5.25260875841e-09,1.14380048017e-09,5.06946806152e-09
2019-11-04 12:30:20.851700,3.73190754776e-07,6.01952628043e-09,2.01119000678e-09,5.81670050781e-09
2019-11-04 12:45:20.851700,3.79034129471e-07,5.67660174411e-09,1.740263467e-09,5.48760776429e-09
2019-11-04 13:00:20.851700,3.91827612436e-07,5.39573266883e-09,8.89481135157e-10,5.29493735302e-09
2019-11-04 13:15:20.851700,3.68187985236e-07,5.38637196377e-09,1.02744565537e-09,5.29494066751e-09
2019-11-04 13:30:20.851700,3.51229427145e-07,5.17704300975e-09,1.17193814914e-09,5.07485383995e-09
2019-11-04 13:45:20.851700,3.66499416731e-07,5.26931877617e-09,8.69292153333e-10,5.1762443114e-09
2019-11-04 14:00:20.851700,3.80985126392e-07,5.31384077126e-09,7.5282408035e-10,5.23759437885e-09
2019-11-04 14:15:20.851700,3.55369377207e-07,5.0360227697e-09,1.07040865915e-09,4.93479880459e-09
2019-11-04 14:30:20.851700,3.90020558353e-07,5.32070035995e-09,1.29065963051e-09,5.16096509304e-09
2019-11-04 14:45:20.851700,3.70238762459e-07,5.27994981217e-09,1.10310961625e-09,5.15064570772e-09
2019-11-04 15:00:20.851700,3.45468588709e-07,4.9861766446e-09,8.45795640584e-10,4.89131284634e-09
2019-11-04 15:15:20.851700,3.72838308368e-07,5.09869299444e-09,9.66922445233e-10,5.00407646372e-09
2019-11-04 15:30:20.851700,3.7680554671e-07,5.09792931652e-09,8.92268501516e-10,4.99999317721e-09
2019-11-04 15:45:20.851700,3.65812370241e-07,4.945730551e-09,8.83435426073e-10,4.81604800465e-09
2019-11-04 16:00:20.851700,3.60704516981e-07,5.08345118699e-09,8.10722221672e-10,4.8347531142e-09
2019-11-04 16:15:20.851700,3.57988050814e-07,4.91796488369e-09,9.40539004753e-10,4.8074439991e-09
2019-11-04 16:30:20.851700,3.61224054866e-07,5.09864441584e-09,9.82446301718e-10,4.97888540882e-09
2019-11-04 16:45:20.851700,3.30138206271e-07,5.5543016119e-09,1.39848522874e-09,5.43326786143e-09
2019-11-04 17:00:20.851700,3.35847985031e-07,5.42978228605e-09,1.16623925515e-09,5.33708424969e-09
2019-11-04 17:15:20.851700,3.47674065428e-07,5.26246312031e-09,1.02850427334e-09,5.20550442455e-09
2019-11-04 17:30:20.851700,3.48979970304e-07,4.91366973088e-09,7.92217248934e-10,4.82767546148e-09
2019-11-04 17:45:20.851700,3.48260812079e-07,4.80010854761e-09,5.17341305547e-10,4.70557419935e-09
2019-11-04 18:00:20.851700,3.40745309111e-07,4.82045990374e-09,7.03979087994e-10,4.72620688652e-09
2019-11-04 18:15:20.851700,3.5765489995e-07,5.00599245215e-09,1.04730259457e-09,4.84340396442e-09
2019-11-04 18:30:20.851700,3.68675111855e-07,4.91986925938e-09,6.30823091594e-10,4.78793635086e-09
2019-11-04 18:45:20.851700,3.68984879967e-07,4.8457560144e-09,5.15397060277e-10,4.7444884501e-09
2019-11-04 19:00:20.851700,3.49433587928e-07,4.79310403117e-09,5.24506312834e-10,4.74830713074e-09
2019-11-04 19:15:20.851700,3.60392903218e-07,4.96654149699e-09,2.36570204583e-10,4.92982795394e-09
2019-11-04 19:30:20.851700,3.59523987614e-07,5.07230565388e-09,3.1271653665e-10,5.02225834825e-09
2019-11-04 19:45:20.851700,3.44165752363e-07,4.89670161895e-09,4.8560828087e-10,4.82046333561e-09
2019-11-04 20:00:20.851700,3.37597636732e-07,4.8702962062e-09,5.62234660566e-10,4.80053378492e-09
2019-11-04 20:15:20.851700,3.4612891913e-07,4.97262532435e-09,3.28630006346e-10,4.93654869249e-09
2019-11-04 20:30:20.851700,3.26248809608e-07,5.04713796333e-09,2.21328890461e-10,5.01492028473e-09
2019-11-04 20:45:20.851700,3.286984624e-07,4.72823838167e-09,1.67623477201e-10,4.69612881566e-09
2019-11-04 21:00:20.851700,3.41975785529e-07,4.86982846301e-09,2.85138634779e-10,4.83860088777e-09
