,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000000,6.42262032712e-07,8.89040097742e-09,1.12464371565e-09,1.13331354156e-09
2019-10-31 23:44:59.000000,6.17941884066e-07,8.52829598072e-09,1.16596360007e-09,1.17961504479e-09
2019-10-31 23:59:59.000000,6.61282176621e-07,8.40765107337e-09,1.19471894533e-09,1.20857088309e-09
2019-11-01 00:14:59.000000,6.69713020561e-07,8.34269899294e-09,9.85404233131e-10,9.91850747507e-10
2019-11-01 00:29:59.000000,6.01089337179e-07,7.75395414053e-09,9.63987746514e-10,9.71970632143e-10
2019-11-01 00:44:59.000000,6.30983639071e-07,7.45086706606e-09,9.86347845921e-10,9.94532666079e-10
2019-11-01 00:59:59.000000,6.52339338862e-07,7.53077308269e-09,1.0198837969e-09,1.02837444354e-09
2019-11-01 01:14:59.000000,6.56271883812e-07,7.28281569394e-09,9.52011210911e-10,9.6056375613e-10
2019-11-01 01:29:59.000000,6.43451926388e-07,8.13677654995e-09,8.26325435702e-10,8.33538719044e-10
2019-11-01 01:44:59.000000,6.59303061432e-07,1.31555259784e-08,7.24643713464e-10,7.30765476786e-10
2019-11-01 01:59:59.000000,6.54839219471e-07,1.76727573558e-08,7.90047695172e-10,7.96803448799e-10
2019-11-01 02:14:59.000000,6.43018081012e-07,1.79051965711e-08,9.28530084824e-10,9.3746121863e-10
2019-11-01 02:29:59.000000,6.67836067797e-07,1.59798343833e-08,7.39479441679e-10,7.50209581789e-10
2019-11-01 02:44:59.000000,6.47545539027e-07,1.38771359855e-08,6.14430688565e-10,6.16399293268e-10
2019-11-01 02:59:59.000000,6.37364906807e-07,1.15162191589e-08,5.43803640372e-10,5.45133669166e-10
2019-11-01 03:14:59.000000,6.25037452267e-07,9.22940828057e-09,4.26399890729e-10,4.27575786861e-10
2019-11-01 03:29:59.000000,6.52281926179e-07,7.4574487628e-09,3.79978350591e-10,3.81016603688e-10
2019-11-01 03:44:59.000000,6.17975108783e-07,6.62164271628e-09,3.79224804082e-10,3.80050175638e-10
2019-11-01 03:59:59.000000,6.2778953033e-07,6.92156509683e-09,4.16476747804e-10,4.18554801485e-10
2019-11-01 04:14:59.000000,6.64523716289e-07,9.90161768556e-09,5.12737028403e-10,5.1606019634e-10
2019-11-01 04:29:59.000000,6.33338962134e-07,1.11428019577e-08,5.47910115346e-10,5.50474866164e-10
2019-11-01 04:44:59.000000,6.32057821436e-07,8.920689634e-09,5.89754845599e-10,5.92711460313e-10
2019-11-01 04:59:59.000000,6.38453124862e-07,8.73440071717e-09,7.51909597262e-10,7.57505316779e-10
2019-11-01 05:14:59.000000,6.21198091248e-07,8.41201161845e-09,8.73949149221e-10,8.8102567544e-10
2019-11-01 05:29:59.000000,6.14673634627e-07,7.6960230955e-09,7.92782315464e-10,7.99311971456e-10
2019-11-01 05:44:59.000000,5.76419063421e-07,6.81616685897e-09,5.96682563009e-10,6.01173957365e-10
2019-11-01 05:59:59.000000,5.98021770417e-07,6.00444234108e-09,4.99704998051e-10,5.03127122948e-10
2019-11-01 06:14:59.000000,6.49045113726e-07,6.01977676225e-09,6.27282218263e-10,6.37042437747e-10
2019-11-01 06:29:59.000000,6.27111240363e-07,6.0896077487e-09,7.42356765693e-10,7.52985342086e-10
2019-11-01 06:44:59.000000,5.83569550671e-07,5.677346641e-09,6.54435131611e-10,6.63985237658e-10
2019-11-01 06:59:59.000000,5.79494858339e-07,5.42119615297e-09,5.15574449427e-10,5.21737197572e-10
2019-11-01 07:14:59.000000,5.87377407604e-07,5.16694251631e-09,6.71899784918e-10,6.76980133761e-10
2019-11-01 07:29:59.000000,6.19070244064e-07,5.25538545161e-09,7.85560924162e-10,7.90676660186e-10
2019-11-01 07:44:59.000000,5.9400232704e-07,5.38349044405e-09,4.67409251869e-10,4.71169429909e-10
2019-11-01 07:59:59.000000,6.00054538303e-07,6.20474113493e-09,5.79011347443e-10,5.84963569364e-10
2019-11-01 08:14:59.000000,6.23013280694e-07,7.27321076929e-09,6.6394222978e-10,6.70240626022e-10
2019-11-01 08:29:59.000000,6.10502569662e-07,7.79969902018e-09,6.273568009e-10,6.30386259854e-10
2019-11-01 08:44:59.000000,5.7767597727e-07,7.77403957193e-09,6.0532636185e-10,6.07800896268e-10
2019-11-01 08:59:59.000000,5.99686896963e-07,7.71587446971e-09,5.97348719922e-10,5.99928484264e-10
2019-11-01 09:14:59.000000,6.13127204116e-07,7.68184261177e-09,5.95292184652e-10,5.98346405657e-10
2019-11-01 09:29:59.000000,6.41562046132e-07,7.74811410459e-09,6.51999814967e-10,6.5611258735e-10
2019-11-01 09:44:59.000000,6.31808551112e-07,7.41218311184e-09,6.63403492621e-10,6.67472435273e-10
2019-11-01 09:59:59.000000,6.04776189895e-07,7.26677204453e-09,1.1138594938e-09,1.11673827048e-09
2019-11-01 10:14:59.000000,6.18744587292e-07,6.60540230071e-09,1.28077001822e-09,1.28333351695e-09
2019-11-01 10:29:59.000000,6.57380118649e-07,5.52649452116e-09,7.00356639351e-10,7.03393318933e-10
2019-11-01 10:44:59.000000,6.10449716575e-07,5.28371790635e-09,7.0342982474e-10,7.06123392706e-10
2019-11-01 10:59:59.000000,5.98279122378e-07,5.22305440923e-09,8.0037480058e-10,8.03340108444e-10
2019-11-01 11:14:59.000000,6.11593851569e-07,5.31800409178e-09,9.87286258984e-10,1.00064532761e-09
2019-11-01 11:29:59.000000,5.96414527285e-07,7.68534466997e-09,1.39260929375e-09,1.40635366729e-09
2019-11-01 11:44:59.000000,6.1046234843e-07,1.02441263272e-08,2.07735574747e-09,2.09069066205e-09
2019-11-01 11:59:59.000000,6.113369784e-07,1.23211597878e-08,2.69648632346e-09,2.70896738428e-09
2019-11-01 12:14:59.000000,5.83320000133e-07,1.34401664941e-08,2.9162375318e-09,2.93077284155e-09
2019-11-01 12:29:59.000000,5.68726229915e-07,1.32635100446e-08,2.86076817068e-09,2.8770098455e-09
2019-11-01 12:44:59.000000,5.7972388471e-07,1.40273959737e-08,2.93660288153e-09,2.98429914878e-09
2019-11-01 12:59:59.000000,6.04072281674e-07,1.30675069714e-08,2.77855280123e-09,2.85088444856e-09
2019-11-01 13:14:59.000000,5.97375167773e-07,1.01501402618e-08,2.57276860307e-09,2.60552865791e-09
2019-11-01 13:29:59.000000,5.81941228218e-07,1.02811432517e-08,2.97962537182e-09,3.03641881491e-09
2019-11-01 13:44:59.000000,5.90076989753e-07,1.03972619255e-08,2.73272111817e-09,2.79161611825e-09
2019-11-01 13:59:59.000000,6.03830365726e-07,9.60365875727e-09,2.75056500422e-09,2.78701047608e-09
2019-11-01 14:14:59.000000,5.85326674538e-07,8.55591593318e-09,2.10409350342e-09,2.16078693105e-09
2019-11-01 14:29:59.000000,5.55199416849e-07,8.335609193e-09,1.52634709825e-09,1.57310102232e-09
2019-11-01 14:44:59.000000,5.40392794557e-07,8.98532177881e-09,1.72905216199e-09,1.74116129301e-09
2019-11-01 14:59:59.000000,5.71292381423e-07,9.51394668878e-09,1.90060207399e-09,1.91153400665e-09
2019-11-01 15:14:59.000000,5.79111578618e-07,1.0682569584e-08,2.10939344731e-09,2.11903937069e-09
2019-11-01 15:29:59.000000,5.6292613498e-07,1.1882998157e-08,2.30404467438e-09,2.3141747264e-09
2019-11-01 15:44:59.000000,5.38643708703e-07,1.15316419477e-08,1.40575057464e-09,1.41633156067e-09
2019-11-01 15:59:59.000000,5.58818772032e-07,1.07809585253e-08,1.41754876617e-09,1.43102821827e-09
2019-11-01 16:14:59.000000,5.53430181975e-07,1.00026632408e-08,1.75663248428e-09,1.77219171371e-09
2019-11-01 16:29:59.000000,5.50026262682e-07,9.70887826185e-09,1.58629149052e-09,1.60416092014e-09
2019-11-01 16:44:59.000000,5.48097758103e-07,1.08719811493e-08,1.79162395867e-09,1.80992534951e-09
2019-11-01 16:59:59.000000,5.62718977563e-07,1.16412498955e-08,1.96219042185e-09,1.97908205978e-09
2019-11-01 17:14:59.000000,5.71205360401e-07,1.27298126023e-08,2.19945753482e-09,2.21472862581e-09
2019-11-01 17:29:59.000000,5.54810247389e-07,1.29469912795e-08,2.87857659402e-09,2.88732460102e-09
2019-11-01 17:44:59.000000,5.42957988569e-07,1.21063019376e-08,3.15133289909e-09,3.15708821682e-09
2019-11-01 17:59:59.000000,5.41683035722e-07,1.38441012616e-08,3.31532730131e-09,3.32802154268e-09
2019-11-01 18:14:59.000000,5.45479211236e-07,1.48223551525e-08,3.1969624708e-09,3.20921895938e-09
2019-11-01 18:29:59.000000,5.45616747007e-07,1.5338121974e-08,3.32626722623e-09,3.3402549863e-09
2019-11-01 18:44:59.000000,5.33332096543e-07,1.36487180463e-08,3.23155683341e-09,3.2419325547e-09
2019-11-01 18:59:59.000000,5.51474309842e-07,1.26219022551e-08,3.05658086095e-09,3.06638271325e-09
2019-11-01 19:14:59.000000,5.64351954319e-07,1.33725370687e-08,3.34421395709e-09,3.35606675344e-09
2019-11-01 19:29:59.000000,5.51485671052e-07,1.44392481616e-08,3.95692519895e-09,3.96912928005e-09
2019-11-01 19:44:59.000000,5.45039719412e-07,1.39789061738e-08,3.00733117777e-09,3.02320568964e-09
2019-11-01 19:59:59.000000,5.61522957777e-07,1.41039746747e-08,3.18834261161e-09,3.20711029942e-09
2019-11-01 20:14:59.000000,5.58317247962e-07,1.42086945726e-08,3.77618804451e-09,3.79219626819e-09
2019-11-01 20:29:59.000000,5.44881831861e-07,1.50462043978e-08,3.69215555428e-09,3.70505622972e-09
2019-11-01 20:44:59.000000,5.54619696018e-07,1.39391381479e-08,2.88712294555e-09,2.90538409242e-09
2019-11-01 20:59:59.000000,5.59430586478e-07,1.30121031163e-08,2.83556767654e-09,2.8524960562e-09
2019-11-01 21:14:59.000000,5.52614207384e-07,1.28860224023e-08,2.87672206718e-09,2.89535822446e-09
2019-11-01 21:29:59.000000,5.39457860518e-07,1.21826716283e-08,2.3209896785e-09,2.33906421537e-09
2019-11-01 21:44:59.000000,5.28163051703e-07,1.21429539507e-08,2.20545059738e-09,2.22249445571e-09
2019-11-01 21:59:59.000000,5.22444842899e-07,1.22948521252e-08,2.25834590175e-09,2.2710783357e-09
2019-11-01 22:14:59.000000,5.39958805027e-07,1.2083806497e-08,1.97668796972e-09,1.99545244752e-09
2019-11-01 22:29:59.000000,5.33082127107e-07,1.18343646165e-08,1.94588643939e-09,1.96620787295e-09
2019-11-01 22:44:59.000000,5.41206207035e-07,1.09485418711e-08,1.35300912647e-09,1.36467618275e-09
2019-11-01 22:59:59.000000,5.453591846e-07,1.06695986201e-08,1.36061210598e-09,1.37256782266e-09
2019-11-01 23:14:59.000000,5.12776456353e-07,1.01430810519e-08,1.6245899628e-09,1.63878712294e-09
2019-11-01 23:29:59.000000,5.31079702459e-07,1.00028562086e-08,1.60514256488e-09,1.62030826867e-09
2019-11-01 23:44:59.000000,5.43293979871e-07,9.72854297105e-09,1.27586600448e-09,1.28864939051e-09
2019-11-01 23:59:59.000000,5.38815582207e-07,9.38783881775e-09,1.1567041705e-09,1.1676750412e-09
2019-11-02 00:14:59.000000,5.296861657e-07,8.42456453888e-09,1.11532213262e-09,1.12665935012e-09
2019-11-02 00:29:59.000000,5.0587148553e-07,7.79276505052e-09,9.7682320698e-10,9.86036680432e-10
2019-11-02 00:44:59.000000,5.24339662716e-07,7.02921944008e-09,7.8652866444e-10,7.92793127203e-10
2019-11-02 00:59:59.000000,5.18986136382e-07,6.472491589e-09,6.41415148027e-10,6.46640881644e-10
2019-11-02 01:14:59.000000,5.18324790391e-07,6.06920475598e-09,6.1289520277e-10,6.18414309301e-10
2019-11-02 01:29:59.000000,5.07288543051e-07,5.82265610743e-09,8.11600444934e-10,8.2566615206e-10
2019-11-02 01:44:59.000000,4.89629328764e-07,5.625582786e-09,6.03243986049e-10,6.12122899449e-10
2019-11-02 01:59:59.000000,4.96920232269e-07,5.41874725804e-09,5.3986922707e-10,5.41992354462e-10
2019-11-02 02:14:59.000000,4.99057790553e-07,5.01203088769e-09,5.10303567846e-10,5.12759983044e-10
2019-11-02 02:29:59.000000,5.07751451797e-07,4.7662934417e-09,4.43333987786e-10,4.44794385339e-10
2019-11-02 02:44:59.000000,5.27804341274e-07,4.62971297772e-09,4.7016205542e-10,4.7178493303e-10
2019-11-02 02:59:59.000000,5.39907802152e-07,4.41798156185e-09,3.80052373152e-10,3.81349861001e-10
2019-11-02 03:14:59.000000,5.19005938198e-07,5.5666186305e-09,3.32446086215e-10,3.33786982959e-10
2019-11-02 03:29:59.000000,5.08628342579e-07,6.30864447129e-09,3.41995088817e-10,3.43352583274e-10
2019-11-02 03:44:59.000000,5.21279798175e-07,5.71803202717e-09,4.12893416847e-10,4.14217952231e-10
2019-11-02 03:59:59.000000,5.04392432474e-07,5.34517451218e-09,4.30189202653e-10,4.32826242714e-10
2019-11-02 04:14:59.000000,5.16959274891e-07,4.8993453093e-09,3.73381781269e-10,3.76257814956e-10
2019-11-02 04:29:59.000000,5.22072977454e-07,4.77161403451e-09,2.82062087292e-10,2.83573225424e-10
2019-11-02 04:44:59.000000,5.06976290584e-07,5.93544280361e-09,2.97392848272e-10,2.98872862412e-10
2019-11-02 04:59:59.000000,5.01327198985e-07,6.52907516958e-09,3.11091622186e-10,3.12696872003e-10
2019-11-02 05:14:59.000000,4.82656251909e-07,6.11415525647e-09,2.88785461533e-10,2.90703832116e-10
2019-11-02 05:29:59.000000,4.76382525129e-07,6.37160986611e-09,2.68128074865e-10,2.69797030624e-10
2019-11-02 05:44:59.000000,4.86829695713e-07,7.79502794899e-09,2.81586334085e-10,2.83014924306e-10
2019-11-02 05:59:59.000000,4.87756057765e-07,9.38810044921e-09,3.14212589241e-10,3.15821148509e-10
2019-11-02 06:14:59.000000,4.81306899097e-07,9.87218420593e-09,3.65800223296e-10,3.69656556489e-10
2019-11-02 06:29:59.000000,4.73345092752e-07,9.72738053686e-09,2.98801166507e-10,3.00565200357e-10
2019-11-02 06:44:59.000000,4.9427691442e-07,1.00788702908e-08,2.93783246085e-10,2.95783670708e-10
2019-11-02 06:59:59.000000,4.86888276683e-07,9.10735816686e-09,3.06114226077e-10,3.08458258319e-10
2019-11-02 07:14:59.000000,4.85097003208e-07,7.6943159e-09,3.34635105836e-10,3.37061218105e-10
2019-11-02 07:29:59.000000,4.73417940486e-07,6.53724670482e-09,3.71302375082e-10,3.7378718404e-10
2019-11-02 07:44:59.000000,4.56709955813e-07,6.38124466003e-09,4.15071040281e-10,4.17854111567e-10
2019-11-02 07:59:59.000000,4.51289604027e-07,6.867500426e-09,4.17465169335e-10,4.19790611744e-10
2019-11-02 08:14:59.000000,4.51550710355e-07,7.74144186675e-09,6.540364262e-10,6.89344751099e-10
2019-11-02 08:29:59.000000,4.8465008772e-07,8.25555624734e-09,7.76647629087e-10,8.161005867e-10
2019-11-02 08:44:59.000000,4.90913478774e-07,8.03594023949e-09,7.81993359632e-10,7.8569091407e-10
2019-11-02 08:59:59.000000,4.48929610362e-07,7.52244328264e-09,6.49335094746e-10,6.51525271001e-10
2019-11-02 09:14:59.000000,4.59001173957e-07,6.74884225113e-09,4.07371778657e-10,4.09396523408e-10
2019-11-02 09:29:59.000000,4.64601211464e-07,6.61391294606e-09,3.84194794336e-10,3.86486550221e-10
2019-11-02 09:44:59.000000,4.45095497643e-07,7.76718555758e-09,4.17553090246e-10,4.19833064766e-10
2019-11-02 09:59:59.000000,4.44633183909e-07,9.22715992367e-09,1.24638150361e-09,1.24892418988e-09
2019-11-02 10:14:59.000000,4.53083528519e-07,1.05089080641e-08,2.7129053188e-09,2.71514982675e-09
2019-11-02 10:29:59.000000,4.64785909731e-07,1.00473524661e-08,2.80895121189e-09,2.8100217624e-09
2019-11-02 10:44:59.000000,4.55813074203e-07,8.26101931758e-09,7.14763449021e-10,7.18030801505e-10
2019-11-02 10:59:59.000000,4.48183226118e-07,8.66462869219e-09,1.01331599629e-09,1.02487047129e-09
2019-11-02 11:14:59.000000,4.58963758452e-07,8.58428945295e-09,1.28657843351e-09,1.30029962571e-09
2019-11-02 11:29:59.000000,4.90705361939e-07,7.81775022668e-09,1.27281347709e-09,1.27723190602e-09
2019-11-02 11:44:59.000000,4.77022525349e-07,1.11530869597e-08,7.6714379026e-09,7.67226121584e-09
2019-11-02 11:59:59.000000,4.53522363945e-07,7.19530028789e-09,2.54632918288e-09,2.54733449764e-09
2019-11-02 12:14:59.000000,4.78128596565e-07,8.62534396339e-09,2.66194359006e-09,2.66345469329e-09
2019-11-02 12:29:59.000000,4.85264842682e-07,9.84720388835e-09,2.96062869942e-09,2.96255812401e-09
2019-11-02 12:44:59.000000,4.69164452159e-07,1.02128964354e-08,1.84273575289e-09,1.84372752131e-09
2019-11-02 12:59:59.000000,4.65738050913e-07,1.02144249296e-08,1.79201379171e-09,1.79339970792e-09
2019-11-02 13:14:59.000000,4.90299428289e-07,1.05542133938e-08,1.93546303651e-09,1.93804527777e-09
2019-11-02 13:29:59.000000,4.75534519017e-07,1.80635047179e-08,3.49936796121e-09,3.50827926943e-09
2019-11-02 13:44:59.000000,4.87902627607e-07,1.49134674012e-08,3.08086356958e-09,3.09558509775e-09
2019-11-02 13:59:59.000000,5.29944368576e-07,1.0968524967e-08,2.34116173217e-09,2.35862821622e-09
2019-11-02 14:14:59.000000,5.01927802277e-07,1.2367922938e-08,1.60691491333e-09,1.62237463446e-09
2019-11-02 14:29:59.000000,5.02278297165e-07,1.18362334682e-08,2.04928668893e-09,2.06803452503e-09
2019-11-02 14:44:59.000000,5.04818250916e-07,1.50400076775e-08,2.75683428281e-09,2.77642705929e-09
2019-11-02 14:59:59.000000,4.84204849465e-07,1.32579523547e-08,2.20575848043e-09,2.22339967154e-09
2019-11-02 15:14:59.000000,5.30995585146e-07,1.22532727882e-08,2.14627801905e-09,2.17310278574e-09
2019-11-02 15:29:59.000000,5.31874663672e-07,1.51844809237e-08,6.56856867693e-09,6.58128500254e-09
2019-11-02 15:44:59.000000,5.33642128538e-07,1.69937707395e-08,9.01896595213e-09,9.026922202e-09
2019-11-02 15:59:59.000000,5.30188472266e-07,1.50885145487e-08,6.28734699253e-09,6.29558526202e-09
2019-11-02 16:14:59.000000,5.27876634651e-07,1.40474689364e-08,2.59781734385e-09,2.61750258787e-09
2019-11-02 16:29:59.000000,5.49531991214e-07,1.2746635115e-08,1.83725603388e-09,1.85826045041e-09
2019-11-02 16:44:59.000000,5.36587466148e-07,1.49110684258e-08,2.69049564905e-09,2.69979217972e-09
2019-11-02 16:59:59.000000,5.28392121266e-07,1.60677549645e-08,3.45185084126e-09,3.46099241857e-09
2019-11-02 17:14:59.000000,5.47775152164e-07,1.79747458457e-08,3.66244468074e-09,3.67111402892e-09
2019-11-02 17:29:59.000000,5.5279493827e-07,1.83057291797e-08,5.76669544695e-09,5.77261985609e-09
2019-11-02 17:44:59.000000,5.39308425335e-07,1.73105932569e-08,7.54521950722e-09,7.54860785646e-09
2019-11-02 17:59:59.000000,1.01166972936e-06,2.26653490184e-08,3.72157234868e-09,3.72448723979e-09
2019-11-02 18:14:59.000000,8.96447157749e-07,1.25721487067e-08,2.27576102424e-09,2.28091468106e-09
2019-11-02 18:29:59.000000,5.97178530507e-07,1.23444223048e-08,2.48895893899e-09,2.49408094232e-09
2019-11-02 18:44:59.000000,5.49046217934e-07,1.72250657267e-08,2.74808484809e-09,2.75398321792e-09
2019-11-02 18:59:59.000000,5.6919556336e-07,1.71362655117e-08,2.69693745058e-09,2.70204554746e-09
2019-11-02 19:14:59.000000,6.09092072991e-07,1.28707599445e-08,5.99247139083e-09,5.99418295805e-09
2019-11-02 19:29:59.000000,5.51446403122e-07,1.26171448865e-08,5.82848236234e-09,5.83053150883e-09
2019-11-02 19:44:59.000000,4.97322409614e-07,1.15278168289e-08,2.15546487924e-09,2.16208701962e-09
2019-11-02 19:59:59.000000,5.55385705987e-07,1.35828730207e-08,2.22606901726e-09,2.23499996413e-09
2019-11-02 20:14:59.000000,5.92914923907e-07,1.49089382026e-08,1.79359461335e-09,1.80887302171e-09
2019-11-02 20:29:59.000000,6.06385461588e-07,2.10598979723e-08,3.17648434126e-09,3.2003163867e-09
2019-11-02 20:44:59.000000,5.91096375023e-07,2.33870042271e-08,4.54157130257e-09,4.56537390648e-09
2019-11-02 20:59:59.000000,5.937025839e-07,2.03654718541e-08,4.62670873228e-09,4.65274770901e-09
2019-11-02 21:14:59.000000,5.99650948975e-07,1.94247442896e-08,3.88036739136e-09,3.92366813858e-09
2019-11-02 21:29:59.000000,6.08106000277e-07,1.90489349743e-08,3.5739858866e-09,3.61818508919e-09
2019-11-02 21:44:59.000000,6.0574229101e-07,1.94986460059e-08,3.40192982828e-09,3.44266512387e-09
2019-11-02 21:59:59.000000,6.0092313875e-07,1.90760440519e-08,2.65429594949e-09,2.68512650068e-09
2019-11-02 22:14:59.000000,6.67205492572e-07,1.77780326468e-08,1.83057187732e-09,1.85009239505e-09
2019-11-02 22:29:59.000000,6.27065280398e-07,1.71426804359e-08,1.85114595396e-09,1.864965522e-09
2019-11-02 22:44:59.000000,5.87276521404e-07,1.61970779051e-08,1.70638580464e-09,1.71776513827e-09
2019-11-02 22:59:59.000000,6.53866750074e-07,1.54380533899e-08,1.20003242544e-09,1.20904326394e-09
2019-11-02 23:14:59.000000,6.51525677563e-07,1.58094283741e-08,1.2716402034e-09,1.28173565869e-09
2019-11-02 23:29:59.000000,6.11673644178e-07,1.64886449414e-08,1.48270362251e-09,1.49860364563e-09
2019-11-02 23:44:59.000000,6.08300527195e-07,1.66267954299e-08,1.41714863256e-09,1.43127794776e-09
2019-11-02 23:59:59.000000,6.64002550007e-07,1.55926465773e-08,1.67293767967e-09,1.6956189236e-09
2019-11-03 00:14:59.000000,6.69095337519e-07,1.42328883048e-08,1.92891347859e-09,1.95673403599e-09
2019-11-03 00:29:59.000000,6.34023053858e-07,1.33241099931e-08,2.01097246606e-09,2.03650052785e-09
2019-11-03 00:44:59.000000,6.60144976312e-07,1.28953693504e-08,1.87905038642e-09,1.90152634983e-09
2019-11-03 00:59:59.000000,6.43613984921e-07,1.27621213828e-08,1.93089985645e-09,1.95429481957e-09
2019-11-03 01:14:59.000000,6.437594713e-07,1.34776275993e-08,2.13328605176e-09,2.1625833793e-09
2019-11-03 01:29:59.000000,6.5497683203e-07,1.3602036315e-08,2.11375918063e-09,2.14068856321e-09
2019-11-03 01:44:59.000000,6.36076235903e-07,1.28638768674e-08,1.84918041831e-09,1.87074419544e-09
2019-11-03 01:59:59.000000,6.48653185257e-07,1.20031181612e-08,1.6320812239e-09,1.652610982e-09
2019-11-03 02:14:59.000000,6.90458705204e-07,1.12350381049e-08,1.37823998686e-09,1.39483368166e-09
2019-11-03 02:29:59.000000,6.95560522464e-07,1.01479743444e-08,1.17328866616e-09,1.2059698712e-09
2019-11-03 02:44:59.000000,7.10775572365e-07,1.02122101566e-08,1.27907699029e-09,1.31710254919e-09
2019-11-03 02:59:59.000000,7.13059824469e-07,1.04139204665e-08,1.17635246435e-09,1.19001414594e-09
2019-11-03 03:14:59.000000,7.27695062988e-07,9.58758610694e-09,8.91391566178e-10,9.0050131799e-10
2019-11-03 03:29:59.000000,7.44347532249e-07,8.4558028086e-09,7.04814006258e-10,7.11958308138e-10
2019-11-03 03:44:59.000000,7.8078811646e-07,7.25705534217e-09,6.07755300893e-10,6.13433723229e-10
2019-11-03 03:59:59.000000,7.66065858529e-07,6.39955468615e-09,5.4991433774e-10,5.54000999455e-10
2019-11-03 04:14:59.000000,7.00624104878e-07,6.042652678e-09,6.97881190275e-10,7.02433467789e-10
