,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.003130,1.66620387731e-07,4.10391521159e-09,2.21728762625e-09,2.28512747043e-09
2019-10-31 23:44:59.003130,1.73698778386e-07,3.92112355597e-09,2.18874720443e-09,2.26359724218e-09
2019-10-31 23:59:59.003130,1.74943662924e-07,3.97907340139e-09,1.91170403234e-09,1.97950836511e-09
2019-11-01 00:14:59.003130,1.71950761229e-07,3.84076759497e-09,1.86987355529e-09,1.94303799392e-09
2019-11-01 00:29:59.003130,1.67933185862e-07,3.26765297526e-09,1.79518352683e-09,1.86329705067e-09
2019-11-01 00:44:59.003130,1.67521865174e-07,3.01971848451e-09,1.56509460956e-09,1.62660020453e-09
2019-11-01 00:59:59.003130,1.84878068761e-07,3.00831266523e-09,1.56092785728e-09,1.61947890268e-09
2019-11-01 01:14:59.003130,1.75801018452e-07,3.1709083811e-09,1.84268524103e-09,1.91256956349e-09
2019-11-01 01:29:59.003130,1.72247270706e-07,3.12676690327e-09,1.70863623238e-09,1.8281374802e-09
2019-11-01 01:44:59.003130,1.7869183198e-07,3.10446575374e-09,1.69799305812e-09,1.86586623509e-09
2019-11-01 01:59:59.003130,1.77791529032e-07,2.74718934037e-09,1.36268994681e-09,1.42271304119e-09
2019-11-01 02:14:59.003130,1.88742171967e-07,2.56119391332e-09,1.21068532602e-09,1.26585724122e-09
2019-11-01 02:29:59.003130,1.93799816936e-07,3.23767507493e-09,1.13531264644e-09,1.18545301269e-09
2019-11-01 02:44:59.003130,1.88585857662e-07,3.41453764541e-09,1.27449840544e-09,1.32617864261e-09
2019-11-01 02:59:59.003130,1.82233612653e-07,2.74958647346e-09,1.33038499986e-09,1.38756577143e-09
2019-11-01 03:14:59.003130,1.8035432089e-07,2.42857854365e-09,1.08537613845e-09,1.13128278076e-09
2019-11-01 03:29:59.003130,1.80795867164e-07,2.29309230031e-09,1.04397276355e-09,1.0900690334e-09
2019-11-01 03:44:59.003130,1.8365943171e-07,2.30804976086e-09,1.13189837852e-09,1.18581442026e-09
