,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.884,9.59900248855e-08,1.23974000974e-08,1.0101866769e-08,1.10953591668e-08
2019-10-31 23:44:58.884,9.51673191095e-08,1.15365484871e-08,9.19930915983e-09,1.00495300525e-08
2019-10-31 23:59:58.884,8.90437805179e-08,1.21338951666e-08,9.84319590959e-09,1.06310963165e-08
2019-11-01 00:14:58.884,9.15637541645e-08,1.22300878796e-08,1.00138142562e-08,1.08286277775e-08
2019-11-01 00:29:58.884,9.64960532355e-08,1.22665615091e-08,9.93197150489e-09,1.07385570453e-08
2019-11-01 00:44:58.884,9.70350250634e-08,1.14744325869e-08,9.09511944337e-09,9.8663835406e-09
2019-11-01 00:59:58.884,9.98475049186e-08,1.09731719809e-08,8.51090018211e-09,9.29926481604e-09
2019-11-01 01:14:58.884,1.02681763303e-07,1.12244148279e-08,8.83352630033e-09,9.58220338117e-09
2019-11-01 01:29:58.884,9.9498319378e-08,1.1117869309e-08,8.68074901838e-09,9.48164290018e-09
2019-11-01 01:44:58.884,9.64353970841e-08,9.93327222148e-09,7.32620868518e-09,8.1055745793e-09
2019-11-01 01:59:58.884,9.66233121846e-08,1.15096917818e-08,8.88125602196e-09,9.48102626335e-09
2019-11-01 02:14:58.884,9.60841613045e-08,1.17189039668e-08,8.8692472611e-09,9.4943153172e-09
2019-11-01 02:29:58.884,9.59100814527e-08,1.26365559671e-08,1.0265760661e-08,1.08017263086e-08
2019-11-01 02:44:58.884,9.44320824339e-08,1.25175999574e-08,1.05510491032e-08,1.11834797245e-08
2019-11-01 02:59:58.884,9.94098944519e-08,1.02103547997e-08,7.91395831406e-09,8.69903874545e-09
2019-11-01 03:14:58.884,1.01786462428e-07,1.02858281495e-08,8.06717483081e-09,8.70887179139e-09
2019-11-01 03:29:58.884,9.78374311845e-08,1.06708731193e-08,8.44707999734e-09,9.11139280026e-09
2019-11-01 03:44:58.884,9.79313956342e-08,1.01688360533e-08,7.98902220626e-09,8.7111469814e-09
2019-11-01 03:59:58.884,1.01854402421e-07,1.08992674068e-08,8.59262998017e-09,9.44519383237e-09
2019-11-01 04:14:58.884,9.93471512439e-08,1.03379484305e-08,8.10269431524e-09,8.86929185486e-09
2019-11-01 04:29:58.884,1.01309950423e-07,9.6707941151e-09,7.46117954135e-09,8.2370543458e-09
2019-11-01 04:44:58.884,9.92620511013e-08,1.08987643119e-08,8.67659439405e-09,9.58366129916e-09
2019-11-01 04:59:58.884,9.75317353341e-08,1.16155761525e-08,9.17248516881e-09,1.02525203887e-08
2019-11-01 05:14:58.884,1.0192703626e-07,1.27187166461e-08,1.03302723464e-08,1.14449292004e-08
2019-11-01 05:29:58.884,1.10230629496e-07,1.50230947757e-08,1.25943261301e-08,1.3712468359e-08
2019-11-01 05:44:58.884,1.02820618138e-07,1.5060695542e-08,1.24989564179e-08,1.35852616142e-08
2019-11-01 05:59:58.884,9.91885715321e-08,1.48084210575e-08,1.23945452767e-08,1.32473524201e-08
2019-11-01 06:14:58.884,1.01554312256e-07,1.51083274918e-08,1.25840072001e-08,1.33055868994e-08
2019-11-01 06:29:58.884,9.48476499422e-08,1.54294568959e-08,1.2758683177e-08,1.34509696373e-08
2019-11-01 06:44:58.884,9.64947790362e-08,1.78711011953e-08,1.55443954002e-08,1.61575625323e-08
2019-11-01 06:59:58.884,9.9325335084e-08,2.12675351498e-08,1.94065557245e-08,2.00916891061e-08
2019-11-01 07:14:58.884,9.63690101301e-08,1.39868330549e-08,1.16501416795e-08,1.22183754034e-08
2019-11-01 07:29:58.884,9.40572994563e-08,1.54261131317e-08,1.31882439298e-08,1.37248945915e-08
2019-11-01 07:44:58.884,9.28677565274e-08,1.55979743933e-08,1.32551496516e-08,1.38763231937e-08
2019-11-01 07:59:58.884,9.08200072516e-08,1.63116968207e-08,1.41114776439e-08,1.47258068812e-08
2019-11-01 08:14:58.884,8.92794925338e-08,1.72927983776e-08,1.50665442001e-08,1.5685002941e-08
2019-11-01 08:29:58.884,9.24293474815e-08,1.84506579023e-08,1.60225274114e-08,1.67301325137e-08
2019-11-01 08:44:58.884,9.24009226862e-08,1.79281202735e-08,1.54106273801e-08,1.60817891162e-08
2019-11-01 08:59:58.884,8.9085520899e-08,1.76938462171e-08,1.53095099276e-08,1.59460101279e-08
2019-11-01 09:14:58.884,8.50886097769e-08,1.81304156514e-08,1.54368044392e-08,1.60761766317e-08
2019-11-01 09:29:58.884,8.85568573653e-08,1.75963624916e-08,1.46153514868e-08,1.52439751379e-08
2019-11-01 09:44:58.884,8.97707774861e-08,2.07189396453e-08,1.81688914286e-08,1.88898799894e-08
2019-11-01 09:59:58.884,8.7586607701e-08,2.14154006024e-08,1.88419934691e-08,1.96006946819e-08
2019-11-01 10:14:58.884,8.65545809275e-08,1.96178693428e-08,1.70269433889e-08,1.77109731387e-08
2019-11-01 10:29:58.884,8.4571829815e-08,1.77271380914e-08,1.50027788415e-08,1.57615168585e-08
2019-11-01 10:44:58.884,8.48081740742e-08,1.83033216726e-08,1.56390339572e-08,1.64185350525e-08
2019-11-01 10:59:58.884,8.60994423747e-08,1.95552642081e-08,1.70466881262e-08,1.77329664964e-08
2019-11-01 11:14:58.884,8.24836210532e-08,1.94921990525e-08,1.69743457316e-08,1.76434838384e-08
2019-11-01 11:29:58.884,8.032462018e-08,1.86808343965e-08,1.59995515504e-08,1.67650229562e-08
2019-11-01 11:44:58.884,7.95478449487e-08,1.85990856694e-08,1.58553243735e-08,1.65656121717e-08
2019-11-01 11:59:58.884,7.75754425664e-08,1.93567935978e-08,1.6621265602e-08,1.73650356529e-08
2019-11-01 12:14:58.884,7.99526460102e-08,1.92359705411e-08,1.66521109724e-08,1.73890144289e-08
2019-11-01 12:29:58.884,8.21226151062e-08,1.77467962394e-08,1.5189119912e-08,1.59023838901e-08
2019-11-01 12:44:58.884,8.40252465819e-08,1.7995501503e-08,1.55013618046e-08,1.62324225928e-08
2019-11-01 12:59:58.884,8.28944560218e-08,1.82940452396e-08,1.58260399679e-08,1.65825627058e-08
2019-11-01 13:14:58.884,7.6066137587e-08,1.79122693231e-08,1.5582723162e-08,1.63339540376e-08
2019-11-01 13:29:58.884,7.72780612068e-08,1.78977126244e-08,1.55089216926e-08,1.62803259111e-08
2019-11-01 13:44:58.884,7.51543948596e-08,1.80532996825e-08,1.5739510551e-08,1.6408767573e-08
2019-11-01 13:59:58.884,7.44817442452e-08,1.69448395897e-08,1.46790875147e-08,1.53049801148e-08
2019-11-01 14:14:58.884,7.3433312134e-08,1.60162840155e-08,1.37239084658e-08,1.43407174342e-08
2019-11-01 14:29:58.884,7.17888097599e-08,1.69321776055e-08,1.47147310942e-08,1.53013460422e-08
2019-11-01 14:44:58.884,7.29294094885e-08,1.81247185968e-08,1.59036062064e-08,1.65142767474e-08
2019-11-01 14:59:58.884,7.55392359312e-08,1.73710638768e-08,1.48054104527e-08,1.54271185637e-08
2019-11-01 15:14:58.884,7.64099667393e-08,1.60128354696e-08,1.37794025946e-08,1.43408921963e-08
2019-11-01 15:29:58.884,7.36468381572e-08,1.57510649002e-08,1.34494661881e-08,1.40132548073e-08
2019-11-01 15:44:58.884,7.21007754193e-08,1.69181265882e-08,1.47654116186e-08,1.53847989584e-08
2019-11-01 15:59:58.884,7.35908671841e-08,1.742393284e-08,1.54187833273e-08,1.60433311218e-08
2019-11-01 16:14:58.884,7.46020954023e-08,1.73325185787e-08,1.52984059185e-08,1.59252931383e-08
2019-11-01 16:29:58.884,7.21773519253e-08,1.72298066498e-08,1.50570788958e-08,1.57265760606e-08
2019-11-01 16:44:58.884,7.12591479536e-08,1.80240158806e-08,1.58740345516e-08,1.65678147112e-08
2019-11-01 16:59:58.884,7.24957101657e-08,1.79663850793e-08,1.58695676338e-08,1.65398118909e-08
2019-11-01 17:14:58.884,7.370290966e-08,1.68739840003e-08,1.46232425712e-08,1.5288664388e-08
2019-11-01 17:29:58.884,7.20132489411e-08,1.64794055092e-08,1.42037998269e-08,1.48814957823e-08
2019-11-01 17:44:58.884,7.05068928584e-08,1.68485390599e-08,1.47194538702e-08,1.53909142227e-08
2019-11-01 17:59:58.884,7.00462669533e-08,1.70686853782e-08,1.50225957254e-08,1.56791742645e-08
2019-11-01 18:14:58.884,7.41613090268e-08,1.83858533467e-08,1.64773702086e-08,1.71279578579e-08
2019-11-01 18:29:58.884,7.73189956997e-08,1.71159350465e-08,1.50124118043e-08,1.56108253354e-08
2019-11-01 18:44:58.884,7.39054933626e-08,1.85351119217e-08,1.64877234702e-08,1.71416899034e-08
2019-11-01 18:59:58.884,7.78697817166e-08,1.78852883204e-08,1.58594216363e-08,1.6547453366e-08
2019-11-01 19:14:58.884,7.71249270758e-08,1.6580667405e-08,1.45354740676e-08,1.52380913981e-08
2019-11-01 19:29:58.884,7.62694045696e-08,1.59510257094e-08,1.39715090361e-08,1.4595946203e-08
2019-11-01 19:44:58.884,7.50093780881e-08,1.53656728857e-08,1.33693820165e-08,1.4020679677e-08
2019-11-01 19:59:58.884,7.55138169551e-08,1.45698750352e-08,1.25563015166e-08,1.32939217674e-08
2019-11-01 20:14:58.884,7.50183873376e-08,1.48125826004e-08,1.28776553677e-08,1.35749848852e-08
2019-11-01 20:29:58.884,8.0110869871e-08,1.53595934587e-08,1.35590702856e-08,1.42399315393e-08
2019-11-01 20:44:58.884,8.17533299926e-08,1.53389923875e-08,1.3683476799e-08,1.42938671946e-08
2019-11-01 20:59:58.884,7.76238430525e-08,1.50844619574e-08,1.33544795895e-08,1.40091500646e-08
2019-11-01 21:14:58.884,8.07499908025e-08,1.66903157911e-08,1.47694379176e-08,1.5657317299e-08
2019-11-01 21:29:58.884,8.50573668614e-08,1.62377891638e-08,1.43189171694e-08,1.52690024365e-08
2019-11-01 21:44:58.884,9.10159433549e-08,1.429800385e-08,1.253421364e-08,1.32955572742e-08
2019-11-01 21:59:58.884,9.13120180469e-08,1.3083511239e-08,1.13445152349e-08,1.20532557956e-08
2019-11-01 22:14:58.884,8.44937328464e-08,1.20552948694e-08,1.02887569207e-08,1.09796191304e-08
2019-11-01 22:29:58.884,8.70238028657e-08,1.15903001851e-08,9.45753420176e-09,1.03638809224e-08
2019-11-01 22:44:58.884,8.69079044098e-08,1.12238122526e-08,9.29709874235e-09,1.01754933182e-08
2019-11-01 22:59:58.884,8.80211972194e-08,1.14432249994e-08,9.6304457555e-09,1.0490245967e-08
2019-11-01 23:14:58.884,8.83656179664e-08,1.14962752713e-08,9.32234726975e-09,1.02556052452e-08
2019-11-01 23:29:58.884,9.00908393938e-08,1.2528865074e-08,1.05921559154e-08,1.13320814449e-08
