,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-28 10:09:10.650,1.7991980412e-06,4.9703962927e-08,5.90848770793e-09,5.97195242008e-09
2019-11-28 10:24:10.650,1.82585445526e-07,2.46864457031e-09,8.92396668602e-10,9.38566789895e-10
2019-11-28 10:39:10.650,1.87504007881e-07,2.47401451217e-09,7.99135590679e-10,8.42680330937e-10
2019-11-28 10:54:10.650,1.90580147151e-07,2.33993828549e-09,6.68279227233e-10,6.91637808131e-10
2019-11-28 11:09:10.650,1.74199930213e-07,2.2942791533e-09,6.62391572639e-10,6.86420513598e-10
2019-11-28 11:24:10.650,1.80315585753e-07,2.17610904346e-09,6.75734053109e-10,7.0379973572e-10
2019-11-28 11:39:10.650,1.69899822676e-07,2.16752747582e-09,6.29702425693e-10,6.68779292313e-10
2019-11-28 11:54:10.650,1.76573481137e-07,2.05913941435e-09,5.61768954007e-10,5.86682846595e-10
2019-11-28 12:09:10.650,1.76108469775e-07,3.22117629076e-09,6.84900508111e-10,7.05355017885e-10
2019-11-28 12:24:10.650,1.75561836082e-07,5.52195578688e-09,1.26029537645e-09,1.29462885892e-09
2019-11-28 12:39:10.650,1.7793561048e-07,1.95546081115e-09,7.87119938379e-10,8.19142377979e-10
2019-11-28 12:54:10.650,1.63804044425e-07,1.95908224842e-09,5.45382228103e-10,5.67277333698e-10
2019-11-28 13:09:10.650,1.62241832084e-07,2.02111199174e-09,8.03409885014e-10,8.39143789581e-10
2019-11-28 13:24:10.650,1.5943758463e-07,2.00548205426e-09,8.30074384902e-10,8.67719694809e-10
2019-11-28 13:39:10.650,1.68353965998e-07,1.91207848566e-09,5.27509128047e-10,5.50835842819e-10
2019-11-28 13:54:10.650,1.56497998618e-07,1.90634823233e-09,4.93369365654e-10,5.17695860308e-10
2019-11-28 14:09:10.650,1.48045736208e-07,1.86962117846e-09,4.5788456001e-10,4.79820600899e-10
2019-11-28 14:24:10.650,1.57894106794e-07,1.89838640223e-09,4.77826853681e-10,4.96834350515e-10
2019-11-28 14:39:10.650,1.66837099292e-07,1.9697427162e-09,5.13577828195e-10,5.33180583162e-10
2019-11-28 14:54:10.650,1.53772311134e-07,1.94323218684e-09,5.59237237475e-10,5.82212810323e-10
2019-11-28 15:09:10.650,1.52064648419e-07,1.89663893526e-09,5.72819267963e-10,5.97390455652e-10
2019-11-28 15:24:10.650,1.50287541808e-07,1.96494930937e-09,6.84309927096e-10,7.14001298485e-10
2019-11-28 15:39:10.650,1.52628530046e-07,1.87229287344e-09,5.17401848112e-10,5.29122137352e-10
2019-11-28 15:54:10.650,1.38885349546e-07,1.92506384616e-09,6.6227948794e-10,6.91926262574e-10
2019-11-28 16:09:10.650,1.45667282225e-07,1.92606141043e-09,4.90864235492e-10,5.07607494831e-10
2019-11-28 16:24:10.650,1.48841914079e-07,1.88952264262e-09,5.23556283048e-10,5.45043517737e-10
2019-11-28 16:39:10.650,1.39999200996e-07,1.9055977336e-09,5.59278354056e-10,5.81425333381e-10
2019-11-28 16:54:10.650,1.40771926809e-07,1.8246785206e-09,5.10891475752e-10,5.30776779965e-10
2019-11-28 17:09:10.650,1.38896285427e-07,1.77093565164e-09,4.6548370992e-10,4.85589871352e-10
2019-11-28 17:24:10.650,1.44649393092e-07,1.77035551721e-09,4.09852999371e-10,4.2706278198e-10
2019-11-28 17:39:10.650,1.43241362257e-07,1.73217380742e-09,4.08660864321e-10,4.24508405789e-10
2019-11-28 17:54:10.650,1.51030801352e-07,1.66308551893e-09,3.99683193242e-10,4.15883670999e-10
2019-11-28 18:09:10.650,1.46273292501e-07,1.64041862899e-09,3.50911795471e-10,3.67577920221e-10
2019-11-28 18:24:10.650,1.43224592722e-07,1.70323464316e-09,5.21202260544e-10,5.53075907739e-10
2019-11-28 18:39:10.650,1.409498748e-07,1.79047905374e-09,7.0318406125e-10,7.52647539177e-10
2019-11-28 18:54:10.650,1.38886448622e-07,1.84766862444e-09,6.60954729892e-10,7.12786463987e-10
2019-11-28 19:09:10.650,1.32671655199e-07,1.84667172318e-09,6.4495782901e-10,6.97683095969e-10
2019-11-28 19:24:10.650,1.3449663896e-07,1.78297586757e-09,3.94557494875e-10,4.0497977657e-10
2019-11-28 19:39:10.650,1.35631524227e-07,1.75924353132e-09,3.97171195813e-10,4.07910322256e-10
2019-11-28 19:54:10.650,1.37206315963e-07,1.78353058284e-09,4.1921526391e-10,4.30927967407e-10
2019-11-28 20:09:10.650,1.34560449881e-07,1.76151720388e-09,3.81134398991e-10,3.88898691602e-10
2019-11-28 20:24:10.650,1.2815938139e-07,1.72789749136e-09,3.39628996873e-10,3.47999186028e-10
2019-11-28 20:39:10.650,1.37800035138e-07,1.69932232865e-09,3.62548108796e-10,3.68318468109e-10
2019-11-28 20:54:10.650,1.39282429765e-07,1.65755130982e-09,3.36280018947e-10,3.40724844851e-10
2019-11-28 21:09:10.650,1.36607207314e-07,1.71094833947e-09,2.97197983944e-10,3.01376647343e-10
2019-11-28 21:24:10.650,1.37979127621e-07,1.6518890058e-09,3.0724047826e-10,3.12275906891e-10
2019-11-28 21:39:10.650,1.38965411355e-07,1.60355847837e-09,3.22332309718e-10,3.26969834822e-10
2019-11-28 21:54:10.650,1.3953446535e-07,1.62028137191e-09,3.00278774417e-10,3.04469525771e-10
2019-11-28 22:09:10.650,1.40300182054e-07,1.66771200854e-09,2.99499498848e-10,3.03972148918e-10
2019-11-28 22:24:10.650,1.40228253019e-07,1.69480884799e-09,2.87756159727e-10,2.91770025944e-10
2019-11-28 22:39:10.650,1.38136208898e-07,1.75655867469e-09,2.94785942521e-10,2.99121702909e-10
2019-11-28 22:54:10.650,1.37831894108e-07,1.78695133957e-09,3.46674952587e-10,3.56498964528e-10
2019-11-28 23:09:10.650,1.36820615069e-07,1.78334458835e-09,3.4330753394e-10,3.57687908174e-10
