,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 00:00:00,4.211044919370799e-07,8.739595582069096e-09,5.397441748213543e-09,6.702914654521204e-09
2019-10-31 00:30:00,4.0526390360963014e-07,8.745494667337887e-09,5.574100875226617e-09,6.821717819016076e-09
2019-10-31 01:00:00,4.818482171463093e-07,8.925427992246866e-09,5.766075838543643e-09,6.823234544256566e-09
2019-10-31 01:30:00,4.611346375596603e-07,8.921288662578111e-09,5.82444409683205e-09,6.678132673647373e-09
2019-10-31 02:00:00,4.2308453021329255e-07,8.270742041970478e-09,5.300694456874876e-09,6.2460719129442085e-09
2019-10-31 02:30:00,3.9590539577838344e-07,8.322954813131914e-09,5.390521350671976e-09,6.4370149596488755e-09
2019-10-31 03:00:00,3.944611026084362e-07,9.432128540736916e-09,5.673408585995638e-09,6.830948169052755e-09
2019-10-31 03:30:00,1.4786112282613586e-06,1.4484310605437745e-08,9.44242453356937e-09,1.1073449268666404e-08
2019-10-31 04:00:00,3.380011189664434e-06,2.3303839610739858e-08,1.673818674681753e-08,1.9560602198391836e-08
2019-10-31 04:30:00,5.818781656656703e-06,3.0097539204273964e-08,2.3471632328644908e-08,2.7929182994387077e-08
2019-10-31 05:00:00,7.4930487796045445e-06,3.687023586070566e-08,2.8857475644732013e-08,3.4581604709432615e-08
2019-10-31 05:30:00,7.805224480349227e-06,3.999928840177319e-08,3.165772228230742e-08,3.7232176969363333e-08
2019-10-31 06:00:00,8.456302062278104e-06,4.349256529443198e-08,3.4278170009784685e-08,4.0015454043615054e-08
2019-10-31 06:30:00,8.860338970252612e-06,4.708541083682875e-08,3.749405233586652e-08,4.31620427118475e-08
2019-10-31 07:00:00,8.832734107923064e-06,4.5480448544261124e-08,3.5610127421349866e-08,4.153599818783008e-08
2019-10-31 07:30:00,8.923347110423935e-06,4.3942067102130973e-08,3.398305841751636e-08,4.01497973830875e-08
2019-10-31 08:00:00,9.10861067060535e-06,4.157619147666403e-08,3.146782428934292e-08,3.739098565072043e-08
2019-10-31 08:30:00,8.418991990403344e-06,4.202378407486449e-08,3.2658100984125196e-08,3.786770563503462e-08
2019-10-31 09:00:00,7.642566631949709e-06,4.3335256858890065e-08,3.387059372764798e-08,3.891823081327953e-08
2019-10-31 09:30:00,7.585823468933874e-06,3.889989996446086e-08,2.8991351706259262e-08,3.4693399335452446e-08
2019-10-31 10:00:00,7.835182901530534e-06,4.116315612934046e-08,3.094123803097079e-08,3.6972851964437185e-08
2019-10-31 10:30:00,9.414171394246394e-06,3.97745591511684e-08,3.0432290121200274e-08,3.596575944135223e-08
2019-10-31 11:00:00,9.573859175483085e-06,3.832543893783864e-08,2.978772145235886e-08,3.501265048550902e-08
2019-10-31 11:30:00,8.936124835636618e-06,4.365901394272927e-08,3.500660671456229e-08,3.9601994202871846e-08
2019-10-31 12:00:00,8.365513648558857e-06,4.770683342166322e-08,3.8759646825675055e-08,4.330251244449735e-08
2019-10-31 12:30:00,8.104907083037743e-06,4.3811923687259625e-08,3.521623490849188e-08,4.0094822250539977e-08
2019-10-31 13:00:00,8.757165623746932e-06,3.958457866150007e-08,3.091852535831756e-08,3.5979613047252475e-08
2019-10-31 13:30:00,9.574295959907249e-06,3.979288288802673e-08,3.0550451178728624e-08,3.606579594846334e-08
2019-10-31 14:00:00,9.141817996497894e-06,4.0343857051778705e-08,3.101991091715028e-08,3.646431740044303e-08
2019-10-31 14:30:00,8.243285095661269e-06,4.127920779210526e-08,3.2301993513772044e-08,3.75610217530898e-08
2019-10-31 15:00:00,9.912944700362055e-06,4.2209963319444325e-08,3.309804074639158e-08,3.877295634430289e-08
2019-10-31 15:30:00,9.802452920387278e-06,4.1953398839325477e-08,3.324414223085629e-08,3.889774845788409e-08
2019-10-31 16:00:00,9.922806499375217e-06,4.19383371937101e-08,3.344138042188864e-08,3.9066453216908465e-08
2019-10-31 16:30:00,9.31380485557344e-06,4.0875437940840705e-08,3.2544391832368946e-08,3.798895973191486e-08
2019-10-31 17:00:00,8.64155948184671e-06,3.930404554246596e-08,3.146738261813874e-08,3.678762906915164e-08
2019-10-31 17:30:00,9.292296078493645e-06,3.596629579427765e-08,2.8582475461365228e-08,3.3445485557769176e-08
2019-10-31 18:00:00,7.590101217884843e-06,3.30569146036635e-08,2.6406760813159023e-08,3.06532142075796e-08
2019-10-31 18:30:00,7.553032718477977e-06,3.217378774806872e-08,2.573461519422508e-08,2.990136197302827e-08
2019-10-31 19:00:00,7.736656332391866e-06,3.028461222130816e-08,2.3789724491034262e-08,2.8197034062507122e-08
2019-10-31 19:30:00,7.193487624763845e-06,2.9837043699771334e-08,2.3273463431572172e-08,2.7762849973725657e-08
2019-10-31 20:00:00,6.799596539872524e-06,2.9331722575667376e-08,2.3016105004078046e-08,2.737973912072037e-08
2019-10-31 20:30:00,6.3657655492507924e-06,2.7222966995597908e-08,2.167202598267531e-08,2.5384181247999123e-08
2019-10-31 21:00:00,6.347646228435275e-06,2.536778979561897e-08,1.9999525259501624e-08,2.3574145961425842e-08
2019-10-31 21:30:00,5.872925091693017e-06,2.5579522669684737e-08,2.0434477003673188e-08,2.388410366549089e-08
2019-10-31 22:00:00,5.283148061990614e-06,2.567138061989718e-08,2.0727493360272e-08,2.4135275811359336e-08
2019-10-31 22:30:00,5.355770370787328e-06,2.5855757882824618e-08,2.11789354352323e-08,2.452406702934906e-08
2019-10-31 23:00:00,4.4167093849611255e-06,2.153851544623173e-08,1.7415445554954424e-08,2.0176740480070308e-08
2019-11-01 00:00:00,3.5036462818756473e-07,1.0372571467534445e-08,7.4156589809317065e-09,8.857541449756567e-09
2019-11-01 00:30:00,3.5429930246485676e-07,1.0154077166526496e-08,7.50254886636637e-09,8.625605583648741e-09
2019-11-01 01:00:00,3.4820674765549203e-07,9.460229538585537e-09,6.353909264800811e-09,7.740460974517015e-09
2019-11-01 01:30:00,3.5691584371301916e-07,8.207072249770331e-09,4.881351174741597e-09,6.255908782322035e-09
2019-11-01 02:00:00,3.643510072589849e-07,7.48055419666352e-09,4.269159006333198e-09,5.642403685041972e-09
2019-11-01 02:30:00,4.0038669910938704e-07,8.853045658379049e-09,5.334964081706075e-09,6.9285218413304624e-09
2019-11-01 03:00:00,4.0752497824767475e-07,9.631846595622395e-09,5.956649908909491e-09,7.45315842356216e-09
2019-11-01 03:30:00,2.3719628444089316e-06,1.2390366460164801e-08,8.706805889773463e-09,1.0472163256553219e-08
2019-11-01 04:00:00,4.0391691649916636e-06,2.1060857859903643e-08,1.646253016250698e-08,1.886959679398501e-08
2019-11-01 04:30:00,6.0847914575251464e-06,2.999569946472777e-08,2.3703363317203632e-08,2.7959943800145837e-08
2019-11-01 05:00:00,7.926644342547295e-06,3.540082547981278e-08,2.7987944665714405e-08,3.299039030062367e-08
2019-11-01 05:30:00,8.004698555240887e-06,3.976670478020609e-08,3.1449554990815987e-08,3.705533876372802e-08
2019-11-01 06:00:00,8.631651864870851e-06,4.3075691752421126e-08,3.403955535141132e-08,3.981124152320247e-08
2019-11-01 06:30:00,8.633797791292974e-06,4.654751254926372e-08,3.68176509331336e-08,4.288352266797766e-08
2019-11-01 07:00:00,7.966477615810284e-06,4.4524382546122625e-08,3.4278170009784685e-08,4.046648862326485e-08
2019-11-01 07:30:00,7.894243482328386e-06,4.335633875665003e-08,3.38314093511336e-08,3.963341874959737e-08
2019-11-01 08:00:00,8.432133038249933e-06,4.285979538634899e-08,3.2903509565782023e-08,3.88443633599841e-08
2019-11-01 08:30:00,9.220035640982368e-06,4.0306436762317136e-08,3.0613757515500126e-08,3.6119436864244624e-08
2019-11-01 09:00:00,9.306201452508492e-06,4.0401555292279055e-08,3.094123803097079e-08,3.6397414483195184e-08
2019-11-01 09:30:00,9.309732483350323e-06,4.047423157298535e-08,3.115155231522477e-08,3.65763691721923e-08
2019-11-01 10:00:00,8.92959888564227e-06,4.0773151452291634e-08,3.1357320329005196e-08,3.707467233896061e-08
2019-11-01 10:30:00,8.768175256359673e-06,3.9905563487067724e-08,3.0613757515500126e-08,3.6119436864244624e-08
2019-11-01 11:00:00,8.755926136992307e-06,3.9404398288520804e-08,3.0432290121200274e-08,3.596575944135223e-08
2019-11-01 11:30:00,8.628028266407069e-06,3.983093804952845e-08,3.0550451178728624e-08,3.600643763158238e-08
2019-11-01 12:00:00,8.548118017942199e-06,3.9842688938038804e-08,3.063526372422126e-08,3.613766668761143e-08
2019-11-01 12:30:00,8.138123550180051e-06,4.058261280577611e-08,3.121647392088203e-08,3.6631677742432464e-08
2019-11-01 13:00:00,8.036422799654554e-06,3.909128603907792e-08,3.0109061047482984e-08,3.5286440764947544e-08
2019-11-01 13:30:00,8.063917867054882e-06,3.7600038328391985e-08,2.9160965293332226e-08,3.3796557232818496e-08
2019-11-01 14:00:00,8.674086044172342e-06,3.890680190710065e-08,3.010793617869002e-08,3.528548094666085e-08
2019-11-01 14:30:00,8.984670595085864e-06,3.925602520292839e-08,3.0432290121200274e-08,3.556264369697504e-08
2019-11-01 15:00:00,9.485183957412144e-06,4.1986531086794364e-08,3.330206442301535e-08,3.866291305212947e-08
2019-11-01 15:30:00,9.03672817874715e-06,4.0244833869010306e-08,3.15422429805658e-08,3.690968250225632e-08
2019-11-01 16:00:00,9.3889459601815e-06,3.943547872872119e-08,3.159918877094289e-08,3.662463873074983e-08
2019-11-01 16:30:00,9.205784030343357e-06,3.998376926254386e-08,3.1953899073909574e-08,3.720463881989382e-08
2019-11-01 17:00:00,8.171499956712488e-06,3.8133821153998863e-08,3.0267361439552007e-08,3.542161082177905e-08
2019-11-01 17:30:00,7.874141824397368e-06,3.4331591874879564e-08,2.742185097395001e-08,3.195151726238366e-08
2019-11-01 18:00:00,7.238491331196154e-06,3.254662371703272e-08,2.571925224053912e-08,3.025525706291254e-08
2019-11-01 18:30:00,7.459335766475832e-06,3.0920102986056764e-08,2.443975040589671e-08,2.879448607893097e-08
2019-11-01 19:00:00,7.153225252788417e-06,3.019733711108293e-08,2.408789097397036e-08,2.8175421095080667e-08
2019-11-01 19:30:00,6.8667213535035125e-06,2.997502795936276e-08,2.3735339196041692e-08,2.7938157660273222e-08
2019-11-01 20:00:00,6.277547911152445e-06,2.909272545872275e-08,2.3329874376965787e-08,2.6989350249724778e-08
2019-11-01 20:30:00,6.226612314037736e-06,2.7888968235131154e-08,2.2322708618851956e-08,2.5887025421385938e-08
2019-11-01 21:00:00,6.50500347638193e-06,2.60864789852868e-08,2.051042628370855e-08,2.41014120441479e-08
2019-11-01 21:30:00,6.000068231953512e-06,2.589694995502352e-08,2.0303538569606998e-08,2.3970949136674494e-08
2019-11-01 22:00:00,5.598188592575111e-06,2.5824664746065012e-08,2.0150570818249585e-08,2.3841523197287717e-08
2019-11-01 22:30:00,5.664580372952276e-06,2.5121451122439458e-08,1.9695023533237422e-08,2.3111969466159592e-08
2019-11-01 23:00:00,5.698061164273864e-06,2.5554965330620466e-08,2.029183270514415e-08,2.362260898299498e-08
2019-11-01 23:30:00,5.360371115977957e-06,2.5770757875328706e-08,2.0440718388290706e-08,2.38894438135272e-08
2019-11-02 00:00:01,4.699552881583876e-06,2.2858241947886632e-08,1.7916733843247016e-08,2.0876835055246036e-08
2019-11-02 00:30:01,2.2458621326947595e-06,1.6985688335384645e-08,1.2805311479477788e-08,1.4906602957287098e-08
2019-11-02 01:00:01,6.170325887991967e-07,1.793452555307259e-08,1.4239178859659182e-08,1.6589420427760455e-08
2019-11-02 01:30:01,3.9278621726344927e-07,1.55018946959542e-08,1.151943465541502e-08,1.4151057785127255e-08
2019-11-02 02:00:01,4.182388248217984e-07,1.7600980710127776e-08,1.3920642077076302e-08,1.6588050284134898e-08
2019-11-02 02:30:01,4.0241147668929114e-07,1.2530365580064584e-08,9.375600097898062e-09,1.12671202897567e-08
2019-11-02 03:00:01,3.993795489865339e-07,1.2587103400797795e-08,9.34119828542479e-09,1.1072522007566124e-08
2019-11-02 03:30:01,1.8020724887080664e-06,1.3625670314615153e-08,1.0028661535958514e-08,1.1919554879715949e-08
2019-11-02 04:00:01,3.890745942812265e-06,1.9036738208744755e-08,1.4587443581247532e-08,1.725805012312217e-08
2019-11-02 04:30:01,5.624377908805389e-06,2.5287803413850426e-08,2.0073365675581476e-08,2.3575889527987694e-08
2019-11-02 05:00:01,6.074637340952956e-06,2.803306192415127e-08,2.2537296007514016e-08,2.6465023105504505e-08
2019-11-02 05:30:01,6.599583846857892e-06,2.9020963926222706e-08,2.3772608527811225e-08,2.7524619032080044e-08
2019-11-02 06:00:01,7.0994371715822975e-06,2.9359926903260535e-08,2.3625918630583438e-08,2.761519834524588e-08
2019-11-02 06:30:01,6.455136699240561e-06,3.0608482829785305e-08,2.4422532539282352e-08,2.8732939880826273e-08
2019-11-02 07:00:01,7.408839251902551e-06,3.113463771489846e-08,2.4859597753180115e-08,2.915168312631603e-08
2019-11-02 07:30:01,7.916401538243355e-06,3.182674348831725e-08,2.5052169072241844e-08,2.94942994464449e-08
2019-11-02 08:00:01,8.264239167460055e-06,3.20425023665812e-08,2.4923292476697415e-08,2.9384911646819207e-08
2019-11-02 08:30:01,8.354573046617464e-06,3.3174840579733284e-08,2.6054915958171254e-08,3.0541108194003205e-08
2019-11-02 09:00:01,8.57471570910686e-06,3.301656326009263e-08,2.5642486062796526e-08,3.0438111571048414e-08
2019-11-02 09:30:01,8.444095953105742e-06,3.309201724827136e-08,2.571280885147919e-08,3.049737830639847e-08
2019-11-02 10:00:01,8.13007143035634e-06,3.406435084639739e-08,2.6698106932851694e-08,3.1642314910089025e-08
2019-11-02 10:30:01,6.99747697236385e-06,3.423092174368219e-08,2.6698106932851694e-08,3.169596658488637e-08
2019-11-02 11:00:01,7.5372189669311365e-06,3.3985967293078836e-08,2.6465862599309916e-08,3.150059153536329e-08
2019-11-02 11:30:01,8.090444360409724e-06,3.53434577698304e-08,2.7906991187179836e-08,3.2943082862171715e-08
2019-11-02 12:00:01,7.805479745221799e-06,3.5175137494242987e-08,2.712103707625714e-08,3.263756519172085e-08
2019-11-02 12:30:01,7.357207314177884e-06,3.465061895980009e-08,2.715239373320849e-08,3.2003021767410926e-08
2019-11-02 13:00:01,7.644308534142579e-06,3.53324982713679e-08,2.7892927445591714e-08,3.270872644168974e-08
2019-11-02 13:30:01,8.196483059247992e-06,3.567834192476448e-08,2.777093428173419e-08,3.260475693564743e-08
2019-11-02 14:00:01,7.683686484464822e-06,3.605408520598366e-08,2.8222783944137096e-08,3.299046707019609e-08
2019-11-02 14:30:01,7.834005944404174e-06,3.640126550547797e-08,2.8560877314303378e-08,3.36951878749683e-08
2019-11-02 15:00:01,8.737336015531979e-06,3.670409692815138e-08,2.846343782635719e-08,3.389313555267491e-08
2019-11-02 15:30:01,8.577679367492707e-06,3.568714294179e-08,2.8370013178862878e-08,3.311650693719226e-08
2019-11-02 16:00:01,8.521326497767887e-06,3.549609740254714e-08,2.8342832324277105e-08,3.309322480681411e-08
2019-11-02 16:30:01,8.09521271367544e-06,3.6551909205893205e-08,2.8370013178862878e-08,3.3065160317774234e-08
2019-11-02 17:00:01,7.3194728879075776e-06,3.571110649925833e-08,2.705472299201626e-08,3.1943782106162565e-08
2019-11-02 17:30:01,6.0749627194711005e-06,3.2610665020682575e-08,2.56401523198516e-08,3.0436145543022835e-08
2019-11-02 18:00:01,6.1318174860741895e-06,3.0465688371911934e-08,2.40397394061612e-08,2.840828768650112e-08
2019-11-02 18:30:01,5.967176961516459e-06,2.9912207633279445e-08,2.3662148521250554e-08,2.8137489249912488e-08
2019-11-02 19:00:01,6.214430582949933e-06,2.9615843263311655e-08,2.3393240797827252e-08,2.786333529188494e-08
2019-11-02 19:30:01,6.17407263489069e-06,2.98650810746725e-08,2.3732029733126358e-08,2.7871797530213715e-08
2019-11-02 20:00:01,5.3886995456146496e-06,2.970563723214157e-08,2.3429788300209994e-08,2.7512840347753527e-08
